dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.499972,8.415000,0.000500,0.050000,2.500000,125.000000,6.283165
0.020000,4.499981,8.415000,0.000508,0.000416,-2.479177,-248.958864,6.283171
0.020000,4.499997,8.415000,0.000525,0.000832,0.020770,124.997382,6.283183
0.020000,4.505382,8.415000,0.005909,0.269220,13.419388,669.930870,0.000017
0.020000,4.513415,8.415000,0.013942,0.401655,6.621786,-339.880068,0.000041
0.020000,4.523456,8.415001,0.023984,0.502061,5.020299,-80.074367,0.000072
0.020000,4.535505,8.415002,0.036033,0.602462,5.020037,-0.013091,0.000109
0.020000,4.549562,8.415004,0.050090,0.702857,5.019723,-0.015710,0.000152
0.020000,4.565627,8.415007,0.066155,0.803244,5.019356,-0.018328,0.000201
0.020000,4.583700,8.415011,0.084227,0.903622,5.018938,-0.020947,0.000255
0.020000,4.603780,8.415016,0.104307,1.003992,5.018466,-0.023565,0.000315
0.020000,4.625867,8.415024,0.126394,1.104351,5.017943,-0.026183,0.000380
0.020000,4.649961,8.415034,0.150488,1.204698,5.017367,-0.028801,0.000450
0.020000,4.676061,8.415047,0.176589,1.305033,5.016738,-0.031422,0.000526
0.020000,4.704168,8.415063,0.204696,1.405354,5.016057,-0.034036,0.000606
0.020000,4.734281,8.415082,0.234809,1.505660,5.015324,-0.036658,0.000691
0.020000,4.766400,8.415106,0.266928,1.605951,5.014539,-0.039275,0.000780
0.020000,4.800525,8.415134,0.301053,1.706225,5.013701,-0.041894,0.000873
0.020000,4.836655,8.415167,0.337182,1.806481,5.012811,-0.044512,0.000970
0.020000,4.874789,8.415206,0.375317,1.906719,5.011868,-0.047132,0.001071
0.020000,4.914928,8.415251,0.415455,2.006936,5.010873,-0.049745,0.001175
0.020000,4.957070,8.415303,0.457598,2.107133,5.009826,-0.052372,0.001282
0.020000,5.001216,8.415362,0.501744,2.207307,5.008726,-0.054982,0.001391
0.020000,5.047365,8.415429,0.547893,2.307459,5.007574,-0.057609,0.001503
0.020000,5.095517,8.415504,0.596045,2.407586,5.006369,-0.060215,0.001616
0.020000,5.145671,8.415588,0.646199,2.507688,5.005113,-0.062846,0.001732
0.020000,5.197826,8.415681,0.698354,2.607764,5.003803,-0.065459,0.001848
0.020000,5.251982,8.415785,0.752510,2.707813,5.002442,-0.068071,0.001965
0.020000,5.308139,8.415898,0.808667,2.807834,5.001028,-0.070703,0.002082
