dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,9.750000,0.000500,0.050000,2.500000,125.000000,6.283164
0.020000,0.000000,9.750000,0.002500,0.150000,5.000000,125.000000,6.283168
0.020000,0.000000,9.750000,0.006500,0.250000,5.000000,0.000000,6.283175
0.020000,0.000859,9.750000,0.012500,0.350000,5.000000,-0.000000,0.000002
0.020000,0.008859,9.750000,0.020500,0.450000,5.000000,0.000000,0.000017
0.020000,0.018859,9.750000,0.030500,0.550000,5.000000,-0.000000,0.000036
0.020000,0.030859,9.750001,0.042500,0.650000,5.000000,0.000000,0.000059
0.020000,0.044859,9.750002,0.056500,0.750000,5.000000,0.000000,0.000085
0.020000,0.060859,9.750004,0.072500,0.850000,5.000000,-0.000000,0.000115
0.020000,0.078859,9.750006,0.090500,0.950000,5.000000,0.000000,0.000149
0.020000,0.098859,9.750009,0.110500,1.050000,5.000000,0.000000,0.000186
0.020000,0.120859,9.750014,0.132500,1.150000,5.000000,-0.000000,0.000227
0.020000,0.144859,9.750020,0.156500,1.250000,5.000000,0.000000,0.000271
0.020000,0.170859,9.750027,0.182500,1.350000,5.000000,-0.000000,0.000319
0.020000,0.198859,9.750037,0.210500,1.450000,5.000000,0.000000,0.000370
0.020000,0.228859,9.750049,0.240500,1.550000,5.000000,-0.000000,0.000424
0.020000,0.260859,9.750063,0.272500,1.650000,5.000000,0.000000,0.000481
0.020000,0.294859,9.750081,0.306500,1.750000,5.000000,0.000000,0.000542
0.020000,0.330859,9.750102,0.342500,1.850000,5.000000,-0.000000,0.000605
0.020000,0.368859,9.750126,0.380500,1.950000,5.000000,0.000000,0.000671
0.020000,0.408859,9.750154,0.420500,2.050000,5.000000,-0.000000,0.000739
0.020000,0.450859,9.750187,0.462500,2.150000,5.000000,0.000000,0.000811
0.020000,0.494859,9.750224,0.506500,2.250000,5.000000,0.000000,0.000884
0.020000,0.540859,9.750266,0.552500,2.350000,5.000000,0.000000,0.000961
0.020000,0.588859,9.750314,0.600500,2.450000,5.000000,-0.000000,0.001039
0.020000,0.638859,9.750368,0.650500,2.550000,5.000000,0.000000,0.001119
0.020000,0.690859,9.750429,0.702500,2.650000,5.000000,0.000000,0.001201
0.020000,0.744859,9.750496,0.756500,2.750000,5.000000,0.000000,0.001285
0.020000,0.800859,9.750570,0.812500,2.850000,5.000000,-0.000000,0.001371
0.020000,0.858859,9.750652,0.870500,2.950000,5.000000,0.000000,0.001458
0.020000,0.918859,9.750742,0.930500,3.050000,5.000000,-0.000000,0.001546
0.020000,0.980859,9.750841,0.992500,3.150000,5.000000,-0.000000,0.001636
0.020000,1.044859,9.750949,1.056500,3.250000,5.000000,0.000000,0.001726
0.020000,1.110859,9.751065,1.122500,3.350000,5.000000,0.000000,0.001817
0.020000,1.178859,9.751192,1.190500,3.450000,5.000000,0.000000,0.001909
0.020000,1.248859,9.751329,1.260500,3.550000,5.000000,-0.000000,0.002000
0.020000,1.320858,9.751476,1.332500,3.650000,5.000000,0.000000,0.002092
0.020000,1.394858,9.751635,1.406500,3.750000,5.000000,0.000000,0.002184
0.020000,1.470858,9.751804,1.482500,3.850000,5.000000,-0.000000,0.002276
0.020000,1.548858,9.751985,1.560500,3.950000,5.000000,0.000000,0.002367
0.020000,1.628858,9.752178,1.640500,4.050000,5.000000,-0.000000,0.002457
0.020000,1.710857,9.752383,1.722500,4.150000,5.000000,0.000000,0.002546
0.020000,1.794857,9.752601,1.806500,4.250000,5.000000,-0.000000,0.002634
0.020000,1.880857,9.752831,1.892500,4.350000,5.000000,0.000000,0.002720
0.020000,1.968856,9.753074,1.980500,4.450000,5.000000,0.000000,0.002805
0.020000,2.058856,9.753330,2.070500,4.550000,5.000000,-0.000000,0.002888
0.020000,2.150856,9.753600,2.162500,4.650000,5.000000,0.000000,0.002968
0.020000,2.244855,9.753883,2.256500,4.750000,5.000000,-0.000000,0.003046
0.020000,2.340855,9.754179,2.352500,4.850000,5.000000,0.000000,0.003121
0.020000,2.438854,9.754488,2.450500,4.950000,5.000000,0.000000,0.003193
0.020000,2.538854,9.754811,2.550500,5.050000,5.000000,-0.000000,0.003261
0.020000,2.640853,9.755147,2.652500,5.150000,5.000000,0.000000,0.003326
0.020000,2.744853,9.755496,2.756500,5.250000,5.000000,0.000000,0.003387
0.020000,2.850852,9.755858,2.862500,5.350000,5.000000,-0.000000,0.003443
0.020000,2.958851,9.756233,2.970500,5.450000,5.000000,0.000000,0.003495
0.020000,3.068851,9.756620,3.080500,5.550000,5.000000,0.000000,0.003542
0.020000,3.180850,9.757019,3.192500,5.650000,5.000000,-0.000000,0.003583
0.020000,3.294849,9.757429,3.306500,5.750000,5.000000,0.000000,0.003619
0.020000,3.410848,9.757851,3.422500,5.850000,5.000000,0.000000,0.003650
0.020000,3.528848,9.758283,3.540500,5.950000,5.000000,-0.000000,0.003673
0.020000,3.648847,9.758725,3.660500,6.050000,5.000000,0.000000,0.003691
0.020000,3.770846,9.759176,3.782500,6.150000,5.000000,-0.000000,0.003701
0.020000,3.894845,9.759635,3.906500,6.250000,5.000000,0.000000,0.003704
0.020000,4.020844,9.760101,4.032500,6.350000,5.000000,0.000000,0.003699
0.020000,4.148843,9.760574,4.160500,6.450000,5.000000,-0.000000,0.003686
0.020000,4.278843,9.761052,4.290500,6.550000,5.000000,0.000000,0.003665
0.020000,4.410842,9.761534,4.422500,6.650000,5.000000,0.000000,0.003634
0.020000,4.544841,9.762018,4.556500,6.750000,5.000000,-0.000000,0.003595
0.020000,4.680840,9.762504,4.692500,6.850000,5.000000,0.000000,0.003546
0.020000,4.818839,9.762989,4.830500,6.950000,5.000000,0.000000,0.003487
0.020000,4.958838,9.763473,4.970500,7.050000,5.000000,-0.000000,0.003417
0.020000,5.100837,9.763953,5.112500,7.150000,5.000000,0.000000,0.003337
0.020000,5.244837,9.764427,5.256500,7.250000,5.000000,0.000000,0.003246
0.020000,5.390836,9.764893,5.402500,7.350000,5.000000,-0.000000,0.003142
0.020000,5.538835,9.765350,5.550500,7.450000,5.000000,0.000000,0.003027
0.020000,5.688835,9.765794,5.700500,7.550000,5.000000,0.000000,0.002899
0.020000,5.840834,9.766224,5.852500,7.650000,5.000000,-0.000000,0.002758
0.020000,5.994833,9.766637,6.006500,7.750000,5.000000,0.000000,0.002604
0.020000,6.150833,9.767031,6.162500,7.850000,5.000000,-0.000000,0.002435
0.020000,6.308832,9.767401,6.320500,7.950000,5.000000,0.000000,0.002253
0.020000,6.468832,9.767746,6.480500,8.050000,5.000000,0.000000,0.002055
0.020000,6.630832,9.768062,6.642500,8.150000,5.000000,-0.000000,0.001842
0.020000,6.794832,9.768345,6.806500,8.250000,5.000000,0.000000,0.001614
0.020000,6.960831,9.768593,6.972500,8.350000,5.000000,0.000000,0.001369
0.020000,7.128831,9.768801,7.140500,8.450000,5.000000,0.000000,0.001107
0.020000,7.298831,9.768966,7.310500,8.550000,5.000000,0.000000,0.000829
0.020000,7.470831,9.769083,7.482500,8.650000,5.000000,0.000000,0.000532
0.020000,7.644831,9.769149,7.656500,8.750000,5.000000,-0.000000,0.000217
0.020000,7.820831,9.769158,7.832500,8.850000,5.000000,0.000000,6.283069
0.020000,7.998831,9.769106,8.010500,8.950000,5.000000,0.000000,6.282716
0.020000,8.178331,9.768989,8.190000,9.000000,2.500000,-125.000000,6.282344
0.020000,8.358331,9.768802,8.370000,9.000000,0.000000,-125.000000,6.281956
0.020000,8.538331,9.768545,8.550000,9.000000,0.000000,0.000000,6.281551
0.020000,8.718330,9.768213,8.730000,9.000000,0.000000,0.000000,6.281131
0.020000,8.898330,9.767804,8.910000,9.000000,0.000000,0.000000,6.280694
0.020000,9.078329,9.767316,9.090000,9.000000,0.000000,0.000000,6.280242
0.020000,9.258328,9.766744,9.270000,9.000000,0.000000,0.000000,6.279774
0.020000,9.438327,9.766086,9.450000,9.000000,0.000000,0.000000,6.279289
0.020000,9.618326,9.765340,9.630000,9.000000,0.000000,0.000000,6.278789
0.020000,9.798324,9.764503,9.810000,9.000000,0.000000,0.000000,6.278273
0.020000,9.978321,9.763571,9.990000,9.000000,0.000000,0.000000,6.277741
0.020000,10.158318,9.762542,10.170000,9.000000,0.000000,0.000000,6.277193
0.020000,10.338315,9.761413,10.350000,9.000000,0.000000,0.000000,6.276629
0.020000,10.518311,9.760181,10.530000,9.000000,0.000000,0.000000,6.276049
0.020000,10.698306,9.758843,10.710000,9.000000,0.000000,0.000000,6.275453
0.020000,10.878300,9.757396,10.890000,9.000000,0.000000,0.000000,6.274842
0.020000,11.058293,9.755838,11.070000,9.000000,0.000000,0.000000,6.274214
0.020000,11.238285,9.754166,11.250000,9.000000,0.000000,0.000000,6.273570
0.020000,11.418276,9.752376,11.430000,9.000000,0.000000,0.000000,6.272911
0.020000,11.598266,9.750466,11.610000,9.000000,0.000000,0.000000,6.272235
0.020000,11.771503,9.745917,11.790000,9.000000,0.000000,0.000000,6.231977
0.020000,11.950924,9.731774,11.970000,9.000000,0.000000,0.000000,6.177167
0.020000,12.129312,9.707903,12.150000,9.000000,0.000000,0.000000,6.123390
0.020000,12.306188,9.674626,12.330000,9.000000,0.000000,0.000000,6.071425
0.020000,12.481150,9.632417,12.510000,9.000000,0.000000,0.000000,6.021966
0.020000,12.653890,9.581868,12.690000,9.000000,0.000000,0.000000,5.975588
0.020000,12.824203,9.523658,12.870000,9.000000,0.000000,0.000000,5.932730
0.020000,12.991992,9.458520,13.050000,9.000000,0.000000,0.000000,5.893690
0.020000,13.157254,9.387211,13.230000,9.000000,0.000000,0.000000,5.858645
0.020000,13.320075,9.310485,13.410000,9.000000,0.000000,0.000000,5.827671
0.020000,13.480609,9.229080,13.590000,9.000000,0.000000,0.000000,5.800770
0.020000,13.639069,9.143705,13.770000,9.000000,0.000000,0.000000,5.777893
0.020000,13.795713,9.055038,13.950000,9.000000,0.000000,0.000000,5.758966
0.020000,13.950828,8.963721,14.130000,9.000000,0.000000,0.000000,5.743901
0.020000,14.104727,8.870370,14.310000,9.000000,0.000000,0.000000,5.732616
0.020000,14.257741,8.775571,14.490000,9.000000,0.000000,0.000000,5.725040
0.020000,14.410208,8.679896,14.670000,9.000000,0.000000,0.000000,5.721124
0.020000,14.562474,8.583900,14.850000,9.000000,0.000000,0.000000,5.720838
0.020000,14.714886,8.488138,15.030000,9.000000,0.000000,0.000000,5.724182
0.020000,14.867791,8.393164,15.210000,9.000000,0.000000,0.000000,5.731179
0.020000,15.021529,8.299546,15.390000,9.000000,0.000000,0.000000,5.741876
0.020000,15.176432,8.207870,15.570000,9.000000,0.000000,0.000000,5.756340
0.020000,15.332814,8.118743,15.750000,9.000000,0.000000,0.000000,5.774654
0.020000,15.490971,8.032806,15.930000,9.000000,0.000000,0.000000,5.796903
0.020000,15.651163,7.950729,16.110000,9.000000,0.000000,0.000000,5.823167
0.020000,15.813612,7.873219,16.290000,9.000000,0.000000,0.000000,5.853498
0.020000,15.978482,7.801007,16.470000,9.000000,0.000000,0.000000,5.887905
0.020000,16.145871,7.734848,16.650000,9.000000,0.000000,0.000000,5.926325
0.020000,16.315791,7.675498,16.830000,9.000000,0.000000,0.000000,5.968599
0.020000,16.488159,7.623695,17.010000,9.000000,0.000000,0.000000,6.014448
0.020000,16.662789,7.580131,17.190000,9.000000,0.000000,0.000000,6.063456
0.020000,16.839389,7.545414,17.370000,9.000000,0.000000,0.000000,6.115071
0.020000,17.017569,7.520037,17.550000,9.000000,0.000000,0.000000,6.168612
0.020000,17.196861,7.504347,17.730000,9.000000,0.000000,0.000000,6.223313
0.020000,17.376744,7.498528,17.910000,9.000000,0.000000,0.000000,6.278368
0.020000,17.551337,7.501872,18.090000,9.000000,0.000000,0.000000,0.032866
0.020000,17.731218,7.508415,18.270000,9.000000,0.000000,0.000000,0.039575
0.020000,17.911057,7.516015,18.450000,9.000000,0.000000,0.000000,0.044630
0.020000,18.090863,7.524378,18.630000,9.000000,0.000000,0.000000,0.048043
0.020000,18.270646,7.533206,18.810000,9.000000,0.000000,0.000000,0.049822
0.020000,18.450421,7.542208,18.990000,9.000000,0.000000,0.000000,0.049970
0.020000,18.630202,7.551090,19.170000,9.000000,0.000000,0.000000,0.048487
0.020000,18.810002,7.559559,19.350000,9.000000,0.000000,0.000000,0.045372
0.020000,18.989835,7.567320,19.530000,9.000000,0.000000,0.000000,0.040615
0.020000,19.169708,7.574077,19.710000,9.000000,0.000000,0.000000,0.034208
0.020000,19.349624,7.579533,19.890000,9.000000,0.000000,0.000000,0.026136
0.020000,19.529582,7.583384,20.070000,9.000000,0.000000,0.000000,0.016385
0.020000,19.709571,7.585329,20.250000,9.000000,0.000000,0.000000,0.004939
0.020000,19.889569,7.585060,20.430000,9.000000,0.000000,0.000000,6.274967
0.020000,20.069546,7.582267,20.610000,9.000000,0.000000,0.000000,6.260085
0.020000,20.249456,7.576641,20.790000,9.000000,0.000000,0.000000,6.243470
0.020000,20.429240,7.567870,20.970000,9.000000,0.000000,0.000000,6.225115
0.020000,20.608821,7.555645,21.150000,9.000000,0.000000,0.000000,6.205028
0.020000,20.787610,7.539711,21.329501,8.950061,-2.496929,-124.846447,6.183285
0.020000,20.964505,7.519927,21.507502,8.850123,-4.996929,-125.000000,6.160066
0.020000,21.138895,7.496194,21.683505,8.750123,-5.000000,-0.153553,6.135527
0.020000,21.310659,7.468403,21.857507,8.650123,-5.000000,0.000000,6.109782
0.020000,21.479667,7.436476,22.029510,8.550123,-5.000000,0.000000,6.082957
0.020000,21.645786,7.400372,22.199512,8.450123,-5.000000,0.000000,6.055193
0.020000,21.808880,7.360083,22.367515,8.350123,-5.000000,0.000000,6.026638
0.020000,21.968815,7.315636,22.533517,8.250123,-5.000000,-0.000000,5.997454
0.020000,22.125463,7.267095,22.697520,8.150123,-5.000000,0.000000,5.967806
0.020000,22.278703,7.214554,22.859522,8.050123,-5.000000,0.000000,5.937861
0.020000,22.428424,7.158143,23.019525,7.950123,-5.000000,-0.000000,5.907788
0.020000,22.574533,7.098017,23.177527,7.850123,-5.000000,0.000000,5.877747
0.020000,22.716949,7.034357,23.333529,7.750123,-5.000000,0.000000,5.847893
0.020000,22.848288,6.971292,23.487532,7.650123,-5.000000,-0.000000,5.827057
0.020000,22.984303,6.903435,23.639534,7.550123,-5.000000,0.000000,5.813596
0.020000,23.117579,6.834604,23.789537,7.450123,-5.000000,0.000000,5.799116
0.020000,23.248043,6.764721,23.937539,7.350123,-5.000000,-0.000000,5.783498
0.020000,23.375605,6.693702,24.083542,7.250123,-5.000000,0.000000,5.766599
0.020000,23.500169,6.621451,24.227544,7.150123,-5.000000,0.000000,5.748255
0.020000,23.621615,6.547865,24.369547,7.050123,-5.000000,-0.000000,5.728272
0.020000,23.739808,6.472831,24.509549,6.950123,-5.000000,0.000000,5.706423
0.020000,23.854590,6.396221,24.647552,6.850123,-5.000000,0.000000,5.682436
0.020000,23.965771,6.317898,24.783554,6.750123,-5.000000,-0.000000,5.655994
0.020000,24.073126,6.237710,24.917557,6.650123,-5.000000,0.000000,5.626715
0.020000,24.176389,6.155492,25.049559,6.550123,-5.000000,-0.000000,5.594146
0.020000,24.275239,6.071068,25.179561,6.450123,-5.000000,0.000000,5.557749
0.020000,24.369290,5.984254,25.307564,6.350123,-5.000000,0.000000,5.516892
0.020000,24.458077,5.894862,25.433566,6.250123,-5.000000,-0.000000,5.470835
0.020000,24.541038,5.802718,25.557569,6.150123,-5.000000,0.000000,5.418740
0.020000,24.617506,5.707677,25.679571,6.050123,-5.000000,0.000000,5.359694
0.020000,24.686694,5.609655,25.799574,5.950123,-5.000000,-0.000000,5.292773
0.020000,24.747697,5.508677,25.917576,5.850123,-5.000000,0.000000,5.217182
0.020000,24.799525,5.404936,26.033579,5.750123,-5.000000,0.000000,5.132478
0.020000,24.841174,5.298859,26.147581,5.650123,-5.000000,-0.000000,5.038883
0.020000,24.871744,5.191158,26.259584,5.550123,-5.000000,0.000000,4.937621
0.020000,24.890610,5.082839,26.369586,5.450123,-5.000000,0.000000,4.831095
0.020000,24.897587,4.975116,26.477588,5.350123,-5.000000,-0.000000,4.722713
0.020000,24.893029,4.869261,26.583591,5.250123,-5.000000,0.000000,4.616289
0.020000,24.877799,4.766425,26.687593,5.150123,-5.000000,-0.000000,4.515251
0.020000,24.853135,4.667488,26.789596,5.050123,-5.000000,0.000000,4.422030
0.020000,24.820448,4.573010,26.889598,4.950123,-5.000000,0.000000,4.337869
0.020000,24.781160,4.483253,26.987601,4.850123,-5.000000,-0.000000,4.262995
0.020000,24.736581,4.398248,27.083603,4.750123,-5.000000,0.000000,4.196956
0.020000,24.687858,4.317874,27.177606,4.650123,-5.000000,0.000000,4.138939
0.020000,24.635962,4.241917,27.269608,4.550123,-5.000000,-0.000000,4.087998
0.020000,24.581700,4.170120,27.359611,4.450123,-5.000000,0.000000,4.043199
0.020000,24.525736,4.102213,27.447613,4.350123,-5.000000,-0.000000,4.003685
0.020000,24.468613,4.037928,27.533615,4.250123,-5.000000,0.000000,3.968700
0.020000,24.410775,3.977011,27.617618,4.150123,-5.000000,-0.000000,3.937598
0.020000,24.352592,3.919232,27.699620,4.050123,-5.000000,0.000000,3.909831
0.020000,24.294365,3.864372,27.779623,3.950123,-5.000000,-0.000000,3.884937
0.020000,24.236344,3.812240,27.857625,3.850123,-5.000000,0.000000,3.862530
0.020000,24.178742,3.762660,27.933628,3.750123,-5.000000,-0.000000,3.842284
0.020000,24.121735,3.715475,28.007630,3.650123,-5.000000,-0.000000,3.823927
0.020000,24.065473,3.670544,28.079633,3.550123,-5.000000,0.000000,3.807226
0.020000,24.010084,3.627739,28.149635,3.450123,-5.000000,-0.000000,3.791988
0.020000,23.955676,3.586945,28.217638,3.350123,-5.000000,0.000000,3.778045
0.020000,23.902345,3.548061,28.283640,3.250123,-5.000000,0.000000,3.765256
0.020000,23.850171,3.510991,28.347642,3.150123,-5.000000,0.000000,3.753499
0.020000,23.799224,3.475653,28.409645,3.050123,-5.000000,-0.000000,3.742669
0.020000,23.749570,3.441970,28.469647,2.950123,-5.000000,0.000000,3.732676
0.020000,23.701257,3.409871,28.527650,2.850123,-5.000000,0.000000,3.723440
0.020000,23.654338,3.379295,28.583652,2.750123,-5.000000,-0.000000,3.714893
0.020000,23.608855,3.350186,28.637655,2.650123,-5.000000,0.000000,3.706975
0.020000,23.564841,3.322488,28.689657,2.550123,-5.000000,0.000000,3.699633
0.020000,23.522334,3.296156,28.739660,2.450123,-5.000000,0.000000,3.692821
0.020000,23.481363,3.271146,28.787662,2.350123,-5.000000,-0.000000,3.686498
0.020000,23.441952,3.247417,28.833665,2.250123,-5.000000,0.000000,3.680627
0.020000,23.404128,3.224934,28.877667,2.150123,-5.000000,0.000000,3.675176
0.020000,23.367909,3.203663,28.919670,2.050123,-5.000000,-0.000000,3.670117
0.020000,23.333319,3.183573,28.959672,1.950123,-5.000000,0.000000,3.665425
0.020000,23.300370,3.164636,28.997674,1.850123,-5.000000,0.000000,3.661075
0.020000,23.269081,3.146826,29.033677,1.750123,-5.000000,0.000000,3.657049
0.020000,23.239466,3.130121,29.067679,1.650123,-5.000000,-0.000000,3.653328
0.020000,23.211536,3.114497,29.099682,1.550123,-5.000000,0.000000,3.649896
0.020000,23.185304,3.099937,29.129684,1.450123,-5.000000,0.000000,3.646738
0.020000,23.160780,3.086422,29.157687,1.350123,-5.000000,0.000000,3.643841
0.020000,23.137972,3.073934,29.183689,1.250123,-5.000000,-0.000000,3.641193
0.020000,23.116887,3.062460,29.207692,1.150123,-5.000000,0.000000,3.638785
0.020000,23.097539,3.051987,29.229694,1.050123,-5.000000,-0.000000,3.636607
0.020000,23.079929,3.042503,29.249697,0.950123,-5.000000,0.000000,3.634651
0.020000,23.064063,3.033996,29.267699,0.850123,-5.000000,0.000000,3.632909
0.020000,23.049946,3.026456,29.283701,0.750123,-5.000000,0.000000,3.631376
0.020000,23.037587,3.019878,29.297704,0.650123,-5.000000,-0.000000,3.630046
0.020000,23.026984,3.014251,29.309706,0.550123,-5.000000,-0.000000,3.628914
0.020000,23.018144,3.009571,29.319709,0.450123,-5.000000,0.000000,3.627977
0.020000,23.011069,3.005834,29.327711,0.350123,-5.000000,-0.000000,3.627231
0.020000,23.005759,3.003033,29.333714,0.250123,-5.000000,0.000000,3.626673
0.020000,23.002218,3.001168,29.337716,0.150123,-5.000000,-0.000000,3.626302
0.020000,23.000445,3.000234,29.339719,0.050123,-5.000000,0.000000,3.626117
0.020000,23.000001,3.000000,29.340221,0.000061,-2.503071,124.846447,3.626071
0.020000,23.000000,3.000000,29.340221,0.000000,-0.003071,125.000000,3.626071
0.020000,23.000000,3.000000,29.340221,0.000000,0.000000,0.153553,3.626071
