dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000151,11.000000,0.000595,0.059524,2.976190,148.809524,6.283064
0.020000,0.000126,11.000000,0.000620,0.001249,-2.913733,-294.496198,6.283084
0.020000,0.000077,11.000000,0.000670,0.002495,0.062275,148.800420,6.283124
0.020000,0.000002,11.000000,0.000745,0.003733,0.061911,-0.018208,6.283184
0.020000,0.009241,11.000000,0.009984,0.461944,22.910552,1142.432070,0.000078
0.020000,0.021022,11.000002,0.021765,0.589065,6.356068,-827.724193,0.000177
0.020000,0.035160,11.000005,0.035903,0.706918,5.892661,-23.170368,0.000294
0.020000,0.051656,11.000011,0.052399,0.824793,5.893747,0.054300,0.000431
0.020000,0.070510,11.000021,0.071253,0.942694,5.895038,0.064560,0.000586
0.020000,0.091723,11.000035,0.092466,1.060624,5.896488,0.072496,0.000759
0.020000,0.115294,11.000055,0.116037,1.178586,5.898104,0.080782,0.000949
0.020000,0.141226,11.000082,0.141969,1.296585,5.899949,0.092272,0.001156
0.020000,0.169519,11.000118,0.170261,1.414624,5.901960,0.100552,0.001379
0.020000,0.200173,11.000164,0.200916,1.532707,5.904130,0.108509,0.001618
0.020000,0.233189,11.000222,0.233932,1.650837,5.906504,0.118702,0.001871
0.020000,0.268570,11.000293,0.269313,1.769019,5.909081,0.128811,0.002138
0.020000,0.306315,11.000379,0.307058,1.887253,5.911709,0.131436,0.002419
0.020000,0.346425,11.000482,0.347169,2.005547,5.914735,0.151285,0.002711
0.020000,0.388903,11.000603,0.389647,2.123903,5.917784,0.152430,0.003014
0.020000,0.433750,11.000746,0.434493,2.242324,5.921035,0.162592,0.003327
0.020000,0.480966,11.000910,0.481710,2.360814,5.924489,0.172688,0.003650
0.020000,0.530553,11.001100,0.531297,2.479376,5.928143,0.182687,0.003979
0.020000,0.582513,11.001315,0.583257,2.598016,5.931991,0.192394,0.004316
0.020000,0.636847,11.001559,0.637592,2.716734,5.935888,0.194861,0.004658
0.020000,0.693557,11.001833,0.694303,2.835537,5.940144,0.212787,0.005003
0.020000,0.752645,11.002139,0.753391,2.954426,5.944476,0.216612,0.005352
0.020000,0.814112,11.002479,0.814859,3.073406,5.949004,0.226402,0.005701
0.020000,0.877960,11.002854,0.878709,3.192481,5.953729,0.236241,0.006050
0.020000,0.944192,11.003266,0.944942,3.311653,5.958609,0.244000,0.006397
0.020000,1.012809,11.003717,1.013561,3.430927,5.963679,0.253514,0.006740
0.020000,1.083814,11.004208,1.084567,3.550306,5.968935,0.262767,0.007078
0.020000,1.157207,11.004739,1.157963,3.669793,5.974378,0.272152,0.007409
0.020000,1.232993,11.005313,1.233750,3.789393,5.979979,0.280071,0.007731
0.020000,1.311173,11.005930,1.311933,3.909108,5.985774,0.289748,0.008042
0.020000,1.391749,11.006590,1.392512,4.028943,5.991753,0.298970,0.008341
0.020000,1.474724,11.007294,1.475490,4.148900,5.997861,0.305371,0.008625
0.020000,1.560100,11.008042,1.560869,4.268985,6.004240,0.318967,0.008893
0.020000,1.647881,11.008834,1.648653,4.389200,6.010731,0.324561,0.009142
0.020000,1.738068,11.009669,1.738844,4.509548,6.017412,0.334052,0.009370
0.020000,1.830665,11.010547,1.831445,4.630034,6.024284,0.343596,0.009576
0.020000,1.925673,11.011465,1.926458,4.750661,6.031343,0.352917,0.009755
0.020000,2.023097,11.012423,2.023887,4.871432,6.038580,0.361872,0.009908
0.020000,2.122939,11.013419,2.123734,4.992352,6.045973,0.369638,0.010030
0.020000,2.225203,11.014450,2.226002,5.113423,6.053585,0.380617,0.010120
0.020000,2.329890,11.015512,2.330695,5.234651,6.061359,0.388696,0.010175
0.020000,2.437005,11.016603,2.437816,5.356037,6.069320,0.398038,0.010193
0.020000,2.546551,11.017719,2.547368,5.477586,6.077465,0.407259,0.010171
0.020000,2.658532,11.018855,2.659354,5.599302,6.085796,0.416565,0.010106
0.020000,2.772950,11.020005,2.773778,5.721188,6.094313,0.425821,0.009995
0.020000,2.889809,11.021165,2.890642,5.843249,6.103019,0.435296,0.009836
0.020000,3.009113,11.022326,3.009952,5.965487,6.111905,0.444294,0.009627
0.020000,3.130866,11.023483,3.131710,6.087907,6.120987,0.454131,0.009363
0.020000,3.255071,11.024626,3.255921,6.210512,6.130254,0.463354,0.009043
0.020000,3.381732,11.025748,3.382587,6.333306,6.139708,0.472696,0.008662
0.020000,3.510853,11.026839,3.511713,6.456294,6.149396,0.484393,0.008218
0.020000,3.642438,11.027887,3.643302,6.579478,6.159202,0.490283,0.007709
0.020000,3.776492,11.028882,3.777359,6.702863,6.169256,0.502708,0.007130
0.020000,3.913018,11.029812,3.913888,6.826453,6.179509,0.512675,0.006478
0.020000,4.052020,11.030663,4.052894,6.950252,6.189949,0.521972,0.005750
0.020000,4.193504,11.031420,4.194379,7.074264,6.200569,0.531002,0.004943
0.020000,4.337472,11.032068,4.338349,7.198491,6.211385,0.540831,0.004053
0.020000,4.483930,11.032591,4.484807,7.322941,6.222489,0.555178,0.003076
0.020000,4.632882,11.032971,4.633760,7.447615,6.233683,0.559677,0.002009
0.020000,4.784332,11.033188,4.785210,7.572517,6.245132,0.572474,0.000849
0.020000,4.938285,11.033223,4.939163,7.697653,6.256789,0.582850,6.282777
0.020000,5.094745,11.033054,5.095624,7.823026,6.268627,0.591922,6.281418
0.020000,5.253718,11.032658,5.254596,7.948640,6.280743,0.605753,6.279954
0.020000,5.415206,11.032010,5.416086,8.074499,6.292948,0.610267,6.278381
0.020000,5.579216,11.031085,5.580099,8.200609,6.305493,0.627272,6.276695
0.020000,5.745751,11.029855,5.746638,8.326972,6.318114,0.631017,6.274892
0.020000,5.914815,11.028292,5.915710,8.453592,6.331013,0.644974,6.272968
0.020000,6.086414,11.026364,6.087319,8.580474,6.344087,0.653676,6.270918
0.020000,6.260551,11.024039,6.261472,8.707622,6.357415,0.666420,6.268739
0.020000,6.437230,11.021284,6.438173,8.835039,6.370869,0.672693,6.266426
0.020000,6.616456,11.018062,6.617427,8.962730,6.384559,0.684513,6.263975
0.020000,6.798232,11.014335,6.799241,9.090698,6.398391,0.691592,6.261381
0.020000,6.982561,11.010064,6.983620,9.218947,6.412459,0.703380,6.258639
0.020000,7.169448,11.005207,7.170570,9.347481,6.426669,0.710542,6.255746
0.020000,7.358894,10.999720,7.360096,9.476301,6.441018,0.717424,6.252697
0.020000,7.550904,10.993558,7.552204,9.605414,6.455632,0.730693,6.249486
0.020000,7.745478,10.986672,7.746900,9.734818,6.470201,0.728470,6.246110
0.020000,7.942620,10.979011,7.944191,9.864520,6.485091,0.744500,6.242563
0.020000,8.142330,10.970524,8.144081,9.994519,6.499959,0.743366,6.238842
0.020000,8.344609,10.961155,8.346578,10.124818,6.514951,0.749627,6.234940
0.020000,8.548849,10.950879,8.551075,10.224884,5.003318,-75.581654,6.230865
0.020000,8.753826,10.939713,8.756356,10.264053,1.958418,-152.245008,6.226640
