dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000151,8.500000,0.000595,0.059524,2.976190,148.809524,6.283064
0.020000,-0.000126,8.500000,0.000620,0.001249,-2.913733,-294.496198,6.283084
0.020000,-0.000077,8.500000,0.000670,0.002495,0.062275,148.800420,6.283124
0.020000,-0.000002,8.500000,0.000745,0.003733,0.061911,-0.018208,6.283184
0.020000,0.009435,8.500000,0.010182,0.471864,23.406565,1167.232690,0.000078
0.020000,0.021464,8.500002,0.022210,0.601411,6.477338,-846.461345,0.000177
0.020000,0.035897,8.500005,0.036643,0.721653,6.012107,-23.261547,0.000294
0.020000,0.052734,8.500011,0.053481,0.841873,6.011005,-0.055069,0.000431
0.020000,0.071975,8.500021,0.072722,0.962068,6.009745,-0.062996,0.000586
0.020000,0.093620,8.500036,0.094367,1.082234,6.008280,-0.073288,0.000759
0.020000,0.117667,8.500056,0.118414,1.202366,6.006615,-0.083212,0.000949
0.020000,0.144117,8.500084,0.144863,1.322462,6.004818,-0.089859,0.001156
0.020000,0.172967,8.500121,0.173714,1.442519,6.002823,-0.099770,0.001379
0.020000,0.204218,8.500168,0.204964,1.562531,6.000623,-0.109999,0.001618
0.020000,0.237867,8.500226,0.238614,1.682497,5.998264,-0.117936,0.001871
0.020000,0.273916,8.500299,0.274663,1.802411,5.995745,-0.125947,0.002138
0.020000,0.312361,8.500386,0.313108,1.922270,5.992914,-0.141568,0.002419
0.020000,0.353202,8.500491,0.353949,2.042072,5.990121,-0.139629,0.002711
0.020000,0.396438,8.500615,0.397186,2.161812,5.986987,-0.156730,0.003014
0.020000,0.442068,8.500759,0.442815,2.281486,5.983694,-0.164628,0.003327
0.020000,0.490089,8.500927,0.490837,2.401091,5.980243,-0.172580,0.003650
0.020000,0.540501,8.501119,0.541250,2.520623,5.976630,-0.180619,0.003979
0.020000,0.593303,8.501338,0.594051,2.640080,5.972851,-0.188940,0.004316
0.020000,0.648491,8.501586,0.649240,2.759455,5.968759,-0.204602,0.004658
0.020000,0.706065,8.501864,0.706815,2.878749,5.964668,-0.204543,0.005003
