dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,9.750000,0.000497,0.049692,2.484594,124.229703,0.000000
0.020000,0.000000,9.750000,0.002485,0.149076,4.969188,124.229703,0.000000
0.020000,0.000000,9.750000,0.006460,0.248459,4.969188,0.000000,0.000000
0.020000,0.003423,9.750000,0.012423,0.347843,4.969188,0.000000,0.000000
0.020000,0.011374,9.750000,0.020374,0.447227,4.969188,-0.000000,0.000000
0.020000,0.021312,9.750000,0.030312,0.546611,4.969188,0.000000,0.000000
0.020000,0.033238,9.750000,0.042238,0.645994,4.969188,0.000000,0.000000
0.020000,0.047152,9.750000,0.056152,0.745378,4.969188,0.000000,0.000000
0.020000,0.063053,9.750000,0.072053,0.844762,4.969188,0.000000,0.000000
0.020000,0.080942,9.750000,0.089942,0.944146,4.969188,0.000000,0.000000
0.020000,0.100819,9.750000,0.109819,1.043530,4.969188,-0.000000,0.000000
0.020000,0.122683,9.750000,0.131683,1.142913,4.969188,0.000000,0.000000
0.020000,0.146536,9.750000,0.155536,1.242297,4.969188,-0.000000,0.000000
0.020000,0.172375,9.750000,0.181375,1.341681,4.969188,0.000000,0.000000
0.020000,0.200203,9.750000,0.209203,1.441065,4.969188,-0.000000,0.000000
0.020000,0.230018,9.750000,0.239018,1.540448,4.969188,0.000000,0.000000
0.020000,0.261821,9.750000,0.270821,1.639832,4.969188,0.000000,0.000000
0.020000,0.295611,9.750000,0.304611,1.739216,4.969188,-0.000000,0.000000
0.020000,0.331389,9.750000,0.340389,1.838600,4.969188,0.000000,0.000000
0.020000,0.369155,9.750000,0.378155,1.937983,4.969188,-0.000000,0.000000
0.020000,0.408909,9.750000,0.417909,2.037367,4.969188,0.000000,0.000000
0.020000,0.450650,9.750000,0.459650,2.136751,4.969188,0.000000,0.000000
0.020000,0.494379,9.750000,0.503379,2.236135,4.969188,0.000000,0.000000
0.020000,0.540095,9.750000,0.549095,2.335518,4.969188,-0.000000,0.000000
0.020000,0.587799,9.750000,0.596799,2.434902,4.969188,0.000000,0.000000
0.020000,0.637491,9.750000,0.646491,2.534286,4.969188,0.000000,0.000000
0.020000,0.689171,9.750000,0.698171,2.633670,4.969188,0.000000,0.000000
0.020000,0.742838,9.750000,0.751838,2.733053,4.969188,0.000000,0.000000
0.020000,0.798493,9.750000,0.807493,2.832437,4.969188,-0.000000,0.000000
0.020000,0.856136,9.750000,0.865136,2.931821,4.969188,0.000000,0.000000
0.020000,0.915766,9.750000,0.924766,3.031205,4.969188,0.000000,0.000000
0.020000,0.977384,9.750000,0.986384,3.130589,4.969188,0.000000,0.000000
0.020000,1.040989,9.750000,1.049989,3.229972,4.969188,0.000000,0.000000
0.020000,1.106583,9.750000,1.115583,3.329356,4.969188,-0.000000,0.000000
0.020000,1.174164,9.750000,1.183164,3.428740,4.969188,0.000000,0.000000
0.020000,1.243732,9.750000,1.252732,3.528124,4.969188,0.000000,0.000000
0.020000,1.315289,9.750000,1.324289,3.627507,4.969188,0.000000,0.000000
0.020000,1.388833,9.750000,1.397833,3.726891,4.969188,0.000000,0.000000
0.020000,1.464364,9.750000,1.473364,3.826275,4.969188,-0.000000,0.000000
0.020000,1.541884,9.750000,1.550884,3.925659,4.969188,0.000000,0.000000
0.020000,1.621391,9.750000,1.630391,4.025042,4.969188,-0.000000,0.000000
0.020000,1.702885,9.750000,1.711885,4.124426,4.969188,0.000000,0.000000
0.020000,1.786368,9.750000,1.795368,4.223810,4.969188,-0.000000,0.000000
0.020000,1.871838,9.750000,1.880838,4.323194,4.969188,0.000000,0.000000
0.020000,1.959295,9.750000,1.968295,4.422577,4.969188,-0.000000,0.000000
0.020000,2.048741,9.750000,2.057741,4.521961,4.969188,0.000000,0.000000
0.020000,2.140174,9.750000,2.149174,4.621345,4.969188,-0.000000,0.000000
0.020000,2.233595,9.750000,2.242595,4.720729,4.969188,0.000000,0.000000
0.020000,2.329003,9.750000,2.338003,4.820112,4.969188,-0.000000,0.000000
0.020000,2.426399,9.750000,2.435399,4.919496,4.969188,0.000000,0.000000
0.020000,2.525783,9.750000,2.534783,5.018880,4.969188,-0.000000,0.000000
0.020000,2.627154,9.750000,2.636154,5.118264,4.969188,0.000000,0.000000
0.020000,2.730513,9.750000,2.739513,5.217648,4.969188,-0.000000,0.000000
0.020000,2.835860,9.750000,2.844860,5.317031,4.969188,0.000000,0.000000
0.020000,2.943195,9.750000,2.952195,5.416415,4.969188,-0.000000,0.000000
0.020000,3.052517,9.750000,3.061517,5.515799,4.969188,0.000000,0.000000
0.020000,3.163827,9.750000,3.172827,5.615183,4.969188,-0.000000,0.000000
0.020000,3.277124,9.750000,3.286124,5.714566,4.969188,0.000000,0.000000
0.020000,3.392409,9.750000,3.401409,5.813950,4.969188,-0.000000,0.000000
0.020000,3.509682,9.750000,3.518682,5.913334,4.969188,0.000000,0.000000
0.020000,3.628943,9.750000,3.637943,6.012718,4.969188,-0.000000,0.000000
0.020000,3.750191,9.750000,3.759191,6.112101,4.969188,0.000000,0.000000
0.020000,3.873427,9.750000,3.882427,6.211485,4.969188,-0.000000,0.000000
0.020000,3.998650,9.750000,4.007650,6.310869,4.969188,0.000000,0.000000
0.020000,4.125861,9.750000,4.134861,6.410253,4.969188,0.000000,0.000000
0.020000,4.255060,9.750000,4.264060,6.509636,4.969188,-0.000000,0.000000
0.020000,4.386247,9.750000,4.395247,6.609020,4.969188,0.000000,0.000000
0.020000,4.519421,9.750000,4.528421,6.708404,4.969188,-0.000000,0.000000
0.020000,4.654583,9.750000,4.663583,6.807788,4.969188,0.000000,0.000000
0.020000,4.791733,9.750000,4.800733,6.907171,4.969188,-0.000000,0.000000
0.020000,4.930870,9.750000,4.939870,7.006555,4.969188,0.000000,0.000000
0.020000,5.071995,9.750000,5.080995,7.105939,4.969188,-0.000000,0.000000
0.020000,5.215107,9.750000,5.224107,7.205323,4.969188,0.000000,0.000000
0.020000,5.360208,9.750000,5.369208,7.304707,4.969188,-0.000000,0.000000
0.020000,5.507296,9.750000,5.516296,7.404090,4.969188,0.000000,0.000000
0.020000,5.656371,9.750000,5.665371,7.503474,4.969188,-0.000000,0.000000
0.020000,5.807435,9.750000,5.816435,7.602858,4.969188,0.000000,0.000000
0.020000,5.960486,9.750000,5.969486,7.702242,4.969188,-0.000000,0.000000
0.020000,6.115524,9.750000,6.124524,7.801625,4.969188,0.000000,0.000000
0.020000,6.272551,9.750000,6.281551,7.901009,4.969188,-0.000000,0.000000
0.020000,6.431565,9.750000,6.440565,8.000393,4.969188,0.000000,0.000000
0.020000,6.592566,9.750000,6.601566,8.099777,4.969188,0.000000,0.000000
0.020000,6.754965,9.750000,6.763965,8.140051,2.013700,-147.774422,0.000000
0.020000,6.917175,9.750000,6.926175,8.080941,-2.955488,-248.459405,0.000000
0.020000,7.077800,9.750000,7.086800,7.981557,-4.969188,-100.684983,0.000000
0.020000,7.236437,9.750000,7.245437,7.882173,-4.969188,-0.000000,0.000000
0.020000,7.393086,9.750000,7.402086,7.782790,-4.969188,0.000000,0.000000
0.020000,7.547748,9.750000,7.556748,7.683406,-4.969188,-0.000000,0.000000
0.020000,7.700423,9.750000,7.709423,7.584022,-4.969188,0.000000,0.000000
0.020000,7.851109,9.750000,7.860109,7.484638,-4.969188,-0.000000,0.000000
0.020000,7.999808,9.750000,8.008808,7.385254,-4.969188,0.000000,0.000000
0.020000,8.146520,9.750000,8.155520,7.285871,-4.969188,-0.000000,0.000000
0.020000,8.291243,9.750000,8.300243,7.186487,-4.969188,0.000000,0.000000
0.020000,8.433979,9.750000,8.442979,7.087103,-4.969188,-0.000000,0.000000
0.020000,8.574727,9.750000,8.583727,6.987719,-4.969188,0.000000,0.000000
0.020000,8.713488,9.750000,8.722488,6.888336,-4.969188,-0.000000,0.000000
0.020000,8.850261,9.750000,8.859261,6.788952,-4.969188,0.000000,0.000000
0.020000,8.985046,9.750000,8.994046,6.689568,-4.969188,0.000000,0.000000
0.020000,9.112066,9.753445,9.126843,6.590184,-4.969188,0.000000,0.062781
0.020000,9.242135,9.766979,9.257653,6.490801,-4.969188,-0.000000,0.146527
0.020000,9.368529,9.791623,9.386475,6.391417,-4.969188,0.000000,0.240485
0.020000,9.489972,9.828012,9.513310,6.292033,-4.969188,-0.000000,0.343302
0.020000,9.605044,9.876279,9.638157,6.192649,-4.969188,0.000000,0.451949
0.020000,9.712400,9.935892,9.761016,6.093266,-4.969188,-0.000000,0.561927
0.020000,9.811049,10.005639,9.881887,5.993882,-4.969188,0.000000,0.668190
0.020000,9.900549,10.083816,10.000771,5.894498,-4.969188,0.000000,0.766392
0.020000,9.981045,10.168529,10.117667,5.795114,-4.969188,-0.000000,0.853746
0.020000,10.053144,10.257969,10.232576,5.695731,-4.969188,0.000000,0.929149
0.020000,10.117726,10.350575,10.345496,5.596347,-4.969188,-0.000000,0.992773
0.020000,10.175785,10.445087,10.456430,5.496963,-4.969188,0.000000,1.045519
0.020000,10.228304,10.540528,10.565375,5.397579,-4.969188,-0.000000,1.088579
0.020000,10.276199,10.636157,10.672333,5.298195,-4.969188,0.000000,1.123165
0.020000,10.320290,10.731414,10.777303,5.198812,-4.969188,-0.000000,1.150377
0.020000,10.361298,10.825878,10.880285,5.099428,-4.969188,0.000000,1.171154
0.020000,10.399850,10.919224,10.981280,5.000044,-4.969188,-0.000000,1.186268
0.020000,10.436492,11.011201,11.080287,4.900660,-4.969188,0.000000,1.196334
0.020000,10.471699,11.101607,11.177306,4.801277,-4.969188,-0.000000,1.201838
0.020000,10.505883,11.190277,11.272338,4.701893,-4.969188,0.000000,1.203152
0.020000,10.539410,11.277071,11.365382,4.602509,-4.969188,-0.000000,1.200552
0.020000,10.572599,11.361863,11.456438,4.503125,-4.969188,0.000000,1.194242
0.020000,10.605734,11.444539,11.545507,4.403742,-4.969188,-0.000000,1.184358
0.020000,10.639067,11.524987,11.632588,4.304358,-4.969188,0.000000,1.170990
0.020000,10.672821,11.603098,11.717681,4.204974,-4.969188,-0.000000,1.154187
0.020000,10.707192,11.678761,11.800787,4.105590,-4.969188,0.000000,1.133971
