dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,8.415000,0.000397,0.039705,1.985253,99.262634,0.000000
0.020000,0.000000,8.415000,0.000397,0.000000,-1.985253,-198.525268,0.000000
0.020000,0.000000,8.415000,0.000397,0.000000,0.000000,99.262634,0.000000
0.020000,0.000926,8.415000,0.001323,0.046313,2.315658,115.782923,0.000000
0.020000,0.007279,8.415000,0.007676,0.317640,13.566363,562.535224,0.000000
0.020000,0.015220,8.415000,0.015617,0.397051,3.970505,-479.792880,0.000000
0.020000,0.024749,8.415000,0.025146,0.476461,3.970505,0.000000,0.000000
0.020000,0.035867,8.415000,0.036264,0.555871,3.970505,-0.000000,0.000000
0.020000,0.048572,8.415000,0.048969,0.635281,3.970505,0.000000,0.000000
0.020000,0.062866,8.415000,0.063263,0.714691,3.970505,-0.000000,0.000000
0.020000,0.078748,8.415000,0.079145,0.794101,3.970505,-0.000000,0.000000
0.020000,0.096218,8.415000,0.096615,0.873511,3.970505,0.000000,0.000000
0.020000,0.115277,8.415000,0.115674,0.952921,3.970505,-0.000000,0.000000
0.020000,0.135923,8.415000,0.136320,1.032331,3.970505,0.000000,0.000000
0.020000,0.158158,8.415000,0.158555,1.111741,3.970505,-0.000000,0.000000
0.020000,0.181981,8.415000,0.182378,1.191152,3.970505,0.000000,0.000000
0.020000,0.207393,8.415000,0.207790,1.270562,3.970505,0.000000,0.000000
0.020000,0.234392,8.415000,0.234789,1.349972,3.970505,-0.000000,0.000000
0.020000,0.262980,8.415000,0.263377,1.429382,3.970505,0.000000,0.000000
0.020000,0.293155,8.415000,0.293553,1.508792,3.970505,-0.000000,0.000000
0.020000,0.324920,8.415000,0.325317,1.588202,3.970505,-0.000000,0.000000
0.020000,0.358272,8.415000,0.358669,1.667612,3.970505,0.000000,0.000000
0.020000,0.393212,8.415000,0.393609,1.747022,3.970505,-0.000000,0.000000
0.020000,0.429741,8.415000,0.430138,1.826432,3.970505,0.000000,0.000000
0.020000,0.467858,8.415000,0.468255,1.905843,3.970505,0.000000,0.000000
0.020000,0.507563,8.415000,0.507960,1.985253,3.970505,0.000000,0.000000
0.020000,0.548856,8.415000,0.549253,2.064663,3.970505,-0.000000,0.000000
0.020000,0.591737,8.415000,0.592135,2.144073,3.970505,0.000000,0.000000
0.020000,0.636207,8.415000,0.636604,2.223483,3.970505,-0.000000,0.000000
0.020000,0.682265,8.415000,0.682662,2.302893,3.970505,0.000000,0.000000
0.020000,0.729911,8.415000,0.730308,2.382303,3.970505,0.000000,0.000000
0.020000,0.779145,8.415000,0.779542,2.461713,3.970505,-0.000000,0.000000
0.020000,0.829968,8.415000,0.830365,2.541123,3.970505,0.000000,0.000000
0.020000,0.882378,8.415000,0.882776,2.620534,3.970505,-0.000000,0.000000
0.020000,0.936377,8.415000,0.936774,2.699944,3.970505,-0.000000,0.000000
0.020000,0.991964,8.415000,0.992361,2.779354,3.970505,0.000000,0.000000
0.020000,1.049140,8.415000,1.049537,2.858764,3.970505,-0.000000,0.000000
0.020000,1.107903,8.415000,1.108300,2.938174,3.970505,0.000000,0.000000
0.020000,1.168255,8.415000,1.168652,3.017584,3.970505,0.000000,0.000000
0.020000,1.230195,8.415000,1.230592,3.096994,3.970505,-0.000000,0.000000
0.020000,1.293723,8.415000,1.294120,3.176404,3.970505,-0.000000,0.000000
0.020000,1.358839,8.415000,1.359236,3.255814,3.970505,0.000000,0.000000
0.020000,1.425544,8.415000,1.425941,3.335224,3.970505,-0.000000,0.000000
0.020000,1.493836,8.415000,1.494233,3.414635,3.970505,0.000000,0.000000
0.020000,1.563717,8.415000,1.564114,3.494045,3.970505,0.000000,0.000000
0.020000,1.635186,8.415000,1.635583,3.573455,3.970505,-0.000000,0.000000
0.020000,1.708244,8.415000,1.708641,3.652865,3.970505,0.000000,0.000000
0.020000,1.782889,8.415000,1.783286,3.732275,3.970505,0.000000,0.000000
0.020000,1.859123,8.415000,1.859520,3.811685,3.970505,-0.000000,0.000000
0.020000,1.936945,8.415000,1.937342,3.891095,3.970505,0.000000,0.000000
0.020000,2.016355,8.415000,2.016752,3.970505,3.970505,-0.000000,0.000000
0.020000,2.097353,8.415000,2.097750,4.049915,3.970505,0.000000,0.000000
0.020000,2.179940,8.415000,2.180337,4.129326,3.970505,-0.000000,0.000000
0.020000,2.264114,8.415000,2.264511,4.208736,3.970505,0.000000,0.000000
0.020000,2.349877,8.415000,2.350274,4.288146,3.970505,0.000000,0.000000
0.020000,2.437228,8.415000,2.437625,4.367556,3.970505,-0.000000,0.000000
0.020000,2.526168,8.415000,2.526565,4.446966,3.970505,0.000000,0.000000
0.020000,2.616695,8.415000,2.617092,4.526376,3.970505,-0.000000,0.000000
0.020000,2.708811,8.415000,2.709208,4.605786,3.970505,0.000000,0.000000
0.020000,2.802515,8.415000,2.802912,4.685196,3.970505,0.000000,0.000000
0.020000,2.897807,8.415000,2.898204,4.764606,3.970505,0.000000,0.000000
0.020000,2.994687,8.415000,2.995084,4.844017,3.970505,-0.000000,0.000000
0.020000,3.093156,8.415000,3.093553,4.923427,3.970505,0.000000,0.000000
0.020000,3.193213,8.415000,3.193610,5.002837,3.970505,0.000000,0.000000
0.020000,3.294858,8.415000,3.295255,5.082247,3.970505,-0.000000,0.000000
0.020000,3.398091,8.415000,3.398488,5.161657,3.970505,0.000000,0.000000
0.020000,3.502912,8.415000,3.503309,5.241067,3.970505,-0.000000,0.000000
0.020000,3.609322,8.415000,3.609719,5.320477,3.970505,0.000000,0.000000
0.020000,3.717319,8.415000,3.717716,5.399887,3.970505,-0.000000,0.000000
0.020000,3.826905,8.415000,3.827302,5.479297,3.970505,0.000000,0.000000
0.020000,3.938079,8.415000,3.938476,5.558707,3.970505,-0.000000,0.000000
0.020000,4.050842,8.415000,4.051239,5.638118,3.970505,0.000000,0.000000
0.020000,4.165192,8.415000,4.165589,5.717528,3.970505,-0.000000,0.000000
0.020000,4.281131,8.415000,4.281528,5.796938,3.970505,0.000000,0.000000
0.020000,4.398658,8.415000,4.399055,5.876348,3.970505,-0.000000,0.000000
0.020000,4.517773,8.415000,4.518170,5.955758,3.970505,0.000000,0.000000
0.020000,4.638477,8.415000,4.638874,6.035168,3.970505,-0.000000,0.000000
0.020000,4.760768,8.415000,4.761165,6.114578,3.970505,0.000000,0.000000
0.020000,4.884648,8.415000,4.885045,6.193988,3.970505,0.000000,0.000000
0.020000,5.010116,8.415000,5.010513,6.273398,3.970505,-0.000000,0.000000
0.020000,5.137172,8.415000,5.137569,6.352809,3.970505,0.000000,0.000000
0.020000,5.265816,8.415000,5.266213,6.432219,3.970505,0.000000,0.000000
0.020000,5.396049,8.415000,5.396446,6.511629,3.970505,-0.000000,0.000000
0.020000,5.527870,8.415000,5.528267,6.591039,3.970505,-0.000000,0.000000
0.020000,5.661279,8.415000,5.661676,6.670449,3.970505,0.000000,0.000000
0.020000,5.796276,8.415000,5.796673,6.749859,3.970505,0.000000,0.000000
0.020000,5.932861,8.415000,5.933258,6.829269,3.970505,-0.000000,0.000000
0.020000,6.071035,8.415000,6.071432,6.908679,3.970505,0.000000,0.000000
0.020000,6.210797,8.415000,6.211194,6.988089,3.970505,-0.000000,0.000000
0.020000,6.352147,8.415000,6.352544,7.067500,3.970505,0.000000,0.000000
0.020000,6.495085,8.415000,6.495482,7.146910,3.970505,-0.000000,0.000000
0.020000,6.639611,8.415000,6.640008,7.226320,3.970505,0.000000,0.000000
0.020000,6.785080,8.415000,6.785477,7.273455,2.356748,-80.687878,0.000000
0.020000,6.930053,8.415000,6.930450,7.248609,-1.242262,-179.950512,0.000000
0.020000,7.073585,8.415000,7.073982,7.176629,-3.599010,-117.837390,0.000000
0.020000,7.215529,8.415000,7.215927,7.097219,-3.970505,-18.574756,0.000000
0.020000,7.355886,8.415000,7.356283,7.017809,-3.970505,-0.000000,0.000000
0.020000,7.494654,8.415000,7.495051,6.938399,-3.970505,0.000000,0.000000
0.020000,7.631833,8.415000,7.632230,6.858989,-3.970505,0.000000,0.000000
0.020000,7.767425,8.415000,7.767822,6.779579,-3.970505,-0.000000,0.000000
0.020000,7.901428,8.415000,7.901825,6.700169,-3.970505,-0.000000,0.000000
0.020000,8.033844,8.415000,8.034241,6.620758,-3.970505,0.000000,0.000000
0.020000,8.164670,8.415000,8.165068,6.541348,-3.970505,-0.000000,0.000000
0.020000,8.293909,8.415000,8.294306,6.461938,-3.970505,0.000000,0.000000
0.020000,8.421560,8.415000,8.421957,6.382528,-3.970505,-0.000000,0.000000
0.020000,8.547622,8.415000,8.548019,6.303118,-3.970505,-0.000000,0.000000
0.020000,8.672096,8.415000,8.672493,6.223708,-3.970505,0.000000,0.000000
0.020000,8.794982,8.415000,8.795379,6.144298,-3.970505,-0.000000,0.000000
0.020000,8.916280,8.415000,8.916677,6.064888,-3.970505,0.000000,0.000000
0.020000,9.051876,8.415418,9.052274,6.779828,35.747024,1985.876446,0.016176
0.020000,9.261348,8.425917,9.262008,10.486724,185.344786,7479.888129,0.084832
0.020000,9.478878,8.452783,9.481191,10.959166,23.622105,-8086.134035,0.161763
0.020000,9.702513,8.499024,9.709557,11.418254,22.954411,-33.384724,0.246774
0.020000,9.928581,8.567096,9.945651,11.804726,19.323608,-181.540164,0.338775
0.020000,10.151680,8.658019,10.186567,12.045777,12.052518,-363.554508,0.435585
0.020000,10.365389,8.770578,10.428106,12.076969,1.559592,-524.646300,0.534055
0.020000,10.563601,8.901121,10.665444,11.866903,-10.503274,-603.143263,0.630563
0.020000,10.741917,9.044249,10.894097,11.432656,-21.712377,-560.455181,0.721746
0.020000,10.898384,9.194077,11.110731,10.831678,-30.048895,-416.825867,0.805102
0.020000,11.033334,9.345401,11.313488,10.137843,-34.691733,-232.141909,0.879241
0.020000,11.148653,9.494325,11.501841,9.417679,-36.008177,-65.822222,0.943771
0.020000,11.246963,9.638326,11.676201,8.717971,-34.985439,51.136936,0.999000
0.020000,11.331011,9.775999,11.837502,8.065050,-32.646021,116.970858,1.045631
0.020000,11.403333,9.906715,11.986890,7.469423,-29.781340,143.234077,1.084525
0.020000,11.466110,10.030324,12.125527,6.931836,-26.879353,145.099325,1.116552
0.020000,11.521147,10.146944,12.254482,6.447751,-24.204256,133.754879,1.142515
0.020000,11.569909,10.256821,12.374693,6.010538,-21.860655,117.180046,1.163116
0.020000,11.613570,10.360240,12.486951,5.612904,-19.881731,98.946212,1.178949
0.020000,11.653067,10.457487,12.591912,5.248061,-18.242110,81.981016,1.190506
0.020000,11.689142,10.548817,12.690108,4.909822,-16.911985,66.506283,1.198184
0.020000,11.722384,10.634448,12.781965,4.592855,-15.848312,53.183641,1.202304
0.020000,11.753255,10.714557,12.867817,4.292589,-15.013324,41.749371,1.203115
0.020000,11.782114,10.789281,12.947920,4.005163,-14.371276,32.102445,1.200810
0.020000,11.809235,10.858719,13.022467,3.727330,-13.891688,23.979385,1.195532
0.020000,11.834815,10.922940,13.091595,3.456377,-13.547615,17.203627,1.187384
0.020000,11.858987,10.981985,13.155397,3.190099,-13.313926,11.684482,1.176437
0.020000,11.881829,11.035879,13.213931,2.926699,-13.169992,7.196701,1.162734
0.020000,11.903363,11.084632,13.267228,2.664847,-13.092589,3.870108,1.146298
0.020000,11.923563,11.128255,13.315301,2.403652,-13.059747,1.642116,1.127139
0.020000,11.942363,11.166764,13.358154,2.142681,-13.048586,0.558075,1.105259
0.020000,11.959656,11.200198,13.395795,1.882049,-13.031578,0.850371,1.080665
0.020000,11.975303,11.228624,13.428244,1.622419,-12.981520,2.502922,1.053371
0.020000,11.989146,11.252158,13.455546,1.365131,-12.864381,5.856948,1.023412
0.020000,12.001015,11.270970,13.477789,1.112158,-12.648639,10.787070,0.990853
0.020000,12.010746,11.285302,13.495114,0.866210,-12.297401,17.561908,0.955798
0.020000,12.018200,11.295475,13.507725,0.630582,-11.781394,25.800359,0.918404
0.020000,12.023283,11.301887,13.515907,0.409094,-11.074432,35.348100,0.878880
