dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500027,11.085000,0.000398,0.039836,1.991809,99.590475,6.283165
0.020000,4.500018,11.085000,0.000408,0.000474,-1.968119,-197.996445,6.283172
0.020000,4.500178,11.085000,0.000568,0.007989,0.375759,117.193930,0.000001
0.020000,4.504930,11.085000,0.005320,0.237601,11.480609,555.242466,0.000022
0.020000,4.511266,11.085000,0.011656,0.316808,3.960336,-376.013644,0.000050
0.020000,4.519186,11.085001,0.019576,0.396020,3.960607,0.013559,0.000085
0.020000,4.528691,11.085002,0.029081,0.475239,3.960946,0.016948,0.000127
0.020000,4.539780,11.085004,0.040170,0.554466,3.961353,0.020338,0.000176
0.020000,4.552454,11.085006,0.052844,0.633703,3.961827,0.023727,0.000231
0.020000,4.566713,11.085010,0.067103,0.712950,3.962369,0.027118,0.000292
0.020000,4.582558,11.085015,0.082948,0.792209,3.962980,0.030507,0.000360
0.020000,4.599987,11.085022,0.100377,0.871483,3.963658,0.033897,0.000433
0.020000,4.619003,11.085031,0.119393,0.950771,3.964403,0.037286,0.000513
0.020000,4.639604,11.085042,0.139994,1.030075,3.965217,0.040677,0.000598
0.020000,4.661792,11.085057,0.162182,1.109397,3.966098,0.044066,0.000688
0.020000,4.685567,11.085074,0.185957,1.188738,3.967047,0.047458,0.000783
0.020000,4.710929,11.085095,0.211319,1.268099,3.968064,0.050845,0.000883
0.020000,4.737878,11.085120,0.238268,1.347482,3.969149,0.054237,0.000987
0.020000,4.766416,11.085150,0.266806,1.426888,3.970301,0.057623,0.001095
0.020000,4.796543,11.085185,0.296933,1.506319,3.971522,0.061017,0.001207
0.020000,4.828258,11.085225,0.328648,1.585775,3.972810,0.064406,0.001322
0.020000,4.861563,11.085271,0.361953,1.665258,3.974166,0.067790,0.001439
0.020000,4.896458,11.085323,0.396849,1.744770,3.975589,0.071189,0.001560
0.020000,4.932945,11.085382,0.433335,1.824312,3.977081,0.074574,0.001682
0.020000,4.971022,11.085449,0.471413,1.903884,3.978640,0.077959,0.001805
0.020000,5.010692,11.085523,0.511082,1.983490,3.980267,0.081357,0.001930
0.020000,5.051955,11.085605,0.552345,2.063129,3.981962,0.084742,0.002055
0.020000,5.094810,11.085696,0.595201,2.142803,3.983725,0.088126,0.002180
0.020000,5.139261,11.085796,0.639651,2.222515,3.985555,0.091526,0.002305
0.020000,5.185306,11.085905,0.685697,2.302264,3.987453,0.094909,0.002428
0.020000,5.232947,11.086023,0.733338,2.382052,3.989419,0.098298,0.002550
0.020000,5.282184,11.086152,0.782575,2.461881,3.991453,0.101689,0.002669
0.020000,5.333019,11.086290,0.833410,2.541752,3.993555,0.105075,0.002785
0.020000,5.385452,11.086439,0.885844,2.621667,3.995724,0.108470,0.002898
0.020000,5.439484,11.086599,0.939876,2.701626,3.997961,0.111852,0.003006
0.020000,5.495117,11.086769,0.995509,2.781631,4.000266,0.115248,0.003110
0.020000,5.552350,11.086950,1.052742,2.861684,4.002639,0.118631,0.003208
0.020000,5.611186,11.087141,1.111578,2.941786,4.005079,0.122026,0.003299
0.020000,5.671624,11.087343,1.172017,3.021937,4.007587,0.125409,0.003383
0.020000,5.733666,11.087556,1.234060,3.102141,4.010163,0.128803,0.003459
0.020000,5.797314,11.087778,1.297708,3.182397,4.012807,0.132190,0.003526
0.020000,5.862568,11.088010,1.362962,3.262707,4.015519,0.135580,0.003584
0.020000,5.929429,11.088251,1.429823,3.343073,4.018298,0.138970,0.003632
0.020000,5.997898,11.088501,1.498293,3.423496,4.021145,0.142358,0.003668
0.020000,6.067977,11.088759,1.568373,3.503977,4.024060,0.145750,0.003692
0.020000,6.139667,11.089024,1.640063,3.584518,4.027043,0.149139,0.003703
0.020000,6.212969,11.089296,1.713365,3.665120,4.030094,0.152530,0.003700
0.020000,6.287884,11.089572,1.788281,3.745784,4.033212,0.155921,0.003682
0.020000,6.364414,11.089853,1.864811,3.826512,4.036398,0.159311,0.003649
0.020000,6.442560,11.090136,1.942957,3.907305,4.039652,0.162704,0.003599
0.020000,6.522322,11.090421,2.022721,3.988165,4.042974,0.166093,0.003531
0.020000,6.603704,11.090705,2.104103,4.069092,4.046364,0.169486,0.003444
0.020000,6.686705,11.090986,2.187104,4.150088,4.049821,0.172877,0.003337
0.020000,6.771328,11.091263,2.271727,4.231155,4.053347,0.176270,0.003209
0.020000,6.857573,11.091534,2.357973,4.312294,4.056940,0.179663,0.003060
