dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,9.750000,0.000398,0.039836,1.991809,99.590475,6.283165
0.020000,4.500000,9.750000,0.001992,0.119509,3.983619,99.590475,6.283172
0.020000,4.500179,9.750000,0.005179,0.199181,3.983619,0.000000,0.000001
0.020000,4.504959,9.750000,0.009959,0.278853,3.983619,0.000000,0.000022
0.020000,4.511333,9.750000,0.016333,0.358526,3.983619,0.000000,0.000050
0.020000,4.519300,9.750001,0.024300,0.438198,3.983619,-0.000000,0.000085
0.020000,4.528861,9.750002,0.033861,0.517870,3.983619,0.000000,0.000127
0.020000,4.540015,9.750004,0.045015,0.597543,3.983619,0.000000,0.000176
0.020000,4.552762,9.750006,0.057762,0.677215,3.983619,-0.000000,0.000231
0.020000,4.567104,9.750010,0.072104,0.756888,3.983619,0.000000,0.000292
0.020000,4.583038,9.750015,0.088038,0.836560,3.983619,0.000000,0.000360
0.020000,4.600566,9.750022,0.105566,0.916232,3.983619,-0.000000,0.000433
0.020000,4.619687,9.750031,0.124687,0.995905,3.983619,0.000000,0.000513
0.020000,4.640402,9.750043,0.145402,1.075577,3.983619,-0.000000,0.000598
0.020000,4.662710,9.750057,0.167710,1.155250,3.983619,0.000000,0.000688
0.020000,4.686612,9.750074,0.191612,1.234922,3.983619,-0.000000,0.000783
0.020000,4.712107,9.750096,0.217107,1.314594,3.983619,0.000000,0.000883
0.020000,4.739196,9.750121,0.244196,1.394267,3.983619,0.000000,0.000987
0.020000,4.767878,9.750151,0.272878,1.473939,3.983619,-0.000000,0.001095
0.020000,4.798153,9.750186,0.303153,1.553611,3.983619,0.000000,0.001207
0.020000,4.830022,9.750226,0.335022,1.633284,3.983619,-0.000000,0.001322
0.020000,4.863485,9.750272,0.368485,1.712956,3.983619,0.000000,0.001439
0.020000,4.898540,9.750325,0.403541,1.792629,3.983619,0.000000,0.001560
0.020000,4.935190,9.750384,0.440190,1.872301,3.983619,0.000000,0.001682
0.020000,4.973432,9.750451,0.478433,1.951973,3.983619,-0.000000,0.001805
0.020000,5.013268,9.750525,0.518269,2.031646,3.983619,0.000000,0.001930
0.020000,5.054698,9.750608,0.559698,2.111318,3.983619,0.000000,0.002055
0.020000,5.097721,9.750699,0.602722,2.190990,3.983619,0.000000,0.002180
0.020000,5.142337,9.750799,0.647338,2.270663,3.983619,-0.000000,0.002305
0.020000,5.188547,9.750908,0.693548,2.350335,3.983619,0.000000,0.002428
0.020000,5.236351,9.751027,0.741351,2.430008,3.983619,0.000000,0.002550
0.020000,5.285747,9.751156,0.790748,2.509680,3.983619,-0.000000,0.002669
0.020000,5.336737,9.751295,0.841739,2.589352,3.983619,0.000000,0.002785
0.020000,5.389321,9.751445,0.894322,2.669025,3.983619,0.000000,0.002898
0.020000,5.443498,9.751605,0.948500,2.748697,3.983619,0.000000,0.003006
0.020000,5.499268,9.751776,1.004270,2.828369,3.983619,-0.000000,0.003110
0.020000,5.556632,9.751957,1.061634,2.908042,3.983619,0.000000,0.003208
0.020000,5.615589,9.752149,1.120592,2.987714,3.983619,-0.000000,0.003299
0.020000,5.676140,9.752351,1.181143,3.067387,3.983619,0.000000,0.003383
0.020000,5.738284,9.752564,1.243287,3.147059,3.983619,0.000000,0.003459
0.020000,5.802022,9.752786,1.307025,3.226731,3.983619,0.000000,0.003526
0.020000,5.867353,9.753019,1.372357,3.306404,3.983619,0.000000,0.003584
0.020000,5.934277,9.753260,1.439282,3.386076,3.983619,-0.000000,0.003632
0.020000,6.002795,9.753510,1.507800,3.465749,3.983619,0.000000,0.003668
0.020000,6.072906,9.753768,1.577911,3.545421,3.983619,0.000000,0.003692
0.020000,6.144611,9.754034,1.649617,3.625093,3.983619,-0.000000,0.003703
0.020000,6.217909,9.754305,1.722915,3.704766,3.983619,0.000000,0.003700
0.020000,6.292800,9.754581,1.797807,3.784438,3.983619,-0.000000,0.003682
0.020000,6.369285,9.754862,1.874293,3.864110,3.983619,-0.000000,0.003649
0.020000,6.447364,9.755145,1.952372,3.943783,3.983619,0.000000,0.003599
0.020000,6.527036,9.755429,2.032044,4.023455,3.983619,-0.000000,0.003531
0.020000,6.608301,9.755713,2.113310,4.103128,3.983619,-0.000000,0.003444
0.020000,6.691160,9.755994,2.196169,4.182800,3.983619,0.000000,0.003337
0.020000,6.775612,9.756270,2.280622,4.262472,3.983619,-0.000000,0.003209
0.020000,6.861658,9.756540,2.366668,4.342145,3.983619,0.000000,0.003060
0.020000,6.949297,9.756801,2.454308,4.421817,3.983619,0.000000,0.002887
0.020000,7.038530,9.757050,2.543541,4.501489,3.983619,-0.000000,0.002690
0.020000,7.129356,9.757284,2.634367,4.581162,3.983619,0.000000,0.002468
0.020000,7.221776,9.757501,2.726787,4.660834,3.983619,0.000000,0.002219
0.020000,7.315789,9.757697,2.820801,4.740507,3.983619,-0.000000,0.001943
0.020000,7.411395,9.757868,2.916407,4.820179,3.983619,0.000000,0.001638
0.020000,7.508596,9.758011,3.013608,4.899851,3.983619,-0.000000,0.001303
0.020000,7.607389,9.758122,3.112402,4.979524,3.983619,-0.000000,0.000936
0.020000,7.707777,9.758196,3.212789,5.059196,3.983619,0.000000,0.000537
0.020000,7.809757,9.758229,3.314769,5.138868,3.983619,-0.000000,0.000104
0.020000,7.913331,9.758216,3.418343,5.218541,3.983619,0.000000,6.282821
0.020000,8.018499,9.758151,3.523511,5.298213,3.983619,0.000000,6.282317
0.020000,8.125260,9.758030,3.630272,5.377886,3.983619,-0.000000,6.281774
0.020000,8.233614,9.757846,3.738626,5.457558,3.983619,0.000000,6.281193
0.020000,8.343562,9.757593,3.848574,5.537230,3.983619,0.000000,6.280571
0.020000,8.455102,9.757265,3.960116,5.616903,3.983619,-0.000000,6.279906
0.020000,8.568236,9.756854,4.073250,5.696575,3.983619,0.000000,6.279199
0.020000,8.682964,9.756354,4.187979,5.776248,3.983619,0.000000,6.278447
0.020000,8.799284,9.755756,4.304300,5.855920,3.983619,-0.000000,6.277648
0.020000,8.917197,9.755054,4.422215,5.935592,3.983619,0.000000,6.276802
0.020000,9.036703,9.754238,4.541724,6.015265,3.983619,0.000000,6.275906
0.020000,9.157801,9.753300,4.662826,6.094937,3.983619,-0.000000,6.274960
0.020000,9.280492,9.752230,4.785521,6.174609,3.983619,0.000000,6.273961
0.020000,9.404775,9.751018,4.909810,6.254282,3.983619,-0.000000,6.272909
0.020000,9.517126,9.749787,5.035693,6.333954,3.983619,0.000000,6.269392
0.020000,9.644560,9.746713,5.163169,6.413627,3.983619,0.000000,6.248442
0.020000,9.773487,9.740759,5.292238,6.493299,3.983619,-0.000000,6.225299
0.020000,9.903826,9.731552,5.422901,6.572971,3.983619,0.000000,6.199629
0.020000,10.035447,9.718663,5.555157,6.652644,3.983619,0.000000,6.171036
0.020000,10.168199,9.701595,5.689006,6.732316,3.983619,-0.000000,6.139052
0.020000,10.301863,9.679780,5.824449,6.811988,3.983619,0.000000,6.103129
0.020000,10.436159,9.652566,5.961486,6.891661,3.983619,0.000000,6.062627
0.020000,10.570703,9.619208,6.100116,6.971333,3.983619,-0.000000,6.016823
0.020000,10.704985,9.578871,6.240339,7.051006,3.983619,0.000000,5.964924
0.020000,10.838324,9.530634,6.382156,7.130678,3.983619,0.000000,5.906120
0.020000,10.969367,9.473748,6.525042,7.157928,1.362515,-131.055205,5.839940
0.020000,11.095904,9.407989,6.667676,7.105506,-2.621104,-199.180949,5.766697
0.020000,11.215925,9.333467,6.808990,7.025834,-3.983619,-68.125745,5.687295
0.020000,11.328158,9.250318,6.948710,6.946161,-3.983619,0.000000,5.602967
0.020000,11.431631,9.158884,7.086836,6.866489,-3.983619,0.000000,5.515473
0.020000,11.525556,9.059855,7.223369,6.786817,-3.983619,0.000000,5.427094
0.020000,11.609448,8.954218,7.358309,6.707144,-3.983619,0.000000,5.340312
0.020000,11.683188,8.843162,7.491655,6.627472,-3.983619,-0.000000,5.257415
0.020000,11.747025,8.727945,7.623408,6.547800,-3.983619,0.000000,5.180175
0.020000,11.801513,8.609770,7.753567,6.468127,-3.983619,0.000000,5.109694
0.020000,11.847413,8.489700,7.882133,6.388455,-3.983619,-0.000000,5.046437
0.020000,11.885596,8.368622,8.009105,6.308782,-3.983619,0.000000,4.990368
0.020000,11.916959,8.247243,8.134484,6.229110,-3.983619,0.000000,4.941124
0.020000,11.942374,8.126104,8.258270,6.149438,-3.983619,-0.000000,4.898163
0.020000,11.962651,8.005614,8.380462,6.069765,-3.983619,0.000000,4.860877
0.020000,11.978525,7.886070,8.501060,5.990093,-3.983619,0.000000,4.828658
0.020000,11.990652,7.767687,8.620065,5.910421,-3.983619,0.000000,4.800938
0.020000,11.999613,7.650621,8.737477,5.830748,-3.983619,0.000000,4.777206
0.020000,12.005918,7.534976,8.853295,5.751076,-3.983619,0.000000,4.757015
0.020000,12.010016,7.420826,8.967520,5.671403,-3.983619,-0.000000,4.739979
0.020000,12.012300,7.308219,9.080151,5.591731,-3.983619,0.000000,4.725768
0.020000,12.013117,7.197185,9.191189,5.512059,-3.983619,-0.000000,4.714103
0.020000,12.012774,7.087741,9.300634,5.432386,-3.983619,0.000000,4.704747
0.020000,12.011542,6.979897,9.408485,5.352714,-3.983619,0.000000,4.697503
0.020000,12.009663,6.873656,9.514742,5.273041,-3.983619,-0.000000,4.692206
0.020000,12.007353,6.769018,9.619406,5.193369,-3.983619,0.000000,4.688718
0.020000,12.004807,6.665978,9.722477,5.113697,-3.983619,0.000000,4.686925
0.020000,12.002201,6.564535,9.823954,5.034024,-3.983619,0.000000,4.686735
0.020000,11.999693,6.464682,9.923838,4.954352,-3.983619,0.000000,4.688071
0.020000,11.997428,6.366418,10.022128,4.874680,-3.983619,0.000000,4.690874
0.020000,11.995540,6.269739,10.118825,4.795007,-3.983619,-0.000000,4.695096
0.020000,11.994151,6.174646,10.213929,4.715335,-3.983619,0.000000,4.700702
0.020000,11.993372,6.081140,10.307439,4.635662,-3.983619,0.000000,4.707666
0.020000,11.993308,5.989223,10.399355,4.555990,-3.983619,-0.000000,4.715970
0.020000,11.994055,5.898904,10.489678,4.476318,-3.983619,0.000000,4.725606
0.020000,11.995703,5.810190,10.578408,4.396645,-3.983619,-0.000000,4.736569
0.020000,11.998334,5.723094,10.665544,4.316973,-3.983619,0.000000,4.748860
0.020000,12.002024,5.637631,10.751087,4.237301,-3.983619,0.000000,4.762483
0.020000,12.006843,5.553821,10.835036,4.157628,-3.983619,0.000000,4.777446
0.020000,12.012856,5.471686,10.917392,4.077956,-3.983619,0.000000,4.793756
0.020000,12.020119,5.391252,10.998154,3.998283,-3.983619,-0.000000,4.811422
0.020000,12.028684,5.312549,11.077323,3.918611,-3.983619,0.000000,4.830448
0.020000,12.038595,5.235610,11.154899,3.838939,-3.983619,0.000000,4.850835
0.020000,12.049887,5.160473,11.230881,3.759266,-3.983619,0.000000,4.872580
