dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.499973,8.415000,0.000398,0.039836,1.991809,99.590475,6.283165
0.020000,4.499982,8.415000,0.000408,0.000474,-1.968119,-197.996445,6.283172
0.020000,4.500180,8.415000,0.000605,0.009881,0.470384,121.925171,0.000001
0.020000,4.504988,8.415000,0.005414,0.240433,11.527582,552.859897,0.000022
0.020000,4.511400,8.415000,0.011826,0.320571,4.006902,-376.033982,0.000050
0.020000,4.519414,8.415001,0.019840,0.400704,4.006631,-0.013559,0.000085
0.020000,4.529031,8.415002,0.029456,0.480830,4.006292,-0.016949,0.000127
0.020000,4.540249,8.415004,0.040675,0.560947,4.005885,-0.020338,0.000176
0.020000,4.553071,8.415006,0.053496,0.641056,4.005411,-0.023729,0.000231
0.020000,4.567494,8.415010,0.067919,0.721153,4.004869,-0.027117,0.000292
0.020000,4.583518,8.415015,0.083944,0.801238,4.004258,-0.030508,0.000360
0.020000,4.601145,8.415022,0.101570,0.881310,4.003580,-0.033897,0.000433
0.020000,4.620372,8.415031,0.120798,0.961366,4.002835,-0.037287,0.000513
0.020000,4.641200,8.415043,0.141626,1.041407,4.002021,-0.040677,0.000598
0.020000,4.663629,8.415057,0.164054,1.121430,4.001140,-0.044067,0.000688
0.020000,4.687657,8.415075,0.188083,1.201433,4.000191,-0.047455,0.000783
0.020000,4.713286,8.415096,0.213711,1.281417,3.999174,-0.050847,0.000883
0.020000,4.740513,8.415122,0.240939,1.361379,3.998089,-0.054235,0.000987
0.020000,4.769340,8.415152,0.269765,1.441317,3.996937,-0.057627,0.001095
0.020000,4.799764,8.415187,0.300190,1.521232,3.995716,-0.061013,0.001207
0.020000,4.831787,8.415227,0.332212,1.601120,3.994428,-0.064404,0.001322
0.020000,4.865406,8.415274,0.365832,1.680982,3.993072,-0.067799,0.001439
0.020000,4.900622,8.415326,0.401048,1.760815,3.991649,-0.071179,0.001560
0.020000,4.937435,8.415386,0.437861,1.840618,3.990157,-0.074574,0.001682
0.020000,4.975842,8.415453,0.476268,1.920390,3.988598,-0.077968,0.001805
0.020000,5.015845,8.415528,0.516271,2.000129,3.986971,-0.081348,0.001930
0.020000,5.057442,8.415611,0.557868,2.079835,3.985276,-0.084742,0.002055
0.020000,5.100632,8.415702,0.601058,2.159505,3.983513,-0.088137,0.002180
0.020000,5.145414,8.415803,0.645841,2.239139,3.981683,-0.091515,0.002305
0.020000,5.191789,8.415912,0.692215,2.318734,3.979785,-0.094911,0.002428
0.020000,5.239754,8.416032,0.740181,2.398291,3.977819,-0.098300,0.002550
0.020000,5.289310,8.416161,0.789737,2.477806,3.975785,-0.101687,0.002669
0.020000,5.340456,8.416301,0.840883,2.557280,3.973683,-0.105080,0.002785
0.020000,5.393190,8.416451,0.893617,2.636710,3.971514,-0.108463,0.002898
0.020000,5.447511,8.416611,0.947939,2.716096,3.969277,-0.111859,0.003006
0.020000,5.503420,8.416782,1.003848,2.795435,3.966972,-0.115241,0.003110
0.020000,5.560914,8.416964,1.061342,2.874727,3.964599,-0.118637,0.003208
0.020000,5.619993,8.417156,1.120422,2.953971,3.962159,-0.122019,0.003299
0.020000,5.680656,8.417359,1.181085,3.033164,3.959651,-0.125415,0.003383
0.020000,5.742902,8.417572,1.243331,3.112305,3.957075,-0.128799,0.003459
0.020000,5.806729,8.417795,1.307159,3.191394,3.954431,-0.132190,0.003526
0.020000,5.872138,8.418027,1.372567,3.270428,3.951719,-0.135580,0.003584
0.020000,5.939125,8.418269,1.439556,3.349407,3.948940,-0.138969,0.003632
0.020000,6.007691,8.418519,1.508122,3.428329,3.946093,-0.142361,0.003668
0.020000,6.077835,8.418777,1.578266,3.507192,3.943178,-0.145748,0.003692
0.020000,6.149554,8.419043,1.649986,3.585996,3.940195,-0.149140,0.003703
0.020000,6.222849,8.419314,1.723281,3.664739,3.937144,-0.152530,0.003700
0.020000,6.297716,8.419591,1.798149,3.743420,3.934026,-0.155921,0.003682
0.020000,6.374157,8.419871,1.874590,3.822036,3.930840,-0.159312,0.003649
0.020000,6.452168,8.420154,1.952602,3.900588,3.927586,-0.162702,0.003599
0.020000,6.531749,8.420437,2.032183,3.979073,3.924264,-0.166096,0.003531
0.020000,6.612898,8.420721,2.113333,4.057491,3.920874,-0.169486,0.003444
0.020000,6.695614,8.421001,2.196050,4.135839,3.917416,-0.172879,0.003337
0.020000,6.779896,8.421277,2.280332,4.214117,3.913891,-0.176271,0.003209
0.020000,6.865742,8.421546,2.366178,4.292323,3.910298,-0.179661,0.003060
0.020000,6.953151,8.421806,2.453588,4.370456,3.906637,-0.183058,0.002887
0.020000,7.042121,8.422055,2.542558,4.448514,3.902908,-0.186443,0.002690
0.020000,7.132651,8.422288,2.633088,4.526496,3.899111,-0.189841,0.002468
0.020000,7.224738,8.422504,2.725176,4.604401,3.895246,-0.193224,0.002219
0.020000,7.318383,8.422699,2.818820,4.682227,3.891314,-0.196622,0.001943
0.020000,7.413582,8.422870,2.914020,4.759974,3.887314,-0.200002,0.001638
0.020000,7.510335,8.423012,3.010773,4.837638,3.883246,-0.203394,0.001303
0.020000,7.608639,8.423123,3.109077,4.915221,3.879111,-0.206775,0.000936
0.020000,7.708493,8.423196,3.208931,4.992719,3.874907,-0.210158,0.000537
0.020000,7.809896,8.423229,3.310334,5.070132,3.870637,-0.213534,0.000104
0.020000,7.912845,8.423216,3.413283,5.147458,3.866299,-0.216907,6.282821
0.020000,8.017339,8.423152,3.517777,5.224695,3.861893,-0.220276,6.282317
0.020000,8.123376,8.423031,3.623814,5.301844,3.857420,-0.223635,6.281774
0.020000,8.230954,8.422849,3.731392,5.378901,3.852881,-0.226996,6.281193
0.020000,8.340071,8.422597,3.840509,5.455867,3.848274,-0.230330,6.280571
0.020000,8.450725,8.422272,3.951164,5.532739,3.843601,-0.233666,6.279906
0.020000,8.562915,8.421864,4.063354,5.609516,3.838860,-0.237010,6.279199
0.020000,8.676638,8.421369,4.177078,5.686197,3.834055,-0.240283,6.278447
0.020000,8.791892,8.420777,4.292334,5.762781,3.829183,-0.243591,6.277648
0.020000,8.908675,8.420081,4.409119,5.839266,3.824245,-0.246889,6.276802
0.020000,9.026985,8.419273,4.527432,5.915651,3.819243,-0.250095,6.275906
0.020000,9.146820,8.418345,4.647271,5.991934,3.814176,-0.253360,6.274960
0.020000,9.268178,8.417286,4.768633,6.068115,3.809046,-0.256523,6.273961
0.020000,9.391056,8.416089,4.891517,6.144192,3.803851,-0.259746,6.272909
0.020000,9.498713,8.414914,4.999180,5.383159,-38.051670,-2092.776019,6.269392
0.020000,9.598187,8.412518,5.098683,4.975153,-20.400268,882.570088,6.248442
0.020000,9.696252,8.407995,5.196853,4.908480,-3.333663,853.330227,6.225299
0.020000,9.792407,8.401210,5.293247,4.819710,-4.438502,-55.241953,6.199629
0.020000,9.886041,8.392049,5.387328,4.704024,-5.784319,-67.290811,6.171036
0.020000,9.976446,8.380437,5.478476,4.557401,-7.331150,-77.341548,6.139052
0.020000,10.062784,8.366362,5.565953,4.373881,-9.175984,-92.241727,6.103129
0.020000,10.144095,8.349906,5.648913,4.147989,-11.294601,-105.930864,6.062627
0.020000,10.219300,8.331287,5.726388,3.873737,-13.712592,-120.899515,6.016823
0.020000,10.287242,8.310913,5.797319,3.546582,-16.357767,-132.258760,5.964924
0.020000,10.346786,8.289419,5.860624,3.165238,-19.067204,-135.471831,5.906120
0.020000,10.396821,8.267756,5.915148,2.726178,-21.952973,-144.288469,5.839940
0.020000,10.436641,8.247128,5.959993,2.242281,-24.194852,-112.093938,5.766697
0.020000,10.466662,8.228555,5.995295,1.765074,-23.860337,16.725755,5.687295
0.020000,10.488492,8.212442,6.022428,1.356652,-20.421139,171.959891,5.602967
0.020000,10.504485,8.198350,6.043743,1.065756,-14.544803,293.816766,5.515473
0.020000,10.517248,8.184903,6.062283,0.927015,-6.937009,380.389746,5.427094
0.020000,10.529100,8.169952,6.081362,0.953926,1.345516,414.126244,5.340312
0.020000,10.541611,8.151044,6.104034,1.133601,8.983747,381.911516,5.257415
0.020000,10.555446,8.125979,6.132663,1.431484,14.894184,295.521880,5.180175
0.020000,10.570500,8.093212,6.168724,1.803005,18.576023,184.091918,5.109694
0.020000,10.586208,8.051993,6.212834,2.205517,20.125622,77.479987,5.046437
0.020000,10.601844,8.002281,6.264947,2.605659,20.007089,-5.926673,4.990368
0.020000,10.616730,7.944537,6.324579,2.981577,18.795906,-60.559146,4.941124
0.020000,10.630345,7.879520,6.391007,3.321396,16.990950,-90.247787,4.898163
0.020000,10.642341,7.808110,6.463417,3.620536,14.956979,-101.698546,4.860877
0.020000,10.652538,7.731200,6.541000,3.879137,12.930082,-101.344848,4.828658
