dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.499331,14.835000,0.000500,0.050000,2.500000,125.000000,0.000501
0.020000,4.499463,14.835000,0.000632,0.006604,-2.169797,-233.489846,0.000402
0.020000,4.499728,14.835000,0.000896,0.013208,0.330194,124.999528,0.000204
0.020000,4.501999,14.835000,0.003168,0.113567,5.017948,234.387728,6.283093
0.020000,4.510527,14.834997,0.011696,0.426413,15.642319,531.218545,6.282697
0.020000,4.521188,14.834990,0.022356,0.533024,5.330549,-515.588507,6.282202
0.020000,4.533980,14.834973,0.035149,0.639626,5.330092,-0.022855,6.281608
0.020000,4.548905,14.834945,0.050074,0.746248,5.331076,0.049227,6.280916
0.020000,4.565962,14.834899,0.067131,0.852848,5.330032,-0.052220,6.280124
0.020000,4.585151,14.834832,0.086320,0.959468,5.331000,0.048399,6.279233
0.020000,4.606473,14.834737,0.107642,1.066080,5.330578,-0.021087,6.278243
0.020000,4.629926,14.834608,0.131096,1.172699,5.330940,0.018110,6.277154
0.020000,4.655512,14.834439,0.156682,1.279317,5.330918,-0.001125,6.275966
0.020000,4.683230,14.834221,0.184401,1.385941,5.331210,0.014600,6.274678
0.020000,4.713080,14.833946,0.214252,1.492568,5.331334,0.006223,6.273291
0.020000,4.745062,14.833606,0.246236,1.599200,5.331616,0.014057,6.271805
0.020000,4.779176,14.833191,0.280353,1.705828,5.331400,-0.010769,6.270220
0.020000,4.815422,14.832690,0.316602,1.812458,5.331486,0.004276,6.268535
0.020000,4.853799,14.832094,0.354984,1.919102,5.332217,0.036554,6.266751
0.020000,4.894308,14.831390,0.395499,2.025732,5.331512,-0.035254,6.264867
0.020000,4.936948,14.830566,0.438146,2.132380,5.332388,0.043816,6.262884
0.020000,4.981718,14.829610,0.482927,2.239018,5.331866,-0.026104,6.260801
0.020000,5.028618,14.828509,0.529840,2.345657,5.331970,0.005199,6.258619
0.020000,5.077648,14.827249,0.578886,2.452301,5.332226,0.012820,6.256337
0.020000,5.128807,14.825814,0.630065,2.558947,5.332258,0.001567,6.253956
0.020000,5.182094,14.824190,0.683376,2.665587,5.332038,-0.011000,6.251475
0.020000,5.237508,14.822360,0.738821,2.772226,5.331913,-0.006236,6.248895
0.020000,5.295049,14.820309,0.796398,2.878864,5.331916,0.000146,6.246216
0.020000,5.354715,14.818019,0.856108,2.985494,5.331525,-0.019556,6.243437
0.020000,5.416505,14.815473,0.917951,3.092130,5.331768,0.012158,6.240558
0.020000,5.480417,14.812652,0.981926,3.198746,5.330813,-0.047751,6.237581
0.020000,5.546451,14.809536,1.048033,3.305370,5.331173,0.018024,6.234504
0.020000,5.614605,14.806107,1.116273,3.411977,5.330381,-0.039603,6.231328
0.020000,5.684876,14.802345,1.186644,3.518583,5.330281,-0.004989,6.228054
0.020000,5.757262,14.798227,1.259148,3.625164,5.329073,-0.060443,6.224680
0.020000,5.831762,14.793734,1.333782,3.731743,5.328956,-0.005810,6.221209
0.020000,5.908372,14.788843,1.410548,3.838301,5.327880,-0.053823,6.217638
0.020000,5.987089,14.783530,1.489445,3.944846,5.327251,-0.031427,6.213970
0.020000,6.067912,14.777774,1.570473,4.051370,5.326214,-0.051851,6.210204
0.020000,6.150836,14.771551,1.653630,4.157872,5.325107,-0.055369,6.206341
0.020000,6.235859,14.764835,1.738917,4.264358,5.324266,-0.042044,6.202381
0.020000,6.322975,14.757602,1.826334,4.370813,5.322772,-0.074686,6.198323
0.020000,6.412182,14.749827,1.915878,4.477239,5.321273,-0.074958,6.194170
0.020000,6.503474,14.741484,2.007551,4.583632,5.319674,-0.079970,6.189921
0.020000,6.596847,14.732545,2.101351,4.690002,5.318471,-0.060129,6.185576
0.020000,6.692296,14.722985,2.197277,4.796319,5.315889,-0.129132,6.181137
0.020000,6.789815,14.712775,2.295330,4.902613,5.314675,-0.060703,6.176603
0.020000,6.889399,14.701888,2.395507,5.008853,5.312008,-0.133344,6.171976
0.020000,6.991041,14.690294,2.497808,5.115050,5.309863,-0.107228,6.167256
0.020000,7.094735,14.677966,2.602232,5.221200,5.307496,-0.118345,6.162444
0.020000,7.200473,14.664873,2.708778,5.327289,5.304463,-0.151677,6.157541
0.020000,7.308248,14.650987,2.817444,5.433326,5.301815,-0.132393,6.152547
0.020000,7.418053,14.636276,2.928230,5.539304,5.298932,-0.144125,6.147464
0.020000,7.529880,14.620710,3.041134,5.645217,5.295650,-0.164103,6.142292
0.020000,7.643718,14.604258,3.156156,5.751058,5.292009,-0.182087,6.137033
0.020000,7.759560,14.586890,3.273292,5.856826,5.288434,-0.178711,6.131687
0.020000,7.877395,14.568572,3.392543,5.962517,5.284549,-0.194273,6.126256
0.020000,7.997213,14.549274,3.513905,6.068129,5.280608,-0.197055,6.120740
0.020000,8.119005,14.528964,3.637378,6.173655,5.276288,-0.215969,6.115143
0.020000,8.242757,14.507608,3.762960,6.279088,5.271635,-0.232666,6.109463
0.020000,8.368460,14.485175,3.890649,6.384429,5.267038,-0.229856,6.103704
0.020000,8.496100,14.461631,4.020442,6.489668,5.261953,-0.254228,6.097866
0.020000,8.625665,14.436945,4.152338,6.594805,5.256853,-0.255012,6.091951
0.020000,8.757142,14.411082,4.286335,6.699833,5.251409,-0.272196,6.085961
0.020000,8.890517,14.384009,4.422430,6.804746,5.245670,-0.286959,6.079897
