dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500669,12.165000,0.000500,0.050000,2.500000,125.000000,0.000501
0.020000,4.500537,12.165000,0.000632,0.006604,-2.169797,-233.489846,0.000402
0.020000,4.500272,12.165000,0.000896,0.013208,0.330194,124.999528,0.000204
0.020000,4.501751,12.165000,0.002375,0.073943,3.036765,135.328561,6.283093
0.020000,4.509223,12.164998,0.009847,0.373581,14.981895,597.256493,6.282697
0.020000,4.518562,12.164991,0.019186,0.466979,4.669891,-515.600161,6.282202
0.020000,4.529770,12.164977,0.030394,0.560366,4.669356,-0.026782,6.281608
0.020000,4.542845,12.164951,0.043469,0.653767,4.670060,0.035195,6.280916
0.020000,4.557788,12.164912,0.058412,0.747147,4.668965,-0.054756,6.280124
0.020000,4.574599,12.164853,0.075223,0.840539,4.669613,0.032431,6.279233
0.020000,4.593277,12.164770,0.093901,0.933919,4.669028,-0.029274,6.278243
0.020000,4.613823,12.164657,0.114447,1.027302,4.669115,0.004379,6.277154
0.020000,4.636236,12.164508,0.136861,1.120679,4.668856,-0.012992,6.275966
0.020000,4.660516,12.164317,0.161142,1.214056,4.668864,0.000442,6.274678
0.020000,4.686664,12.164077,0.187290,1.307431,4.668724,-0.007039,6.273291
0.020000,4.714678,12.163779,0.215307,1.400805,4.668721,-0.000106,6.271805
0.020000,4.744559,12.163415,0.245190,1.494171,4.668291,-0.021548,6.270220
0.020000,4.776307,12.162977,0.276941,1.587533,4.668134,-0.007818,6.268535
0.020000,4.809921,12.162454,0.310559,1.680905,4.668560,0.021271,6.266751
0.020000,4.845401,12.161838,0.346044,1.774260,4.667749,-0.040524,6.264867
0.020000,4.882746,12.161116,0.383396,1.867627,4.668352,0.030133,6.262884
0.020000,4.921957,12.160279,0.422616,1.960982,4.667764,-0.029387,6.260801
0.020000,4.963032,12.159315,0.463703,2.054337,4.667766,0.000087,6.258619
0.020000,5.005972,12.158211,0.506657,2.147696,4.667949,0.009169,6.256337
0.020000,5.050776,12.156954,0.551478,2.241056,4.667991,0.002093,6.253956
0.020000,5.097442,12.155532,0.598166,2.334414,4.667876,-0.005746,6.251475
0.020000,5.145971,12.153930,0.646722,2.427772,4.667916,0.001998,6.248895
0.020000,5.196362,12.152134,0.697144,2.521135,4.668148,0.011581,6.246216
0.020000,5.248613,12.150128,0.749434,2.614497,4.668123,-0.001240,6.243437
0.020000,5.302725,12.147898,0.803592,2.707872,4.668751,0.031421,6.240558
0.020000,5.358695,12.145428,0.859616,2.801241,4.668438,-0.015684,6.237581
0.020000,5.416524,12.142699,0.917509,2.894629,4.669393,0.047763,6.234504
0.020000,5.476208,12.139697,0.977269,2.988018,4.669466,0.003646,6.231328
0.020000,5.537749,12.136401,1.038898,3.081424,4.670282,0.040824,6.228054
0.020000,5.601143,12.132795,1.102394,3.174829,4.670275,-0.000344,6.224680
0.020000,5.666389,12.128860,1.167760,3.268257,4.671384,0.055442,6.221209
0.020000,5.733487,12.124576,1.234993,3.361694,4.671822,0.021890,6.217638
0.020000,5.802433,12.119923,1.304097,3.455150,4.672833,0.050568,6.213970
0.020000,5.873226,12.114882,1.375069,3.548624,4.673680,0.042321,6.210204
0.020000,5.945864,12.109430,1.447911,3.642117,4.674669,0.049468,6.206341
0.020000,6.020345,12.103547,1.522624,3.735639,4.676108,0.071964,6.202381
0.020000,6.096666,12.097210,1.599208,3.829183,4.677204,0.054795,6.198323
0.020000,6.174825,12.090398,1.677663,3.922754,4.678536,0.066585,6.194170
0.020000,6.254818,12.083087,1.757990,4.016355,4.680033,0.074831,6.189921
0.020000,6.336644,12.075254,1.840190,4.109998,4.682142,0.105467,6.185576
0.020000,6.420299,12.066875,1.924263,4.203664,4.683319,0.058855,6.181137
0.020000,6.505780,12.057926,2.010211,4.297384,4.685985,0.133288,6.176603
0.020000,6.593082,12.048381,2.098034,4.391137,4.687679,0.084686,6.171976
0.020000,6.682203,12.038216,2.187732,4.484940,4.690143,0.123232,6.167256
0.020000,6.773139,12.027405,2.279308,4.578795,4.692738,0.129730,6.162444
0.020000,6.865884,12.015921,2.372762,4.672697,4.695084,0.117309,6.157541
0.020000,6.960436,12.003738,2.468095,4.766659,4.698116,0.151586,6.152547
0.020000,7.056789,11.990829,2.565309,4.860685,4.701300,0.159204,6.147464
0.020000,7.154938,11.977167,2.664405,4.954775,4.704502,0.160097,6.142292
0.020000,7.254878,11.962724,2.765383,5.048930,4.707766,0.163221,6.137033
0.020000,7.356604,11.947472,2.868246,5.143160,4.711477,0.185558,6.131687
0.020000,7.460110,11.931382,2.972996,5.237466,4.715311,0.191704,6.126256
0.020000,7.565391,11.914425,3.079633,5.331856,4.719501,0.209475,6.120740
0.020000,7.672439,11.896573,3.188160,5.426331,4.723770,0.213436,6.115143
0.020000,7.781249,11.877796,3.298577,5.520895,4.728163,0.219657,6.109463
0.020000,7.891813,11.858065,3.410889,5.615555,4.733029,0.243307,6.103704
0.020000,8.004125,11.837349,3.525095,5.710313,4.737895,0.243288,6.097866
0.020000,8.118176,11.815618,3.641198,5.805177,4.743179,0.264198,6.091951
0.020000,8.233960,11.792842,3.759201,5.900149,4.748595,0.270811,6.085961
0.020000,8.351469,11.768990,3.879106,5.995232,4.754187,0.279621,6.079897
0.020000,8.470693,11.744032,4.000915,6.090436,4.760177,0.299485,6.073762
0.020000,8.591625,11.717936,4.124630,6.185760,4.766218,0.302032,6.067556
0.020000,8.714255,11.690672,4.250254,6.281213,4.772624,0.320304,6.061282
0.020000,8.838574,11.662209,4.377790,6.376797,4.779201,0.328855,6.054942
0.020000,8.964573,11.632515,4.507240,6.472517,4.785990,0.339443,6.048538
