dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500329,14.835000,0.000398,0.039823,1.991150,99.557522,6.282939
0.020000,4.500256,14.835000,0.000471,0.003643,-1.809013,-190.008182,6.282993
0.020000,4.500111,14.835000,0.000617,0.007273,0.181488,99.525066,6.283102
0.020000,4.502238,14.835000,0.002744,0.106368,4.954782,238.664700,0.000080
0.020000,4.508321,14.835001,0.008827,0.304144,9.888778,246.699785,0.000296
0.020000,4.515927,14.835005,0.016432,0.380277,3.806650,-304.106408,0.000565
0.020000,4.525056,14.835011,0.025562,0.456475,3.809925,0.163772,0.000886
0.020000,4.535711,14.835023,0.036217,0.532754,3.813921,0.199789,0.001257
0.020000,4.547894,14.835040,0.048399,0.609120,3.818321,0.219986,0.001677
0.020000,4.561605,14.835067,0.062111,0.685593,3.823657,0.266811,0.002145
0.020000,4.576849,14.835103,0.077355,0.762183,3.829469,0.290628,0.002658
0.020000,4.593627,14.835153,0.094133,0.838902,3.835996,0.326347,0.003216
0.020000,4.611942,14.835217,0.112448,0.915763,3.843040,0.352162,0.003815
0.020000,4.631798,14.835299,0.132304,0.992782,3.850953,0.395657,0.004453
0.020000,4.653197,14.835402,0.153703,1.069968,3.859282,0.416446,0.005129
0.020000,4.676143,14.835527,0.176650,1.147334,3.868317,0.451787,0.005838
0.020000,4.700641,14.835680,0.201148,1.224895,3.878054,0.486817,0.006579
0.020000,4.726693,14.835861,0.227201,1.302664,3.888454,0.520037,0.007347
0.020000,4.754305,14.836075,0.254814,1.380650,3.899266,0.540583,0.008141
0.020000,4.783482,14.836324,0.283991,1.458868,3.910935,0.583458,0.008956
0.020000,4.814227,14.836613,0.314738,1.537332,3.923163,0.611410,0.009789
0.020000,4.846546,14.836943,0.347059,1.616049,3.935881,0.635887,0.010636
0.020000,4.880445,14.837318,0.380960,1.695040,3.949506,0.681239,0.011492
0.020000,4.915929,14.837741,0.416446,1.774308,3.963415,0.695437,0.012354
0.020000,4.953003,14.838215,0.453523,1.853872,3.978212,0.739885,0.013218
0.020000,4.991674,14.838743,0.492198,1.933742,3.993515,0.765127,0.014078
0.020000,5.031949,14.839328,0.532477,2.013929,4.009333,0.790888,0.014930
0.020000,5.073833,14.839971,0.574366,2.094449,4.026017,0.834226,0.015769
0.020000,5.117333,14.840675,0.617872,2.175311,4.043059,0.852076,0.016589
0.020000,5.162457,14.841442,0.663003,2.256528,4.060852,0.889655,0.017386
0.020000,5.209212,14.842273,0.709765,2.338111,4.079181,0.916462,0.018154
0.020000,5.257605,14.843169,0.758166,2.420076,4.098227,0.952294,0.018888
0.020000,5.307645,14.844132,0.808215,2.502432,4.117793,0.978320,0.019581
0.020000,5.359338,14.845162,0.859919,2.585192,4.138021,1.011387,0.020227
0.020000,5.412694,14.846257,0.913286,2.668369,4.158838,1.040833,0.020820
0.020000,5.467722,14.847418,0.968326,2.751975,4.180307,1.073481,0.021354
0.020000,5.524429,14.848643,1.025046,2.836023,4.202386,1.103923,0.021822
0.020000,5.582825,14.849929,1.083457,2.920525,4.225107,1.136038,0.022217
0.020000,5.642920,14.851275,1.143566,3.005494,4.248451,1.167224,0.022532
