dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,13.500000,0.000398,0.039823,1.991150,99.557522,6.282939
0.020000,4.500000,13.500000,0.001991,0.119469,3.982301,99.557522,6.282993
0.020000,4.500000,13.500000,0.005177,0.199115,3.982301,0.000000,6.283102
0.020000,4.502345,13.500000,0.009956,0.278761,3.982301,-0.000000,0.000080
0.020000,4.508717,13.500001,0.016327,0.358407,3.982301,0.000000,0.000296
0.020000,4.516681,13.500005,0.024292,0.438053,3.982301,0.000000,0.000565
0.020000,4.526239,13.500012,0.033850,0.517699,3.982301,0.000000,0.000886
0.020000,4.537389,13.500024,0.045000,0.597345,3.982301,0.000000,0.001257
0.020000,4.550132,13.500042,0.057743,0.676991,3.982301,0.000000,0.001677
0.020000,4.564469,13.500070,0.072080,0.756637,3.982301,0.000000,0.002145
0.020000,4.580398,13.500108,0.088009,0.836283,3.982301,0.000000,0.002658
0.020000,4.597920,13.500159,0.105531,0.915929,3.982301,0.000000,0.003216
0.020000,4.617035,13.500227,0.124646,0.995575,3.982301,0.000000,0.003815
0.020000,4.637743,13.500312,0.145354,1.075221,3.982301,-0.000000,0.004453
0.020000,4.660043,13.500419,0.167655,1.154867,3.982301,0.000000,0.005129
0.020000,4.683937,13.500550,0.191549,1.234513,3.982301,-0.000000,0.005838
0.020000,4.709423,13.500708,0.217035,1.314159,3.982301,0.000000,0.006579
0.020000,4.736502,13.500897,0.244115,1.393805,3.982301,0.000000,0.007347
0.020000,4.765174,13.501119,0.272788,1.473451,3.982301,0.000000,0.008141
0.020000,4.795438,13.501378,0.303053,1.553097,3.982301,-0.000000,0.008956
0.020000,4.827295,13.501677,0.334912,1.632743,3.982301,0.000000,0.009789
0.020000,4.860745,13.502018,0.368363,1.712389,3.982301,-0.000000,0.010636
0.020000,4.895787,13.502406,0.403407,1.792035,3.982301,0.000000,0.011492
0.020000,4.932421,13.502843,0.440044,1.871681,3.982301,-0.000000,0.012354
0.020000,4.970648,13.503332,0.478274,1.951327,3.982301,0.000000,0.013218
0.020000,5.010468,13.503876,0.518097,2.030973,3.982301,-0.000000,0.014078
0.020000,5.051879,13.504476,0.559513,2.110619,3.982301,0.000000,0.014930
0.020000,5.094883,13.505137,0.602522,2.190265,3.982301,0.000000,0.015769
0.020000,5.139479,13.505858,0.647124,2.269912,3.982301,0.000000,0.016589
0.020000,5.185667,13.506643,0.693319,2.349558,3.982301,-0.000000,0.017386
0.020000,5.233447,13.507493,0.741106,2.429204,3.982301,0.000000,0.018154
0.020000,5.282819,13.508408,0.790487,2.508850,3.982301,0.000000,0.018888
0.020000,5.333783,13.509388,0.841460,2.588496,3.982301,0.000000,0.019581
0.020000,5.386339,13.510435,0.894027,2.668142,3.982301,-0.000000,0.020227
0.020000,5.440487,13.511546,0.948186,2.747788,3.982301,0.000000,0.020820
0.020000,5.496227,13.512722,1.003938,2.827434,3.982301,0.000000,0.021354
0.020000,5.553558,13.513961,1.061283,2.907080,3.982301,0.000000,0.021822
0.020000,5.612482,13.515259,1.120221,2.986726,3.982301,-0.000000,0.022217
0.020000,5.672998,13.516613,1.180752,3.066372,3.982301,0.000000,0.022532
0.020000,5.735106,13.518021,1.242876,3.146018,3.982301,0.000000,0.022761
0.020000,5.798806,13.519476,1.306593,3.225664,3.982301,0.000000,0.022895
0.020000,5.864099,13.520972,1.371903,3.305310,3.982301,0.000000,0.022927
0.020000,5.930984,13.522504,1.438805,3.384956,3.982301,-0.000000,0.022850
0.020000,5.999462,13.524063,1.507301,3.464602,3.982301,0.000000,0.022654
0.020000,6.069532,13.525640,1.577389,3.544248,3.982301,-0.000000,0.022333
0.020000,6.141196,13.527225,1.649071,3.623894,3.982301,0.000000,0.021878
0.020000,6.214454,13.528807,1.722345,3.703540,3.982301,-0.000000,0.021279
0.020000,6.289304,13.530373,1.797212,3.783186,3.982301,0.000000,0.020529
0.020000,6.365749,13.531909,1.873673,3.862832,3.982301,-0.000000,0.019618
0.020000,6.443788,13.533399,1.951726,3.942478,3.982301,0.000000,0.018536
0.020000,6.523421,13.534826,2.031372,4.022124,3.982301,-0.000000,0.017274
0.020000,6.604649,13.536171,2.112611,4.101770,3.982301,0.000000,0.015823
0.020000,6.687472,13.537415,2.195442,4.181416,3.982301,0.000000,0.014172
0.020000,6.771889,13.538534,2.279867,4.261062,3.982301,-0.000000,0.012310
0.020000,6.857901,13.539504,2.365885,4.340708,3.982301,0.000000,0.010228
0.020000,6.945508,13.540300,2.453496,4.420354,3.982301,0.000000,0.007914
0.020000,7.034710,13.540894,2.542699,4.500000,3.982301,0.000000,0.005357
0.020000,7.125505,13.541254,2.633496,4.579646,3.982301,0.000000,0.002546
0.020000,7.217895,13.541349,2.725885,4.659292,3.982301,0.000000,6.282654
0.020000,7.311877,13.541143,2.819867,4.738938,3.982301,-0.000000,6.279299
0.020000,7.407450,13.540599,2.915442,4.818584,3.982301,0.000000,6.275653
0.020000,7.504614,13.539678,3.012611,4.898230,3.982301,-0.000000,6.271704
0.020000,7.603366,13.538335,3.111372,4.977876,3.982301,0.000000,6.267439
0.020000,7.703704,13.536527,3.211726,5.057522,3.982301,0.000000,6.262846
0.020000,7.805624,13.534204,3.313673,5.137168,3.982301,0.000000,6.257910
0.020000,7.909123,13.531316,3.417212,5.216814,3.982301,0.000000,6.252618
0.020000,8.014197,13.527808,3.522345,5.296460,3.982301,-0.000000,6.246956
0.020000,8.120841,13.523623,3.629071,5.376106,3.982301,0.000000,6.240910
0.020000,8.229047,13.518699,3.737389,5.455752,3.982301,0.000000,6.234467
0.020000,8.338809,13.512973,3.847301,5.535398,3.982301,-0.000000,6.227611
0.020000,8.450118,13.506377,3.958805,5.615044,3.982301,0.000000,6.220328
0.020000,8.562964,13.498840,4.071903,5.694690,3.982301,0.000000,6.212605
0.020000,8.677334,13.490288,4.186593,5.774336,3.982301,0.000000,6.204427
0.020000,8.793216,13.480641,4.302876,5.853982,3.982301,0.000000,6.195779
0.020000,8.910594,13.469819,4.420752,5.933628,3.982301,-0.000000,6.186649
0.020000,9.029450,13.457735,4.540221,6.013274,3.982301,0.000000,6.177022
0.020000,9.149764,13.444301,4.661283,6.092920,3.982301,0.000000,6.166887
0.020000,9.271513,13.429424,4.783938,6.172566,3.982301,-0.000000,6.156231
0.020000,9.394670,13.413007,4.908186,6.252212,3.982301,0.000000,6.145042
0.020000,9.519208,13.394952,5.034027,6.331858,3.982301,0.000000,6.133312
0.020000,9.645094,13.375155,5.161460,6.411504,3.982301,0.000000,6.121030
0.020000,9.772291,13.353512,5.290487,6.491150,3.982301,-0.000000,6.108189
0.020000,9.900760,13.329913,5.421106,6.570796,3.982301,0.000000,6.094783
0.020000,10.030457,13.304249,5.553319,6.650442,3.982301,0.000000,6.080810
0.020000,10.161332,13.276407,5.687124,6.730088,3.982301,0.000000,6.066267
0.020000,10.293333,13.246272,5.822522,6.809735,3.982301,-0.000000,6.051155
0.020000,10.426402,13.213731,5.959513,6.889381,3.982301,0.000000,6.035478
0.020000,10.560475,13.178668,6.098097,6.969027,3.982301,0.000000,6.019243
0.020000,10.695486,13.140968,6.238274,7.048673,3.982301,0.000000,6.002460
0.020000,10.831360,13.100516,6.380044,7.128319,3.982301,-0.000000,5.985141
0.020000,10.968021,13.057201,6.523407,7.207965,3.982301,0.000000,5.967304
0.020000,11.105385,13.010913,6.668363,7.287611,3.982301,0.000000,5.948970
0.020000,11.243366,12.961544,6.814912,7.367257,3.982301,-0.000000,5.930162
0.020000,11.381871,12.908994,6.963053,7.446903,3.982301,0.000000,5.910910
0.020000,11.520805,12.853165,7.112788,7.526549,3.982301,0.000000,5.891244
0.020000,11.660069,12.793964,7.264115,7.606195,3.982301,0.000000,5.871201
0.020000,11.799562,12.731308,7.417035,7.685841,3.982301,-0.000000,5.850818
0.020000,11.939177,12.665118,7.571549,7.765487,3.982301,0.000000,5.830139
0.020000,12.070055,12.599277,7.727655,7.845133,3.982301,0.000000,5.796392
0.020000,12.207351,12.521734,7.885354,7.924779,3.982301,0.000000,5.741608
0.020000,12.341488,12.435861,8.044646,8.004425,3.982301,0.000000,5.685856
0.020000,12.471906,12.341688,8.205531,8.084071,3.982301,-0.000000,5.629829
0.020000,12.598100,12.239378,8.368009,8.163717,3.982301,0.000000,5.574269
0.020000,12.719657,12.129214,8.532080,8.243363,3.982301,0.000000,5.519907
0.020000,12.836275,12.011577,8.697743,8.323009,3.982301,0.000000,5.467420
0.020000,12.947770,11.886927,8.865000,8.402655,3.982301,-0.000000,5.417386
0.020000,13.054082,11.755768,9.033850,8.482301,3.982301,0.000000,5.370264
0.020000,13.155261,11.618623,9.204292,8.561947,3.982301,0.000000,5.326385
0.020000,13.251462,11.476013,9.376327,8.641593,3.982301,0.000000,5.285956
0.020000,13.342920,11.328437,9.549956,8.721239,3.982301,-0.000000,5.249085
0.020000,13.429939,11.176360,9.725177,8.800885,3.982301,0.000000,5.215793
0.020000,13.512870,11.020209,9.901991,8.880531,3.982301,0.000000,5.186044
0.020000,13.592105,10.860368,10.080398,8.960177,3.982301,0.000000,5.159764
0.020000,13.667896,10.697545,10.260000,9.000000,1.991150,-99.557522,5.136904
0.020000,13.740386,10.532790,10.440000,9.000000,0.000000,-99.557522,5.117420
0.020000,13.809925,10.366767,10.620000,9.000000,0.000000,0.000000,5.101187
0.020000,13.877020,10.199741,10.800000,9.000000,0.000000,0.000000,5.088044
0.020000,13.942164,10.031944,10.980000,9.000000,0.000000,0.000000,5.077858
0.020000,14.005837,9.863582,11.160000,9.000000,0.000000,0.000000,5.070522
0.020000,14.068509,9.694845,11.340000,9.000000,0.000000,0.000000,5.065957
0.020000,14.130639,9.525907,11.520000,9.000000,0.000000,0.000000,5.064113
0.020000,14.192687,9.356940,11.700000,9.000000,0.000000,0.000000,5.064972
0.020000,14.255108,9.188109,11.880000,9.000000,0.000000,0.000000,5.068541
0.020000,14.318362,9.019592,12.059998,8.999800,-0.009999,-0.499929,5.074861
0.020000,14.382768,8.851943,12.239594,8.959777,-2.001149,-99.557522,5.083974
0.020000,14.448493,8.686093,12.417993,8.880131,-3.982301,-99.057593,5.095899
0.020000,14.515817,8.522608,12.594799,8.800485,-3.982301,-0.000000,5.110660
0.020000,14.585150,8.361698,12.770012,8.720839,-3.982301,0.000000,5.128319
0.020000,14.656891,8.203597,12.943633,8.641193,-3.982301,0.000000,5.148950
0.020000,14.731425,8.048559,13.115660,8.561547,-3.982301,0.000000,5.172636
0.020000,14.809122,7.896871,13.286094,8.481901,-3.982301,0.000000,5.199458
0.020000,14.890331,7.748849,13.454936,8.402255,-3.982301,0.000000,5.229484
0.020000,14.975372,7.604843,13.622185,8.322609,-3.982301,-0.000000,5.262759
0.020000,15.064528,7.465237,13.787840,8.242963,-3.982301,0.000000,5.299290
0.020000,15.158033,7.330441,13.951903,8.163317,-3.982301,0.000000,5.339023
0.020000,15.256059,7.200891,14.114373,8.083671,-3.982301,0.000000,5.381832
0.020000,15.358704,7.077033,14.275250,8.004025,-3.982301,-0.000000,5.427497
0.020000,15.465976,6.959308,14.434534,7.924379,-3.982301,0.000000,5.475697
0.020000,15.577787,6.848135,14.592225,7.844733,-3.982301,0.000000,5.526006
0.020000,15.693950,6.743889,14.748323,7.765087,-3.982301,0.000000,5.577904
0.020000,15.814178,6.646877,14.902829,7.685441,-3.982301,0.000000,5.630795
0.020000,15.938097,6.557317,15.055741,7.605795,-3.982301,0.000000,5.684043
0.020000,16.065260,6.475333,15.207060,7.526149,-3.982301,-0.000000,5.737011
0.020000,16.195175,6.400935,15.356787,7.446503,-3.982301,0.000000,5.789100
0.020000,16.327322,6.334032,15.504921,7.366857,-3.982301,0.000000,5.839784
0.020000,16.461181,6.274439,15.651461,7.287211,-3.982301,-0.000000,5.888634
0.020000,16.596252,6.221885,15.796409,7.207565,-3.982301,0.000000,5.935325
0.020000,16.732066,6.176041,15.939764,7.127919,-3.982301,0.000000,5.979640
0.020000,16.868200,6.136532,16.081526,7.048273,-3.982301,0.000000,6.021460
0.020000,17.004278,6.102956,16.221695,6.968627,-3.982301,0.000000,6.060745
0.020000,17.139976,6.074900,16.360271,6.888981,-3.982301,-0.000000,6.097522
0.020000,17.275016,6.051952,16.497254,6.809335,-3.982301,0.000000,6.131863
0.020000,17.409167,6.033709,16.632644,6.729689,-3.982301,-0.000000,6.163877
0.020000,17.542234,6.019786,16.766441,6.650043,-3.982301,0.000000,6.193690
0.020000,17.674055,6.009817,16.898646,6.570397,-3.982301,0.000000,6.221441
0.020000,17.804510,6.003459,17.029257,6.490750,-3.982301,0.000000,6.247273
