dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.499671,12.165000,0.000398,0.039823,1.991150,99.557522,6.282939
0.020000,4.499744,12.165000,0.000471,0.003643,-1.809013,-190.008182,6.282993
0.020000,4.499889,12.165000,0.000617,0.007273,0.181488,99.525066,6.283102
0.020000,4.502452,12.165000,0.003179,0.128121,6.042405,293.045836,0.000080
0.020000,4.509112,12.165001,0.009839,0.333025,10.245243,210.141899,0.000296
0.020000,4.517436,12.165005,0.018163,0.416183,4.157884,-304.367948,0.000565
0.020000,4.527421,12.165012,0.028149,0.499276,4.154642,-0.162089,0.000886
0.020000,4.539067,12.165025,0.039794,0.582293,4.150827,-0.190739,0.001257
0.020000,4.552371,12.165044,0.053099,0.665214,4.146096,-0.236566,0.001677
0.020000,4.567332,12.165073,0.068059,0.748035,4.141033,-0.253163,0.002145
0.020000,4.583947,12.165113,0.084674,0.830738,4.135138,-0.294758,0.002658
0.020000,4.602213,12.165166,0.102940,0.913311,4.128674,-0.323193,0.003216
0.020000,4.622128,12.165236,0.122855,0.995740,4.121429,-0.362235,0.003815
0.020000,4.643688,12.165326,0.144416,1.078016,4.113792,-0.381856,0.004453
0.020000,4.666890,12.165437,0.167618,1.160121,4.105273,-0.425963,0.005129
0.020000,4.691730,12.165573,0.192459,1.242045,4.096192,-0.454023,0.005838
0.020000,4.718205,12.165737,0.218934,1.323776,4.086548,-0.482222,0.006579
0.020000,4.746311,12.165933,0.247040,1.405302,4.076304,-0.512171,0.007347
0.020000,4.776042,12.166163,0.276773,1.486606,4.065194,-0.555534,0.008141
0.020000,4.807394,12.166431,0.308126,1.567680,4.053702,-0.574571,0.008956
0.020000,4.840363,12.166741,0.341096,1.648510,4.041513,-0.609479,0.009789
0.020000,4.874943,12.167094,0.375678,1.729081,4.028556,-0.647829,0.010636
0.020000,4.911129,12.167494,0.411866,1.809387,4.015284,-0.663611,0.011492
0.020000,4.948914,12.167945,0.449654,1.889408,4.001034,-0.712495,0.012354
0.020000,4.988293,12.168449,0.489037,1.969137,3.986456,-0.728870,0.013218
0.020000,5.029261,12.169008,0.530008,2.048560,3.971145,-0.765571,0.014078
0.020000,5.071810,12.169625,0.572561,2.127662,3.955115,-0.801499,0.014930
