dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500669,14.835000,0.000500,0.050000,2.500000,125.000000,6.282684
0.020000,4.500537,14.835000,0.000632,0.006604,-2.169797,-233.489846,6.282783
0.020000,4.500272,14.835000,0.000896,0.013208,0.330194,124.999528,6.282981
0.020000,4.501751,14.835000,0.002375,0.073943,3.036765,135.328561,0.000093
0.020000,4.509223,14.835002,0.009847,0.373581,14.981895,597.256493,0.000489
0.020000,4.518562,14.835009,0.019186,0.466979,4.669891,-515.600161,0.000983
0.020000,4.529770,14.835023,0.030394,0.560366,4.669356,-0.026782,0.001577
0.020000,4.542845,14.835049,0.043469,0.653767,4.670060,0.035195,0.002270
0.020000,4.557788,14.835088,0.058412,0.747147,4.668965,-0.054756,0.003061
0.020000,4.574599,14.835147,0.075223,0.840539,4.669613,0.032431,0.003952
0.020000,4.593277,14.835230,0.093901,0.933919,4.669028,-0.029274,0.004942
0.020000,4.613823,14.835343,0.114447,1.027302,4.669115,0.004379,0.006031
0.020000,4.636236,14.835492,0.136861,1.120679,4.668856,-0.012992,0.007220
0.020000,4.660516,14.835683,0.161142,1.214056,4.668864,0.000442,0.008507
0.020000,4.686664,14.835923,0.187290,1.307431,4.668724,-0.007039,0.009894
0.020000,4.714678,14.836221,0.215307,1.400805,4.668721,-0.000106,0.011380
0.020000,4.744559,14.836585,0.245190,1.494171,4.668291,-0.021548,0.012966
0.020000,4.776307,14.837023,0.276941,1.587533,4.668134,-0.007818,0.014650
0.020000,4.809921,14.837546,0.310559,1.680905,4.668560,0.021271,0.016435
0.020000,4.845401,14.838162,0.346044,1.774260,4.667749,-0.040524,0.018318
0.020000,4.882746,14.838884,0.383396,1.867627,4.668352,0.030133,0.020302
0.020000,4.921957,14.839721,0.422616,1.960982,4.667764,-0.029387,0.022384
0.020000,4.963032,14.840685,0.463703,2.054337,4.667766,0.000087,0.024566
0.020000,5.005972,14.841789,0.506657,2.147696,4.667949,0.009169,0.026848
0.020000,5.050776,14.843046,0.551478,2.241056,4.667991,0.002093,0.029229
0.020000,5.097442,14.844468,0.598166,2.334414,4.667876,-0.005746,0.031710
0.020000,5.145971,14.846070,0.646722,2.427772,4.667916,0.001998,0.034290
0.020000,5.196362,14.847866,0.697144,2.521135,4.668148,0.011581,0.036970
0.020000,5.248613,14.849872,0.749434,2.614497,4.668123,-0.001240,0.039749
0.020000,5.302725,14.852102,0.803592,2.707872,4.668751,0.031421,0.042627
0.020000,5.358695,14.854572,0.859616,2.801241,4.668438,-0.015684,0.045605
0.020000,5.416524,14.857301,0.917509,2.894629,4.669393,0.047763,0.048681
0.020000,5.476208,14.860303,0.977269,2.988018,4.669466,0.003646,0.051857
0.020000,5.537749,14.863599,1.038898,3.081424,4.670282,0.040824,0.055132
0.020000,5.601143,14.867205,1.102394,3.174829,4.670275,-0.000344,0.058505
0.020000,5.666389,14.871140,1.167760,3.268257,4.671384,0.055442,0.061977
0.020000,5.733487,14.875424,1.234993,3.361694,4.671822,0.021890,0.065547
0.020000,5.802433,14.880077,1.304097,3.455150,4.672833,0.050568,0.069215
0.020000,5.873226,14.885118,1.375069,3.548624,4.673680,0.042321,0.072981
0.020000,5.945864,14.890570,1.447911,3.642117,4.674669,0.049468,0.076844
0.020000,6.020345,14.896453,1.522624,3.735639,4.676108,0.071964,0.080805
0.020000,6.096666,14.902790,1.599208,3.829183,4.677204,0.054795,0.084862
0.020000,6.174825,14.909602,1.677663,3.922754,4.678536,0.066585,0.089015
0.020000,6.254818,14.916913,1.757990,4.016355,4.680033,0.074831,0.093265
0.020000,6.336644,14.924746,1.840190,4.109998,4.682142,0.105467,0.097609
0.020000,6.420299,14.933125,1.924263,4.203664,4.683319,0.058855,0.102049
0.020000,6.505780,14.942074,2.010211,4.297384,4.685985,0.133288,0.106582
0.020000,6.593082,14.951619,2.098034,4.391137,4.687679,0.084686,0.111209
0.020000,6.682203,14.961784,2.187732,4.484940,4.690143,0.123232,0.115929
0.020000,6.773139,14.972595,2.279308,4.578795,4.692738,0.129730,0.120741
0.020000,6.865884,14.984079,2.372762,4.672697,4.695084,0.117309,0.125644
0.020000,6.960436,14.996262,2.468095,4.766659,4.698116,0.151586,0.130638
0.020000,7.056789,15.009171,2.565309,4.860685,4.701300,0.159204,0.135721
0.020000,7.154938,15.022833,2.664405,4.954775,4.704502,0.160097,0.140893
0.020000,7.254878,15.037276,2.765383,5.048930,4.707766,0.163221,0.146153
0.020000,7.356604,15.052528,2.868246,5.143160,4.711477,0.185558,0.151499
0.020000,7.460110,15.068618,2.972996,5.237466,4.715311,0.191704,0.156930
0.020000,7.565391,15.085575,3.079633,5.331856,4.719501,0.209475,0.162445
0.020000,7.672439,15.103427,3.188160,5.426331,4.723770,0.213436,0.168043
0.020000,7.781249,15.122204,3.298577,5.520895,4.728163,0.219657,0.173722
0.020000,7.891813,15.141935,3.410889,5.615555,4.733029,0.243307,0.179481
0.020000,8.004125,15.162651,3.525095,5.710313,4.737895,0.243288,0.185319
0.020000,8.118176,15.184382,3.641198,5.805177,4.743179,0.264198,0.191234
0.020000,8.233960,15.207158,3.759201,5.900149,4.748595,0.270811,0.197224
0.020000,8.351469,15.231010,3.879106,5.995232,4.754187,0.279621,0.203288
0.020000,8.470693,15.255968,4.000915,6.090436,4.760177,0.299485,0.209424
0.020000,8.591625,15.282064,4.124630,6.185760,4.766218,0.302032,0.215629
0.020000,8.714255,15.309328,4.250254,6.281213,4.772624,0.320304,0.221903
0.020000,8.838574,15.337791,4.377790,6.376797,4.779201,0.328855,0.228243
0.020000,8.964573,15.367485,4.507240,6.472517,4.785990,0.339443,0.234647
0.020000,9.092241,15.398442,4.638608,6.568378,4.793046,0.352844,0.241113
0.020000,9.221568,15.430691,4.771896,6.664383,4.800287,0.362026,0.247639
0.020000,9.352544,15.464265,4.907106,6.760538,4.807760,0.373652,0.254223
0.020000,9.485158,15.499195,5.044243,6.856847,4.815423,0.383165,0.260862
0.020000,9.619399,15.535512,5.183310,6.953313,4.823313,0.394474,0.267553
0.020000,9.755254,15.573247,5.324308,7.049941,4.831399,0.404321,0.274296
0.020000,9.892713,15.612431,5.467243,7.146734,4.839656,0.412840,0.281086
0.020000,10.031763,15.653095,5.612117,7.243696,4.848062,0.420286,0.287922
0.020000,10.172392,15.695269,5.758934,7.340830,4.856741,0.433971,0.294800
0.020000,10.314586,15.738985,5.907696,7.438138,4.865398,0.432855,0.301719
0.020000,10.458334,15.784272,6.058409,7.535628,4.874462,0.453167,0.308676
0.020000,10.603621,15.831160,6.211075,7.633296,4.883430,0.448407,0.315668
0.020000,10.750434,15.879680,6.365698,7.731150,4.892699,0.463460,0.322691
0.020000,10.898760,15.929860,6.522282,7.829189,4.901952,0.462673,0.329745
0.020000,11.048583,15.981729,6.680830,7.927417,4.911389,0.471830,0.336824
0.020000,11.199891,16.035317,6.841347,8.025837,4.921001,0.480619,0.343927
0.020000,11.352668,16.090652,7.003836,8.124442,4.930252,0.462523,0.351052
0.020000,11.506899,16.147761,7.168300,8.223246,4.940223,0.498533,0.358194
0.020000,11.662569,16.206672,7.334745,8.322243,4.949824,0.480087,0.365351
0.020000,11.819665,16.267412,7.503174,8.421434,4.959529,0.485241,0.372520
0.020000,11.977729,16.329833,7.673117,8.497145,3.785586,-58.697164,0.379679
0.020000,12.135872,16.393592,7.843630,8.525633,1.424401,-118.059240,0.386785
0.020000,12.293651,16.458504,8.014239,8.530485,0.242585,-59.090785,0.393819
0.020000,12.451061,16.524557,8.184947,8.535370,0.244256,0.083559,0.400779
0.020000,12.608101,16.591736,8.355752,8.540278,0.245406,0.057488,0.407666
0.020000,12.764767,16.660030,8.526656,8.545204,0.246264,0.042878,0.414479
0.020000,12.921057,16.729423,8.697659,8.550141,0.246897,0.031656,0.421219
0.020000,13.076968,16.799903,8.868761,8.555097,0.247765,0.043394,0.427884
0.020000,13.232500,16.871456,9.039962,8.560061,0.248204,0.021981,0.434474
0.020000,13.387649,16.944069,9.211263,8.565030,0.248482,0.013888,0.440990
0.020000,13.542414,17.017728,9.382663,8.570003,0.248605,0.006142,0.447432
0.020000,13.696794,17.092421,9.554162,8.574974,0.248580,-0.001256,0.453799
0.020000,13.850787,17.168133,9.725761,8.579941,0.248356,-0.011220,0.460092
0.020000,13.933059,17.210148,9.818141,4.618969,-198.048612,-9914.848394,0.522154
0.020000,13.981022,17.240880,9.875105,2.848230,-88.536956,5475.582831,0.614300
0.020000,14.034127,17.281973,9.942252,3.357354,25.456208,5699.658190,0.698819
0.020000,14.093528,17.336007,10.022553,4.015027,32.883651,371.372133,0.773486
0.020000,14.159143,17.404536,10.117429,4.743827,36.440012,177.818079,0.837237
0.020000,14.230274,17.488012,10.227101,5.483571,36.987192,27.358980,0.889908
0.020000,14.306144,17.586044,10.351063,6.198094,35.726164,-63.051405,0.931877
0.020000,14.386217,17.697751,10.488504,6.872081,33.699338,-101.341311,0.963752
0.020000,14.470335,17.822055,10.638595,7.504544,31.623164,-103.808667,0.986153
0.020000,14.558756,17.957868,10.800655,8.102979,29.921724,-85.071997,0.999591
0.020000,14.652145,18.104191,10.974240,8.679272,28.814630,-55.354726,1.004396
0.020000,14.751568,18.260140,11.159187,9.247332,28.403019,-20.580517,1.000690
0.020000,14.858494,18.424922,11.355620,9.821659,28.716331,15.665577,0.988380
0.020000,14.974808,18.597753,11.563946,10.416275,29.730817,50.724283,0.967160
0.020000,15.102832,18.777733,11.784815,11.043449,31.358723,81.395314,0.936540
0.020000,15.245312,18.963641,12.019042,11.711368,33.395939,101.860821,0.895908
0.020000,15.405315,19.153657,12.267450,12.420429,35.453052,102.855655,0.844645
0.020000,15.585969,19.344999,12.530601,13.157502,36.853640,70.029383,0.782328
0.020000,15.789932,19.533589,12.808390,13.889472,36.598501,-12.756970,0.709031
0.020000,16.018560,19.713916,13.099575,14.559258,33.489274,-155.461350,0.625683
0.020000,16.270964,19.879408,13.401395,15.090980,26.586123,-345.157546,0.534354
0.020000,16.543402,20.023479,13.709581,15.409334,15.917716,-533.420321,0.438244
0.020000,16.829585,20.141012,14.018959,15.468880,2.977288,-647.021437,0.341241
0.020000,17.121989,20.229534,14.324469,15.275521,-9.667942,-632.261499,0.247142
0.020000,17.413565,20.289454,14.622138,14.883431,-19.604501,-496.827945,0.158928
0.020000,17.698981,20.323358,14.909561,14.371125,-25.615333,-300.541567,0.078402
0.020000,17.974999,20.334922,15.185821,13.813029,-27.904793,-114.473004,0.006252
0.020000,18.176064,20.333641,15.386890,10.053447,-187.979104,-8003.715549,6.268065
0.020000,18.375860,20.329093,15.586738,9.992398,-3.052411,9246.334657,6.253196
0.020000,18.572059,20.321968,15.783066,9.816405,-8.799685,-287.363719,6.240964
0.020000,18.764817,20.312849,15.976039,9.648662,-8.387113,20.628592,6.231246
0.020000,18.954272,20.302271,16.165790,9.487555,-8.055376,16.586860,6.223942
0.020000,19.140545,20.290723,16.352420,9.331497,-7.802871,12.625263,6.218975
0.020000,19.323726,20.278664,16.535998,9.178883,-7.630715,8.607756,6.216295
0.020000,19.503880,20.266524,16.716561,9.028133,-7.537505,4.660511,6.215874
0.020000,19.681040,20.254710,16.894114,8.877674,-7.522975,0.726517,6.217707
0.020000,19.855206,20.243614,17.068633,8.725928,-7.587267,-3.214603,6.221812
0.020000,20.026340,20.233614,17.240059,8.571332,-7.729813,-7.127302,6.228234
0.020000,20.194369,20.225077,17.408305,8.412273,-7.952949,-11.156782,6.237039
0.020000,20.359175,20.218360,17.573248,8.247158,-8.255757,-15.140431,6.248317
0.020000,20.520599,20.213809,17.734736,8.074396,-8.638095,-19.116899,6.262183
0.020000,20.678433,20.211761,17.892584,7.892378,-9.100895,-23.139988,6.278775
