dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,13.500000,0.000500,0.050000,2.500000,125.000000,6.282684
0.020000,4.500000,13.500000,0.002500,0.150000,5.000000,125.000000,6.282783
0.020000,4.500000,13.500000,0.006500,0.250000,5.000000,0.000000,6.282981
0.020000,4.501875,13.500000,0.012500,0.350000,5.000000,-0.000000,0.000093
0.020000,4.509875,13.500002,0.020500,0.450000,5.000000,0.000000,0.000489
0.020000,4.519875,13.500010,0.030500,0.550000,5.000000,-0.000000,0.000983
0.020000,4.531875,13.500025,0.042500,0.650000,5.000000,0.000000,0.001577
0.020000,4.545875,13.500052,0.056500,0.750000,5.000000,0.000000,0.002270
0.020000,4.561875,13.500095,0.072500,0.850000,5.000000,-0.000000,0.003061
0.020000,4.579875,13.500158,0.090500,0.950000,5.000000,0.000000,0.003952
0.020000,4.599875,13.500247,0.110500,1.050000,5.000000,0.000000,0.004942
0.020000,4.621874,13.500367,0.132500,1.150000,5.000000,-0.000000,0.006031
0.020000,4.645874,13.500526,0.156500,1.250000,5.000000,0.000000,0.007220
0.020000,4.671873,13.500731,0.182500,1.350000,5.000000,-0.000000,0.008507
0.020000,4.699872,13.500989,0.210500,1.450000,5.000000,0.000000,0.009894
0.020000,4.729870,13.501308,0.240500,1.550000,5.000000,-0.000000,0.011380
0.020000,4.761868,13.501697,0.272500,1.650000,5.000000,0.000000,0.012966
0.020000,4.795864,13.502167,0.306500,1.750000,5.000000,0.000000,0.014650
0.020000,4.831860,13.502726,0.342500,1.850000,5.000000,-0.000000,0.016435
0.020000,4.869854,13.503386,0.380500,1.950000,5.000000,0.000000,0.018318
0.020000,4.909847,13.504159,0.420500,2.050000,5.000000,-0.000000,0.020302
0.020000,4.951837,13.505055,0.462500,2.150000,5.000000,0.000000,0.022384
0.020000,4.995825,13.506088,0.506500,2.250000,5.000000,0.000000,0.024566
0.020000,5.041810,13.507270,0.552500,2.350000,5.000000,0.000000,0.026848
0.020000,5.089791,13.508616,0.600500,2.450000,5.000000,-0.000000,0.029229
0.020000,5.139768,13.510139,0.650500,2.550000,5.000000,0.000000,0.031710
0.020000,5.191740,13.511855,0.702500,2.650000,5.000000,0.000000,0.034290
0.020000,5.245705,13.513779,0.756500,2.750000,5.000000,0.000000,0.036970
0.020000,5.301664,13.515926,0.812500,2.850000,5.000000,-0.000000,0.039749
0.020000,5.359615,13.518314,0.870500,2.950000,5.000000,0.000000,0.042627
0.020000,5.419556,13.520960,0.930500,3.050000,5.000000,-0.000000,0.045605
0.020000,5.481488,13.523882,0.992500,3.150000,5.000000,-0.000000,0.048681
0.020000,5.545407,13.527098,1.056500,3.250000,5.000000,0.000000,0.051857
0.020000,5.611312,13.530627,1.122500,3.350000,5.000000,0.000000,0.055132
0.020000,5.679202,13.534489,1.190500,3.450000,5.000000,0.000000,0.058505
0.020000,5.749076,13.538703,1.260500,3.550000,5.000000,-0.000000,0.061977
0.020000,5.820929,13.543291,1.332500,3.650000,5.000000,0.000000,0.065547
0.020000,5.894761,13.548273,1.406500,3.750000,5.000000,0.000000,0.069215
0.020000,5.970569,13.553672,1.482500,3.850000,5.000000,-0.000000,0.072981
0.020000,6.048350,13.559510,1.560500,3.950000,5.000000,0.000000,0.076844
0.020000,6.128102,13.565809,1.640500,4.050000,5.000000,-0.000000,0.080805
0.020000,6.209821,13.572594,1.722500,4.150000,5.000000,0.000000,0.084862
