dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,13.500000,0.000595,0.059524,2.976190,148.809524,6.282622
0.020000,4.500000,13.500000,0.002976,0.178571,5.952381,148.809524,6.282753
0.020000,4.500000,13.500000,0.007738,0.297619,5.952381,0.000000,6.283013
0.020000,4.504000,13.500000,0.014881,0.416667,5.952381,-0.000000,0.000219
0.020000,4.513524,13.500005,0.024405,0.535714,5.952381,0.000000,0.000740
0.020000,4.525429,13.500018,0.036310,0.654762,5.952381,0.000000,0.001390
0.020000,4.539714,13.500043,0.050595,0.773810,5.952381,0.000000,0.002170
0.020000,4.556381,13.500087,0.067262,0.892857,5.952381,0.000000,0.003078
0.020000,4.575428,13.500155,0.086310,1.011905,5.952381,-0.000000,0.004115
0.020000,4.596857,13.500256,0.107738,1.130952,5.952381,0.000000,0.005280
0.020000,4.620666,13.500397,0.131548,1.250000,5.952381,0.000000,0.006572
0.020000,4.646856,13.500588,0.157738,1.369048,5.952381,0.000000,0.007990
0.020000,4.675426,13.500838,0.186310,1.488095,5.952381,0.000000,0.009534
0.020000,4.706377,13.501159,0.217262,1.607143,5.952381,0.000000,0.011203
0.020000,4.739708,13.501562,0.250595,1.726190,5.952381,0.000000,0.012996
0.020000,4.775418,13.502061,0.286310,1.845238,5.952381,0.000000,0.014911
0.020000,4.813509,13.502668,0.324405,1.964286,5.952381,-0.000000,0.016948
0.020000,4.853978,13.503397,0.364881,2.083333,5.952381,0.000000,0.019106
0.020000,4.896827,13.504265,0.407738,2.202381,5.952381,-0.000000,0.021382
0.020000,4.942053,13.505286,0.452976,2.321429,5.952381,0.000000,0.023776
0.020000,4.989657,13.506478,0.500595,2.440476,5.952381,-0.000000,0.026286
0.020000,5.039638,13.507858,0.550595,2.559524,5.952381,0.000000,0.028911
0.020000,5.091995,13.509444,0.602976,2.678571,5.952381,0.000000,0.031648
0.020000,5.146727,13.511255,0.657738,2.797619,5.952381,0.000000,0.034497
0.020000,5.203833,13.513310,0.714881,2.916667,5.952381,0.000000,0.037454
0.020000,5.263312,13.515630,0.774405,3.035714,5.952381,-0.000000,0.040518
0.020000,5.325161,13.518236,0.836310,3.154762,5.952381,0.000000,0.043687
0.020000,5.389381,13.521148,0.900595,3.273810,5.952381,0.000000,0.046958
0.020000,5.455969,13.524390,0.967262,3.392857,5.952381,0.000000,0.050329
0.020000,5.524923,13.527983,1.036310,3.511905,5.952381,-0.000000,0.053798
0.020000,5.596241,13.531952,1.107738,3.630952,5.952381,0.000000,0.057361
0.020000,5.669921,13.536318,1.181548,3.750000,5.952381,0.000000,0.061016
0.020000,5.745961,13.541106,1.257738,3.869048,5.952381,0.000000,0.064760
0.020000,5.824358,13.546341,1.336310,3.988095,5.952381,0.000000,0.068591
0.020000,5.905109,13.552048,1.417262,4.107143,5.952381,-0.000000,0.072503
0.020000,5.988211,13.558251,1.500595,4.226190,5.952381,0.000000,0.076495
0.020000,6.073661,13.564975,1.586310,4.345238,5.952381,-0.000000,0.080563
0.020000,6.161456,13.572247,1.674405,4.464286,5.952381,0.000000,0.084703
0.020000,6.251591,13.580091,1.764881,4.583333,5.952381,-0.000000,0.088912
0.020000,6.344063,13.588534,1.857738,4.702381,5.952381,0.000000,0.093185
0.020000,6.438869,13.597602,1.952976,4.821429,5.952381,-0.000000,0.097518
0.020000,6.536003,13.607320,2.050595,4.940476,5.952381,0.000000,0.101908
0.020000,6.635461,13.617715,2.150595,5.059524,5.952381,-0.000000,0.106350
0.020000,6.737239,13.628812,2.252976,5.178571,5.952381,0.000000,0.110839
0.020000,6.841331,13.640636,2.357738,5.297619,5.952381,-0.000000,0.115370
0.020000,6.947733,13.653213,2.464881,5.416667,5.952381,0.000000,0.119940
0.020000,7.056439,13.666569,2.574405,5.535714,5.952381,0.000000,0.124543
0.020000,7.167445,13.680728,2.686310,5.654762,5.952381,-0.000000,0.129174
0.020000,7.280744,13.695714,2.800595,5.773810,5.952381,0.000000,0.133827
0.020000,7.396330,13.711551,2.917262,5.892857,5.952381,0.000000,0.138499
0.020000,7.514199,13.728263,3.036310,6.011905,5.952381,-0.000000,0.143182
0.020000,7.634344,13.745873,3.157738,6.130952,5.952381,0.000000,0.147872
0.020000,7.756759,13.764402,3.281548,6.250000,5.952381,-0.000000,0.152563
0.020000,7.881438,13.783873,3.407738,6.369048,5.952381,0.000000,0.157249
0.020000,8.008375,13.804305,3.536310,6.488095,5.952381,0.000000,0.161924
0.020000,8.137565,13.825719,3.667262,6.607143,5.952381,-0.000000,0.166583
0.020000,8.269000,13.848133,3.800595,6.726190,5.952381,0.000000,0.171218
0.020000,8.402676,13.871566,3.936310,6.845238,5.952381,-0.000000,0.175824
0.020000,8.538587,13.896033,4.074405,6.964286,5.952381,0.000000,0.180395
0.020000,8.676725,13.921552,4.214881,7.083333,5.952381,0.000000,0.184924
0.020000,8.817087,13.948135,4.357738,7.202381,5.952381,-0.000000,0.189404
0.020000,8.959667,13.975797,4.502976,7.321429,5.952381,0.000000,0.193830
0.020000,9.104459,14.004548,4.650595,7.440476,5.952381,0.000000,0.198194
0.020000,9.251458,14.034401,4.800595,7.559524,5.952381,-0.000000,0.202489
0.020000,9.400660,14.065363,4.952976,7.678571,5.952381,0.000000,0.206709
0.020000,9.552061,14.097441,5.107738,7.797619,5.952381,-0.000000,0.210847
0.020000,9.705656,14.130642,5.264881,7.916667,5.952381,0.000000,0.214896
0.020000,9.861443,14.164970,5.424405,8.035714,5.952381,0.000000,0.218848
0.020000,10.019417,14.200427,5.586310,8.154762,5.952381,-0.000000,0.222698
0.020000,10.179577,14.237013,5.750595,8.273810,5.952381,0.000000,0.226436
0.020000,10.341921,14.274727,5.917262,8.392857,5.952381,0.000000,0.230057
0.020000,10.506446,14.313565,6.086310,8.511905,5.952381,0.000000,0.233553
0.020000,10.673153,14.353523,6.257738,8.630952,5.952381,0.000000,0.236917
0.020000,10.842040,14.394592,6.431548,8.750000,5.952381,-0.000000,0.240141
0.020000,11.013110,14.436763,6.607738,8.869048,5.952381,0.000000,0.243217
0.020000,11.186362,14.480024,6.786310,8.988095,5.952381,0.000000,0.246138
0.020000,11.361798,14.524359,6.967262,9.107143,5.952381,-0.000000,0.248897
0.020000,11.539423,14.569754,7.150595,9.226190,5.952381,0.000000,0.251485
0.020000,11.719239,14.616187,7.336310,9.345238,5.952381,0.000000,0.253895
0.020000,11.901250,14.663638,7.524405,9.464286,5.952381,0.000000,0.256119
0.020000,12.085463,14.712081,7.714881,9.583333,5.952381,0.000000,0.258149
0.020000,12.271884,14.761490,7.907738,9.702381,5.952381,-0.000000,0.259977
0.020000,12.460520,14.811834,8.102976,9.821429,5.952381,0.000000,0.261594
0.020000,12.651379,14.863080,8.300595,9.940476,5.952381,0.000000,0.262993
0.020000,12.843896,14.915035,8.500000,10.000000,2.976190,-148.809524,0.264161
0.020000,13.036933,14.967349,8.700000,10.000000,0.000000,-148.809524,0.265088
0.020000,13.229928,15.019817,8.900000,10.000000,0.000000,0.000000,0.265770
0.020000,13.422893,15.072394,9.100000,10.000000,0.000000,0.000000,0.266207
0.020000,13.615842,15.125031,9.300000,10.000000,0.000000,0.000000,0.266399
0.020000,13.808788,15.177682,9.500000,10.000000,0.000000,0.000000,0.266346
0.020000,14.001742,15.230299,9.700000,10.000000,0.000000,0.000000,0.266049
0.020000,14.194719,15.282835,9.900000,10.000000,0.000000,0.000000,0.265507
0.020000,14.387730,15.335242,10.100000,10.000000,0.000000,0.000000,0.264720
0.020000,14.580789,15.387474,10.300000,10.000000,0.000000,0.000000,0.263687
0.020000,14.773909,15.439483,10.500000,10.000000,0.000000,0.000000,0.262409
0.020000,14.967101,15.491222,10.700000,10.000000,0.000000,0.000000,0.260886
0.020000,15.151094,15.543851,10.900000,10.000000,0.000000,0.000000,0.304463
0.020000,15.340099,15.609169,11.100000,10.000000,0.000000,0.000000,0.361133
0.020000,15.525084,15.685127,11.300000,10.000000,0.000000,0.000000,0.418099
0.020000,15.705462,15.771457,11.500000,10.000000,0.000000,0.000000,0.474516
0.020000,15.880747,15.867712,11.700000,10.000000,0.000000,0.000000,0.529541
0.020000,16.050583,15.973289,11.900000,10.000000,0.000000,0.000000,0.582389
0.020000,16.214764,16.087465,12.100000,10.000000,0.000000,0.000000,0.632392
0.020000,16.373236,16.209445,12.300000,10.000000,0.000000,0.000000,0.679024
0.020000,16.526091,16.338400,12.500000,10.000000,0.000000,0.000000,0.721911
0.020000,16.673545,16.473501,12.700000,10.000000,0.000000,0.000000,0.760825
0.020000,16.815920,16.613948,12.900000,10.000000,0.000000,0.000000,0.795657
0.020000,16.953616,16.758988,13.100000,10.000000,0.000000,0.000000,0.826393
0.020000,17.087094,16.907921,13.300000,10.000000,0.000000,0.000000,0.853084
0.020000,17.216853,17.060108,13.500000,10.000000,0.000000,0.000000,0.875821
0.020000,17.343419,17.214963,13.700000,10.000000,0.000000,0.000000,0.894714
0.020000,17.467332,17.371950,13.900000,10.000000,0.000000,0.000000,0.909875
0.020000,17.589140,17.530576,14.100000,10.000000,0.000000,0.000000,0.921408
0.020000,17.709396,17.690383,14.300000,10.000000,0.000000,0.000000,0.929400
0.020000,17.828650,17.850939,14.500000,10.000000,0.000000,0.000000,0.933915
0.020000,17.947456,18.011828,14.700000,10.000000,0.000000,0.000000,0.934988
0.020000,18.066365,18.172640,14.900000,10.000000,0.000000,0.000000,0.932631
0.020000,18.185930,18.332966,15.100000,10.000000,0.000000,0.000000,0.926822
0.020000,18.306701,18.492384,15.300000,10.000000,0.000000,0.000000,0.917514
0.020000,18.429232,18.650452,15.500000,10.000000,0.000000,0.000000,0.904636
0.020000,18.554073,18.806701,15.700000,10.000000,0.000000,0.000000,0.888093
0.020000,18.681770,18.960624,15.900000,10.000000,0.000000,0.000000,0.867776
0.020000,18.812859,19.111666,16.100000,10.000000,0.000000,0.000000,0.843573
0.020000,18.947857,19.259222,16.300000,10.000000,0.000000,0.000000,0.815379
0.020000,19.087028,19.402407,16.499685,9.968502,-1.574908,-78.745376,0.783168
0.020000,19.230121,19.539908,16.698145,9.877480,-4.551098,-148.809524,0.747106
0.020000,19.376744,19.670497,16.894504,9.758432,-5.952381,-70.064148,0.707496
0.020000,19.526783,19.793420,17.088482,9.639385,-5.952381,-0.000000,0.664665
0.020000,19.680209,19.908152,17.280079,9.520337,-5.952381,0.000000,0.618994
0.020000,19.836872,20.014231,17.469296,9.401289,-5.952381,0.000000,0.570967
0.020000,19.996503,20.111278,17.656131,9.282242,-5.952381,-0.000000,0.521161
0.020000,20.158728,20.199022,17.840585,9.163194,-5.952381,0.000000,0.470222
0.020000,20.323083,20.277321,18.022659,9.044147,-5.952381,0.000000,0.418827
0.020000,20.489041,20.346170,18.202351,8.925099,-5.952381,0.000000,0.367648
0.020000,20.656040,20.405702,18.379663,8.806051,-5.952381,0.000000,0.317305
0.020000,20.823512,20.456178,18.554593,8.687004,-5.952381,-0.000000,0.268335
0.020000,20.990908,20.497968,18.727143,8.567956,-5.952381,0.000000,0.221175
0.020000,21.150516,20.533095,18.897311,8.448908,-5.952381,0.000000,0.213966
0.020000,21.314590,20.568195,19.065099,8.329861,-5.952381,0.000000,0.207260
0.020000,21.476592,20.601582,19.230506,8.210813,-5.952381,-0.000000,0.198936
0.020000,21.636556,20.633026,19.393532,8.091766,-5.952381,0.000000,0.188946
