dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.499296,12.250000,0.000595,0.059524,2.976190,148.809524,6.282622
0.020000,4.499459,12.250000,0.000758,0.008148,-2.568812,-277.250148,6.282753
0.020000,4.499785,12.250000,0.001084,0.016290,0.407132,148.797236,6.283013
0.020000,4.504274,12.250000,0.005573,0.224431,10.407036,499.995208,0.000219
0.020000,4.514448,12.250005,0.015747,0.508733,14.215095,190.402929,0.000740
0.020000,4.527166,12.250019,0.028465,0.635887,6.357701,-392.869687,0.001390
0.020000,4.542426,12.250046,0.043725,0.763015,6.356409,-0.064625,0.002170
0.020000,4.560229,12.250093,0.061528,0.890115,6.355021,-0.069389,0.003078
0.020000,4.580572,12.250166,0.081871,1.017187,6.353595,-0.071282,0.004115
0.020000,4.603456,12.250273,0.104756,1.144228,6.352016,-0.078962,0.005280
0.020000,4.628881,12.250424,0.130180,1.271223,6.349786,-0.111517,0.006572
0.020000,4.656843,12.250628,0.158144,1.398180,6.347815,-0.098530,0.007990
0.020000,4.687344,12.250895,0.188645,1.525072,6.344602,-0.160673,0.009534
0.020000,4.720380,12.251238,0.221684,1.651919,6.342344,-0.112878,0.011203
0.020000,4.755952,12.251668,0.257258,1.778709,6.339499,-0.142257,0.012996
0.020000,4.794057,12.252200,0.295367,1.905432,6.336175,-0.166216,0.014911
0.020000,4.834693,12.252847,0.336008,2.032072,6.332000,-0.208709,0.016948
0.020000,4.877859,12.253625,0.379181,2.158650,6.328884,-0.155832,0.019106
0.020000,4.923552,12.254551,0.424884,2.285135,6.324240,-0.232184,0.021382
0.020000,4.971771,12.255639,0.473114,2.411532,6.319882,-0.217917,0.023776
0.020000,5.022511,12.256910,0.523871,2.537835,6.315118,-0.238167,0.026286
0.020000,5.075772,12.258380,0.577152,2.664042,6.310368,-0.237530,0.028911
0.020000,5.131549,12.260070,0.632955,2.790134,6.304626,-0.287089,0.031648
0.020000,5.189839,12.261998,0.691277,2.916112,6.298857,-0.288433,0.034497
0.020000,5.250639,12.264187,0.752116,3.041965,6.292661,-0.309845,0.037454
0.020000,5.313945,12.266656,0.815470,3.167700,6.286773,-0.294389,0.040518
0.020000,5.379753,12.269428,0.881336,3.293285,6.279213,-0.377983,0.043687
0.020000,5.448057,12.272526,0.949710,3.418733,6.272445,-0.338424,0.046958
0.020000,5.518854,12.275973,1.020591,3.544032,6.264918,-0.376307,0.050329
0.020000,5.592138,12.279792,1.093974,3.669165,6.256677,-0.412056,0.053798
0.020000,5.667903,12.284007,1.169857,3.794133,6.248387,-0.414526,0.057361
0.020000,5.746144,12.288644,1.248236,3.918924,6.239541,-0.442305,0.061016
0.020000,5.826855,12.293727,1.329106,4.043535,6.230538,-0.450155,0.064760
0.020000,5.910029,12.299281,1.412465,4.167951,6.220812,-0.486289,0.068591
0.020000,5.995659,12.305332,1.498308,4.292161,6.210492,-0.516012,0.072503
0.020000,6.083737,12.311906,1.586632,4.416171,6.200536,-0.497770,0.076495
0.020000,6.174256,12.319029,1.677431,4.539956,6.189239,-0.564864,0.080563
0.020000,6.267208,12.326728,1.770701,4.663513,6.177850,-0.569443,0.084703
0.020000,6.362585,12.335029,1.866438,4.786841,6.166411,-0.571945,0.088912
0.020000,6.460376,12.343958,1.964636,4.909914,6.153628,-0.639155,0.093185
0.020000,6.560574,12.353541,2.065291,5.032742,6.141407,-0.611073,0.097518
0.020000,6.663168,12.363806,2.168397,5.155302,6.127981,-0.671283,0.101908
0.020000,6.768148,12.374777,2.273949,5.277595,6.114661,-0.665974,0.106350
0.020000,6.875503,12.386482,2.381941,5.399601,6.100289,-0.718641,0.110839
0.020000,6.985224,12.398946,2.492368,5.521323,6.086107,-0.709070,0.115370
0.020000,7.097299,12.412194,2.605223,5.642744,6.071040,-0.753362,0.119940
0.020000,7.211716,12.426251,2.720500,5.763858,6.055724,-0.765788,0.124543
0.020000,7.328463,12.441142,2.838193,5.884660,6.040102,-0.781136,0.129174
0.020000,7.447529,12.456891,2.958296,6.005135,6.023746,-0.817781,0.133827
0.020000,7.568900,12.473521,3.080801,6.125283,6.007376,-0.818505,0.138499
0.020000,7.692565,12.491055,3.205703,6.245088,5.990251,-0.856220,0.143182
0.020000,7.818511,12.509514,3.332994,6.364548,5.973020,-0.861580,0.147872
0.020000,7.946723,12.528921,3.462667,6.483650,5.955112,-0.895391,0.152563
0.020000,8.077190,12.549296,3.594715,6.602394,5.937161,-0.897565,0.157249
0.020000,8.209897,12.570657,3.729130,6.720766,5.918608,-0.927615,0.161924
0.020000,8.344831,12.593023,3.865905,6.838762,5.899815,-0.939676,0.166583
0.020000,8.481979,12.616411,4.005033,6.956377,5.880743,-0.953583,0.171218
0.020000,8.621326,12.640838,4.146505,7.073601,5.861210,-0.976670,0.175824
0.020000,8.762859,12.666317,4.290314,7.190431,5.841491,-0.985947,0.180395
0.020000,8.906565,12.692864,4.436451,7.306860,5.821435,-1.002773,0.184924
0.020000,9.052430,12.720489,4.584908,7.422881,5.801091,-1.017197,0.189404
0.020000,9.200440,12.749205,4.735678,7.538491,5.780492,-1.029996,0.193830
0.020000,9.350582,12.779019,4.888752,7.653684,5.759633,-1.042934,0.198194
0.020000,9.502843,12.809939,5.044121,7.768454,5.738509,-1.056197,0.202489
0.020000,9.657210,12.841973,5.201777,7.882797,5.717152,-1.067820,0.206709
0.020000,9.813671,12.875124,5.361711,7.996709,5.695596,-1.077804,0.210847
0.020000,9.972213,12.909394,5.523915,8.110184,5.673773,-1.091175,0.214896
0.020000,10.132825,12.944785,5.688379,8.223220,5.651770,-1.100142,0.218848
0.020000,10.295494,12.981295,5.855095,8.335810,5.629530,-1.112010,0.222698
0.020000,10.460210,13.018922,6.024054,8.447953,5.607115,-1.120750,0.226436
0.020000,10.626962,13.057660,6.195247,8.559641,5.584417,-1.134871,0.230057
0.020000,10.795741,13.097503,6.368665,8.670874,5.561629,-1.139415,0.233553
0.020000,10.966536,13.138440,6.544298,8.781644,5.538540,-1.154477,0.236917
0.020000,11.139339,13.180461,6.722137,8.891950,5.515277,-1.163131,0.240141
0.020000,11.314142,13.223553,6.902172,9.001787,5.491839,-1.171910,0.243217
0.020000,11.490937,13.267698,7.084395,9.111148,5.468038,-1.190036,0.246138
0.020000,11.669717,13.312878,7.268796,9.220031,5.444186,-1.192619,0.248897
0.020000,11.850476,13.359074,7.455365,9.328431,5.419988,-1.209860,0.251485
0.020000,12.033209,13.406261,7.644091,9.436342,5.395569,-1.220990,0.253895
0.020000,12.217910,13.454413,7.834967,9.543758,5.370792,-1.238838,0.256119
0.020000,12.404577,13.503501,8.027980,9.650676,5.345882,-1.245505,0.258149
0.020000,12.593206,13.553495,8.223122,9.757087,5.320555,-1.266328,0.259977
0.020000,12.783795,13.604360,8.420382,9.862986,5.294936,-1.280967,0.261594
0.020000,12.976343,13.656059,8.619749,9.968366,5.268992,-1.297202,0.262993
0.020000,13.170270,13.708396,8.820614,10.043261,3.744755,-76.211855,0.264161
0.020000,13.364425,13.761012,9.021773,10.057938,0.733846,-150.545440,0.265088
0.020000,13.558243,13.813704,9.222625,10.042622,-0.765774,-74.981002,0.265770
0.020000,13.751736,13.866424,9.423172,10.027314,-0.765386,0.019417,0.266207
0.020000,13.944916,13.919125,9.623412,10.012012,-0.765115,0.013537,0.266399
0.020000,14.137798,13.971758,9.823346,9.996712,-0.765010,0.005232,0.266346
0.020000,14.330394,14.024277,10.022974,9.981411,-0.765039,-0.001443,0.266049
0.020000,14.522717,14.076635,10.222296,9.966107,-0.765227,-0.009395,0.265507
0.020000,14.714778,14.128785,10.421312,9.950796,-0.765544,-0.015858,0.264720
0.020000,14.906592,14.180680,10.620022,9.935476,-0.765998,-0.022708,0.263687
0.020000,15.098169,14.232274,10.818425,9.920143,-0.766615,-0.030806,0.262409
0.020000,15.289522,14.283520,11.016521,9.904797,-0.767308,-0.034673,0.260886
