dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.499671,14.835000,0.000398,0.039823,1.991150,99.557522,0.000247
0.020000,4.499744,14.835000,0.000471,0.003643,-1.809013,-190.008182,0.000192
0.020000,4.499889,14.835000,0.000617,0.007273,0.181488,99.525066,0.000083
0.020000,4.502452,14.835000,0.003179,0.128121,6.042405,293.045836,6.283105
0.020000,4.509112,14.834999,0.009839,0.333025,10.245243,210.141899,6.282889
0.020000,4.517436,14.834995,0.018163,0.416183,4.157884,-304.367948,6.282620
0.020000,4.527421,14.834988,0.028149,0.499276,4.154642,-0.162089,6.282300
0.020000,4.539067,14.834975,0.039794,0.582293,4.150827,-0.190739,6.281928
0.020000,4.552371,14.834956,0.053099,0.665214,4.146096,-0.236566,6.281508
0.020000,4.567332,14.834927,0.068059,0.748035,4.141033,-0.253163,6.281041
0.020000,4.583947,14.834887,0.084674,0.830738,4.135138,-0.294758,6.280527
0.020000,4.602213,14.834834,0.102940,0.913311,4.128674,-0.323193,6.279970
0.020000,4.622128,14.834764,0.122855,0.995740,4.121429,-0.362235,6.279371
0.020000,4.643688,14.834674,0.144416,1.078016,4.113792,-0.381856,6.278732
0.020000,4.666890,14.834563,0.167618,1.160121,4.105273,-0.425963,6.278057
0.020000,4.691730,14.834427,0.192459,1.242045,4.096192,-0.454023,6.277347
0.020000,4.718205,14.834263,0.218934,1.323776,4.086548,-0.482222,6.276607
0.020000,4.746311,14.834067,0.247040,1.405302,4.076304,-0.512171,6.275838
0.020000,4.776042,14.833837,0.276773,1.486606,4.065194,-0.555534,6.275044
0.020000,4.807394,14.833569,0.308126,1.567680,4.053702,-0.574571,6.274229
0.020000,4.840363,14.833259,0.341096,1.648510,4.041513,-0.609479,6.273396
0.020000,4.874943,14.832906,0.375678,1.729081,4.028556,-0.647829,6.272550
0.020000,4.911129,14.832506,0.411866,1.809387,4.015284,-0.663611,6.271693
0.020000,4.948914,14.832055,0.449654,1.889408,4.001034,-0.712495,6.270831
0.020000,4.988293,14.831551,0.489037,1.969137,3.986456,-0.728870,6.269968
0.020000,5.029261,14.830992,0.530008,2.048560,3.971145,-0.765571,6.269107
