dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,13.500000,0.000398,0.039823,1.991150,99.557522,0.000247
0.020000,4.500000,13.500000,0.001991,0.119469,3.982301,99.557522,0.000192
0.020000,4.500000,13.500000,0.005177,0.199115,3.982301,0.000000,0.000083
0.020000,4.502345,13.500000,0.009956,0.278761,3.982301,-0.000000,6.283105
0.020000,4.508717,13.499999,0.016327,0.358407,3.982301,0.000000,6.282889
0.020000,4.516681,13.499995,0.024292,0.438053,3.982301,0.000000,6.282620
0.020000,4.526239,13.499988,0.033850,0.517699,3.982301,0.000000,6.282300
0.020000,4.537389,13.499976,0.045000,0.597345,3.982301,0.000000,6.281928
0.020000,4.550132,13.499958,0.057743,0.676991,3.982301,0.000000,6.281508
0.020000,4.564469,13.499930,0.072080,0.756637,3.982301,0.000000,6.281041
0.020000,4.580398,13.499892,0.088009,0.836283,3.982301,0.000000,6.280527
0.020000,4.597920,13.499841,0.105531,0.915929,3.982301,0.000000,6.279970
0.020000,4.617035,13.499773,0.124646,0.995575,3.982301,0.000000,6.279371
0.020000,4.637743,13.499688,0.145354,1.075221,3.982301,-0.000000,6.278732
0.020000,4.660043,13.499581,0.167655,1.154867,3.982301,0.000000,6.278057
0.020000,4.683937,13.499450,0.191549,1.234513,3.982301,-0.000000,6.277347
0.020000,4.709423,13.499292,0.217035,1.314159,3.982301,0.000000,6.276607
0.020000,4.736502,13.499103,0.244115,1.393805,3.982301,0.000000,6.275838
0.020000,4.765174,13.498881,0.272788,1.473451,3.982301,0.000000,6.275044
0.020000,4.795438,13.498622,0.303053,1.553097,3.982301,-0.000000,6.274229
0.020000,4.827295,13.498323,0.334912,1.632743,3.982301,0.000000,6.273396
0.020000,4.860745,13.497982,0.368363,1.712389,3.982301,-0.000000,6.272550
0.020000,4.895787,13.497594,0.403407,1.792035,3.982301,0.000000,6.271693
0.020000,4.932421,13.497157,0.440044,1.871681,3.982301,-0.000000,6.270831
0.020000,4.970648,13.496668,0.478274,1.951327,3.982301,0.000000,6.269968
0.020000,5.010468,13.496124,0.518097,2.030973,3.982301,-0.000000,6.269107
0.020000,5.051879,13.495524,0.559513,2.110619,3.982301,0.000000,6.268256
0.020000,5.094883,13.494863,0.602522,2.190265,3.982301,0.000000,6.267417
0.020000,5.139479,13.494142,0.647124,2.269912,3.982301,0.000000,6.266596
0.020000,5.185667,13.493357,0.693319,2.349558,3.982301,-0.000000,6.265799
0.020000,5.233447,13.492507,0.741106,2.429204,3.982301,0.000000,6.265031
0.020000,5.282819,13.491592,0.790487,2.508850,3.982301,0.000000,6.264297
0.020000,5.333783,13.490612,0.841460,2.588496,3.982301,0.000000,6.263605
0.020000,5.386339,13.489565,0.894027,2.668142,3.982301,-0.000000,6.262959
0.020000,5.440487,13.488454,0.948186,2.747788,3.982301,0.000000,6.262365
0.020000,5.496227,13.487278,1.003938,2.827434,3.982301,0.000000,6.261832
0.020000,5.553558,13.486039,1.061283,2.907080,3.982301,0.000000,6.261364
0.020000,5.612482,13.484741,1.120221,2.986726,3.982301,-0.000000,6.260968
0.020000,5.672998,13.483387,1.180752,3.066372,3.982301,0.000000,6.260653
0.020000,5.735106,13.481979,1.242876,3.146018,3.982301,0.000000,6.260425
0.020000,5.798806,13.480524,1.306593,3.225664,3.982301,0.000000,6.260290
0.020000,5.864099,13.479028,1.371903,3.305310,3.982301,0.000000,6.260258
0.020000,5.930984,13.477496,1.438805,3.384956,3.982301,-0.000000,6.260336
0.020000,5.999462,13.475937,1.507301,3.464602,3.982301,0.000000,6.260531
0.020000,6.069532,13.474360,1.577389,3.544248,3.982301,-0.000000,6.260852
0.020000,6.141196,13.472775,1.649071,3.623894,3.982301,0.000000,6.261307
0.020000,6.214454,13.471193,1.722345,3.703540,3.982301,-0.000000,6.261906
0.020000,6.289304,13.469627,1.797212,3.783186,3.982301,0.000000,6.262656
0.020000,6.365749,13.468091,1.873673,3.862832,3.982301,-0.000000,6.263568
0.020000,6.443788,13.466601,1.951726,3.942478,3.982301,0.000000,6.264649
0.020000,6.523421,13.465174,2.031372,4.022124,3.982301,-0.000000,6.265911
0.020000,6.604649,13.463829,2.112611,4.101770,3.982301,0.000000,6.267362
0.020000,6.687472,13.462585,2.195442,4.181416,3.982301,0.000000,6.269014
0.020000,6.771889,13.461466,2.279867,4.261062,3.982301,-0.000000,6.270875
0.020000,6.857901,13.460496,2.365885,4.340708,3.982301,0.000000,6.272957
0.020000,6.945508,13.459700,2.453496,4.420354,3.982301,0.000000,6.275271
0.020000,7.034710,13.459106,2.542699,4.500000,3.982301,0.000000,6.277828
0.020000,7.125505,13.458746,2.633496,4.579646,3.982301,0.000000,6.280639
0.020000,7.217895,13.458651,2.725885,4.659292,3.982301,0.000000,0.000531
0.020000,7.311877,13.458857,2.819867,4.738938,3.982301,-0.000000,0.003887
0.020000,7.407450,13.459401,2.915442,4.818584,3.982301,0.000000,0.007532
