dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500329,12.165000,0.000398,0.039823,1.991150,99.557522,0.000247
0.020000,4.500256,12.165000,0.000471,0.003643,-1.809013,-190.008182,0.000192
0.020000,4.500111,12.165000,0.000617,0.007273,0.181488,99.525066,0.000083
0.020000,4.502238,12.165000,0.002744,0.106368,4.954782,238.664700,6.283105
0.020000,4.508321,12.164999,0.008827,0.304144,9.888778,246.699785,6.282889
0.020000,4.515927,12.164995,0.016432,0.380277,3.806650,-304.106408,6.282620
0.020000,4.525056,12.164989,0.025562,0.456475,3.809925,0.163772,6.282300
0.020000,4.535711,12.164977,0.036217,0.532754,3.813921,0.199789,6.281928
0.020000,4.547894,12.164960,0.048399,0.609120,3.818321,0.219986,6.281508
0.020000,4.561605,12.164933,0.062111,0.685593,3.823657,0.266811,6.281041
0.020000,4.576849,12.164897,0.077355,0.762183,3.829469,0.290628,6.280527
0.020000,4.593627,12.164847,0.094133,0.838902,3.835996,0.326347,6.279970
0.020000,4.611942,12.164783,0.112448,0.915763,3.843040,0.352162,6.279371
0.020000,4.631798,12.164701,0.132304,0.992782,3.850953,0.395657,6.278732
0.020000,4.653197,12.164598,0.153703,1.069968,3.859282,0.416446,6.278057
0.020000,4.676143,12.164473,0.176650,1.147334,3.868317,0.451787,6.277347
0.020000,4.700641,12.164320,0.201148,1.224895,3.878054,0.486817,6.276607
0.020000,4.726693,12.164139,0.227201,1.302664,3.888454,0.520037,6.275838
0.020000,4.754305,12.163925,0.254814,1.380650,3.899266,0.540583,6.275044
0.020000,4.783482,12.163676,0.283991,1.458868,3.910935,0.583458,6.274229
0.020000,4.814227,12.163387,0.314738,1.537332,3.923163,0.611410,6.273396
0.020000,4.846546,12.163057,0.347059,1.616049,3.935881,0.635887,6.272550
0.020000,4.880445,12.162682,0.380960,1.695040,3.949506,0.681239,6.271693
0.020000,4.915929,12.162259,0.416446,1.774308,3.963415,0.695437,6.270831
0.020000,4.953003,12.161785,0.453523,1.853872,3.978212,0.739885,6.269968
0.020000,4.991674,12.161257,0.492198,1.933742,3.993515,0.765127,6.269107
0.020000,5.031949,12.160672,0.532477,2.013929,4.009333,0.790888,6.268256
0.020000,5.073833,12.160029,0.574366,2.094449,4.026017,0.834226,6.267417
0.020000,5.117333,12.159325,0.617872,2.175311,4.043059,0.852075,6.266596
0.020000,5.162457,12.158558,0.663003,2.256528,4.060852,0.889655,6.265799
0.020000,5.209212,12.157727,0.709765,2.338111,4.079181,0.916462,6.265031
0.020000,5.257605,12.156831,0.758166,2.420076,4.098227,0.952294,6.264297
0.020000,5.307645,12.155868,0.808215,2.502432,4.117793,0.978320,6.263605
0.020000,5.359338,12.154838,0.859919,2.585192,4.138021,1.011387,6.262959
0.020000,5.412694,12.153743,0.913286,2.668369,4.158838,1.040833,6.262365
0.020000,5.467722,12.152582,0.968326,2.751975,4.180307,1.073481,6.261832
0.020000,5.524429,12.151357,1.025046,2.836023,4.202386,1.103923,6.261364
0.020000,5.582825,12.150071,1.083457,2.920525,4.225107,1.136038,6.260968
0.020000,5.642920,12.148725,1.143566,3.005494,4.248451,1.167224,6.260653
0.020000,5.704723,12.147325,1.205385,3.090943,4.272475,1.201184,6.260425
0.020000,5.768244,12.145874,1.268923,3.176886,4.297124,1.232474,6.260290
0.020000,5.833494,12.144379,1.334190,3.263335,4.322469,1.267246,6.260258
0.020000,5.900482,12.142844,1.401196,3.350305,4.348474,1.300266,6.260336
0.020000,5.969221,12.141279,1.469952,3.437808,4.375176,1.335060,6.260531
0.020000,6.039720,12.139693,1.540469,3.525860,4.402579,1.370150,6.260852
0.020000,6.111992,12.138094,1.612759,3.614474,4.430719,1.407008,6.261307
0.020000,6.186048,12.136495,1.686832,3.703666,4.459574,1.442770,6.261906
0.020000,6.261900,12.134908,1.762701,3.793450,4.489213,1.481925,6.262656
0.020000,6.339561,12.133348,1.840378,3.883842,4.519587,1.518688,6.263568
0.020000,6.419044,12.131831,1.919875,3.974857,4.550765,1.558907,6.264649
0.020000,6.500361,12.130373,2.001205,4.066513,4.582819,1.602735,6.265911
0.020000,6.583526,12.128996,2.084382,4.158824,4.615559,1.636962,6.267362
0.020000,6.668553,12.127720,2.169418,4.251812,4.649357,1.689935,6.269014
0.020000,6.755455,12.126567,2.256328,4.345488,4.683824,1.723348,6.270875
0.020000,6.844247,12.125565,2.345125,4.439875,4.719341,1.775842,6.272957
0.020000,6.934943,12.124741,2.435825,4.534988,4.755657,1.815799,6.275271
0.020000,7.027558,12.124125,2.528442,4.630847,4.792949,1.864607,6.277828
0.020000,7.122106,12.123750,2.622991,4.727470,4.831156,1.910355,6.280639
0.020000,7.218604,12.123651,2.719489,4.824877,4.870350,1.959692,0.000531
0.020000,7.317065,12.123867,2.817951,4.923085,4.910414,2.003169,0.003887
0.020000,7.417506,12.124438,2.918393,5.022117,4.951585,2.058556,0.007532
0.020000,7.519941,12.125410,3.020833,5.121986,4.993460,2.093785,0.011481
0.020000,7.624386,12.126830,3.125287,5.222716,5.036474,2.150671,0.015746
0.020000,7.730855,12.128749,3.231773,5.324322,5.080288,2.190718,0.020340
0.020000,7.839363,12.131222,3.340310,5.426819,5.124850,2.228116,0.025276
0.020000,7.949925,12.134308,3.450914,5.530227,5.170415,2.278209,0.030568
0.020000,8.062553,12.138068,3.563605,5.634556,5.216462,2.302384,0.036229
0.020000,8.177261,12.142570,3.678402,5.739822,5.263289,2.341330,0.042275
0.020000,8.294061,12.147885,3.795322,5.846032,5.310510,2.361029,0.048719
0.020000,8.412963,12.154088,3.914386,5.953194,5.358104,2.379722,0.055575
0.020000,8.533977,12.161259,4.035613,6.061311,5.405867,2.388155,0.062857
0.020000,8.657110,12.169484,4.159020,6.170383,5.453594,2.386343,0.070580
0.020000,8.782369,12.178851,4.284628,6.280401,5.500903,2.365460,0.078759
0.020000,8.909755,12.189455,4.412455,6.391357,5.547768,2.343221,0.087406
0.020000,9.039270,12.201397,4.542520,6.503225,5.593435,2.283390,0.096536
0.020000,9.170911,12.214781,4.674840,6.615985,5.638000,2.228215,0.106163
0.020000,9.304672,12.229717,4.809432,6.729597,5.680574,2.128707,0.116298
0.020000,9.440542,12.246320,4.946312,6.844015,5.720923,2.017437,0.126954
0.020000,9.578505,12.264711,5.085496,6.959181,5.758301,1.868910,0.138143
0.020000,9.718541,12.285014,5.226996,7.075028,5.792319,1.700919,0.149874
0.020000,9.860625,12.307358,5.370825,7.191467,5.821942,1.481134,0.162156
0.020000,10.004721,12.331878,5.516993,7.308402,5.846760,1.240889,0.174997
0.020000,10.150792,12.358710,5.665508,7.425716,5.865690,0.946520,0.188402
0.020000,10.298787,12.387996,5.816373,7.543281,5.878270,0.629008,0.202375
0.020000,10.448653,12.419879,5.969592,7.660949,5.883404,0.256716,0.216918
0.020000,10.600321,12.454504,6.125163,7.778553,5.880216,-0.159430,0.232030
0.020000,10.753719,12.492017,6.283082,7.895906,5.867625,-0.629547,0.247707
0.020000,10.908761,12.532564,6.443338,8.012810,5.845185,-1.122012,0.263942
