dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000302,18.500000,0.000595,0.059524,2.976190,148.809524,6.282944
0.020000,0.000261,18.500000,0.000637,0.002063,-2.873025,-292.460763,6.282977
0.020000,0.000178,18.500000,0.000719,0.004125,0.103085,148.805487,6.283043
0.020000,0.000055,18.500000,0.000843,0.006183,0.102923,-0.008074,6.283142
0.020000,0.006263,18.500000,0.007051,0.310440,15.212802,755.493931,0.000088
0.020000,0.017962,18.500002,0.018751,0.584953,13.725662,-74.357021,0.000253
0.020000,0.032002,18.500007,0.032790,0.701963,5.850503,-393.757936,0.000450
0.020000,0.048381,18.500016,0.049169,0.818980,5.850880,0.018837,0.000680
0.020000,0.067101,18.500032,0.067890,0.936009,5.851450,0.028527,0.000942
0.020000,0.088162,18.500055,0.088951,1.053051,5.852084,0.031689,0.001236
0.020000,0.111565,18.500087,0.112353,1.170109,5.852906,0.041082,0.001561
0.020000,0.137308,18.500132,0.138096,1.287181,5.853593,0.034372,0.001919
0.020000,0.165394,18.500191,0.166182,1.404272,5.854535,0.047093,0.002308
0.020000,0.195821,18.500268,0.196609,1.521381,5.855446,0.045558,0.002727
0.020000,0.228591,18.500365,0.229380,1.638512,5.856584,0.056905,0.003178
0.020000,0.263704,18.500485,0.264493,1.755666,5.857660,0.053804,0.003659
0.020000,0.301161,18.500631,0.301950,1.872843,5.858854,0.059674,0.004169
0.020000,0.340961,18.500808,0.341751,1.990047,5.860223,0.068436,0.004710
0.020000,0.383106,18.501019,0.383896,2.107277,5.861517,0.064735,0.005279
0.020000,0.427596,18.501267,0.428387,2.224537,5.862961,0.072184,0.005877
0.020000,0.474432,18.501557,0.475224,2.341828,5.864570,0.080470,0.006503
0.020000,0.523614,18.501893,0.524407,2.459151,5.866150,0.078996,0.007156
0.020000,0.575143,18.502279,0.575937,2.576508,5.867839,0.084426,0.007837
0.020000,0.629019,18.502720,0.629815,2.693901,5.869635,0.089825,0.008544
0.020000,0.685243,18.503221,0.686041,2.811330,5.871495,0.093004,0.009277
0.020000,0.743817,18.503787,0.744617,2.928799,5.873422,0.096312,0.010035
0.020000,0.804739,18.504422,0.805544,3.046310,5.875538,0.105837,0.010818
0.020000,0.868013,18.505132,0.868821,3.163860,5.877529,0.099548,0.011625
0.020000,0.933637,18.505923,0.934450,3.281457,5.879843,0.115696,0.012455
0.020000,1.001613,18.506798,1.002432,3.399098,5.882040,0.109841,0.013308
0.020000,1.071942,18.507765,1.072768,3.516786,5.884422,0.119107,0.014182
0.020000,1.144625,18.508828,1.145458,3.634524,5.886871,0.122439,0.015077
0.020000,1.219662,18.509994,1.220504,3.752312,5.889389,0.125921,0.015993
0.020000,1.297055,18.511268,1.297907,3.870152,5.892012,0.131112,0.016927
0.020000,1.376804,18.512656,1.377668,3.988046,5.894724,0.135630,0.017880
0.020000,1.458910,18.514165,1.459788,4.105996,5.897462,0.136903,0.018851
0.020000,1.543374,18.515799,1.544268,4.224002,5.900329,0.143354,0.019838
0.020000,1.630197,18.517565,1.631110,4.342068,5.903314,0.149220,0.020842
0.020000,1.719381,18.519470,1.720314,4.460194,5.906304,0.149508,0.021859
0.020000,1.810926,18.521519,1.811881,4.578383,5.909426,0.156097,0.022891
