dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000302,16.000000,0.000595,0.059524,2.976190,148.809524,6.282944
0.020000,-0.000261,16.000000,0.000637,0.002063,-2.873025,-292.460763,6.282977
0.020000,-0.000178,16.000000,0.000719,0.004125,0.103085,148.805487,6.283043
0.020000,-0.000055,16.000000,0.000843,0.006183,0.102923,-0.008074,6.283142
0.020000,0.006484,16.000000,0.007381,0.326914,16.036516,796.679611,0.000088
0.020000,0.018594,16.000002,0.019491,0.605521,13.930381,-105.306741,0.000253
0.020000,0.033126,16.000007,0.034024,0.726610,6.054425,-393.797774,0.000450
0.020000,0.050080,16.000017,0.050977,0.847687,6.053834,-0.029568,0.000680
0.020000,0.069455,16.000033,0.070352,0.968752,6.053279,-0.027731,0.000942
0.020000,0.091251,16.000056,0.092148,1.089805,6.052626,-0.032659,0.001236
0.020000,0.115468,16.000090,0.116365,1.210845,6.052003,-0.031147,0.001561
0.020000,0.142105,16.000137,0.143003,1.331866,6.051077,-0.046308,0.001919
0.020000,0.171163,16.000198,0.172060,1.452871,6.050250,-0.041369,0.002308
0.020000,0.202640,16.000277,0.203537,1.573856,6.049226,-0.051194,0.002727
0.020000,0.236536,16.000377,0.237434,1.694821,6.048272,-0.047702,0.003178
0.020000,0.272851,16.000502,0.273749,1.815763,6.047088,-0.059168,0.003659
0.020000,0.311584,16.000653,0.312483,1.936680,6.045861,-0.061366,0.004169
0.020000,0.352735,16.000836,0.353634,2.057573,6.044649,-0.060587,0.004710
0.020000,0.396304,16.001054,0.397203,2.178437,6.043195,-0.072708,0.005279
0.020000,0.442288,16.001310,0.443188,2.299272,6.041729,-0.073312,0.005877
0.020000,0.490689,16.001610,0.491590,2.420077,6.040268,-0.073067,0.006503
0.020000,0.541505,16.001957,0.542407,2.540849,6.038609,-0.082923,0.007156
0.020000,0.594735,16.002356,0.595638,2.661587,6.036896,-0.085655,0.007837
0.020000,0.650379,16.002812,0.651284,2.782290,6.035127,-0.088433,0.008544
0.020000,0.708436,16.003329,0.709343,2.902955,6.033257,-0.093518,0.009277
0.020000,0.768905,16.003913,0.769815,3.023581,6.031287,-0.098482,0.010035
0.020000,0.831784,16.004569,0.832698,3.144168,6.029347,-0.097041,0.010818
0.020000,0.897075,16.005301,0.897992,3.264710,6.027108,-0.111933,0.011625
0.020000,0.964774,16.006116,0.965697,3.385210,6.025034,-0.103681,0.012455
0.020000,1.034881,16.007020,1.035810,3.505664,6.022671,-0.118144,0.013308
0.020000,1.107396,16.008016,1.108331,3.626070,6.020331,-0.117015,0.014182
0.020000,1.182316,16.009113,1.183260,3.746428,6.017891,-0.122016,0.015077
0.020000,1.259642,16.010314,1.260595,3.866735,6.015353,-0.126871,0.015993
0.020000,1.339371,16.011627,1.340334,3.986990,6.012754,-0.129971,0.016927
0.020000,1.421502,16.013056,1.422478,4.107192,6.010079,-0.133770,0.017880
0.020000,1.506035,16.014609,1.507025,4.227337,6.007260,-0.140916,0.018851
0.020000,1.592967,16.016291,1.593974,4.347425,6.004406,-0.142731,0.019838
0.020000,1.682298,16.018108,1.683323,4.467455,6.001503,-0.145153,0.020842
0.020000,1.774025,16.020067,1.775071,4.587424,5.998436,-0.153317,0.021859
0.020000,1.868148,16.022173,1.869218,4.707331,5.995336,-0.154995,0.022891
