dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,17.250000,0.000500,0.050000,2.500000,125.000000,0.000021
0.020000,4.500000,17.250000,0.002500,0.150000,5.000000,125.000000,0.000014
0.020000,4.500000,17.250000,0.006500,0.250000,5.000000,0.000000,0.000002
0.020000,4.505359,17.250000,0.012500,0.350000,5.000000,-0.000000,6.283169
0.020000,4.513359,17.250000,0.020500,0.450000,5.000000,0.000000,6.283144
0.020000,4.523359,17.249999,0.030500,0.550000,5.000000,0.000000,6.283113
0.020000,4.535359,17.249998,0.042500,0.650000,5.000000,-0.000000,6.283076
0.020000,4.549359,17.249996,0.056500,0.750000,5.000000,0.000000,6.283033
0.020000,4.565359,17.249993,0.072500,0.850000,5.000000,0.000000,6.282985
0.020000,4.583359,17.249989,0.090500,0.950000,5.000000,0.000000,6.282930
0.020000,4.603359,17.249984,0.110500,1.050000,5.000000,0.000000,6.282871
0.020000,4.625359,17.249976,0.132500,1.150000,5.000000,-0.000000,6.282805
0.020000,4.649359,17.249966,0.156500,1.250000,5.000000,0.000000,6.282735
0.020000,4.675359,17.249953,0.182500,1.350000,5.000000,0.000000,6.282660
0.020000,4.703359,17.249937,0.210500,1.450000,5.000000,-0.000000,6.282579
0.020000,4.733359,17.249918,0.240500,1.550000,5.000000,0.000000,6.282495
0.020000,4.765359,17.249895,0.272500,1.650000,5.000000,0.000000,6.282406
0.020000,4.799359,17.249866,0.306500,1.750000,5.000000,0.000000,6.282312
0.020000,4.835359,17.249833,0.342500,1.850000,5.000000,0.000000,6.282215
0.020000,4.873359,17.249794,0.380500,1.950000,5.000000,-0.000000,6.282114
0.020000,4.913359,17.249750,0.420500,2.050000,5.000000,0.000000,6.282011
0.020000,4.955359,17.249698,0.462500,2.150000,5.000000,-0.000000,6.281904
0.020000,4.999359,17.249639,0.506500,2.250000,5.000000,0.000000,6.281794
0.020000,5.045359,17.249573,0.552500,2.350000,5.000000,-0.000000,6.281683
0.020000,5.093359,17.249498,0.600500,2.450000,5.000000,0.000000,6.281569
0.020000,5.143359,17.249414,0.650500,2.550000,5.000000,0.000000,6.281454
0.020000,5.195359,17.249321,0.702500,2.650000,5.000000,0.000000,6.281337
0.020000,5.249359,17.249218,0.756500,2.750000,5.000000,0.000000,6.281220
0.020000,5.305359,17.249105,0.812500,2.850000,5.000000,0.000000,6.281103
0.020000,5.363359,17.248980,0.870500,2.950000,5.000000,0.000000,6.280986
0.020000,5.423359,17.248845,0.930500,3.050000,5.000000,0.000000,6.280869
0.020000,5.485358,17.248698,0.992500,3.150000,5.000000,0.000000,6.280754
0.020000,5.549358,17.248538,1.056500,3.250000,5.000000,-0.000000,6.280639
0.020000,5.615358,17.248367,1.122500,3.350000,5.000000,0.000000,6.280527
0.020000,5.683358,17.248182,1.190500,3.450000,5.000000,0.000000,6.280418
0.020000,5.753357,17.247985,1.260500,3.550000,5.000000,0.000000,6.280312
0.020000,5.825357,17.247774,1.332500,3.650000,5.000000,0.000000,6.280209
0.020000,5.899357,17.247550,1.406500,3.750000,5.000000,-0.000000,6.280111
0.020000,5.975356,17.247313,1.482500,3.850000,5.000000,0.000000,6.280017
0.020000,6.053356,17.247062,1.560500,3.950000,5.000000,0.000000,6.279929
0.020000,6.133356,17.246798,1.640500,4.050000,5.000000,0.000000,6.279846
0.020000,6.215355,17.246521,1.722500,4.150000,5.000000,-0.000000,6.279771
0.020000,6.299355,17.246232,1.806500,4.250000,5.000000,0.000000,6.279702
0.020000,6.385354,17.245929,1.892500,4.350000,5.000000,-0.000000,6.279642
0.020000,6.473354,17.245615,1.980500,4.450000,5.000000,0.000000,6.279590
0.020000,6.563353,17.245290,2.070500,4.550000,5.000000,-0.000000,6.279547
0.020000,6.655352,17.244953,2.162500,4.650000,5.000000,0.000000,6.279515
0.020000,6.749352,17.244607,2.256500,4.750000,5.000000,-0.000000,6.279493
0.020000,6.845351,17.244252,2.352500,4.850000,5.000000,0.000000,6.279482
0.020000,6.943350,17.243889,2.450500,4.950000,5.000000,0.000000,6.279484
0.020000,7.043350,17.243520,2.550500,5.050000,5.000000,-0.000000,6.279499
0.020000,7.145349,17.243145,2.652500,5.150000,5.000000,0.000000,6.279528
0.020000,7.249348,17.242767,2.756500,5.250000,5.000000,-0.000000,6.279571
0.020000,7.355348,17.242387,2.862500,5.350000,5.000000,0.000000,6.279629
0.020000,7.463347,17.242006,2.970500,5.450000,5.000000,-0.000000,6.279704
0.020000,7.573346,17.241628,3.080500,5.550000,5.000000,0.000000,6.279796
0.020000,7.685346,17.241255,3.192500,5.650000,5.000000,0.000000,6.279905
0.020000,7.799345,17.240888,3.306500,5.750000,5.000000,-0.000000,6.280034
0.020000,7.915345,17.240531,3.422500,5.850000,5.000000,0.000000,6.280182
0.020000,8.033344,17.240186,3.540500,5.950000,5.000000,-0.000000,6.280351
0.020000,8.153344,17.239857,3.660500,6.050000,5.000000,0.000000,6.280541
0.020000,8.275343,17.239548,3.782500,6.150000,5.000000,-0.000000,6.280754
0.020000,8.399343,17.239261,3.906500,6.250000,5.000000,0.000000,6.280990
0.020000,8.525343,17.239000,4.032500,6.350000,5.000000,-0.000000,6.281251
0.020000,8.653342,17.238771,4.160500,6.450000,5.000000,0.000000,6.281537
0.020000,8.783342,17.238576,4.290500,6.550000,5.000000,0.000000,6.281850
0.020000,8.915342,17.238422,4.422500,6.650000,5.000000,-0.000000,6.282189
0.020000,9.049342,17.238313,4.556500,6.750000,5.000000,0.000000,6.282558
0.020000,9.185342,17.238255,4.692500,6.850000,5.000000,-0.000000,6.282956
0.020000,9.323342,17.238252,4.830500,6.950000,5.000000,0.000000,0.000199
0.020000,9.463342,17.238312,4.970500,7.050000,5.000000,-0.000000,0.000659
0.020000,9.605342,17.238440,5.112500,7.150000,5.000000,0.000000,0.001152
0.020000,9.749342,17.238644,5.256500,7.250000,5.000000,-0.000000,0.001678
0.020000,9.895342,17.238929,5.402500,7.350000,5.000000,0.000000,0.002240
0.020000,10.043341,17.239305,5.550500,7.450000,5.000000,-0.000000,0.002838
0.020000,10.193340,17.239778,5.700500,7.550000,5.000000,0.000000,0.003473
0.020000,10.345339,17.240356,5.852500,7.650000,5.000000,-0.000000,0.004146
0.020000,10.499338,17.241049,6.006500,7.750000,5.000000,0.000000,0.004859
0.020000,10.655336,17.241866,6.162500,7.850000,5.000000,-0.000000,0.005614
0.020000,10.813333,17.242815,6.320500,7.950000,5.000000,0.000000,0.006410
0.020000,10.973329,17.243907,6.480500,8.050000,5.000000,0.000000,0.007249
0.020000,11.135324,17.245153,6.642500,8.150000,5.000000,-0.000000,0.008133
0.020000,11.299318,17.246563,6.806500,8.250000,5.000000,0.000000,0.009063
0.020000,11.465311,17.248148,6.972500,8.350000,5.000000,0.000000,0.010040
0.020000,11.633301,17.249920,7.140500,8.450000,5.000000,0.000000,0.011066
0.020000,11.796502,17.255460,7.310500,8.550000,5.000000,0.000000,0.058864
0.020000,11.967860,17.270072,7.482500,8.650000,5.000000,0.000000,0.111165
0.020000,12.140205,17.293871,7.656500,8.750000,5.000000,-0.000000,0.163041
0.020000,12.313067,17.326859,7.832500,8.850000,5.000000,0.000000,0.213745
0.020000,12.486016,17.368887,8.010500,8.950000,5.000000,0.000000,0.262562
0.020000,12.658690,17.419660,8.190500,9.050000,5.000000,0.000000,0.308846
0.020000,12.830811,17.478763,8.372500,9.150000,5.000000,-0.000000,0.352055
0.020000,13.002197,17.545682,8.556500,9.250000,5.000000,0.000000,0.391760
0.020000,13.172768,17.619830,8.742500,9.350000,5.000000,0.000000,0.427647
0.020000,13.342537,17.700574,8.930500,9.450000,5.000000,0.000000,0.459499
0.020000,13.511608,17.787248,9.120500,9.550000,5.000000,-0.000000,0.487182
0.020000,13.680167,17.879174,9.312500,9.650000,5.000000,0.000000,0.510616
0.020000,13.848467,17.975662,9.506500,9.750000,5.000000,0.000000,0.529757
0.020000,14.016824,18.076018,9.702500,9.850000,5.000000,0.000000,0.544573
0.020000,14.185605,18.179539,9.900500,9.950000,5.000000,-0.000000,0.555028
0.020000,14.355223,18.285508,10.100500,10.050000,5.000000,0.000000,0.561068
0.020000,14.526130,18.393187,10.302500,10.150000,5.000000,-0.000000,0.562608
0.020000,14.698812,18.501801,10.506500,10.250000,5.000000,0.000000,0.559527
0.020000,14.873783,18.610525,10.712500,10.350000,5.000000,0.000000,0.551658
0.020000,15.051580,18.718469,10.920500,10.450000,5.000000,0.000000,0.538792
0.020000,15.232749,18.824660,11.130500,10.550000,5.000000,0.000000,0.520677
0.020000,15.417838,18.928024,11.342500,10.650000,5.000000,-0.000000,0.497031
0.020000,15.607373,19.027366,11.556500,10.750000,5.000000,0.000000,0.467564
0.020000,15.801834,19.121368,11.772500,10.850000,5.000000,0.000000,0.432008
0.020000,16.001613,19.208575,11.990500,10.950000,5.000000,0.000000,0.390174
0.020000,16.206505,19.287254,12.210000,11.000000,2.500000,-125.000000,0.342135
0.020000,16.415607,19.355552,12.430000,11.000000,0.000000,-125.000000,0.288371
0.020000,16.628164,19.411955,12.649945,10.994474,-0.276317,-13.815864,0.229625
0.020000,16.843151,19.455222,12.869279,10.938947,-2.776317,-125.000000,0.166997
0.020000,17.058920,19.484459,13.087058,10.838947,-5.000000,-111.184136,0.102006
0.020000,17.274144,19.499368,13.302837,10.738947,-5.000000,-0.000000,0.036203
0.020000,17.487883,19.500126,13.516616,10.638947,-5.000000,0.000000,6.254176
0.020000,17.694178,19.493029,13.728395,10.538947,-5.000000,0.000000,6.244857
0.020000,17.903775,19.484309,13.938174,10.438947,-5.000000,0.000000,6.238728
0.020000,18.111329,19.474635,14.145953,10.338947,-5.000000,0.000000,6.234857
0.020000,18.316857,19.464485,14.351732,10.238947,-5.000000,-0.000000,6.233170
0.020000,18.520382,19.454305,14.555511,10.138947,-5.000000,0.000000,6.233599
0.020000,18.721923,19.444519,14.757289,10.038947,-5.000000,0.000000,6.236083
0.020000,18.921499,19.435527,14.957068,9.938947,-5.000000,0.000000,6.240569
0.020000,19.119123,19.427704,15.154847,9.838947,-5.000000,-0.000000,6.247008
0.020000,19.314800,19.421408,15.350626,9.738947,-5.000000,0.000000,6.255357
0.020000,19.508528,19.416974,15.544405,9.638947,-5.000000,-0.000000,6.265572
0.020000,19.700292,19.414720,15.736184,9.538947,-5.000000,0.000000,6.277615
0.020000,19.890070,19.414945,15.925963,9.438947,-5.000000,0.000000,0.008257
0.020000,20.077823,19.417927,16.113742,9.338947,-5.000000,0.000000,0.023826
0.020000,20.263503,19.423927,16.299521,9.238947,-5.000000,-0.000000,0.041087
0.020000,20.447046,19.433183,16.483300,9.138947,-5.000000,0.000000,0.059983
0.020000,20.628375,19.445909,16.665079,9.038947,-5.000000,0.000000,0.080451
0.020000,20.807402,19.462298,16.844858,8.938947,-5.000000,0.000000,0.102414
0.020000,20.984024,19.482514,17.022637,8.838947,-5.000000,0.000000,0.125785
0.020000,21.158127,19.506694,17.198416,8.738947,-5.000000,-0.000000,0.150464
0.020000,21.329590,19.534942,17.372195,8.638947,-5.000000,0.000000,0.176335
0.020000,21.498282,19.567331,17.543974,8.538947,-5.000000,-0.000000,0.203271
0.020000,21.664071,19.603901,17.713753,8.438947,-5.000000,0.000000,0.231131
0.020000,21.826819,19.644654,17.881532,8.338947,-5.000000,0.000000,0.259763
0.020000,21.986394,19.689559,18.047310,8.238947,-5.000000,0.000000,0.289007
0.020000,22.142667,19.738550,18.211089,8.138947,-5.000000,-0.000000,0.318697
0.020000,22.295520,19.791527,18.372868,8.038947,-5.000000,0.000000,0.348663
0.020000,22.444844,19.848359,18.532647,7.938947,-5.000000,-0.000000,0.378741
0.020000,22.590544,19.908887,18.690426,7.838947,-5.000000,0.000000,0.408768
0.020000,22.732545,19.972927,18.846205,7.738947,-5.000000,-0.000000,0.438592
0.020000,22.863535,20.036202,18.999984,7.638947,-5.000000,0.000000,0.457577
0.020000,22.999248,20.104163,19.151763,7.538947,-5.000000,-0.000000,0.471146
