dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500028,15.915000,0.000398,0.039823,1.991150,99.557522,0.000021
0.020000,4.500021,15.915000,0.000405,0.000332,-1.974564,-198.285715,0.000016
0.020000,4.500008,15.915000,0.000418,0.000663,0.016553,99.555861,0.000006
0.020000,4.502804,15.915000,0.003214,0.139770,6.955336,346.939122,6.283177
0.020000,4.509149,15.915000,0.009559,0.317264,8.874714,95.968890,6.283157
0.020000,4.517081,15.915000,0.017490,0.396585,3.966046,-245.433356,6.283132
0.020000,4.526599,15.914999,0.027009,0.475909,3.966213,0.008305,6.283103
0.020000,4.537703,15.914998,0.038113,0.555237,3.966412,0.009965,6.283068
0.020000,4.550395,15.914996,0.050805,0.634570,3.966644,0.011627,6.283029
0.020000,4.564673,15.914994,0.065083,0.713908,3.966910,0.013287,6.282986
0.020000,4.580538,15.914990,0.080948,0.793252,3.967209,0.014948,6.282938
0.020000,4.597990,15.914985,0.098400,0.872603,3.967541,0.016610,6.282885
0.020000,4.617029,15.914979,0.117439,0.951961,3.967907,0.018270,6.282829
0.020000,4.637656,15.914971,0.138066,1.031328,3.968305,0.019932,6.282768
0.020000,4.659870,15.914961,0.160280,1.110702,3.968737,0.021592,6.282703
0.020000,4.683672,15.914949,0.184082,1.190086,3.969202,0.023254,6.282634
0.020000,4.709061,15.914934,0.209471,1.269480,3.969701,0.024913,6.282561
0.020000,4.736039,15.914916,0.236449,1.348885,3.970232,0.026577,6.282485
0.020000,4.764605,15.914895,0.265015,1.428301,3.970797,0.028235,6.282405
0.020000,4.794760,15.914870,0.295170,1.507729,3.971395,0.029897,6.282322
0.020000,4.826503,15.914841,0.326913,1.587169,3.972026,0.031561,6.282235
0.020000,4.859835,15.914808,0.360245,1.666623,3.972690,0.033215,6.282146
0.020000,4.894757,15.914770,0.395167,1.746091,3.973388,0.034884,6.282055
0.020000,4.931269,15.914727,0.431679,1.825573,3.974119,0.036540,6.281961
0.020000,4.969370,15.914679,0.469780,1.905071,3.974883,0.038204,6.281864
0.020000,5.009062,15.914624,0.509472,1.984585,3.975680,0.039856,6.281766
0.020000,5.050344,15.914563,0.550754,2.064115,3.976511,0.041531,6.281666
0.020000,5.093217,15.914496,0.593627,2.143662,3.977374,0.043182,6.281564
0.020000,5.137682,15.914422,0.638092,2.223228,3.978271,0.044846,6.281461
0.020000,5.183738,15.914340,0.684148,2.302812,3.979201,0.046508,6.281358
0.020000,5.231386,15.914250,0.731796,2.382415,3.980165,0.048163,6.281253
0.020000,5.280627,15.914153,0.781037,2.462038,3.981161,0.049831,6.281149
0.020000,5.331460,15.914046,0.831871,2.541682,3.982191,0.051490,6.281044
0.020000,5.383887,15.913931,0.884298,2.621347,3.983254,0.053147,6.280939
0.020000,5.437908,15.913807,0.938318,2.701034,3.984350,0.054812,6.280836
0.020000,5.493522,15.913674,0.993933,2.780744,3.985480,0.056470,6.280733
0.020000,5.550732,15.913530,1.051143,2.860477,3.986642,0.058134,6.280631
