dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,17.250000,0.000496,0.049602,2.480107,124.005337,0.000000
0.020000,0.000000,17.250000,0.002480,0.148806,4.960213,124.005337,0.000000
0.020000,0.000000,17.250000,0.006448,0.248011,4.960213,0.000000,0.000000
0.020000,0.003401,17.250000,0.012401,0.347215,4.960213,0.000000,0.000000
0.020000,0.011337,17.250000,0.020337,0.446419,4.960213,-0.000000,0.000000
0.020000,0.021257,17.250000,0.030257,0.545623,4.960213,0.000000,0.000000
0.020000,0.033162,17.250000,0.042162,0.644828,4.960213,0.000000,0.000000
0.020000,0.047050,17.250000,0.056050,0.744032,4.960213,0.000000,0.000000
0.020000,0.062923,17.250000,0.071923,0.843236,4.960213,0.000000,0.000000
0.020000,0.080780,17.250000,0.089780,0.942441,4.960213,0.000000,0.000000
0.020000,0.100621,17.250000,0.109621,1.041645,4.960213,-0.000000,0.000000
0.020000,0.122446,17.250000,0.131446,1.140849,4.960213,0.000000,0.000000
0.020000,0.146255,17.250000,0.155255,1.240053,4.960213,-0.000000,0.000000
0.020000,0.172048,17.250000,0.181048,1.339258,4.960213,0.000000,0.000000
0.020000,0.199825,17.250000,0.208825,1.438462,4.960213,-0.000000,0.000000
0.020000,0.229586,17.250000,0.238586,1.537666,4.960213,0.000000,0.000000
0.020000,0.261332,17.250000,0.270332,1.636870,4.960213,-0.000000,0.000000
0.020000,0.295061,17.250000,0.304061,1.736075,4.960213,0.000000,0.000000
0.020000,0.330775,17.250000,0.339775,1.835279,4.960213,0.000000,0.000000
0.020000,0.368472,17.250000,0.377472,1.934483,4.960213,0.000000,0.000000
0.020000,0.408154,17.250000,0.417154,2.033688,4.960213,0.000000,0.000000
0.020000,0.449820,17.250000,0.458820,2.132892,4.960213,0.000000,0.000000
0.020000,0.493470,17.250000,0.502470,2.232096,4.960213,0.000000,0.000000
0.020000,0.539104,17.250000,0.548104,2.331300,4.960213,0.000000,0.000000
0.020000,0.586722,17.250000,0.595722,2.430505,4.960213,0.000000,0.000000
0.020000,0.636324,17.250000,0.645324,2.529709,4.960213,0.000000,0.000000
0.020000,0.687910,17.250000,0.696910,2.628913,4.960213,0.000000,0.000000
0.020000,0.741480,17.250000,0.750480,2.728117,4.960213,0.000000,0.000000
0.020000,0.797035,17.250000,0.806035,2.827322,4.960213,-0.000000,0.000000
0.020000,0.854573,17.250000,0.863573,2.926526,4.960213,0.000000,0.000000
0.020000,0.914096,17.250000,0.923096,3.025730,4.960213,0.000000,0.000000
0.020000,0.975602,17.250000,0.984602,3.124935,4.960213,0.000000,0.000000
0.020000,1.039093,17.250000,1.048093,3.224139,4.960213,-0.000000,0.000000
0.020000,1.104568,17.250000,1.113568,3.323343,4.960213,-0.000000,0.000000
0.020000,1.172027,17.250000,1.181027,3.422547,4.960213,0.000000,0.000000
0.020000,1.241470,17.250000,1.250470,3.521752,4.960213,0.000000,0.000000
0.020000,1.312897,17.250000,1.321897,3.620956,4.960213,-0.000000,0.000000
0.020000,1.386308,17.250000,1.395308,3.720160,4.960213,0.000000,0.000000
0.020000,1.461703,17.250000,1.470703,3.819364,4.960213,-0.000000,0.000000
0.020000,1.539083,17.250000,1.548083,3.918569,4.960213,0.000000,0.000000
0.020000,1.618446,17.250000,1.627446,4.017773,4.960213,-0.000000,0.000000
0.020000,1.699794,17.250000,1.708794,4.116977,4.960213,0.000000,0.000000
0.020000,1.783125,17.250000,1.792125,4.216181,4.960213,0.000000,0.000000
0.020000,1.868441,17.250000,1.877441,4.315386,4.960213,0.000000,0.000000
0.020000,1.955741,17.250000,1.964741,4.414590,4.960213,0.000000,0.000000
0.020000,2.045024,17.250000,2.054024,4.513794,4.960213,0.000000,0.000000
0.020000,2.136292,17.250000,2.145292,4.612999,4.960213,-0.000000,0.000000
0.020000,2.229544,17.250000,2.238544,4.712203,4.960213,0.000000,0.000000
0.020000,2.324780,17.250000,2.333780,4.811407,4.960213,0.000000,0.000000
0.020000,2.422001,17.250000,2.431001,4.910611,4.960213,0.000000,0.000000
0.020000,2.521205,17.250000,2.530205,5.009816,4.960213,0.000000,0.000000
0.020000,2.622393,17.250000,2.631393,5.109020,4.960213,0.000000,0.000000
0.020000,2.725566,17.250000,2.734566,5.208224,4.960213,0.000000,0.000000
0.020000,2.830722,17.250000,2.839722,5.307428,4.960213,0.000000,0.000000
0.020000,2.937863,17.250000,2.946863,5.406633,4.960213,-0.000000,0.000000
0.020000,3.046988,17.250000,3.055988,5.505837,4.960213,0.000000,0.000000
0.020000,3.158096,17.250000,3.167096,5.605041,4.960213,-0.000000,0.000000
0.020000,3.271189,17.250000,3.280189,5.704246,4.960213,0.000000,0.000000
0.020000,3.386266,17.250000,3.395266,5.803450,4.960213,0.000000,0.000000
0.020000,3.503327,17.250000,3.512327,5.902654,4.960213,0.000000,0.000000
0.020000,3.622372,17.250000,3.631372,6.001858,4.960213,0.000000,0.000000
0.020000,3.743402,17.250000,3.752402,6.101063,4.960213,0.000000,0.000000
0.020000,3.866415,17.250000,3.875415,6.200267,4.960213,-0.000000,0.000000
0.020000,3.991412,17.250000,4.000412,6.299471,4.960213,0.000000,0.000000
0.020000,4.118394,17.250000,4.127394,6.398675,4.960213,0.000000,0.000000
0.020000,4.247359,17.250000,4.256359,6.497880,4.960213,0.000000,0.000000
0.020000,4.378309,17.250000,4.387309,6.597084,4.960213,0.000000,0.000000
0.020000,4.511243,17.250000,4.520243,6.696288,4.960213,-0.000000,0.000000
0.020000,4.646160,17.250000,4.655160,6.795492,4.960213,0.000000,0.000000
0.020000,4.783062,17.250000,4.792062,6.894697,4.960213,0.000000,0.000000
0.020000,4.921948,17.250000,4.930948,6.993901,4.960213,0.000000,0.000000
0.020000,5.062818,17.250000,5.071818,7.093105,4.960213,-0.000000,0.000000
0.020000,5.205672,17.250000,5.214672,7.192310,4.960213,0.000000,0.000000
0.020000,5.350511,17.250000,5.359511,7.291514,4.960213,0.000000,0.000000
0.020000,5.497333,17.250000,5.506333,7.390718,4.960213,0.000000,0.000000
0.020000,5.646139,17.250000,5.655139,7.489922,4.960213,0.000000,0.000000
0.020000,5.796930,17.250000,5.805930,7.589127,4.960213,0.000000,0.000000
0.020000,5.949704,17.250000,5.958704,7.688331,4.960213,-0.000000,0.000000
0.020000,6.104463,17.250000,6.113463,7.787535,4.960213,0.000000,0.000000
