dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000028,18.585000,0.000397,0.039652,1.982592,99.129604,0.000021
0.020000,-0.000024,18.585000,0.000401,0.000248,-1.970177,-197.638458,0.000018
0.020000,-0.000014,18.585000,0.000411,0.000496,0.012396,99.128674,0.000010
0.020000,0.000414,18.585000,0.000839,0.021391,1.044760,51.618192,6.283184
0.020000,0.006778,18.585000,0.007203,0.318204,14.840639,689.793937,6.283170
0.020000,0.014733,18.585000,0.015158,0.397752,3.977413,-543.161294,6.283151
0.020000,0.024279,18.584999,0.024704,0.477299,3.977320,-0.004651,6.283129
0.020000,0.035416,18.584999,0.035841,0.556843,3.977208,-0.005582,6.283103
0.020000,0.048144,18.584997,0.048569,0.636385,3.977078,-0.006512,6.283074
0.020000,0.062462,18.584995,0.062887,0.715923,3.976929,-0.007443,6.283041
0.020000,0.078372,18.584993,0.078797,0.795458,3.976762,-0.008372,6.283005
0.020000,0.095871,18.584989,0.096296,0.874990,3.976576,-0.009303,6.282965
0.020000,0.114962,18.584985,0.115387,0.954517,3.976371,-0.010234,6.282922
0.020000,0.135642,18.584979,0.136067,1.034040,3.976148,-0.011164,6.282876
0.020000,0.157914,18.584971,0.158339,1.113558,3.975906,-0.012093,6.282826
0.020000,0.181775,18.584962,0.182200,1.193071,3.975646,-0.013023,6.282774
0.020000,0.207227,18.584951,0.207652,1.272579,3.975366,-0.013957,6.282718
0.020000,0.234268,18.584938,0.234693,1.352080,3.975069,-0.014883,6.282659
0.020000,0.262900,18.584922,0.263325,1.431575,3.974752,-0.015815,6.282598
0.020000,0.293121,18.584903,0.293546,1.511063,3.974418,-0.016745,6.282533
0.020000,0.324932,18.584881,0.325357,1.590545,3.974064,-0.017676,6.282466
0.020000,0.358332,18.584856,0.358757,1.670019,3.973692,-0.018609,6.282397
0.020000,0.393322,18.584827,0.393747,1.749485,3.973301,-0.019533,6.282325
0.020000,0.429901,18.584794,0.430326,1.828942,3.972892,-0.020468,6.282250
0.020000,0.468069,18.584757,0.468494,1.908392,3.972464,-0.021399,6.282174
0.020000,0.507825,18.584715,0.508250,1.987832,3.972017,-0.022328,6.282096
0.020000,0.549170,18.584669,0.549596,2.067263,3.971552,-0.023256,6.282015
0.020000,0.592104,18.584617,0.592529,2.146684,3.971068,-0.024187,6.281933
0.020000,0.636626,18.584559,0.637051,2.226096,3.970566,-0.025121,6.281849
0.020000,0.682736,18.584495,0.683161,2.305497,3.970045,-0.026048,6.281764
0.020000,0.730434,18.584425,0.730859,2.384887,3.969506,-0.026977,6.281677
0.020000,0.779719,18.584349,0.780144,2.464266,3.968947,-0.027909,6.281590
0.020000,0.830591,18.584266,0.831017,2.543633,3.968370,-0.028843,6.281501
0.020000,0.883051,18.584175,0.883477,2.622989,3.967775,-0.029768,6.281412
0.020000,0.937098,18.584077,0.937523,2.702332,3.967161,-0.030699,6.281322
0.020000,0.992731,18.583970,0.993156,2.781662,3.966529,-0.031629,6.281231
0.020000,1.049950,18.583856,1.050376,2.860980,3.965877,-0.032563,6.281141
0.020000,1.108756,18.583733,1.109182,2.940284,3.965207,-0.033491,6.281050
0.020000,1.169147,18.583601,1.169573,3.019575,3.964519,-0.034418,6.280960
0.020000,1.231124,18.583461,1.231550,3.098851,3.963812,-0.035355,6.280870
0.020000,1.294686,18.583311,1.295113,3.178113,3.963086,-0.036277,6.280780
0.020000,1.359833,18.583151,1.360260,3.257359,3.962342,-0.037219,6.280692
0.020000,1.426565,18.582982,1.426992,3.336591,3.961579,-0.038134,6.280604
0.020000,1.494881,18.582802,1.495308,3.415807,3.960798,-0.039071,6.280518
0.020000,1.564781,18.582613,1.565208,3.495007,3.959998,-0.040011,6.280434
0.020000,1.636264,18.582413,1.636692,3.574190,3.959179,-0.040920,6.280351
0.020000,1.709331,18.582203,1.709759,3.653357,3.958342,-0.041871,6.280270
0.020000,1.783981,18.581983,1.784409,3.732507,3.957486,-0.042786,6.280192
0.020000,1.860213,18.581752,1.860642,3.811639,3.956612,-0.043725,6.280116
0.020000,1.938028,18.581510,1.938457,3.890754,3.955719,-0.044652,6.280043
0.020000,2.017424,18.581258,2.017854,3.969850,3.954807,-0.045580,6.279973
0.020000,2.098403,18.580995,2.098832,4.048927,3.953877,-0.046520,6.279907
0.020000,2.180962,18.580721,2.181392,4.127986,3.952928,-0.047433,6.279844
0.020000,2.265102,18.580438,2.265533,4.207025,3.951960,-0.048379,6.279785
0.020000,2.350822,18.580144,2.351253,4.286045,3.950974,-0.049302,6.279730
0.020000,2.438123,18.579840,2.438554,4.365044,3.949970,-0.050234,6.279680
0.020000,2.527002,18.579526,2.527435,4.444023,3.948946,-0.051162,6.279635
0.020000,2.617462,18.579203,2.617894,4.522981,3.947905,-0.052091,6.279595
0.020000,2.709499,18.578871,2.709933,4.601918,3.946844,-0.053031,6.279560
0.020000,2.803115,18.578531,2.803549,4.680833,3.945765,-0.053950,6.279532
0.020000,2.898309,18.578182,2.898744,4.759726,3.944667,-0.054886,6.279509
0.020000,2.995080,18.577825,2.995516,4.838598,3.943551,-0.055815,6.279493
0.020000,3.093429,18.577461,3.093865,4.917446,3.942416,-0.056746,6.279484
0.020000,3.193353,18.577091,3.193790,4.996271,3.941263,-0.057676,6.279482
0.020000,3.294854,18.576716,3.295292,5.075073,3.940090,-0.058607,6.279487
0.020000,3.397931,18.576335,3.398369,5.153851,3.938900,-0.059538,6.279501
0.020000,3.502582,18.575951,3.503021,5.232605,3.937690,-0.060468,6.279522
0.020000,3.608808,18.575563,3.609247,5.311334,3.936462,-0.061399,6.279552
0.020000,3.716608,18.575173,3.717048,5.390038,3.935216,-0.062331,6.279591
