dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,17.250000,0.000500,0.050000,2.500000,125.000000,0.000021
0.020000,0.000000,17.250000,0.002500,0.150000,5.000000,125.000000,0.000016
0.020000,0.000000,17.250000,0.006500,0.250000,5.000000,0.000000,0.000007
0.020000,0.003000,17.250000,0.012500,0.350000,5.000000,-0.000000,6.283178
0.020000,0.011000,17.250000,0.020500,0.450000,5.000000,0.000000,6.283160
0.020000,0.021000,17.249999,0.030500,0.550000,5.000000,-0.000000,6.283136
0.020000,0.033000,17.249999,0.042500,0.650000,5.000000,0.000000,6.283109
0.020000,0.047000,17.249997,0.056500,0.750000,5.000000,0.000000,6.283076
0.020000,0.063000,17.249995,0.072500,0.850000,5.000000,-0.000000,6.283039
0.020000,0.081000,17.249992,0.090500,0.950000,5.000000,0.000000,6.282998
0.020000,0.101000,17.249988,0.110500,1.050000,5.000000,0.000000,6.282953
0.020000,0.123000,17.249983,0.132500,1.150000,5.000000,-0.000000,6.282903
0.020000,0.147000,17.249975,0.156500,1.250000,5.000000,0.000000,6.282849
0.020000,0.173000,17.249966,0.182500,1.350000,5.000000,-0.000000,6.282792
0.020000,0.201000,17.249954,0.210500,1.450000,5.000000,0.000000,6.282730
0.020000,0.231000,17.249939,0.240500,1.550000,5.000000,-0.000000,6.282665
0.020000,0.263000,17.249921,0.272500,1.650000,5.000000,0.000000,6.282596
0.020000,0.297000,17.249900,0.306500,1.750000,5.000000,0.000000,6.282523
0.020000,0.333000,17.249875,0.342500,1.850000,5.000000,-0.000000,6.282447
0.020000,0.371000,17.249845,0.380500,1.950000,5.000000,0.000000,6.282368
0.020000,0.411000,17.249811,0.420500,2.050000,5.000000,-0.000000,6.282286
0.020000,0.453000,17.249771,0.462500,2.150000,5.000000,0.000000,6.282201
0.020000,0.497000,17.249726,0.506500,2.250000,5.000000,0.000000,6.282114
0.020000,0.543000,17.249675,0.552500,2.350000,5.000000,0.000000,6.282024
0.020000,0.591000,17.249617,0.600500,2.450000,5.000000,-0.000000,6.281932
0.020000,0.641000,17.249552,0.650500,2.550000,5.000000,0.000000,6.281838
0.020000,0.693000,17.249479,0.702500,2.650000,5.000000,0.000000,6.281742
0.020000,0.747000,17.249399,0.756500,2.750000,5.000000,0.000000,6.281644
0.020000,0.803000,17.249310,0.812500,2.850000,5.000000,-0.000000,6.281545
0.020000,0.861000,17.249212,0.870500,2.950000,5.000000,0.000000,6.281445
0.020000,0.920999,17.249104,0.930500,3.050000,5.000000,-0.000000,6.281344
0.020000,0.982999,17.248987,0.992500,3.150000,5.000000,-0.000000,6.281243
0.020000,1.046999,17.248859,1.056500,3.250000,5.000000,0.000000,6.281141
0.020000,1.112999,17.248721,1.122500,3.350000,5.000000,0.000000,6.281039
0.020000,1.180999,17.248571,1.190500,3.450000,5.000000,0.000000,6.280938
0.020000,1.250999,17.248411,1.260500,3.550000,5.000000,-0.000000,6.280837
0.020000,1.322998,17.248238,1.332500,3.650000,5.000000,0.000000,6.280737
0.020000,1.396998,17.248053,1.406500,3.750000,5.000000,0.000000,6.280638
0.020000,1.472998,17.247856,1.482500,3.850000,5.000000,-0.000000,6.280541
0.020000,1.550998,17.247646,1.560500,3.950000,5.000000,0.000000,6.280446
0.020000,1.630997,17.247423,1.640500,4.050000,5.000000,-0.000000,6.280353
0.020000,1.712997,17.247187,1.722500,4.150000,5.000000,0.000000,6.280262
0.020000,1.796997,17.246938,1.806500,4.250000,5.000000,-0.000000,6.280175
0.020000,1.882996,17.246675,1.892500,4.350000,5.000000,0.000000,6.280090
0.020000,1.970996,17.246399,1.980500,4.450000,5.000000,0.000000,6.280010
0.020000,2.060995,17.246110,2.070500,4.550000,5.000000,-0.000000,6.279933
0.020000,2.152995,17.245807,2.162500,4.650000,5.000000,0.000000,6.279861
0.020000,2.246994,17.245491,2.256500,4.750000,5.000000,-0.000000,6.279794
0.020000,2.342994,17.245163,2.352500,4.850000,5.000000,0.000000,6.279732
0.020000,2.440993,17.244822,2.450500,4.950000,5.000000,0.000000,6.279676
0.020000,2.540993,17.244468,2.550500,5.050000,5.000000,-0.000000,6.279626
0.020000,2.642992,17.244103,2.652500,5.150000,5.000000,0.000000,6.279583
0.020000,2.746991,17.243726,2.756500,5.250000,5.000000,0.000000,6.279547
0.020000,2.852991,17.243339,2.862500,5.350000,5.000000,-0.000000,6.279518
