dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000028,15.915000,0.000498,0.049848,2.492417,124.620872,0.000021
0.020000,0.000022,15.915000,0.000505,0.000312,-2.476811,-248.461443,0.000016
0.020000,0.000009,15.915000,0.000517,0.000624,0.015577,124.619402,0.000007
0.020000,0.002953,15.915000,0.003461,0.147170,7.327335,365.587913,6.283178
0.020000,0.010904,15.915000,0.011411,0.397544,12.518692,259.567853,6.283160
0.020000,0.020842,15.914999,0.021350,0.496935,4.969523,-377.458451,6.283137
0.020000,0.032769,15.914999,0.033277,0.596328,4.969670,0.007351,6.283109
0.020000,0.046683,15.914997,0.047191,0.695725,4.969846,0.008822,6.283077
0.020000,0.062586,15.914995,0.063094,0.795126,4.970052,0.010291,6.283040
0.020000,0.080477,15.914992,0.080984,0.894532,4.970287,0.011763,6.282999
0.020000,0.100355,15.914988,0.100863,0.993943,4.970552,0.013232,6.282954
0.020000,0.122223,15.914983,0.122730,1.093360,4.970846,0.014703,6.282904
0.020000,0.146078,15.914975,0.146586,1.192783,4.971170,0.016171,6.282850
0.020000,0.171923,15.914966,0.172430,1.292214,4.971522,0.017646,6.282793
0.020000,0.199756,15.914954,0.200263,1.391652,4.971905,0.019112,6.282731
0.020000,0.229578,15.914940,0.230085,1.491098,4.972316,0.020583,6.282666
0.020000,0.261389,15.914922,0.261896,1.590553,4.972758,0.022055,6.282597
0.020000,0.295189,15.914901,0.295697,1.690018,4.973228,0.023526,6.282525
0.020000,0.330979,15.914876,0.331487,1.789492,4.973728,0.024994,6.282449
0.020000,0.368758,15.914847,0.369266,1.888977,4.974257,0.026464,6.282371
0.020000,0.408528,15.914813,0.409036,1.988474,4.974816,0.027936,6.282289
0.020000,0.450287,15.914773,0.450795,2.087982,4.975404,0.029405,6.282204
0.020000,0.494037,15.914729,0.494545,2.187502,4.976022,0.030880,6.282117
0.020000,0.539778,15.914678,0.540286,2.287036,4.976668,0.032344,6.282027
0.020000,0.587510,15.914620,0.588018,2.386583,4.977345,0.033815,6.281935
0.020000,0.637233,15.914556,0.637741,2.486144,4.978051,0.035286,6.281841
0.020000,0.688947,15.914484,0.689455,2.585719,4.978786,0.036762,6.281746
0.020000,0.742653,15.914404,0.743161,2.685310,4.979550,0.038225,6.281648
0.020000,0.798351,15.914315,0.798860,2.784917,4.980344,0.039699,6.281549
0.020000,0.856042,15.914218,0.856550,2.884540,4.981168,0.041165,6.281450
0.020000,0.915726,15.914112,0.916234,2.984181,4.982020,0.042640,6.281349
0.020000,0.977402,15.913995,0.977911,3.083839,4.982903,0.044109,6.281248
0.020000,1.041072,15.913869,1.041581,3.183515,4.983814,0.045576,6.281146
0.020000,1.106737,15.913731,1.107245,3.283210,4.984755,0.047049,6.281045
0.020000,1.174395,15.913583,1.174904,3.382925,4.985725,0.048523,6.280943
0.020000,1.244048,15.913423,1.244557,3.482659,4.986725,0.049982,6.280842
0.020000,1.315696,15.913252,1.316205,3.582414,4.987754,0.051467,6.280743
0.020000,1.389340,15.913068,1.389849,3.682191,4.988813,0.052922,6.280644
0.020000,1.464979,15.912872,1.465489,3.781989,4.989901,0.054404,6.280547
0.020000,1.542615,15.912664,1.543125,3.881809,4.991018,0.055868,6.280451
0.020000,1.622248,15.912442,1.622758,3.981652,4.992165,0.057337,6.280358
0.020000,1.703878,15.912208,1.704388,4.081519,4.993341,0.058808,6.280268
0.020000,1.787506,15.911960,1.788017,4.181410,4.994547,0.060280,6.280180
0.020000,1.873132,15.911699,1.873643,4.281326,4.995782,0.061750,6.280096
0.020000,1.960757,15.911425,1.961268,4.381267,4.997046,0.063219,6.280015
0.020000,2.050381,15.911137,2.050893,4.481233,4.998340,0.064685,6.279938
0.020000,2.142005,15.910836,2.142518,4.581227,4.999663,0.066165,6.279866
0.020000,2.235629,15.910522,2.236143,4.681247,5.001016,0.067622,6.279799
0.020000,2.331255,15.910195,2.331768,4.781295,5.002398,0.069105,6.279737
0.020000,2.428881,15.909856,2.429396,4.881371,5.003809,0.070566,6.279680
0.020000,2.528510,15.909504,2.529025,4.981476,5.005250,0.072040,6.279630
0.020000,2.630142,15.909141,2.630658,5.081611,5.006720,0.073511,6.279586
0.020000,2.733777,15.908766,2.734293,5.181775,5.008220,0.074979,6.279549
0.020000,2.839415,15.908380,2.839933,5.281970,5.009749,0.076449,6.279520
0.020000,2.947059,15.907984,2.947576,5.382196,5.011307,0.077921,6.279499
0.020000,3.056707,15.907579,3.057226,5.482454,5.012895,0.079390,6.279486
0.020000,3.168361,15.907166,3.168880,5.582744,5.014512,0.080862,6.279482
0.020000,3.282022,15.906745,3.282542,5.683067,5.016159,0.082332,6.279487
0.020000,3.397689,15.906318,3.398210,5.783424,5.017835,0.083804,6.279502
0.020000,3.515365,15.905886,3.515887,5.883815,5.019540,0.085274,6.279528
0.020000,3.635049,15.905450,3.635571,5.984240,5.021275,0.086743,6.279564
0.020000,3.756742,15.905012,3.757265,6.084701,5.023040,0.088217,6.279612
0.020000,3.880445,15.904574,3.880969,6.185198,5.024833,0.089687,6.279672
0.020000,4.006159,15.904137,4.006684,6.285731,5.026656,0.091159,6.279745
0.020000,4.133884,15.903703,4.134410,6.386301,5.028509,0.092628,6.279830
0.020000,4.263622,15.903274,4.264148,6.486909,5.030391,0.094099,6.279930
0.020000,4.395372,15.902852,4.395899,6.587555,5.032302,0.095573,6.280043
0.020000,4.529136,15.902440,4.529664,6.688240,5.034243,0.097046,6.280171
0.020000,4.664915,15.902041,4.665443,6.788964,5.036214,0.098513,6.280315
0.020000,4.802709,15.901656,4.803238,6.889728,5.038213,0.099979,6.280475
0.020000,4.942519,15.901289,4.943049,6.990533,5.040243,0.101468,6.280651
0.020000,5.084347,15.900943,5.084876,7.091379,5.042301,0.102917,6.280844
0.020000,5.228192,15.900621,5.228722,7.192267,5.044389,0.104399,6.281056
0.020000,5.374055,15.900327,5.374585,7.293197,5.046506,0.105864,6.281285
0.020000,5.521938,15.900065,5.522469,7.394170,5.048653,0.107346,6.281534
0.020000,5.671842,15.899837,5.672373,7.495187,5.050829,0.108792,6.281803
0.020000,5.823767,15.899649,5.824298,7.596248,5.053034,0.110277,6.282092
0.020000,5.977714,15.899504,5.978245,7.697353,5.055269,0.111739,6.282402
0.020000,6.133684,15.899408,6.134215,7.798504,5.057533,0.113202,6.282734
0.020000,6.291678,15.899364,6.292209,7.899700,5.059827,0.114669,6.283089
0.020000,6.451697,15.899379,6.452228,8.000943,5.062149,0.116131,0.000281
0.020000,6.613741,15.899457,6.614272,8.102233,5.064501,0.117591,0.000683
0.020000,6.777813,15.899603,6.778344,8.203571,5.066882,0.119047,0.001109
0.020000,6.943912,15.899825,6.944443,8.304957,5.069292,0.120508,0.001560
0.020000,7.112039,15.900127,7.112571,8.406391,5.071731,0.121955,0.002038
0.020000,7.282196,15.900516,7.282728,8.507875,5.074200,0.123412,0.002542
0.020000,7.454384,15.900999,7.454916,8.609409,5.076696,0.124845,0.003074
0.020000,7.628603,15.901583,7.629136,8.710994,5.079222,0.126295,0.003634
0.020000,7.804854,15.902275,7.805389,8.812629,5.081777,0.127756,0.004223
0.020000,7.983138,15.903083,7.983675,8.914316,5.084360,0.129106,0.004841
0.020000,8.163457,15.904014,8.163996,9.016056,5.086972,0.130635,0.005491
0.020000,8.345811,15.905077,8.346353,9.117848,5.089612,0.131996,0.006172
0.020000,8.530201,15.906280,8.530747,9.219694,5.092281,0.133438,0.006885
0.020000,8.716628,15.907633,8.717179,9.321593,5.094976,0.134734,0.007631
0.020000,8.905093,15.909144,8.905650,9.423547,5.097702,0.136321,0.008411
0.020000,9.095596,15.910824,9.096161,9.525556,5.100453,0.137539,0.009225
0.020000,9.287638,15.912677,9.288212,9.602547,3.849518,-62.546731,0.010073
0.020000,9.479727,15.914695,9.480311,9.604959,0.120640,-186.443901,0.010948
0.020000,9.690772,15.919292,9.691406,10.554733,47.488685,2368.402238,0.036984
0.020000,9.927710,15.932435,9.928708,11.865129,65.519772,901.554363,0.074316
0.020000,10.166438,15.955040,10.168504,11.989801,6.233621,-2964.307538,0.115009
0.020000,10.406773,15.988147,10.411109,12.130230,7.021426,39.390228,0.159304
0.020000,10.648338,16.032873,10.656780,12.283553,7.666154,32.236423,0.207395
0.020000,10.890491,16.090370,10.905665,12.444249,8.034799,18.432234,0.259387
0.020000,11.132233,16.161735,11.157720,12.602763,7.925706,-5.454659,0.315250
0.020000,11.372161,16.247896,11.412650,12.746486,7.186145,-36.978063,0.374765
0.020000,11.608475,16.349462,11.669866,12.860795,5.715481,-73.533175,0.437490
0.020000,11.839021,16.466558,11.928445,12.928983,3.409379,-115.305105,0.502732
0.020000,12.061436,16.598687,12.187146,12.935040,0.302872,-155.325344,0.569560
0.020000,12.273368,16.744668,12.444490,12.867171,-3.393465,-184.816860,0.636866
0.020000,12.472740,16.902683,12.698888,12.719895,-7.363789,-198.516222,0.703458
0.020000,12.657981,17.070440,12.948800,12.495638,-11.212837,-192.452382,0.768181
0.020000,12.828165,17.245402,13.192879,12.203914,-14.586234,-168.669849,0.830023
0.020000,12.983045,17.425048,13.430072,11.859659,-17.212715,-131.324061,0.888198
0.020000,13.122979,17.607072,13.659667,11.479778,-18.994062,-89.067353,0.942171
0.020000,13.248778,17.789518,13.881280,11.080620,-19.957924,-48.193081,0.991653
0.020000,13.361554,17.970826,14.094800,10.676012,-20.230400,-13.623816,1.036564
0.020000,13.462568,18.149821,14.300331,10.276555,-19.972814,12.879335,1.076982
0.020000,13.553116,18.325665,14.498120,9.889426,-19.356491,30.816144,1.113090
0.020000,13.634457,18.497793,14.688499,9.518981,-18.522224,41.713328,1.145141
0.020000,13.707760,18.665848,14.871845,9.167290,-17.584538,46.884289,1.173415
0.020000,13.774086,18.829627,15.048545,8.834997,-16.614690,48.492407,1.198203
0.020000,13.834381,18.989036,15.218976,8.521530,-15.673330,47.067988,1.219788
0.020000,13.889478,19.144052,15.383492,8.225816,-14.785708,44.381127,1.238435
0.020000,13.940107,19.294699,15.542419,7.946334,-13.974075,40.581639,1.254389
0.020000,13.986901,19.441031,15.696051,7.681603,-13.236562,36.875669,1.267869
0.020000,14.030414,19.583116,15.844650,7.429962,-12.582049,32.725630,1.279073
0.020000,14.071124,19.721032,15.988449,7.189934,-12.001419,29.031526,1.288174
0.020000,14.109447,19.854854,16.127650,6.960056,-11.493867,25.377560,1.295325
0.020000,14.145745,19.984657,16.262432,6.739108,-11.047431,22.321838,1.300660
0.020000,14.180330,20.110509,16.392950,6.525900,-10.660374,19.352817,1.304293
0.020000,14.213477,20.232473,16.519338,6.319413,-10.324386,16.799425,1.306327
0.020000,14.245420,20.350606,16.641713,6.118755,-10.032901,14.574253,1.306849
0.020000,14.276365,20.464955,16.760176,5.923135,-9.780988,12.595643,1.305933
0.020000,14.306488,20.575564,16.874813,5.731871,-9.563170,10.890908,1.303645
0.020000,14.335941,20.682469,16.985701,5.544387,-9.374201,9.448421,1.300043
0.020000,14.364852,20.785700,17.092905,5.360173,-9.210742,8.172984,1.295174
0.020000,14.393332,20.885284,17.196481,5.178823,-9.067487,7.162753,1.289082
0.020000,14.421470,20.981244,17.296481,4.999990,-8.941649,6.291898,1.281804
0.020000,14.449341,21.073599,17.392949,4.823420,-8.828505,5.657174,1.273375
0.020000,14.477002,21.162367,17.485927,4.648905,-8.725745,5.138025,1.263825
0.020000,14.504497,21.247566,17.575453,4.476300,-8.630231,4.775690,1.253183
0.020000,14.531858,21.329216,17.661565,4.305604,-8.534805,4.771286,1.241477
0.020000,14.559102,21.407335,17.744300,4.136713,-8.444576,4.511461,1.228735
0.020000,14.586238,21.481949,17.823695,3.969747,-8.348276,4.814973,1.214985
0.020000,14.613261,21.553086,17.899791,3.804812,-8.246776,5.075017,1.200258
0.020000,14.640160,21.620778,17.972632,3.642064,-8.137404,5.468582,1.184586
0.020000,14.666915,21.685068,18.042267,3.481736,-8.016396,6.050418,1.168006
0.020000,14.693499,21.746004,18.108749,3.324118,-7.880868,6.776418,1.150558
0.020000,14.719881,21.803643,18.172139,3.169503,-7.730785,7.504136,1.132287
0.020000,14.746023,21.858054,18.232504,3.018243,-7.562971,8.390691,1.113244
0.020000,14.771886,21.909313,18.289919,2.870724,-7.375966,9.350256,1.093485
0.020000,14.797431,21.957509,18.344466,2.727346,-7.168881,10.354279,1.073071
0.020000,14.822617,22.002739,18.396235,2.588488,-6.942927,11.297655,1.052070
0.020000,14.847407,22.045111,18.445326,2.454535,-6.697613,12.265738,1.030557
0.020000,14.871763,22.084741,18.491843,2.325833,-6.435114,13.124944,1.008608
0.020000,14.895655,22.121754,18.535897,2.202699,-6.156718,13.919782,0.986309
0.020000,14.919055,22.156279,18.577604,2.085390,-5.865414,14.565183,0.963746
0.020000,14.941941,22.188451,18.617086,1.974083,-5.565350,15.003233,0.941009
0.020000,14.964295,22.218407,18.654464,1.868894,-5.259474,15.293784,0.918189
0.020000,14.986107,22.246285,18.689861,1.769838,-4.952795,15.333946,0.895379
0.020000,15.007369,22.272221,18.723398,1.676857,-4.649031,15.188216,0.872670
0.020000,15.028078,22.296349,18.755194,1.589802,-4.352776,14.812723,0.850150
0.020000,15.048235,22.318795,18.785363,1.508439,-4.068150,14.231339,0.827904
0.020000,15.067842,22.339684,18.814012,1.432473,-3.798280,13.493485,0.806014
0.020000,15.086905,22.359129,18.841243,1.361536,-3.546857,12.571152,0.784555
0.020000,15.105427,22.377239,18.867147,1.295210,-3.316308,11.527453,0.763596
0.020000,15.123414,22.394111,18.891808,1.233062,-3.107402,10.445294,0.743200
0.020000,15.140868,22.409835,18.915301,1.174621,-2.922049,9.267671,0.723421
0.020000,15.157789,22.424495,18.937689,1.119419,-2.760100,8.097406,0.704308
0.020000,15.174177,22.438162,18.959028,1.066944,-2.623737,6.818183,0.685904
0.020000,15.190027,22.450903,18.979364,1.016817,-2.506361,5.868814,0.668242
0.020000,15.205333,22.462777,18.998736,0.968565,-2.412598,4.688127,0.651351
