dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,17.250000,0.000496,0.049559,2.477935,123.896731,0.000000
0.020000,4.500000,17.250000,0.002478,0.148676,4.955869,123.896731,0.000000
0.020000,4.500000,17.250000,0.006443,0.247793,4.955869,0.000000,0.000000
0.020000,4.505390,17.250000,0.012390,0.346911,4.955869,-0.000000,0.000000
0.020000,4.513319,17.250000,0.020319,0.446028,4.955869,0.000000,0.000000
0.020000,4.523231,17.250000,0.030231,0.545146,4.955869,-0.000000,0.000000
0.020000,4.535125,17.250000,0.042125,0.644263,4.955869,0.000000,0.000000
0.020000,4.549001,17.250000,0.056001,0.743380,4.955869,-0.000000,0.000000
0.020000,4.564860,17.250000,0.071860,0.842498,4.955869,0.000000,0.000000
0.020000,4.582701,17.250000,0.089701,0.941615,4.955869,0.000000,0.000000
0.020000,4.602525,17.250000,0.109525,1.040733,4.955869,0.000000,0.000000
0.020000,4.624331,17.250000,0.131331,1.139850,4.955869,0.000000,0.000000
0.020000,4.648119,17.250000,0.155119,1.238967,4.955869,0.000000,0.000000
0.020000,4.673889,17.250000,0.180889,1.338085,4.955869,-0.000000,0.000000
0.020000,4.701642,17.250000,0.208642,1.437202,4.955869,0.000000,0.000000
0.020000,4.731377,17.250000,0.238377,1.536319,4.955869,-0.000000,0.000000
0.020000,4.763095,17.250000,0.270095,1.635437,4.955869,-0.000000,0.000000
0.020000,4.796795,17.250000,0.303795,1.734554,4.955869,0.000000,0.000000
0.020000,4.832477,17.250000,0.339477,1.833672,4.955869,-0.000000,0.000000
0.020000,4.870142,17.250000,0.377142,1.932789,4.955869,0.000000,0.000000
0.020000,4.909789,17.250000,0.416789,2.031906,4.955869,0.000000,0.000000
0.020000,4.951418,17.250000,0.458418,2.131024,4.955869,-0.000000,0.000000
0.020000,4.995030,17.250000,0.502030,2.230141,4.955869,0.000000,0.000000
0.020000,5.040624,17.250000,0.547624,2.329259,4.955869,-0.000000,0.000000
0.020000,5.088200,17.250000,0.595200,2.428376,4.955869,0.000000,0.000000
0.020000,5.137759,17.250000,0.644759,2.527493,4.955869,0.000000,0.000000
0.020000,5.189300,17.250000,0.696300,2.626611,4.955869,-0.000000,0.000000
0.020000,5.242823,17.250000,0.749823,2.725728,4.955869,0.000000,0.000000
0.020000,5.298329,17.250000,0.805329,2.824845,4.955869,0.000000,0.000000
0.020000,5.355817,17.250000,0.862817,2.923963,4.955869,-0.000000,0.000000
0.020000,5.415287,17.250000,0.922287,3.023080,4.955869,0.000000,0.000000
0.020000,5.476740,17.250000,0.983740,3.122198,4.955869,0.000000,0.000000
0.020000,5.540175,17.250000,1.047175,3.221315,4.955869,-0.000000,0.000000
0.020000,5.605593,17.250000,1.112593,3.320432,4.955869,0.000000,0.000000
0.020000,5.672992,17.250000,1.179992,3.419550,4.955869,0.000000,0.000000
