dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,15.915000,0.000496,0.049559,2.477935,123.896731,0.000000
0.020000,4.500000,15.915000,0.000496,0.000000,-2.477935,-247.793462,0.000000
0.020000,4.500000,15.915000,0.000496,0.000000,0.000000,123.896731,0.000000
0.020000,4.505390,15.915000,0.005885,0.269484,13.474183,673.709137,0.000000
0.020000,4.513319,15.915000,0.013815,0.396470,6.349294,-356.244426,0.000000
0.020000,4.523231,15.915000,0.023726,0.495587,4.955869,-69.671249,0.000000
0.020000,4.535125,15.915000,0.035620,0.594704,4.955869,-0.000000,0.000000
0.020000,4.549001,15.915000,0.049497,0.693822,4.955869,0.000000,0.000000
0.020000,4.564860,15.915000,0.065356,0.792939,4.955869,-0.000000,0.000000
0.020000,4.582701,15.915000,0.083197,0.892056,4.955869,0.000000,0.000000
0.020000,4.602525,15.915000,0.103020,0.991174,4.955869,0.000000,0.000000
0.020000,4.624331,15.915000,0.124826,1.090291,4.955869,-0.000000,0.000000
0.020000,4.648119,15.915000,0.148614,1.189409,4.955869,0.000000,0.000000
0.020000,4.673889,15.915000,0.174385,1.288526,4.955869,0.000000,0.000000
0.020000,4.701642,15.915000,0.202138,1.387643,4.955869,-0.000000,0.000000
0.020000,4.731377,15.915000,0.231873,1.486761,4.955869,0.000000,0.000000
0.020000,4.763095,15.915000,0.263590,1.585878,4.955869,-0.000000,0.000000
0.020000,4.796795,15.915000,0.297290,1.684996,4.955869,0.000000,0.000000
0.020000,4.832477,15.915000,0.332973,1.784113,4.955869,-0.000000,0.000000
0.020000,4.870142,15.915000,0.370637,1.883230,4.955869,0.000000,0.000000
0.020000,4.909789,15.915000,0.410284,1.982348,4.955869,-0.000000,0.000000
0.020000,4.951418,15.915000,0.451913,2.081465,4.955869,0.000000,0.000000
0.020000,4.995030,15.915000,0.495525,2.180582,4.955869,-0.000000,0.000000
0.020000,5.040624,15.915000,0.541119,2.279700,4.955869,0.000000,0.000000
0.020000,5.088200,15.915000,0.588695,2.378817,4.955869,-0.000000,0.000000
0.020000,5.137759,15.915000,0.638254,2.477935,4.955869,0.000000,0.000000
0.020000,5.189300,15.915000,0.689795,2.577052,4.955869,-0.000000,0.000000
0.020000,5.242823,15.915000,0.743319,2.676169,4.955869,0.000000,0.000000
0.020000,5.298329,15.915000,0.798824,2.775287,4.955869,0.000000,0.000000
0.020000,5.355817,15.915000,0.856312,2.874404,4.955869,-0.000000,0.000000
0.020000,5.415287,15.915000,0.915783,2.973522,4.955869,0.000000,0.000000
0.020000,5.476740,15.915000,0.977236,3.072639,4.955869,-0.000000,0.000000
0.020000,5.540175,15.915000,1.040671,3.171756,4.955869,0.000000,0.000000
0.020000,5.605593,15.915000,1.106088,3.270874,4.955869,0.000000,0.000000
0.020000,5.672992,15.915000,1.173488,3.369991,4.955869,0.000000,0.000000
0.020000,5.742375,15.915000,1.242870,3.469108,4.955869,-0.000000,0.000000
0.020000,5.813739,15.915000,1.314235,3.568226,4.955869,0.000000,0.000000
0.020000,5.887086,15.915000,1.387582,3.667343,4.955869,0.000000,0.000000
0.020000,5.962415,15.915000,1.462911,3.766461,4.955869,-0.000000,0.000000
0.020000,6.039727,15.915000,1.540222,3.865578,4.955869,0.000000,0.000000
0.020000,6.119021,15.915000,1.619516,3.964695,4.955869,0.000000,0.000000
0.020000,6.200297,15.915000,1.700793,4.063813,4.955869,-0.000000,0.000000
0.020000,6.283556,15.915000,1.784051,4.162930,4.955869,0.000000,0.000000
0.020000,6.368797,15.915000,1.869292,4.262048,4.955869,0.000000,0.000000
0.020000,6.456020,15.915000,1.956515,4.361165,4.955869,-0.000000,0.000000
0.020000,6.545225,15.915000,2.045721,4.460282,4.955869,0.000000,0.000000
0.020000,6.636413,15.915000,2.136909,4.559400,4.955869,-0.000000,0.000000
0.020000,6.729584,15.915000,2.230079,4.658517,4.955869,0.000000,0.000000
0.020000,6.824736,15.915000,2.325232,4.757634,4.955869,-0.000000,0.000000
0.020000,6.921872,15.915000,2.422367,4.856752,4.955869,0.000000,0.000000
0.020000,7.020989,15.915000,2.521484,4.955869,4.955869,-0.000000,0.000000
0.020000,7.122089,15.915000,2.622584,5.054987,4.955869,0.000000,0.000000
0.020000,7.225171,15.915000,2.725666,5.154104,4.955869,-0.000000,0.000000
0.020000,7.330235,15.915000,2.830731,5.253221,4.955869,0.000000,0.000000
0.020000,7.437282,15.915000,2.937778,5.352339,4.955869,-0.000000,0.000000
0.020000,7.546311,15.915000,3.046807,5.451456,4.955869,0.000000,0.000000
0.020000,7.657323,15.915000,3.157818,5.550574,4.955869,0.000000,0.000000
0.020000,7.770316,15.915000,3.270812,5.649691,4.955869,-0.000000,0.000000
0.020000,7.885292,15.915000,3.385788,5.748808,4.955869,0.000000,0.000000
0.020000,8.002251,15.915000,3.502747,5.847926,4.955869,0.000000,0.000000
0.020000,8.121192,15.915000,3.621687,5.947043,4.955869,-0.000000,0.000000
0.020000,8.242115,15.915000,3.742611,6.046160,4.955869,0.000000,0.000000
0.020000,8.365021,15.915000,3.865516,6.145278,4.955869,-0.000000,0.000000
0.020000,8.489909,15.915000,3.990404,6.244395,4.955869,0.000000,0.000000
0.020000,8.616779,15.915000,4.117274,6.343513,4.955869,0.000000,0.000000
0.020000,8.745631,15.915000,4.246127,6.442630,4.955869,0.000000,0.000000
0.020000,8.876466,15.915000,4.376962,6.541747,4.955869,0.000000,0.000000
0.020000,9.009284,15.915000,4.509779,6.640865,4.955869,-0.000000,0.000000
0.020000,9.144083,15.915000,4.644579,6.739982,4.955869,0.000000,0.000000
0.020000,9.280865,15.915000,4.781361,6.839100,4.955869,-0.000000,0.000000
0.020000,9.419630,15.915000,4.920125,6.938217,4.955869,0.000000,0.000000
0.020000,9.560376,15.915000,5.060872,7.037334,4.955869,0.000000,0.000000
0.020000,9.703105,15.915000,5.203601,7.136452,4.955869,-0.000000,0.000000
0.020000,9.847817,15.915000,5.348312,7.235569,4.955869,0.000000,0.000000
0.020000,9.994510,15.915000,5.495006,7.334686,4.955869,-0.000000,0.000000
0.020000,10.143187,15.915000,5.643682,7.433804,4.955869,0.000000,0.000000
0.020000,10.293845,15.915000,5.794341,7.532921,4.955869,-0.000000,0.000000
0.020000,10.446486,15.915000,5.946981,7.632039,4.955869,0.000000,0.000000
0.020000,10.601109,15.915000,6.101604,7.731156,4.955869,-0.000000,0.000000
0.020000,10.757714,15.915000,6.258210,7.830273,4.955869,0.000000,0.000000
0.020000,10.916302,15.915000,6.416798,7.929391,4.955869,0.000000,0.000000
0.020000,11.076872,15.915000,6.577368,8.028508,4.955869,-0.000000,0.000000
0.020000,11.239425,15.915000,6.739920,8.127626,4.955869,0.000000,0.000000
0.020000,11.403960,15.915000,6.904455,8.226743,4.955869,-0.000000,0.000000
0.020000,11.592158,15.915880,7.092655,9.409999,59.162799,2710.346489,0.019080
0.020000,11.823192,15.925752,7.323901,11.562280,107.614054,2422.562740,0.066097
0.020000,12.053274,15.946266,7.554895,11.549694,-0.629302,-5412.167772,0.111439
0.020000,12.281132,15.976786,7.784788,11.494662,-2.751593,-106.114575,0.154470
0.020000,12.505696,16.016439,8.012826,11.401925,-4.636866,-94.263651,0.194626
0.020000,12.726134,16.064181,8.238374,11.277397,-6.226413,-79.477359,0.231428
0.020000,12.941858,16.118862,8.460921,11.127313,-7.504197,-63.889163,0.264496
0.020000,13.152514,16.179283,8.680071,10.957510,-8.490104,-49.295370,0.293533
0.020000,13.357947,16.244240,8.895529,10.772892,-9.230930,-37.041291,0.318317
0.020000,13.558154,16.312557,9.107071,10.577134,-9.787916,-27.849308,0.338683
0.020000,13.753245,16.383097,9.314523,10.372598,-10.226794,-21.943884,0.354498
0.020000,13.943395,16.454767,9.517731,10.160396,-10.610094,-19.165014,0.365649
0.020000,14.128808,16.526517,9.716542,9.940555,-10.992031,-19.096833,0.372020
0.020000,14.309684,16.597331,9.910787,9.712243,-11.415609,-21.178925,0.373486
0.020000,14.485510,16.665960,10.099533,9.437272,-13.748534,-116.646244,0.369923
0.020000,14.654960,16.730919,10.281006,9.073668,-18.180233,-221.584969,0.361321
0.020000,14.817296,16.791100,10.454139,8.656642,-20.851270,-133.551821,0.347789
0.020000,14.972645,16.845894,10.618868,8.236460,-21.009128,-7.892913,0.329448
0.020000,15.121266,16.894885,10.775355,7.824374,-20.604293,20.241763,0.306419
0.020000,15.263379,16.937778,10.923800,7.422239,-20.106735,24.877878,0.278852
0.020000,15.441054,16.987146,11.108206,9.220302,89.903132,5500.493337,0.283255
0.020000,15.685276,17.065818,11.364787,12.829030,180.436433,4526.665055,0.339680
0.020000,15.918138,17.155111,11.614182,12.469771,-17.962970,-9919.970121,0.392204
0.020000,16.138860,17.252741,11.855532,12.067481,-20.114513,-107.577169,0.440182
0.020000,16.347223,17.356490,12.088296,11.638210,-21.463525,-67.450592,0.483209
0.020000,16.543469,17.464327,12.312219,11.196145,-22.103240,-31.985774,0.521096
0.020000,16.728165,17.574481,12.527268,10.752448,-22.184889,-4.082438,0.553817
0.020000,16.902075,17.685452,12.733568,10.314993,-21.872759,15.606528,0.581467
0.020000,17.066065,17.796005,12.931342,9.888688,-21.315207,27.877603,0.604214
0.020000,17.221018,17.905127,13.120863,9.476055,-20.631679,34.176397,0.622263
0.020000,17.367790,18.011997,13.302420,9.077869,-19.909293,36.119307,0.635831
0.020000,17.507172,18.115945,13.476295,8.693754,-19.205759,35.176666,0.645128
0.020000,17.639878,18.216422,13.642748,8.322626,-18.556408,32.467582,0.650350
0.020000,17.766536,18.312972,13.802009,7.963064,-17.978076,28.916570,0.651670
0.020000,17.887685,18.405218,13.954280,7.613564,-17.474988,25.154398,0.649239
0.020000,18.003784,18.492843,14.099735,7.272727,-17.041854,21.656694,0.643186
0.020000,18.115210,18.575585,14.238523,6.939400,-16.666354,18.775008,0.633626
0.020000,18.222273,18.653233,14.370779,6.612789,-16.330560,16.789735,0.620657
0.020000,18.325220,18.725623,14.496629,6.292540,-16.012429,15.906526,0.604376
0.020000,18.424248,18.792645,14.616206,5.978820,-15.686012,16.320845,0.584880
0.020000,18.519518,18.854240,14.729653,5.672363,-15.322865,18.157351,0.562279
0.020000,18.611165,18.910409,14.837143,5.374495,-14.893410,21.472733,0.536700
0.020000,18.699314,18.961215,14.938886,5.087129,-14.368270,26.257027,0.508302
0.020000,18.784099,19.006782,15.035139,4.812697,-13.721599,32.333533,0.477277
0.020000,18.865675,19.047291,15.126220,4.554022,-12.933750,39.392451,0.443862
0.020000,18.944231,19.082979,15.212502,4.314121,-11.995058,46.934609,0.408339
0.020000,19.019999,19.114121,15.294421,4.095947,-10.908694,54.318218,0.371032
0.020000,19.093258,19.141022,15.372463,3.902090,-9.692854,60.791973,0.332305
0.020000,19.164328,19.163994,15.447153,3.734485,-8.380236,65.630892,0.292553
0.020000,19.233557,19.183342,15.519036,3.594138,-7.017350,68.144294,0.252183
0.020000,19.306254,19.200489,15.593726,3.734543,7.020218,701.878415,0.218472
0.020000,19.421506,19.225932,15.711754,5.901367,108.341205,5066.049350,0.215634
0.020000,19.531668,19.249780,15.824467,5.635682,-13.284223,-6081.271377,0.210300
0.020000,19.636793,19.271817,15.931878,5.370521,-13.258068,1.307735,0.202478
0.020000,19.736860,19.291848,16.033930,5.102612,-13.395452,-6.869225,0.192128
0.020000,19.831772,19.309701,16.130506,4.828789,-13.691144,-14.784560,0.179161
0.020000,19.921353,19.325227,16.221423,4.545864,-14.146242,-22.754928,0.163441
0.020000,20.005353,19.338307,16.306435,4.250583,-14.764080,-30.891864,0.144782
0.020000,20.083434,19.348856,16.385225,3.939525,-15.552865,-39.439291,0.122948
0.020000,20.155174,19.356838,16.457409,3.609161,-16.518236,-48.268528,0.097649
0.020000,20.220064,19.362282,16.522526,3.255878,-17.664123,-57.294365,0.068544
0.020000,20.277507,19.365308,16.580049,2.876147,-18.986576,-66.122646,0.035234
0.020000,20.326839,19.366157,16.629388,2.466924,-20.461120,-73.727203,6.280465
0.020000,20.367353,19.365225,16.669913,2.026285,-22.031955,-78.541764,6.237394
0.020000,20.398369,19.363102,16.701002,1.554418,-23.593382,-78.071350,6.188738
0.020000,20.419321,19.360595,16.722103,1.055051,-24.968329,-68.747342,6.134087
0.020000,20.429906,19.358734,16.732850,0.537392,-25.882966,-45.731822,6.073163
0.020000,20.430268,19.358703,16.733213,0.018134,-25.962859,-3.994666,6.005942
0.020000,20.421182,19.361708,16.742783,0.478489,23.017729,2449.029407,5.932767
0.020000,20.404187,19.368735,16.761173,0.919485,22.049780,-48.397457,5.854468
0.020000,20.381557,19.380261,16.786569,1.269833,17.517426,-226.617720,5.772404
0.020000,20.356052,19.396021,16.816551,1.499072,11.461944,-302.774062,5.688388
0.020000,20.330482,19.414937,16.848357,1.590317,4.562266,-344.983918,5.604491
0.020000,20.307225,19.435309,16.879275,1.545884,-2.221658,-339.196208,5.522745
0.020000,20.287881,19.455178,16.907005,1.386529,-7.967772,-287.305693,5.444872
0.020000,20.273182,19.472733,16.929901,1.144786,-12.087145,-205.968669,5.372107
0.020000,20.263127,19.486590,16.947022,0.856066,-14.435979,-117.441652,5.305154
0.020000,20.257224,19.495909,16.958053,0.551529,-15.226879,-39.545048,5.244249
0.020000,20.254745,19.500352,16.963141,0.254413,-14.855766,18.555686,5.189281
0.020000,20.254903,19.499977,16.963548,0.020349,-11.703216,157.627494,5.139914
0.020000,20.256973,19.495105,16.968841,0.264652,12.215168,1195.919196,5.095693
0.020000,20.260339,19.486210,16.978352,0.475535,10.544140,-83.551382,5.056116
0.020000,20.264510,19.473832,16.991414,0.653121,8.879294,-83.242334,5.020685
0.020000,20.269107,19.458520,17.007401,0.799353,7.311580,-78.385667,4.988929
0.020000,20.273853,19.440804,17.025742,0.917047,5.884734,-71.342329,4.960421
0.020000,20.278550,19.421171,17.045929,1.009328,4.614031,-63.535117,4.934781
0.020000,20.283061,19.400062,17.067515,1.079307,3.498928,-55.755163,4.911673
0.020000,20.287298,19.377867,17.090111,1.129782,2.523797,-48.756577,4.890808
0.020000,20.291207,19.354929,17.113379,1.163426,1.682177,-42.080980,4.871931
0.020000,20.294760,19.331548,17.137029,1.182481,0.952756,-36.471074,4.854823
0.020000,20.297950,19.307985,17.160806,1.188864,0.319146,-31.680495,4.839297
0.020000,20.300780,19.284468,17.184493,1.184361,-0.225151,-27.214825,4.825188
0.020000,20.303263,19.261191,17.207902,1.170451,-0.695483,-23.516619,4.812355
0.020000,20.305420,19.238326,17.230868,1.148305,-1.107326,-20.592131,4.800676
0.020000,20.307274,19.216021,17.253251,1.119128,-1.458865,-17.576934,4.790044
0.020000,20.308850,19.194404,17.274925,1.083704,-1.771173,-15.615430,4.780367
0.020000,20.310174,19.173586,17.295785,1.043001,-2.035130,-13.197868,4.771564
0.020000,20.311274,19.153666,17.315736,0.997523,-2.273943,-11.940639,4.763566
0.020000,20.312175,19.134726,17.334697,0.948049,-2.473656,-9.985643,4.756311
0.020000,20.312901,19.116841,17.352597,0.895006,-2.652179,-8.926150,4.749746
0.020000,20.313478,19.100075,17.369372,0.838784,-2.811092,-7.945664,4.743824
0.020000,20.313927,19.084483,17.384971,0.779934,-2.942514,-6.571088,4.738505
0.020000,20.314268,19.070113,17.399345,0.718681,-3.062640,-6.006296,4.733753
0.020000,20.314520,19.057007,17.412453,0.655412,-3.163446,-5.040307,4.729538
0.020000,20.314700,19.045203,17.424259,0.590308,-3.255226,-4.588998,4.725833
0.020000,20.314824,19.034728,17.434735,0.523795,-3.325633,-3.520326,4.722616
0.020000,20.314905,19.025610,17.443853,0.455884,-3.395563,-3.496533,4.719867
0.020000,20.314954,19.017871,17.451592,0.386990,-3.444663,-2.454983,4.717570
0.020000,20.314981,19.011529,17.457934,0.317070,-3.496015,-2.567620,4.715712
0.020000,20.314994,19.006598,17.462865,0.246578,-3.524589,-1.428699,4.714282
0.020000,20.314999,19.003088,17.466375,0.175505,-3.553640,-1.452532,4.713272
0.020000,20.315000,19.001007,17.468456,0.104044,-3.573083,-0.972144,4.712676
0.020000,20.315000,19.000162,17.469301,0.042238,-3.090300,24.139138,4.712435
0.020000,20.315000,19.000000,17.469463,0.008098,-1.706966,69.166696,4.712389
0.020000,20.315000,19.000000,17.469463,0.000000,-0.404923,65.102149,4.712389
