dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,18.585000,0.000500,0.050000,2.500000,125.000000,0.000000
0.020000,0.000000,18.585000,0.000500,0.000000,-2.500000,-250.000000,0.000000
0.020000,0.000000,18.585000,0.000500,0.000000,0.000000,125.000000,0.000000
0.020000,0.001000,18.585000,0.001500,0.050000,2.500000,125.000000,0.000000
0.020000,0.009000,18.585000,0.009500,0.400000,17.500000,750.000000,0.000000
0.020000,0.019000,18.585000,0.019500,0.500000,5.000000,-625.000000,0.000000
0.020000,0.031000,18.585000,0.031500,0.600000,5.000000,0.000000,0.000000
0.020000,0.045000,18.585000,0.045500,0.700000,5.000000,-0.000000,0.000000
0.020000,0.061000,18.585000,0.061500,0.800000,5.000000,0.000000,0.000000
0.020000,0.079000,18.585000,0.079500,0.900000,5.000000,0.000000,0.000000
0.020000,0.099000,18.585000,0.099500,1.000000,5.000000,-0.000000,0.000000
0.020000,0.121000,18.585000,0.121500,1.100000,5.000000,0.000000,0.000000
0.020000,0.145000,18.585000,0.145500,1.200000,5.000000,-0.000000,0.000000
0.020000,0.171000,18.585000,0.171500,1.300000,5.000000,-0.000000,0.000000
0.020000,0.199000,18.585000,0.199500,1.400000,5.000000,-0.000000,0.000000
0.020000,0.229000,18.585000,0.229500,1.500000,5.000000,0.000000,0.000000
0.020000,0.261000,18.585000,0.261500,1.600000,5.000000,-0.000000,0.000000
0.020000,0.295000,18.585000,0.295500,1.700000,5.000000,0.000000,0.000000
0.020000,0.331000,18.585000,0.331500,1.800000,5.000000,-0.000000,0.000000
0.020000,0.369000,18.585000,0.369500,1.900000,5.000000,0.000000,0.000000
0.020000,0.409000,18.585000,0.409500,2.000000,5.000000,0.000000,0.000000
0.020000,0.451000,18.585000,0.451500,2.100000,5.000000,0.000000,0.000000
0.020000,0.495000,18.585000,0.495500,2.200000,5.000000,-0.000000,0.000000
0.020000,0.541000,18.585000,0.541500,2.300000,5.000000,0.000000,0.000000
0.020000,0.589000,18.585000,0.589500,2.400000,5.000000,-0.000000,0.000000
0.020000,0.639000,18.585000,0.639500,2.500000,5.000000,0.000000,0.000000
0.020000,0.691000,18.585000,0.691500,2.600000,5.000000,-0.000000,0.000000
0.020000,0.745000,18.585000,0.745500,2.700000,5.000000,0.000000,0.000000
0.020000,0.801000,18.585000,0.801500,2.800000,5.000000,-0.000000,0.000000
0.020000,0.859000,18.585000,0.859500,2.900000,5.000000,0.000000,0.000000
0.020000,0.919000,18.585000,0.919500,3.000000,5.000000,0.000000,0.000000
0.020000,0.981000,18.585000,0.981500,3.100000,5.000000,0.000000,0.000000
0.020000,1.045000,18.585000,1.045500,3.200000,5.000000,-0.000000,0.000000
0.020000,1.111000,18.585000,1.111500,3.300000,5.000000,0.000000,0.000000
0.020000,1.179000,18.585000,1.179500,3.400000,5.000000,-0.000000,0.000000
0.020000,1.249000,18.585000,1.249500,3.500000,5.000000,0.000000,0.000000
0.020000,1.321000,18.585000,1.321500,3.600000,5.000000,-0.000000,0.000000
0.020000,1.395000,18.585000,1.395500,3.700000,5.000000,-0.000000,0.000000
0.020000,1.471000,18.585000,1.471500,3.800000,5.000000,0.000000,0.000000
0.020000,1.549000,18.585000,1.549500,3.900000,5.000000,-0.000000,0.000000
0.020000,1.629000,18.585000,1.629500,4.000000,5.000000,-0.000000,0.000000
0.020000,1.711000,18.585000,1.711500,4.100000,5.000000,0.000000,0.000000
0.020000,1.795000,18.585000,1.795500,4.200000,5.000000,-0.000000,0.000000
0.020000,1.881000,18.585000,1.881500,4.300000,5.000000,0.000000,0.000000
0.020000,1.969000,18.585000,1.969500,4.400000,5.000000,0.000000,0.000000
0.020000,2.059000,18.585000,2.059500,4.500000,5.000000,0.000000,0.000000
0.020000,2.151000,18.585000,2.151500,4.600000,5.000000,-0.000000,0.000000
0.020000,2.245000,18.585000,2.245500,4.700000,5.000000,-0.000000,0.000000
0.020000,2.341000,18.585000,2.341500,4.800000,5.000000,0.000000,0.000000
0.020000,2.439000,18.585000,2.439500,4.900000,5.000000,0.000000,0.000000
0.020000,2.539000,18.585000,2.539500,5.000000,5.000000,0.000000,0.000000
0.020000,2.641000,18.585000,2.641500,5.100000,5.000000,-0.000000,0.000000
0.020000,2.745000,18.585000,2.745500,5.200000,5.000000,0.000000,0.000000
0.020000,2.851000,18.585000,2.851500,5.300000,5.000000,0.000000,0.000000
0.020000,2.959000,18.585000,2.959500,5.400000,5.000000,0.000000,0.000000
0.020000,3.069000,18.585000,3.069500,5.500000,5.000000,-0.000000,0.000000
0.020000,3.181000,18.585000,3.181500,5.600000,5.000000,0.000000,0.000000
0.020000,3.295000,18.585000,3.295500,5.700000,5.000000,0.000000,0.000000
0.020000,3.411000,18.585000,3.411500,5.800000,5.000000,0.000000,0.000000
0.020000,3.529000,18.585000,3.529500,5.900000,5.000000,-0.000000,0.000000
0.020000,3.649000,18.585000,3.649500,6.000000,5.000000,0.000000,0.000000
0.020000,3.771000,18.585000,3.771500,6.100000,5.000000,-0.000000,0.000000
0.020000,3.895000,18.585000,3.895500,6.200000,5.000000,0.000000,0.000000
0.020000,4.021000,18.585000,4.021500,6.300000,5.000000,-0.000000,0.000000
0.020000,4.149000,18.585000,4.149500,6.400000,5.000000,0.000000,0.000000
0.020000,4.279000,18.585000,4.279500,6.500000,5.000000,0.000000,0.000000
0.020000,4.411000,18.585000,4.411500,6.600000,5.000000,-0.000000,0.000000
0.020000,4.545000,18.585000,4.545500,6.700000,5.000000,0.000000,0.000000
0.020000,4.681000,18.585000,4.681500,6.800000,5.000000,-0.000000,0.000000
0.020000,4.819000,18.585000,4.819500,6.900000,5.000000,-0.000000,0.000000
0.020000,4.959000,18.585000,4.959500,7.000000,5.000000,0.000000,0.000000
0.020000,5.101000,18.585000,5.101500,7.100000,5.000000,-0.000000,0.000000
0.020000,5.245000,18.585000,5.245500,7.200000,5.000000,0.000000,0.000000
0.020000,5.391000,18.585000,5.391500,7.300000,5.000000,-0.000000,0.000000
0.020000,5.539000,18.585000,5.539500,7.400000,5.000000,0.000000,0.000000
0.020000,5.689000,18.585000,5.689500,7.500000,5.000000,0.000000,0.000000
0.020000,5.841000,18.585000,5.841500,7.600000,5.000000,0.000000,0.000000
0.020000,5.995000,18.585000,5.995500,7.700000,5.000000,-0.000000,0.000000
0.020000,6.151000,18.585000,6.151500,7.800000,5.000000,0.000000,0.000000
0.020000,6.309000,18.585000,6.309500,7.900000,5.000000,0.000000,0.000000
0.020000,6.469000,18.585000,6.469500,8.000000,5.000000,-0.000000,0.000000
0.020000,6.631000,18.585000,6.631500,8.100000,5.000000,0.000000,0.000000
0.020000,6.795000,18.585000,6.795500,8.200000,5.000000,-0.000000,0.000000
0.020000,6.961000,18.585000,6.961500,8.300000,5.000000,0.000000,0.000000
0.020000,7.129000,18.585000,7.129500,8.400000,5.000000,-0.000000,0.000000
0.020000,7.299000,18.585000,7.299500,8.500000,5.000000,0.000000,0.000000
0.020000,7.471000,18.585000,7.471500,8.600000,5.000000,0.000000,0.000000
0.020000,7.645000,18.585000,7.645500,8.700000,5.000000,0.000000,0.000000
0.020000,7.821000,18.585000,7.821500,8.800000,5.000000,0.000000,0.000000
0.020000,7.999000,18.585000,7.999500,8.900000,5.000000,-0.000000,0.000000
0.020000,8.178500,18.585000,8.179000,8.975000,3.750000,-62.500000,0.000000
0.020000,8.358500,18.585000,8.359000,9.000000,1.250000,-125.000000,0.000000
0.020000,8.538500,18.585000,8.539000,9.000000,0.000000,-62.500000,0.000000
0.020000,8.718500,18.585000,8.719000,9.000000,0.000000,0.000000,0.000000
0.020000,8.898500,18.585000,8.899000,9.000000,-0.000000,-0.000000,0.000000
0.020000,9.078500,18.585000,9.079000,9.000000,0.000000,0.000000,0.000000
0.020000,9.258500,18.585000,9.259000,9.000000,0.000000,-0.000000,0.000000
0.020000,9.438500,18.585000,9.439000,9.000000,-0.000000,-0.000000,0.000000
0.020000,9.618500,18.585000,9.619000,9.000000,0.000000,0.000000,0.000000
0.020000,9.798500,18.585000,9.799000,9.000000,-0.000000,-0.000000,0.000000
0.020000,9.978500,18.585000,9.979000,9.000000,-0.000000,0.000000,0.000000
0.020000,10.158500,18.585000,10.159000,9.000000,0.000000,0.000000,0.000000
0.020000,10.338500,18.585000,10.339000,9.000000,-0.000000,-0.000000,0.000000
0.020000,10.518500,18.585000,10.519000,9.000000,0.000000,0.000000,0.000000
0.020000,10.698500,18.585000,10.699000,9.000000,-0.000000,-0.000000,0.000000
0.020000,10.878500,18.585000,10.879000,9.000000,-0.000000,0.000000,0.000000
0.020000,11.058500,18.585000,11.059000,9.000000,0.000000,0.000000,0.000000
0.020000,11.238500,18.585000,11.239000,9.000000,0.000000,-0.000000,0.000000
0.020000,11.418500,18.585000,11.419000,9.000000,0.000000,0.000000,0.000000
0.020000,11.558628,18.585796,11.559130,7.006491,-99.675472,-4983.773580,0.027026
0.020000,11.671973,18.591722,11.672630,5.675010,-66.574052,1655.070972,0.076830
0.020000,11.788412,18.603497,11.789663,5.851653,8.832180,3770.311629,0.123988
0.020000,11.908502,18.621202,11.911051,6.069400,10.887338,102.757883,0.167885
0.020000,12.032652,18.644876,12.037438,6.319333,12.496670,80.466602,0.208038
0.020000,12.161131,18.674492,12.169286,6.592418,13.654211,57.877038,0.244101
0.020000,12.294099,18.709929,12.306896,6.880486,14.403445,37.461712,0.275850
0.020000,12.431644,18.750970,12.450433,7.176852,14.818259,20.740698,0.303160
0.020000,12.573817,18.797300,12.599964,7.476548,14.984809,8.327478,0.325981
0.020000,12.720667,18.848517,12.755490,7.776293,14.987268,0.122956,0.344312
0.020000,12.872270,18.904141,12.916975,8.074281,14.899397,-4.393548,0.358179
0.020000,13.028742,18.963627,13.084373,8.369885,14.780215,-5.959088,0.367619
0.020000,13.190251,19.026367,13.257640,8.663352,14.673324,-5.344568,0.372662
0.020000,13.357022,19.091697,13.436750,8.955503,14.607537,-3.289328,0.373328
0.020000,13.529332,19.158893,13.621699,9.247458,14.597788,-0.487436,0.369621
0.020000,13.707508,19.227165,13.812507,9.540379,14.646010,2.411075,0.361525
0.020000,13.891905,19.295650,14.009211,9.835204,14.741282,4.763631,0.349012
0.020000,14.082894,19.363394,14.211859,10.132387,14.859136,5.892669,0.332045
0.020000,14.280827,19.429348,14.420491,10.431598,14.960532,5.069829,0.310595
0.020000,14.485999,19.492352,14.635119,10.731424,14.991301,1.538418,0.284652
0.020000,14.672954,19.544530,14.829218,9.704942,-51.324090,-3315.769546,0.270538
0.020000,14.772690,19.575298,14.933593,5.218748,-224.309691,-8649.280038,0.327175
0.020000,14.874244,19.612873,15.041875,5.414084,9.766825,11703.825775,0.380618
0.020000,14.977783,19.657356,15.154565,5.634508,11.021193,62.718407,0.429846
0.020000,15.083318,19.708673,15.271915,5.867513,11.650248,31.452735,0.474192
0.020000,15.190924,19.766672,15.394157,6.112081,12.228387,28.906978,0.513377
0.020000,15.300622,19.831080,15.521365,6.360441,12.417995,9.480420,0.547344
0.020000,15.412366,19.901491,15.653443,6.603859,12.170908,-12.354371,0.576168
0.020000,15.526094,19.977401,15.790178,6.836751,11.644574,-26.316699,0.600006
0.020000,15.641767,20.058242,15.931300,7.056104,10.967648,-33.846297,0.619060
0.020000,15.759387,20.143409,16.076516,7.260820,10.235835,-36.590636,0.633550
0.020000,15.879006,20.232284,16.225538,7.451107,9.514321,-36.075734,0.643692
0.020000,16.000729,20.324251,16.378097,7.627956,8.842457,-33.593202,0.649686
0.020000,16.124706,20.418700,16.533953,7.792778,8.241117,-30.066981,0.651713
0.020000,16.251129,20.515032,16.692895,7.947109,7.716530,-26.229328,0.649930
0.020000,16.380218,20.612657,16.854743,8.092405,7.264832,-22.584946,0.644472
0.020000,16.512218,20.710986,17.019341,8.229897,6.874568,-19.513165,0.635455
0.020000,16.647378,20.809428,17.186550,8.360463,6.528311,-17.312883,0.622984
0.020000,16.785945,20.907378,17.356241,8.484543,6.204011,-16.214966,0.607156
0.020000,16.928144,21.004215,17.528282,8.602061,5.875910,-16.405078,0.588068
0.020000,17.074164,21.099296,17.702530,8.712366,5.515237,-18.033656,0.565829
0.020000,17.224135,21.191951,17.878814,8.814202,5.091782,-21.172721,0.540565
0.020000,17.378108,21.281487,18.056928,8.905709,4.575366,-25.820817,0.512432
0.020000,17.536040,21.367196,18.236618,8.984486,3.938841,-31.826225,0.481619
0.020000,17.697767,21.448367,18.417572,9.047708,3.161120,-38.886049,0.448360
0.020000,17.862998,21.524306,18.599418,9.092321,2.230658,-46.523139,0.412933
0.020000,18.031306,21.594363,18.781724,9.115299,1.148880,-54.088879,0.375664
0.020000,18.202130,21.657961,18.964003,9.113941,-0.067913,-60.839626,0.336916
0.020000,18.374795,21.714623,19.145727,9.086200,-1.387029,-65.955830,0.297085
0.020000,18.548532,21.763999,19.326345,9.030890,-2.765498,-68.923465,0.256584
0.020000,18.714872,21.804204,19.497474,8.556455,-23.721738,-1047.811975,0.218623
0.020000,18.837925,21.831403,19.623498,6.301185,-112.763519,-4452.089077,0.216029
0.020000,18.962418,21.858416,19.750887,6.369482,3.414851,5808.918548,0.210915
0.020000,19.088399,21.884914,19.879625,6.436892,3.370510,-2.217074,0.203292
0.020000,19.215982,21.910565,20.009761,6.506785,3.494643,6.206627,0.193124
0.020000,19.345336,21.935032,20.141409,6.582386,3.780025,14.269141,0.180324
0.020000,19.476689,21.957953,20.274747,6.666909,4.226149,22.306188,0.164760
0.020000,19.610327,21.978935,20.410021,6.763726,4.840876,30.736347,0.146248
0.020000,19.746587,21.997532,20.547545,6.876197,5.623562,39.134305,0.124551
0.020000,19.885865,22.013229,20.687705,7.007988,6.589546,48.299195,0.099381
0.020000,20.028602,22.025414,20.830960,7.162772,7.739164,57.480884,0.070393
0.020000,20.175268,22.033355,20.977842,7.344081,9.065487,66.316145,0.037190
0.020000,20.326345,22.036161,21.128945,7.555128,10.552351,74.343225,6.282510
0.020000,20.482266,22.032754,21.284903,7.797902,12.138696,79.317256,6.239507
0.020000,20.643344,22.021841,21.446350,8.072390,13.724361,79.283247,6.190892
0.020000,20.809653,22.001910,21.613849,8.374922,15.126615,70.112668,6.136242
0.020000,20.980864,21.971270,21.787780,8.696545,16.081178,47.728162,6.075271
0.020000,21.156051,21.928166,21.968192,9.020628,16.204107,6.146483,6.007941
0.020000,21.333516,21.871000,22.154637,9.322226,15.079918,-56.209485,5.934589
0.020000,21.510690,21.798663,22.346010,9.568651,12.321245,-137.933659,5.856042
0.020000,21.684246,21.710905,22.540491,9.724065,7.770698,-227.527326,5.773664
0.020000,21.850449,21.608638,22.735637,9.757289,1.661238,-305.472985,5.689288
0.020000,22.005728,21.493988,22.928656,9.650942,-5.317396,-348.931735,5.605007
0.020000,22.147263,21.370033,23.116797,9.407074,-12.193358,-343.798099,5.522885
0.020000,22.273387,21.240301,23.297733,9.046764,-18.015530,-291.108603,5.444668
0.020000,22.383654,21.108217,23.469793,8.603018,-22.187308,-208.588861,5.371606
0.020000,22.478639,20.976692,23.632030,8.111872,-24.557304,-118.499797,5.304411
0.020000,22.559598,20.847935,23.784125,7.604755,-25.355822,-39.925942,5.243319
0.020000,22.628129,20.723440,23.926236,7.105545,-24.960501,19.766073,5.188212
0.020000,22.685909,20.604110,24.058819,6.629129,-23.820801,56.984994,5.138748
0.020000,22.734531,20.490397,24.182491,6.183599,-22.276521,77.214013,5.094463
0.020000,22.775427,20.382444,24.297931,5.771979,-20.581006,84.775746,5.054849
0.020000,22.809834,20.280198,24.405811,5.394000,-18.898914,84.104580,5.019400
0.020000,22.838800,20.183490,24.506763,5.047625,-17.318784,79.006496,4.987643
0.020000,22.863203,20.092089,24.601366,4.730129,-15.874764,72.201023,4.959146
0.020000,22.883773,20.005741,24.690130,4.438231,-14.594908,63.992817,4.933524
0.020000,22.901113,19.924191,24.773503,4.168623,-13.480400,55.725389,4.910443
0.020000,22.915728,19.847189,24.851879,3.918840,-12.489138,49.563110,4.889607
0.020000,22.928035,19.774507,24.925596,3.685832,-11.650433,41.935231,4.870763
0.020000,22.938384,19.705933,24.994947,3.467536,-10.914785,36.782377,4.853692
0.020000,22.947068,19.641276,25.060185,3.261885,-10.282571,31.610744,4.838203
0.020000,22.954335,19.580363,25.121529,3.067238,-9.732336,27.511747,4.824134
0.020000,22.960394,19.523044,25.179168,2.881911,-9.266343,23.299655,4.811341
0.020000,22.965423,19.469180,25.233266,2.704935,-8.848783,20.877975,4.799703
0.020000,22.969576,19.418652,25.283965,2.534917,-8.500933,17.392483,4.789113
0.020000,22.972982,19.371350,25.331389,2.371225,-8.184600,15.816684,4.779479
0.020000,22.975754,19.327182,25.375644,2.212739,-7.924291,13.015417,4.770719
0.020000,22.977991,19.286061,25.416826,2.059110,-7.681424,12.143355,4.762764
0.020000,22.979776,19.247914,25.455014,1.909397,-7.485694,9.786518,4.755554
0.020000,22.981182,19.212678,25.490279,1.763236,-7.308051,8.882137,4.749034
0.020000,22.982274,19.180289,25.522686,1.620359,-7.143850,8.210075,4.743158
0.020000,22.983107,19.150701,25.552285,1.479972,-7.019303,6.227350,4.737885
0.020000,22.983728,19.123866,25.579127,1.342103,-6.893466,6.291846,4.733181
0.020000,22.984179,19.099748,25.603250,1.206145,-6.797930,4.776774,4.729015
0.020000,22.984496,19.078308,25.624692,1.072099,-6.702259,4.783570,4.725360
0.020000,22.984710,19.059524,25.643478,0.939279,-6.641041,3.060879,4.722195
0.020000,22.984846,19.043364,25.659638,0.808008,-6.563526,3.875763,4.719500
0.020000,22.984928,19.029809,25.673193,0.677747,-6.513035,2.524530,4.717258
0.020000,22.984971,19.018844,25.684158,0.548254,-6.474683,1.917595,4.715457
0.020000,22.984991,19.010453,25.692549,0.419560,-6.434670,2.000692,4.714087
0.020000,22.984998,19.004627,25.698376,0.291331,-6.411476,1.159696,4.713139
0.020000,22.985000,19.001356,25.701646,0.163532,-6.389917,1.077960,4.712609
0.020000,22.985000,19.000179,25.702823,0.058828,-5.235245,57.733577,4.712418
0.020000,22.985000,19.000000,25.703002,0.008967,-2.493016,137.111430,4.712389
0.020000,22.985000,19.000000,25.703002,0.000000,-0.448359,102.232851,4.712389
