dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000302,11.000000,0.000595,0.059524,2.976190,148.809524,0.000242
0.020000,-0.000261,11.000000,0.000637,0.002063,-2.873025,-292.460763,0.000209
0.020000,-0.000178,11.000000,0.000719,0.004125,0.103085,148.805487,0.000143
0.020000,-0.000055,11.000000,0.000843,0.006183,0.102923,-0.008074,0.000044
0.020000,0.006484,11.000000,0.007381,0.326914,16.036516,796.679611,6.283097
0.020000,0.018594,10.999998,0.019491,0.605521,13.930381,-105.306741,6.282933
0.020000,0.033126,10.999993,0.034024,0.726610,6.054425,-393.797774,6.282735
0.020000,0.050080,10.999983,0.050977,0.847687,6.053834,-0.029568,6.282506
0.020000,0.069455,10.999967,0.070352,0.968752,6.053279,-0.027731,6.282244
0.020000,0.091251,10.999944,0.092148,1.089805,6.052626,-0.032659,6.281950
0.020000,0.115468,10.999910,0.116365,1.210845,6.052003,-0.031147,6.281624
0.020000,0.142105,10.999863,0.143003,1.331866,6.051077,-0.046308,6.281266
0.020000,0.171163,10.999802,0.172060,1.452871,6.050250,-0.041369,6.280878
0.020000,0.202640,10.999723,0.203537,1.573856,6.049226,-0.051194,6.280458
0.020000,0.236536,10.999623,0.237434,1.694821,6.048272,-0.047702,6.280007
0.020000,0.272851,10.999498,0.273749,1.815763,6.047088,-0.059168,6.279527
0.020000,0.311584,10.999347,0.312483,1.936680,6.045861,-0.061366,6.279016
0.020000,0.352735,10.999164,0.353634,2.057573,6.044649,-0.060587,6.278476
0.020000,0.396304,10.998946,0.397203,2.178437,6.043195,-0.072708,6.277906
0.020000,0.442288,10.998690,0.443188,2.299272,6.041729,-0.073312,6.277308
0.020000,0.490689,10.998390,0.491590,2.420077,6.040268,-0.073067,6.276683
0.020000,0.541505,10.998043,0.542407,2.540849,6.038609,-0.082923,6.276029
0.020000,0.594735,10.997644,0.595638,2.661587,6.036896,-0.085655,6.275348
0.020000,0.650379,10.997188,0.651284,2.782290,6.035127,-0.088433,6.274641
0.020000,0.708436,10.996671,0.709343,2.902955,6.033257,-0.093518,6.273908
0.020000,0.768905,10.996087,0.769815,3.023581,6.031287,-0.098482,6.273150
0.020000,0.831784,10.995431,0.832698,3.144168,6.029347,-0.097041,6.272367
0.020000,0.897075,10.994699,0.897992,3.264710,6.027108,-0.111933,6.271560
0.020000,0.964774,10.993884,0.965697,3.385210,6.025034,-0.103681,6.270730
0.020000,1.034881,10.992980,1.035810,3.505664,6.022671,-0.118144,6.269878
0.020000,1.107396,10.991984,1.108331,3.626070,6.020331,-0.117015,6.269003
0.020000,1.182316,10.990887,1.183260,3.746428,6.017891,-0.122016,6.268108
0.020000,1.259642,10.989686,1.260595,3.866735,6.015353,-0.126871,6.267193
0.020000,1.339371,10.988373,1.340334,3.986990,6.012754,-0.129971,6.266258
0.020000,1.421502,10.986944,1.422478,4.107192,6.010079,-0.133770,6.265305
0.020000,1.506035,10.985391,1.507025,4.227337,6.007260,-0.140916,6.264334
0.020000,1.592967,10.983709,1.593974,4.347425,6.004406,-0.142731,6.263347
0.020000,1.682298,10.981892,1.683323,4.467455,6.001503,-0.145153,6.262344
0.020000,1.774025,10.979933,1.775071,4.587424,5.998436,-0.153317,6.261326
0.020000,1.868148,10.977827,1.869218,4.707331,5.995336,-0.154995,6.260294
0.020000,1.964665,10.975566,1.965761,4.827174,5.992155,-0.159048,6.259250
0.020000,2.063575,10.973146,2.064700,4.946951,5.988846,-0.165486,6.258194
0.020000,2.164875,10.970560,2.166033,5.066661,5.985510,-0.166803,6.257127
0.020000,2.268564,10.967801,2.269759,5.186302,5.982042,-0.173385,6.256051
0.020000,2.374641,10.964864,2.375877,5.305873,5.978553,-0.174424,6.254967
0.020000,2.483104,10.961744,2.484384,5.425371,5.974913,-0.182013,6.253875
0.020000,2.593950,10.958433,2.595280,5.544796,5.971223,-0.184506,6.252778
0.020000,2.707179,10.954926,2.708563,5.664145,5.967450,-0.188649,6.251675
0.020000,2.822787,10.951218,2.824232,5.783417,5.963602,-0.192408,6.250569
0.020000,2.940775,10.947302,2.942284,5.902609,5.959639,-0.198169,6.249461
0.020000,3.061138,10.943174,3.062718,6.021722,5.955634,-0.200217,6.248351
0.020000,3.183877,10.938829,3.185533,6.140752,5.951514,-0.206030,6.247242
0.020000,3.308987,10.934260,3.310727,6.259699,5.947331,-0.209110,6.246134
0.020000,3.436468,10.929464,3.438298,6.378560,5.943062,-0.213467,6.245030
0.020000,3.566318,10.924435,3.568245,6.497334,5.938708,-0.217686,6.243929
0.020000,3.698533,10.919170,3.700565,6.616020,5.934273,-0.221785,6.242835
0.020000,3.833113,10.913663,3.835258,6.734615,5.929757,-0.225783,6.241748
0.020000,3.970054,10.907911,3.972320,6.853118,5.925161,-0.229812,6.240669
0.020000,4.109356,10.901910,4.111751,6.971528,5.920483,-0.233887,6.239601
0.020000,4.251015,10.895657,4.253548,7.089842,5.915722,-0.238030,6.238545
0.020000,4.395029,10.889148,4.397709,7.208060,5.910882,-0.242032,6.237501
0.020000,4.541396,10.882381,4.544232,7.326179,5.905962,-0.245963,6.236473
0.020000,4.690114,10.875353,4.693116,7.444198,5.900959,-0.250155,6.235461
0.020000,4.841181,10.868062,4.844359,7.562116,5.895874,-0.254256,6.234467
0.020000,4.994593,10.860507,4.997957,7.679930,5.890720,-0.257691,6.233493
0.020000,5.150350,10.852686,5.153910,7.797640,5.885467,-0.262691,6.232540
0.020000,5.308448,10.844598,5.312215,7.915243,5.880154,-0.265617,6.231611
0.020000,5.468885,10.836243,5.472870,8.032738,5.874747,-0.270387,6.230706
0.020000,5.631660,10.827620,5.635872,8.150123,5.869260,-0.274314,6.229828
0.020000,5.796768,10.818731,5.801220,8.267397,5.863696,-0.278196,6.228978
0.020000,5.964209,10.809577,5.968911,8.384558,5.858055,-0.282057,6.228158
0.020000,6.133980,10.800157,6.138943,8.501605,5.852337,-0.285918,6.227371
0.020000,6.306079,10.790476,6.311314,8.618535,5.846526,-0.290555,6.226617
0.020000,6.480503,10.780535,6.486021,8.735348,5.840649,-0.293848,6.225899
0.020000,6.657250,10.770338,6.663062,8.852042,5.834672,-0.298829,6.225219
0.020000,6.836317,10.759888,6.842434,8.968614,5.828638,-0.301733,6.224578
0.020000,7.017704,10.749190,7.024135,9.085065,5.822510,-0.306385,6.223979
0.020000,7.201406,10.738249,7.208163,9.201391,5.816304,-0.310308,6.223423
0.020000,7.387422,10.727071,7.394515,9.317591,5.810012,-0.314573,6.222913
0.020000,7.575750,10.715662,7.583188,9.433664,5.803643,-0.318475,6.222451
0.020000,7.766388,10.704029,7.774180,9.549608,5.797198,-0.322243,6.222038
0.020000,7.959333,10.692180,7.967489,9.665421,5.790659,-0.326937,6.221677
0.020000,8.154583,10.680124,8.163111,9.781102,5.784044,-0.330749,6.221370
0.020000,8.352136,10.667871,8.361044,9.896649,5.777349,-0.334775,6.221119
0.020000,8.551396,10.655468,8.560689,9.982268,4.280962,-74.819317,6.220926
0.020000,8.751172,10.643000,8.760854,10.008223,1.297769,-149.159670,6.220795
0.020000,8.950869,10.630516,8.960941,10.004375,-0.192403,-74.508614,6.220725
0.020000,9.150490,10.618030,9.160952,10.000527,-0.192401,0.000126,6.220716
0.020000,9.350034,10.605552,9.360885,9.996679,-0.192400,0.000038,6.220770
0.020000,9.549502,10.593097,9.560742,9.992831,-0.192402,-0.000111,6.220884
0.020000,9.748895,10.580675,9.760522,9.988983,-0.192407,-0.000244,6.221061
0.020000,9.948214,10.568299,9.960224,9.985135,-0.192414,-0.000362,6.221298
0.020000,10.147459,10.555981,10.159850,9.981286,-0.192424,-0.000475,6.221598
0.020000,10.346632,10.543734,10.359399,9.977438,-0.192435,-0.000581,6.221959
0.020000,10.545732,10.531570,10.558871,9.973589,-0.192449,-0.000678,6.222381
0.020000,10.744761,10.519501,10.758265,9.969739,-0.192464,-0.000765,6.222866
0.020000,10.943720,10.507539,10.957583,9.965890,-0.192481,-0.000839,6.223411
0.020000,11.142608,10.495696,11.156824,9.962040,-0.192498,-0.000850,6.224019
0.020000,11.341427,10.483984,11.355988,9.958189,-0.192514,-0.000804,6.224688
0.020000,11.540178,10.472416,11.555074,9.954339,-0.192537,-0.001144,6.225418
0.020000,11.738860,10.461004,11.754084,9.950488,-0.192557,-0.000989,6.226210
0.020000,11.937475,10.449760,11.953017,9.946636,-0.192576,-0.000977,6.227064
0.020000,12.136022,10.438696,12.151873,9.942784,-0.192595,-0.000942,6.227980
0.020000,12.334504,10.427823,12.350651,9.938932,-0.192613,-0.000882,6.228957
0.020000,12.532919,10.417155,12.549353,9.935079,-0.192629,-0.000797,6.229996
0.020000,12.731268,10.406704,12.747977,9.931226,-0.192642,-0.000683,6.231096
0.020000,12.929552,10.396480,12.946525,9.927373,-0.192653,-0.000539,6.232258
0.020000,13.127771,10.386497,13.144995,9.923520,-0.192659,-0.000310,6.233482
0.020000,13.325926,10.376767,13.343389,9.919667,-0.192661,-0.000088,6.234767
