dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,9.750000,0.000595,0.059524,2.976190,148.809524,0.000242
0.020000,0.000000,9.750000,0.002976,0.178571,5.952381,148.809524,0.000209
0.020000,0.000000,9.750000,0.007738,0.297619,5.952381,0.000000,0.000143
0.020000,0.000000,9.750000,0.014881,0.416667,5.952381,-0.000000,0.000044
0.020000,0.006374,9.750000,0.024405,0.535714,5.952381,0.000000,6.283097
0.020000,0.018278,9.749998,0.036310,0.654762,5.952381,0.000000,6.282933
0.020000,0.032564,9.749993,0.050595,0.773810,5.952381,0.000000,6.282735
0.020000,0.049231,9.749983,0.067262,0.892857,5.952381,0.000000,6.282506
0.020000,0.068278,9.749968,0.086310,1.011905,5.952381,-0.000000,6.282244
0.020000,0.089707,9.749944,0.107738,1.130952,5.952381,0.000000,6.281950
0.020000,0.113516,9.749911,0.131548,1.250000,5.952381,0.000000,6.281624
0.020000,0.139707,9.749866,0.157738,1.369048,5.952381,0.000000,6.281266
0.020000,0.168278,9.749805,0.186310,1.488095,5.952381,0.000000,6.280878
0.020000,0.199230,9.749727,0.217262,1.607143,5.952381,0.000000,6.280458
0.020000,0.232564,9.749629,0.250595,1.726190,5.952381,0.000000,6.280007
0.020000,0.268278,9.749507,0.286310,1.845238,5.952381,0.000000,6.279527
0.020000,0.306373,9.749358,0.324405,1.964286,5.952381,-0.000000,6.279016
0.020000,0.346848,9.749178,0.364881,2.083333,5.952381,0.000000,6.278476
0.020000,0.389705,9.748964,0.407738,2.202381,5.952381,-0.000000,6.277906
0.020000,0.434942,9.748712,0.452976,2.321429,5.952381,0.000000,6.277308
0.020000,0.482561,9.748417,0.500595,2.440476,5.952381,-0.000000,6.276683
0.020000,0.532559,9.748075,0.550595,2.559524,5.952381,0.000000,6.276029
0.020000,0.584939,9.747683,0.602976,2.678571,5.952381,0.000000,6.275348
0.020000,0.639699,9.747234,0.657738,2.797619,5.952381,0.000000,6.274641
0.020000,0.696840,9.746725,0.714881,2.916667,5.952381,0.000000,6.273908
0.020000,0.756361,9.746150,0.774405,3.035714,5.952381,-0.000000,6.273150
0.020000,0.818262,9.745505,0.836310,3.154762,5.952381,0.000000,6.272367
0.020000,0.882544,9.744783,0.900595,3.273810,5.952381,0.000000,6.271560
0.020000,0.949205,9.743980,0.967262,3.392857,5.952381,0.000000,6.270730
0.020000,1.018247,9.743091,1.036310,3.511905,5.952381,-0.000000,6.269878
0.020000,1.089669,9.742109,1.107738,3.630952,5.952381,0.000000,6.269003
0.020000,1.163471,9.741029,1.181548,3.750000,5.952381,0.000000,6.268108
0.020000,1.239652,9.739846,1.257738,3.869048,5.952381,0.000000,6.267193
0.020000,1.318213,9.738553,1.336310,3.988095,5.952381,0.000000,6.266258
0.020000,1.399153,9.737144,1.417262,4.107143,5.952381,-0.000000,6.265305
