dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000302,8.500000,0.000595,0.059524,2.976190,148.809524,0.000242
0.020000,0.000261,8.500000,0.000637,0.002063,-2.873025,-292.460763,0.000209
0.020000,0.000178,8.500000,0.000719,0.004125,0.103085,148.805487,0.000143
0.020000,0.000055,8.500000,0.000843,0.006183,0.102923,-0.008074,0.000044
0.020000,0.006263,8.500000,0.007051,0.310440,15.212802,755.493931,6.283097
0.020000,0.017962,8.499998,0.018751,0.584953,13.725662,-74.357021,6.282933
0.020000,0.032002,8.499993,0.032790,0.701963,5.850503,-393.757936,6.282735
0.020000,0.048381,8.499984,0.049169,0.818980,5.850880,0.018837,6.282506
0.020000,0.067101,8.499968,0.067890,0.936009,5.851450,0.028527,6.282244
0.020000,0.088162,8.499945,0.088951,1.053051,5.852084,0.031689,6.281950
0.020000,0.111565,8.499913,0.112353,1.170109,5.852906,0.041082,6.281624
0.020000,0.137308,8.499868,0.138096,1.287181,5.853593,0.034372,6.281266
0.020000,0.165394,8.499809,0.166182,1.404272,5.854535,0.047093,6.280878
0.020000,0.195821,8.499732,0.196609,1.521381,5.855446,0.045558,6.280458
0.020000,0.228591,8.499635,0.229380,1.638512,5.856584,0.056905,6.280007
0.020000,0.263704,8.499515,0.264493,1.755666,5.857660,0.053804,6.279527
0.020000,0.301161,8.499369,0.301950,1.872843,5.858854,0.059674,6.279016
0.020000,0.340961,8.499192,0.341751,1.990047,5.860223,0.068436,6.278476
0.020000,0.383106,8.498981,0.383896,2.107277,5.861517,0.064735,6.277906
0.020000,0.427596,8.498733,0.428387,2.224537,5.862961,0.072184,6.277308
0.020000,0.474432,8.498443,0.475224,2.341828,5.864570,0.080470,6.276683
0.020000,0.523614,8.498107,0.524407,2.459151,5.866150,0.078996,6.276029
0.020000,0.575143,8.497721,0.575937,2.576508,5.867839,0.084426,6.275348
0.020000,0.629019,8.497280,0.629815,2.693901,5.869635,0.089825,6.274641
0.020000,0.685243,8.496779,0.686041,2.811330,5.871495,0.093004,6.273908
0.020000,0.743817,8.496213,0.744617,2.928799,5.873422,0.096312,6.273150
0.020000,0.804739,8.495578,0.805544,3.046310,5.875538,0.105837,6.272367
0.020000,0.868013,8.494868,0.868821,3.163860,5.877529,0.099548,6.271560
0.020000,0.933637,8.494077,0.934450,3.281457,5.879843,0.115696,6.270730
0.020000,1.001613,8.493202,1.002432,3.399098,5.882040,0.109841,6.269878
0.020000,1.071942,8.492235,1.072768,3.516786,5.884422,0.119107,6.269003
0.020000,1.144625,8.491172,1.145458,3.634524,5.886871,0.122439,6.268108
0.020000,1.219662,8.490006,1.220504,3.752312,5.889389,0.125921,6.267193
0.020000,1.297055,8.488732,1.297907,3.870152,5.892012,0.131112,6.266258
0.020000,1.376804,8.487344,1.377668,3.988046,5.894724,0.135630,6.265305
0.020000,1.458910,8.485835,1.459788,4.105996,5.897462,0.136903,6.264334
0.020000,1.543374,8.484201,1.544268,4.224002,5.900329,0.143354,6.263347
0.020000,1.630197,8.482435,1.631110,4.342068,5.903314,0.149220,6.262344
0.020000,1.719381,8.480530,1.720314,4.460194,5.906304,0.149508,6.261326
0.020000,1.810926,8.478481,1.811881,4.578383,5.909426,0.156097,6.260294
0.020000,1.904833,8.476282,1.905814,4.696636,5.912633,0.160377,6.259250
0.020000,2.001103,8.473927,2.002113,4.814953,5.915880,0.162333,6.258194
0.020000,2.099737,8.471408,2.100780,4.933339,5.919265,0.169266,6.257127
0.020000,2.200738,8.468721,2.201816,5.051792,5.922687,0.171071,6.256051
0.020000,2.304104,8.465860,2.305222,5.170317,5.926252,0.178266,6.254967
0.020000,2.409839,8.462817,2.411000,5.288914,5.929833,0.179073,6.253875
0.020000,2.517942,8.459588,2.519152,5.407585,5.933530,0.184833,6.252778
0.020000,2.628416,8.456167,2.629679,5.526331,5.937310,0.188977,6.251675
0.020000,2.741261,8.452547,2.742582,5.645154,5.941179,0.193485,6.250569
0.020000,2.856479,8.448724,2.857863,5.764056,5.945100,0.196025,6.249461
0.020000,2.974070,8.444691,2.975524,5.883039,5.949143,0.202176,6.248351
0.020000,3.094037,8.440444,3.095566,6.002104,5.953236,0.204636,6.247242
0.020000,3.216381,8.435976,3.217991,6.121253,5.957431,0.209751,6.246134
0.020000,3.341102,8.431284,3.342800,6.240487,5.961703,0.213603,6.245030
0.020000,3.468203,8.426362,3.469997,6.359808,5.966055,0.217573,6.243929
0.020000,3.597685,8.421205,3.599581,6.479217,5.970488,0.221645,6.242835
0.020000,3.729549,8.415809,3.731555,6.598718,5.975004,0.225800,6.241748
0.020000,3.863797,8.410170,3.865921,6.718310,5.979602,0.229907,6.240669
0.020000,4.000430,8.404284,4.002681,6.837995,5.984281,0.233954,6.239601
0.020000,4.139450,8.398147,4.141837,6.957776,5.989039,0.237917,6.238545
0.020000,4.280859,8.391756,4.283390,7.077654,5.993879,0.242005,6.237501
0.020000,4.424658,8.385108,4.427343,7.197630,5.998802,0.246147,6.236473
0.020000,4.570849,8.378199,4.573697,7.317706,6.003803,0.250020,6.235461
0.020000,4.719433,8.371028,4.722454,7.437883,6.008882,0.253969,6.234467
0.020000,4.870414,8.363593,4.873618,7.558164,6.014053,0.258563,6.233493
0.020000,5.023791,8.355891,5.027189,7.678550,6.019285,0.261607,6.232540
0.020000,5.179569,8.347922,5.183169,7.799042,6.024619,0.266684,6.231611
0.020000,5.337747,8.339685,5.341562,7.919643,6.030018,0.269940,6.230706
0.020000,5.498329,8.331178,5.502369,8.040353,6.035498,0.274023,6.229828
0.020000,5.661317,8.322403,5.665593,8.161174,6.041061,0.278148,6.228978
0.020000,5.826712,8.313361,5.831235,8.282108,6.046707,0.282296,6.228158
0.020000,5.994517,8.304050,5.999298,8.403157,6.052436,0.286446,6.227371
0.020000,6.164734,8.294475,6.169785,8.524322,6.058233,0.289837,6.226617
0.020000,6.337366,8.284636,6.342697,8.645604,6.064124,0.294563,6.225899
0.020000,6.512415,8.274537,6.518037,8.767006,6.070077,0.297632,6.225219
0.020000,6.689884,8.264180,6.695807,8.888528,6.076132,0.302770,6.224578
0.020000,6.869774,8.253571,6.876011,9.010173,6.082256,0.306196,6.223979
0.020000,7.052090,8.242712,7.058650,9.131943,6.088463,0.310364,6.223423
0.020000,7.236834,8.231610,7.243726,9.253838,6.094748,0.314215,6.222913
0.020000,7.424008,8.220271,7.431244,9.375860,6.101117,0.318453,6.222451
0.020000,7.613615,8.208701,7.621204,9.498011,6.107574,0.322852,6.222038
0.020000,7.805659,8.196908,7.813610,9.620293,6.114101,0.326361,6.221677
0.020000,8.000143,8.184899,8.008464,9.742708,6.120717,0.330779,6.221370
0.020000,8.197070,8.172685,8.205769,9.865256,6.127417,0.335019,6.221119
0.020000,8.395849,8.160311,8.404933,9.958208,4.647611,-73.990303,6.220926
0.020000,8.595297,8.147864,8.604769,9.991777,1.678422,-148.459423,6.220795
0.020000,8.794820,8.135391,8.804681,9.995625,0.192403,-74.300951,6.220725
0.020000,8.994419,8.122906,9.004671,9.999473,0.192400,-0.000153,6.220716
0.020000,9.194096,8.110420,9.204737,10.003321,0.192400,0.000004,6.220770
0.020000,9.393850,8.097947,9.404880,10.007169,0.192402,0.000102,6.220884
0.020000,9.593683,8.085498,9.605101,10.011017,0.192407,0.000211,6.221061
0.020000,9.793595,8.073085,9.805398,10.014865,0.192413,0.000330,6.221298
0.020000,9.993588,8.060721,10.005772,10.018714,0.192422,0.000443,6.221598
0.020000,10.193661,8.048419,10.206224,10.022562,0.192433,0.000550,6.221959
0.020000,10.393816,8.036190,10.406752,10.026411,0.192446,0.000649,6.222381
0.020000,10.594053,8.024048,10.607357,10.030260,0.192461,0.000737,6.222866
0.020000,10.794374,8.012003,10.808039,10.034110,0.192477,0.000814,6.223411
0.020000,10.994778,8.000070,11.008798,10.037960,0.192496,0.000928,6.224019
0.020000,11.195267,7.988260,11.209635,10.041810,0.192517,0.001068,6.224688
0.020000,11.395841,7.976586,11.410548,10.045661,0.192533,0.000784,6.225418
0.020000,11.596500,7.965061,11.611538,10.049512,0.192552,0.000961,6.226210
0.020000,11.797246,7.953696,11.812605,10.053363,0.192571,0.000952,6.227064
