dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,9.750000,0.000595,0.059524,2.976190,148.809524,6.283064
0.020000,0.000000,9.750000,0.002976,0.178571,5.952381,148.809524,6.283084
0.020000,0.000000,9.750000,0.007738,0.297619,5.952381,0.000000,6.283124
0.020000,0.000000,9.750000,0.014881,0.416667,5.952381,-0.000000,6.283184
0.020000,0.009338,9.750000,0.024405,0.535714,5.952381,0.000000,0.000078
0.020000,0.021243,9.750002,0.036310,0.654762,5.952381,0.000000,0.000177
0.020000,0.035529,9.750005,0.050595,0.773810,5.952381,0.000000,0.000294
0.020000,0.052195,9.750011,0.067262,0.892857,5.952381,0.000000,0.000431
0.020000,0.071243,9.750021,0.086310,1.011905,5.952381,-0.000000,0.000586
0.020000,0.092671,9.750035,0.107738,1.130952,5.952381,0.000000,0.000759
0.020000,0.116481,9.750056,0.131548,1.250000,5.952381,0.000000,0.000949
0.020000,0.142671,9.750083,0.157738,1.369048,5.952381,0.000000,0.001156
0.020000,0.171243,9.750120,0.186310,1.488095,5.952381,0.000000,0.001379
0.020000,0.202195,9.750166,0.217262,1.607143,5.952381,0.000000,0.001618
0.020000,0.235528,9.750224,0.250595,1.726190,5.952381,0.000000,0.001871
0.020000,0.271243,9.750296,0.286310,1.845238,5.952381,0.000000,0.002138
0.020000,0.309338,9.750383,0.324405,1.964286,5.952381,-0.000000,0.002419
0.020000,0.349814,9.750486,0.364881,2.083333,5.952381,0.000000,0.002711
0.020000,0.392671,9.750609,0.407738,2.202381,5.952381,-0.000000,0.003014
0.020000,0.437909,9.750753,0.452976,2.321429,5.952381,0.000000,0.003327
0.020000,0.485527,9.750919,0.500595,2.440476,5.952381,-0.000000,0.003650
0.020000,0.535527,9.751109,0.550595,2.559524,5.952381,0.000000,0.003979
0.020000,0.587908,9.751327,0.602976,2.678571,5.952381,0.000000,0.004316
0.020000,0.642669,9.751572,0.657738,2.797619,5.952381,0.000000,0.004658
0.020000,0.699811,9.751849,0.714881,2.916667,5.952381,0.000000,0.005003
0.020000,0.759334,9.752157,0.774405,3.035714,5.952381,-0.000000,0.005352
0.020000,0.821238,9.752499,0.836310,3.154762,5.952381,0.000000,0.005701
0.020000,0.885523,9.752877,0.900595,3.273810,5.952381,0.000000,0.006050
0.020000,0.952188,9.753292,0.967262,3.392857,5.952381,0.000000,0.006397
0.020000,1.021234,9.753745,1.036310,3.511905,5.952381,-0.000000,0.006740
0.020000,1.092661,9.754239,1.107738,3.630952,5.952381,0.000000,0.007078
0.020000,1.166468,9.754774,1.181548,3.750000,5.952381,0.000000,0.007409
0.020000,1.242657,9.755351,1.257738,3.869048,5.952381,0.000000,0.007731
0.020000,1.321226,9.755970,1.336310,3.988095,5.952381,0.000000,0.008042
0.020000,1.402175,9.756634,1.417262,4.107143,5.952381,-0.000000,0.008341
0.020000,1.485506,9.757341,1.500595,4.226190,5.952381,0.000000,0.008625
0.020000,1.571217,9.758092,1.586310,4.345238,5.952381,-0.000000,0.008893
0.020000,1.659308,9.758886,1.674405,4.464286,5.952381,0.000000,0.009142
0.020000,1.749781,9.759724,1.764881,4.583333,5.952381,-0.000000,0.009370
0.020000,1.842634,9.760604,1.857738,4.702381,5.952381,0.000000,0.009576
0.020000,1.937867,9.761525,1.952976,4.821429,5.952381,-0.000000,0.009755
0.020000,2.035482,9.762485,2.050595,4.940476,5.952381,0.000000,0.009908
0.020000,2.135477,9.763482,2.150595,5.059524,5.952381,-0.000000,0.010030
0.020000,2.237852,9.764514,2.252976,5.178571,5.952381,0.000000,0.010120
0.020000,2.342609,9.765577,2.357738,5.297619,5.952381,-0.000000,0.010175
0.020000,2.449746,9.766668,2.464881,5.416667,5.952381,0.000000,0.010193
0.020000,2.559264,9.767784,2.574405,5.535714,5.952381,0.000000,0.010171
0.020000,2.671163,9.768919,2.686310,5.654762,5.952381,-0.000000,0.010106
0.020000,2.785443,9.770068,2.800595,5.773810,5.952381,0.000000,0.009995
0.020000,2.902104,9.771225,2.917262,5.892857,5.952381,0.000000,0.009836
0.020000,3.021146,9.772384,3.036310,6.011905,5.952381,-0.000000,0.009627
0.020000,3.142569,9.773538,3.157738,6.130952,5.952381,0.000000,0.009363
0.020000,3.266374,9.774677,3.281548,6.250000,5.952381,-0.000000,0.009043
0.020000,3.392559,9.775795,3.407738,6.369048,5.952381,0.000000,0.008662
0.020000,3.521126,9.776881,3.536310,6.488095,5.952381,0.000000,0.008218
0.020000,3.652074,9.777924,3.667262,6.607143,5.952381,-0.000000,0.007709
0.020000,3.785404,9.778914,3.800595,6.726190,5.952381,0.000000,0.007130
0.020000,3.921115,9.779838,3.936310,6.845238,5.952381,-0.000000,0.006478
0.020000,4.059208,9.780683,4.074405,6.964286,5.952381,0.000000,0.005750
0.020000,4.199682,9.781435,4.214881,7.083333,5.952381,0.000000,0.004943
0.020000,4.342538,9.782078,4.357738,7.202381,5.952381,-0.000000,0.004053
0.020000,4.487775,9.782597,4.502976,7.321429,5.952381,0.000000,0.003076
0.020000,4.635393,9.782973,4.650595,7.440476,5.952381,0.000000,0.002009
0.020000,4.785393,9.783189,4.800595,7.559524,5.952381,-0.000000,0.000849
0.020000,4.937774,9.783223,4.952976,7.678571,5.952381,0.000000,6.282777
0.020000,5.092536,9.783056,5.107738,7.797619,5.952381,-0.000000,6.281418
0.020000,5.249678,9.782664,5.264881,7.916667,5.952381,0.000000,6.279954
0.020000,5.409201,9.782024,5.424405,8.035714,5.952381,0.000000,6.278381
0.020000,5.571103,9.781111,5.586310,8.154762,5.952381,-0.000000,6.276695
0.020000,5.735384,9.779898,5.750595,8.273810,5.952381,0.000000,6.274892
0.020000,5.902044,9.778357,5.917262,8.392857,5.952381,0.000000,6.272968
0.020000,6.071081,9.776458,6.086310,8.511905,5.952381,0.000000,6.270918
0.020000,6.242494,9.774170,6.257738,8.630952,5.952381,0.000000,6.268739
0.020000,6.416282,9.771459,6.431548,8.750000,5.952381,-0.000000,6.266426
0.020000,6.592444,9.768292,6.607738,8.869048,5.952381,0.000000,6.263975
0.020000,6.770978,9.764632,6.786310,8.988095,5.952381,0.000000,6.261381
0.020000,6.951882,9.760441,6.967262,9.107143,5.952381,-0.000000,6.258639
0.020000,7.135153,9.755678,7.150595,9.226190,5.952381,0.000000,6.255746
0.020000,7.320790,9.750301,7.336310,9.345238,5.952381,0.000000,6.252697
0.020000,7.508788,9.744268,7.524405,9.464286,5.952381,0.000000,6.249486
0.020000,7.699145,9.737531,7.714881,9.583333,5.952381,0.000000,6.246110
0.020000,7.891856,9.730042,7.907738,9.702381,5.952381,-0.000000,6.242563
0.020000,8.086918,9.721753,8.102976,9.821429,5.952381,0.000000,6.238842
0.020000,8.284326,9.712610,8.300595,9.940476,5.952381,0.000000,6.234940
0.020000,8.483478,9.702589,8.500000,10.000000,2.976190,-148.809524,6.230865
0.020000,8.683182,9.691711,8.700000,10.000000,0.000000,-148.809524,6.226640
0.020000,8.882837,9.679974,8.900000,10.000000,0.000000,0.000000,6.222277
0.020000,9.082438,9.667353,9.100000,10.000000,0.000000,0.000000,6.217775
0.020000,9.281980,9.653820,9.300000,10.000000,0.000000,0.000000,6.213136
0.020000,9.481455,9.639347,9.500000,10.000000,0.000000,0.000000,6.208359
0.020000,9.680858,9.623908,9.700000,10.000000,0.000000,0.000000,6.203444
0.020000,9.880182,9.607475,9.900000,10.000000,0.000000,0.000000,6.198393
0.020000,10.079419,9.590023,10.100000,10.000000,0.000000,0.000000,6.193205
0.020000,10.278561,9.571523,10.300000,10.000000,0.000000,0.000000,6.187882
0.020000,10.477601,9.551950,10.500000,10.000000,0.000000,0.000000,6.182423
0.020000,10.676529,9.531278,10.700000,10.000000,0.000000,0.000000,6.176830
0.020000,10.875337,9.509480,10.900000,10.000000,0.000000,0.000000,6.171104
0.020000,11.074016,9.486530,11.100000,10.000000,0.000000,0.000000,6.165244
0.020000,11.272555,9.462404,11.300000,10.000000,0.000000,0.000000,6.159253
0.020000,11.470945,9.437076,11.500000,10.000000,0.000000,0.000000,6.153131
0.020000,11.669174,9.410521,11.700000,10.000000,0.000000,0.000000,6.146880
0.020000,11.867231,9.382714,11.900000,10.000000,0.000000,0.000000,6.140501
0.020000,12.065105,9.353632,12.100000,10.000000,0.000000,0.000000,6.133995
