dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,13.500000,0.000595,0.059524,2.976190,148.809524,6.282872
0.020000,4.500000,13.500000,0.002976,0.178571,5.952381,148.809524,6.282950
0.020000,4.500000,13.500000,0.007738,0.297619,5.952381,0.000000,6.283105
0.020000,4.504656,13.500000,0.014881,0.416667,5.952381,-0.000000,0.000151
0.020000,4.514180,13.500003,0.024405,0.535714,5.952381,0.000000,0.000458
0.020000,4.526084,13.500011,0.036310,0.654762,5.952381,0.000000,0.000840
0.020000,4.540370,13.500026,0.050595,0.773810,5.952381,0.000000,0.001296
0.020000,4.557037,13.500052,0.067262,0.892857,5.952381,0.000000,0.001822
0.020000,4.576084,13.500093,0.086310,1.011905,5.952381,-0.000000,0.002417
0.020000,4.597513,13.500151,0.107738,1.130952,5.952381,0.000000,0.003078
0.020000,4.621322,13.500233,0.131548,1.250000,5.952381,0.000000,0.003803
0.020000,4.647513,13.500343,0.157738,1.369048,5.952381,0.000000,0.004589
0.020000,4.676084,13.500487,0.186310,1.488095,5.952381,0.000000,0.005431
0.020000,4.707035,13.500669,0.217262,1.607143,5.952381,0.000000,0.006327
0.020000,4.740368,13.500895,0.250595,1.726190,5.952381,0.000000,0.007273
0.020000,4.776081,13.501173,0.286310,1.845238,5.952381,0.000000,0.008263
0.020000,4.814175,13.501507,0.324405,1.964286,5.952381,-0.000000,0.009294
0.020000,4.854649,13.501905,0.364881,2.083333,5.952381,0.000000,0.010360
0.020000,4.897504,13.502373,0.407738,2.202381,5.952381,-0.000000,0.011457
0.020000,4.942739,13.502917,0.452976,2.321429,5.952381,0.000000,0.012578
0.020000,4.990354,13.503543,0.500595,2.440476,5.952381,-0.000000,0.013719
0.020000,5.040348,13.504258,0.550595,2.559524,5.952381,0.000000,0.014872
0.020000,5.092723,13.505067,0.602976,2.678571,5.952381,0.000000,0.016033
0.020000,5.147477,13.505977,0.657738,2.797619,5.952381,0.000000,0.017193
0.020000,5.204611,13.506993,0.714881,2.916667,5.952381,0.000000,0.018346
0.020000,5.264124,13.508119,0.774405,3.035714,5.952381,-0.000000,0.019484
0.020000,5.326017,13.509360,0.836310,3.154762,5.952381,0.000000,0.020601
0.020000,5.390288,13.510720,0.900595,3.273810,5.952381,0.000000,0.021689
0.020000,5.456938,13.512201,0.967262,3.392857,5.952381,0.000000,0.022739
0.020000,5.525967,13.513806,1.036310,3.511905,5.952381,-0.000000,0.023743
