dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.499296,14.750000,0.000595,0.059524,2.976190,148.809524,0.000563
0.020000,4.499459,14.750000,0.000758,0.008148,-2.568812,-277.250148,0.000433
0.020000,4.499785,14.750000,0.001084,0.016290,0.407132,148.797236,0.000172
0.020000,4.504274,14.750000,0.005573,0.224431,10.407036,499.995208,6.282966
0.020000,4.514448,14.749995,0.015747,0.508733,14.215095,190.402929,6.282446
0.020000,4.527166,14.749981,0.028465,0.635887,6.357701,-392.869687,6.281795
0.020000,4.542426,14.749954,0.043725,0.763015,6.356409,-0.064625,6.281016
0.020000,4.560229,14.749907,0.061528,0.890115,6.355021,-0.069389,6.280107
0.020000,4.580572,14.749834,0.081871,1.017187,6.353595,-0.071282,6.279070
0.020000,4.603456,14.749727,0.104756,1.144228,6.352016,-0.078962,6.277905
0.020000,4.628881,14.749576,0.130180,1.271223,6.349786,-0.111517,6.276614
0.020000,4.656843,14.749372,0.158144,1.398180,6.347815,-0.098530,6.275195
0.020000,4.687344,14.749105,0.188645,1.525072,6.344602,-0.160673,6.273651
0.020000,4.720380,14.748762,0.221684,1.651919,6.342344,-0.112878,6.271982
0.020000,4.755952,14.748332,0.257258,1.778709,6.339499,-0.142257,6.270190
0.020000,4.794057,14.747800,0.295367,1.905432,6.336175,-0.166216,6.268274
0.020000,4.834693,14.747153,0.336008,2.032072,6.332000,-0.208709,6.266237
0.020000,4.877859,14.746375,0.379181,2.158650,6.328884,-0.155832,6.264080
0.020000,4.923552,14.745449,0.424884,2.285135,6.324240,-0.232184,6.261803
0.020000,4.971771,14.744361,0.473114,2.411532,6.319882,-0.217917,6.259409
0.020000,5.022511,14.743090,0.523871,2.537835,6.315118,-0.238167,6.256899
0.020000,5.075772,14.741620,0.577152,2.664042,6.310368,-0.237530,6.254274
0.020000,5.131549,14.739930,0.632955,2.790134,6.304626,-0.287089,6.251537
0.020000,5.189839,14.738002,0.691277,2.916112,6.298857,-0.288433,6.248689
0.020000,5.250639,14.735813,0.752116,3.041965,6.292661,-0.309845,6.245731
0.020000,5.313945,14.733344,0.815470,3.167700,6.286773,-0.294389,6.242667
0.020000,5.379753,14.730572,0.881336,3.293285,6.279213,-0.377983,6.239499
0.020000,5.448057,14.727474,0.949710,3.418733,6.272445,-0.338424,6.236227
0.020000,5.518854,14.724027,1.020591,3.544032,6.264918,-0.376307,6.232856
0.020000,5.592138,14.720208,1.093974,3.669165,6.256677,-0.412056,6.229388
0.020000,5.667903,14.715993,1.169857,3.794133,6.248387,-0.414526,6.225824
0.020000,5.746144,14.711356,1.248236,3.918924,6.239541,-0.442305,6.222169
0.020000,5.826855,14.706273,1.329106,4.043535,6.230538,-0.450155,6.218425
0.020000,5.910029,14.700719,1.412465,4.167951,6.220812,-0.486289,6.214595
0.020000,5.995659,14.694668,1.498308,4.292161,6.210492,-0.516012,6.210682
0.020000,6.083737,14.688094,1.586632,4.416171,6.200536,-0.497770,6.206690
0.020000,6.174256,14.680971,1.677431,4.539956,6.189239,-0.564864,6.202622
0.020000,6.267208,14.673272,1.770701,4.663513,6.177850,-0.569443,6.198482
0.020000,6.362585,14.664971,1.866438,4.786841,6.166411,-0.571945,6.194273
0.020000,6.460376,14.656042,1.964636,4.909914,6.153628,-0.639155,6.190000
0.020000,6.560574,14.646459,2.065291,5.032742,6.141407,-0.611073,6.185667
0.020000,6.663168,14.636194,2.168397,5.155302,6.127981,-0.671283,6.181277
0.020000,6.768148,14.625223,2.273949,5.277595,6.114661,-0.665974,6.176836
0.020000,6.875503,14.613518,2.381941,5.399601,6.100289,-0.718641,6.172347
0.020000,6.985224,14.601054,2.492368,5.521323,6.086107,-0.709070,6.167815
0.020000,7.097299,14.587806,2.605223,5.642744,6.071040,-0.753362,6.163245
0.020000,7.211716,14.573749,2.720500,5.763858,6.055724,-0.765788,6.158643
0.020000,7.328463,14.558858,2.838193,5.884660,6.040102,-0.781136,6.154012
0.020000,7.447529,14.543109,2.958296,6.005135,6.023746,-0.817781,6.149358
0.020000,7.568900,14.526479,3.080801,6.125283,6.007376,-0.818505,6.144687
0.020000,7.692565,14.508945,3.205703,6.245088,5.990251,-0.856220,6.140003
0.020000,7.818511,14.490486,3.332994,6.364548,5.973020,-0.861580,6.135313
0.020000,7.946723,14.471079,3.462667,6.483650,5.955112,-0.895391,6.130622
0.020000,8.077190,14.450704,3.594715,6.602394,5.937161,-0.897565,6.125936
0.020000,8.209897,14.429343,3.729130,6.720766,5.918608,-0.927615,6.121261
0.020000,8.344831,14.406977,3.865905,6.838762,5.899815,-0.939676,6.116603
0.020000,8.481979,14.383589,4.005033,6.956377,5.880743,-0.953583,6.111967
0.020000,8.621326,14.359162,4.146505,7.073601,5.861210,-0.976670,6.107361
0.020000,8.762859,14.333683,4.290314,7.190431,5.841491,-0.985947,6.102790
0.020000,8.906565,14.307136,4.436451,7.306860,5.821435,-1.002773,6.098261
0.020000,9.052430,14.279511,4.584908,7.422881,5.801091,-1.017197,6.093781
0.020000,9.200440,14.250795,4.735678,7.538491,5.780492,-1.029996,6.089355
0.020000,9.350582,14.220981,4.888752,7.653684,5.759633,-1.042934,6.084992
0.020000,9.502843,14.190061,5.044121,7.768454,5.738509,-1.056197,6.080696
0.020000,9.657210,14.158027,5.201777,7.882797,5.717152,-1.067820,6.076476
0.020000,9.813671,14.124876,5.361711,7.996709,5.695596,-1.077804,6.072338
