dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,13.500000,0.000595,0.059524,2.976190,148.809524,0.000563
0.020000,4.500000,13.500000,0.002976,0.178571,5.952381,148.809524,0.000433
0.020000,4.500000,13.500000,0.007738,0.297619,5.952381,0.000000,0.000172
0.020000,4.504000,13.500000,0.014881,0.416667,5.952381,-0.000000,6.282966
0.020000,4.513524,13.499995,0.024405,0.535714,5.952381,0.000000,6.282446
0.020000,4.525429,13.499982,0.036310,0.654762,5.952381,0.000000,6.281795
0.020000,4.539714,13.499957,0.050595,0.773810,5.952381,0.000000,6.281016
0.020000,4.556381,13.499913,0.067262,0.892857,5.952381,0.000000,6.280107
0.020000,4.575428,13.499845,0.086310,1.011905,5.952381,-0.000000,6.279070
0.020000,4.596857,13.499744,0.107738,1.130952,5.952381,0.000000,6.277905
0.020000,4.620666,13.499603,0.131548,1.250000,5.952381,0.000000,6.276614
0.020000,4.646856,13.499412,0.157738,1.369048,5.952381,0.000000,6.275195
0.020000,4.675426,13.499162,0.186310,1.488095,5.952381,0.000000,6.273651
0.020000,4.706377,13.498841,0.217262,1.607143,5.952381,0.000000,6.271982
0.020000,4.739708,13.498438,0.250595,1.726190,5.952381,0.000000,6.270190
0.020000,4.775418,13.497939,0.286310,1.845238,5.952381,0.000000,6.268274
0.020000,4.813509,13.497332,0.324405,1.964286,5.952381,-0.000000,6.266237
0.020000,4.853978,13.496603,0.364881,2.083333,5.952381,0.000000,6.264080
0.020000,4.896827,13.495735,0.407738,2.202381,5.952381,-0.000000,6.261803
0.020000,4.942053,13.494714,0.452976,2.321429,5.952381,0.000000,6.259409
0.020000,4.989657,13.493522,0.500595,2.440476,5.952381,-0.000000,6.256899
0.020000,5.039638,13.492142,0.550595,2.559524,5.952381,0.000000,6.254274
0.020000,5.091995,13.490556,0.602976,2.678571,5.952381,0.000000,6.251537
0.020000,5.146727,13.488745,0.657738,2.797619,5.952381,0.000000,6.248689
0.020000,5.203833,13.486690,0.714881,2.916667,5.952381,0.000000,6.245731
0.020000,5.263312,13.484370,0.774405,3.035714,5.952381,-0.000000,6.242667
0.020000,5.325161,13.481764,0.836310,3.154762,5.952381,0.000000,6.239499
0.020000,5.389381,13.478852,0.900595,3.273810,5.952381,0.000000,6.236227
0.020000,5.455969,13.475610,0.967262,3.392857,5.952381,0.000000,6.232856
0.020000,5.524923,13.472017,1.036310,3.511905,5.952381,-0.000000,6.229388
0.020000,5.596241,13.468048,1.107738,3.630952,5.952381,0.000000,6.225824
0.020000,5.669921,13.463682,1.181548,3.750000,5.952381,0.000000,6.222169
0.020000,5.745961,13.458894,1.257738,3.869048,5.952381,0.000000,6.218425
0.020000,5.824358,13.453659,1.336310,3.988095,5.952381,0.000000,6.214595
0.020000,5.905109,13.447952,1.417262,4.107143,5.952381,-0.000000,6.210682
0.020000,5.988211,13.441749,1.500595,4.226190,5.952381,0.000000,6.206690
0.020000,6.073661,13.435025,1.586310,4.345238,5.952381,-0.000000,6.202622
0.020000,6.161456,13.427753,1.674405,4.464286,5.952381,0.000000,6.198482
0.020000,6.251591,13.419909,1.764881,4.583333,5.952381,-0.000000,6.194273
0.020000,6.344063,13.411466,1.857738,4.702381,5.952381,0.000000,6.190000
0.020000,6.438869,13.402398,1.952976,4.821429,5.952381,-0.000000,6.185667
0.020000,6.536003,13.392680,2.050595,4.940476,5.952381,0.000000,6.181277
0.020000,6.635461,13.382285,2.150595,5.059524,5.952381,-0.000000,6.176836
0.020000,6.737239,13.371188,2.252976,5.178571,5.952381,0.000000,6.172347
0.020000,6.841331,13.359364,2.357738,5.297619,5.952381,-0.000000,6.167815
0.020000,6.947733,13.346787,2.464881,5.416667,5.952381,0.000000,6.163245
0.020000,7.056439,13.333431,2.574405,5.535714,5.952381,0.000000,6.158643
0.020000,7.167445,13.319272,2.686310,5.654762,5.952381,-0.000000,6.154012
0.020000,7.280744,13.304286,2.800595,5.773810,5.952381,0.000000,6.149358
0.020000,7.396330,13.288449,2.917262,5.892857,5.952381,0.000000,6.144687
0.020000,7.514199,13.271737,3.036310,6.011905,5.952381,-0.000000,6.140003
0.020000,7.634344,13.254127,3.157738,6.130952,5.952381,0.000000,6.135313
0.020000,7.756759,13.235598,3.281548,6.250000,5.952381,-0.000000,6.130622
0.020000,7.881438,13.216127,3.407738,6.369048,5.952381,0.000000,6.125936
0.020000,8.008375,13.195695,3.536310,6.488095,5.952381,0.000000,6.121261
0.020000,8.137565,13.174281,3.667262,6.607143,5.952381,-0.000000,6.116603
0.020000,8.269000,13.151867,3.800595,6.726190,5.952381,0.000000,6.111967
0.020000,8.402676,13.128434,3.936310,6.845238,5.952381,-0.000000,6.107361
0.020000,8.538587,13.103967,4.074405,6.964286,5.952381,0.000000,6.102790
0.020000,8.676725,13.078448,4.214881,7.083333,5.952381,0.000000,6.098261
0.020000,8.817087,13.051865,4.357738,7.202381,5.952381,-0.000000,6.093781
0.020000,8.959667,13.024203,4.502976,7.321429,5.952381,0.000000,6.089355
0.020000,9.104459,12.995452,4.650595,7.440476,5.952381,0.000000,6.084992
0.020000,9.251458,12.965599,4.800595,7.559524,5.952381,-0.000000,6.080696
0.020000,9.400660,12.934637,4.952976,7.678571,5.952381,0.000000,6.076476
0.020000,9.552061,12.902559,5.107738,7.797619,5.952381,-0.000000,6.072338
0.020000,9.705656,12.869358,5.264881,7.916667,5.952381,0.000000,6.068289
0.020000,9.861443,12.835030,5.424405,8.035714,5.952381,0.000000,6.064337
0.020000,10.019417,12.799573,5.586310,8.154762,5.952381,-0.000000,6.060488
0.020000,10.179577,12.762987,5.750595,8.273810,5.952381,0.000000,6.056749
0.020000,10.341921,12.725273,5.917262,8.392857,5.952381,0.000000,6.053128
0.020000,10.506446,12.686435,6.086310,8.511905,5.952381,0.000000,6.049632
0.020000,10.673153,12.646477,6.257738,8.630952,5.952381,0.000000,6.046268
0.020000,10.842040,12.605408,6.431548,8.750000,5.952381,-0.000000,6.043045
0.020000,11.013110,12.563237,6.607738,8.869048,5.952381,0.000000,6.039969
0.020000,11.186362,12.519976,6.786310,8.988095,5.952381,0.000000,6.037047
0.020000,11.361798,12.475641,6.967262,9.107143,5.952381,-0.000000,6.034289
0.020000,11.539423,12.430246,7.150595,9.226190,5.952381,0.000000,6.031700
0.020000,11.719239,12.383813,7.336310,9.345238,5.952381,0.000000,6.029290
0.020000,11.901250,12.336362,7.524405,9.464286,5.952381,0.000000,6.027066
0.020000,12.085463,12.287919,7.714881,9.583333,5.952381,0.000000,6.025036
0.020000,12.271884,12.238510,7.907738,9.702381,5.952381,-0.000000,6.023209
0.020000,12.460520,12.188166,8.102976,9.821429,5.952381,0.000000,6.021591
0.020000,12.651379,12.136920,8.300595,9.940476,5.952381,0.000000,6.020193
0.020000,12.843896,12.084965,8.500000,10.000000,2.976190,-148.809524,6.019024
0.020000,13.036933,12.032651,8.700000,10.000000,0.000000,-148.809524,6.018097
0.020000,13.229928,11.980183,8.900000,10.000000,0.000000,0.000000,6.017415
0.020000,13.422893,11.927606,9.100000,10.000000,0.000000,0.000000,6.016978
0.020000,13.615842,11.874969,9.300000,10.000000,0.000000,0.000000,6.016786
0.020000,13.808788,11.822318,9.500000,10.000000,0.000000,0.000000,6.016839
0.020000,14.001742,11.769701,9.700000,10.000000,0.000000,0.000000,6.017136
0.020000,14.194719,11.717165,9.900000,10.000000,0.000000,0.000000,6.017679
0.020000,14.387730,11.664758,10.100000,10.000000,0.000000,0.000000,6.018466
0.020000,14.580789,11.612526,10.300000,10.000000,0.000000,0.000000,6.019498
0.020000,14.773909,11.560517,10.500000,10.000000,0.000000,0.000000,6.020776
0.020000,14.967101,11.508778,10.700000,10.000000,0.000000,0.000000,6.022299
0.020000,15.151094,11.456149,10.900000,10.000000,0.000000,0.000000,5.978722
0.020000,15.340099,11.390831,11.100000,10.000000,0.000000,0.000000,5.922053
0.020000,15.525084,11.314873,11.300000,10.000000,0.000000,0.000000,5.865087
0.020000,15.705462,11.228543,11.500000,10.000000,0.000000,0.000000,5.808669
0.020000,15.880747,11.132288,11.700000,10.000000,0.000000,0.000000,5.753644
0.020000,16.050583,11.026711,11.900000,10.000000,0.000000,0.000000,5.700796
0.020000,16.214764,10.912535,12.100000,10.000000,0.000000,0.000000,5.650793
0.020000,16.373236,10.790555,12.300000,10.000000,0.000000,0.000000,5.604161
0.020000,16.526091,10.661600,12.500000,10.000000,0.000000,0.000000,5.561274
0.020000,16.673545,10.526499,12.700000,10.000000,0.000000,0.000000,5.522360
0.020000,16.815920,10.386052,12.900000,10.000000,0.000000,0.000000,5.487528
0.020000,16.953616,10.241012,13.100000,10.000000,0.000000,0.000000,5.456792
0.020000,17.087094,10.092079,13.300000,10.000000,0.000000,0.000000,5.430101
0.020000,17.216853,9.939892,13.500000,10.000000,0.000000,0.000000,5.407364
0.020000,17.343419,9.785037,13.700000,10.000000,0.000000,0.000000,5.388472
0.020000,17.467332,9.628050,13.900000,10.000000,0.000000,0.000000,5.373311
0.020000,17.589140,9.469424,14.100000,10.000000,0.000000,0.000000,5.361777
0.020000,17.709396,9.309617,14.300000,10.000000,0.000000,0.000000,5.353785
0.020000,17.828650,9.149061,14.500000,10.000000,0.000000,0.000000,5.349271
0.020000,17.947456,8.988172,14.700000,10.000000,0.000000,0.000000,5.348197
0.020000,18.066365,8.827360,14.900000,10.000000,0.000000,0.000000,5.350555
0.020000,18.185930,8.667034,15.100000,10.000000,0.000000,0.000000,5.356363
0.020000,18.306701,8.507616,15.300000,10.000000,0.000000,0.000000,5.365671
0.020000,18.429232,8.349548,15.500000,10.000000,0.000000,0.000000,5.378549
0.020000,18.554073,8.193299,15.700000,10.000000,0.000000,0.000000,5.395093
0.020000,18.681770,8.039376,15.900000,10.000000,0.000000,0.000000,5.415409
0.020000,18.812859,7.888334,16.100000,10.000000,0.000000,0.000000,5.439612
0.020000,18.947857,7.740778,16.300000,10.000000,0.000000,0.000000,5.467806
0.020000,19.087028,7.597593,16.499685,9.968502,-1.574908,-78.745376,5.500017
0.020000,19.230121,7.460092,16.698145,9.877480,-4.551098,-148.809524,5.536079
0.020000,19.376744,7.329503,16.894504,9.758432,-5.952381,-70.064148,5.575689
0.020000,19.526783,7.206580,17.088482,9.639385,-5.952381,-0.000000,5.618520
0.020000,19.680209,7.091848,17.280079,9.520337,-5.952381,0.000000,5.664192
0.020000,19.836872,6.985769,17.469296,9.401289,-5.952381,0.000000,5.712218
0.020000,19.996503,6.888722,17.656131,9.282242,-5.952381,0.000000,5.762024
0.020000,20.158728,6.800978,17.840585,9.163194,-5.952381,-0.000000,5.812964
0.020000,20.323083,6.722679,18.022659,9.044147,-5.952381,0.000000,5.864358
0.020000,20.489041,6.653830,18.202351,8.925099,-5.952381,0.000000,5.915537
0.020000,20.656040,6.594298,18.379663,8.806051,-5.952381,0.000000,5.965881
0.020000,20.823512,6.543822,18.554593,8.687004,-5.952381,-0.000000,6.014850
0.020000,20.990908,6.502032,18.727143,8.567956,-5.952381,0.000000,6.062010
0.020000,21.150516,6.466905,18.897311,8.448908,-5.952381,0.000000,6.069219
0.020000,21.314590,6.431805,19.065099,8.329861,-5.952381,0.000000,6.075925
0.020000,21.476592,6.398418,19.230506,8.210813,-5.952381,0.000000,6.084250
0.020000,21.636556,6.366974,19.393532,8.091766,-5.952381,-0.000000,6.094239
0.020000,21.794511,6.337701,19.554176,7.972718,-5.952381,0.000000,6.105962
0.020000,21.950475,6.310828,19.712440,7.853670,-5.952381,0.000000,6.119507
0.020000,22.104461,6.286590,19.868323,7.734623,-5.952381,-0.000000,6.134985
0.020000,22.256467,6.265226,20.021825,7.615575,-5.952381,0.000000,6.152527
0.020000,22.406481,6.246987,20.172946,7.496528,-5.952381,-0.000000,6.172292
0.020000,22.554474,6.232130,20.321686,7.377480,-5.952381,0.000000,6.194459
0.020000,22.700400,6.220931,20.468046,7.258432,-5.952381,0.000000,6.219234
0.020000,22.844190,6.213673,20.612024,7.139385,-5.952381,-0.000000,6.246848
0.020000,22.985750,6.210658,20.753621,7.020337,-5.952381,0.000000,6.277551
0.020000,23.124951,6.212197,20.892837,6.901289,-5.952381,0.000000,0.028424
0.020000,23.261628,6.218612,21.029672,6.782242,-5.952381,-0.000000,0.066109
0.020000,23.395570,6.230227,21.164127,6.663194,-5.952381,0.000000,0.107681
0.020000,23.526516,6.247360,21.296200,6.544147,-5.952381,-0.000000,0.153363
0.020000,23.654148,6.270309,21.425893,6.425099,-5.952381,0.000000,0.203312
0.020000,23.778092,6.299329,21.553204,6.306051,-5.952381,0.000000,0.257568
