dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500704,12.250000,0.000595,0.059524,2.976190,148.809524,0.000563
0.020000,4.500541,12.250000,0.000758,0.008148,-2.568812,-277.250148,0.000433
0.020000,4.500215,12.250000,0.001084,0.016290,0.407132,148.797236,0.000172
0.020000,4.503727,12.250000,0.004596,0.175583,7.964658,377.876290,6.282966
0.020000,4.512600,12.249995,0.013469,0.443645,13.403084,271.921281,6.282446
0.020000,4.523691,12.249984,0.024560,0.554592,5.547330,-392.787693,6.281795
0.020000,4.537002,12.249960,0.037872,0.665556,5.548242,0.045604,6.281016
0.020000,4.552533,12.249919,0.053402,0.776546,5.549492,0.062486,6.280107
0.020000,4.570285,12.249855,0.071154,0.887569,5.551136,0.082225,6.279070
0.020000,4.590257,12.249761,0.091126,0.998631,5.553083,0.097326,6.277905
0.020000,4.612451,12.249630,0.113321,1.109729,5.554906,0.091171,6.276614
0.020000,4.636868,12.249452,0.137739,1.220877,5.557411,0.125273,6.275195
0.020000,4.663508,12.249219,0.164380,1.332063,5.559298,0.094331,6.273651
0.020000,4.692373,12.248919,0.193246,1.443313,5.562498,0.159993,6.271982
0.020000,4.723463,12.248543,0.224339,1.554626,5.565676,0.158924,6.270190
0.020000,4.756780,12.248078,0.257659,1.666005,5.568942,0.163261,6.268274
0.020000,4.792325,12.247512,0.293208,1.777445,5.571983,0.152091,6.266237
0.020000,4.830098,12.246831,0.330987,1.888975,5.576485,0.225097,6.264080
0.020000,4.870101,12.246021,0.370999,2.000579,5.580203,0.185859,6.261803
0.020000,4.912336,12.245067,0.413244,2.112273,5.584737,0.226703,6.259409
0.020000,4.956803,12.243954,0.457725,2.224063,5.589500,0.238187,6.256899
0.020000,5.003505,12.242665,0.504445,2.335961,5.594877,0.268835,6.254274
0.020000,5.052441,12.241182,0.553404,2.447961,5.600004,0.256336,6.251537
0.020000,5.103615,12.239489,0.604605,2.560076,5.605743,0.286963,6.248689
0.020000,5.157027,12.237567,0.658052,2.672311,5.611760,0.300868,6.245731
0.020000,5.212678,12.235396,0.713745,2.784686,5.618721,0.348049,6.242667
0.020000,5.270570,12.232957,0.771689,2.897184,5.624902,0.309025,6.239499
0.020000,5.330705,12.230230,0.831886,3.009833,5.632484,0.379094,6.236227
0.020000,5.393084,12.227193,0.894338,3.122636,5.640122,0.381915,6.232856
0.020000,5.457708,12.223825,0.959050,3.235593,5.647869,0.387345,6.229388
0.020000,5.524579,12.220104,1.026025,3.348720,5.656326,0.422851,6.225824
0.020000,5.593698,12.216008,1.095265,3.462021,5.665061,0.436767,6.222169
0.020000,5.665067,12.211514,1.166775,3.575510,5.674440,0.468946,6.218425
0.020000,5.738687,12.206598,1.240559,3.689189,5.683975,0.476743,6.214595
0.020000,5.814559,12.201236,1.316620,3.803065,5.693789,0.490706,6.210682
0.020000,5.892685,12.195405,1.394964,3.917160,5.704743,0.547675,6.206690
0.020000,5.973066,12.189079,1.475593,4.031466,5.715331,0.529429,6.202622
0.020000,6.055703,12.182235,1.558513,4.146000,5.726669,0.566898,6.198482
0.020000,6.140597,12.174846,1.643728,4.260776,5.738800,0.606554,6.194273
0.020000,6.227751,12.166889,1.731244,4.375787,5.750576,0.588777,6.190000
0.020000,6.317164,12.158337,1.821065,4.491061,5.763694,0.655909,6.185667
0.020000,6.408838,12.149165,1.913197,4.606593,5.776581,0.644369,6.181277
0.020000,6.502774,12.139347,2.007645,4.722401,5.790404,0.691150,6.176836
0.020000,6.598974,12.128859,2.104415,4.838483,5.804123,0.685901,6.172347
0.020000,6.697438,12.117674,2.203512,4.954860,5.818843,0.736037,6.167815
0.020000,6.798167,12.105767,2.304943,5.071532,5.833594,0.737526,6.163245
0.020000,6.901163,12.093113,2.408713,5.188511,5.848935,0.767063,6.158643
0.020000,7.006426,12.079687,2.514829,5.305807,5.864804,0.793427,6.154012
0.020000,7.113958,12.065463,2.623298,5.423423,5.880801,0.799892,6.149358
0.020000,7.223760,12.050418,2.734125,5.541374,5.897561,0.837985,6.144687
0.020000,7.335832,12.034528,2.847318,5.659662,5.914397,0.841818,6.140003
0.020000,7.450176,12.017769,2.962884,5.778300,5.931877,0.873976,6.135313
0.020000,7.566794,12.000117,3.080830,5.897289,5.949464,0.879346,6.130622
0.020000,7.685686,11.981550,3.201163,6.016643,5.967712,0.912386,6.125936
0.020000,7.806853,11.962046,3.323890,6.136365,5.986091,0.918978,6.121261
0.020000,7.930298,11.941584,3.449019,6.256463,6.004907,0.940784,6.116603
0.020000,8.056022,11.920144,3.576558,6.376945,6.024102,0.959765,6.111967
0.020000,8.184027,11.897706,3.706515,6.497815,6.043485,0.969134,6.107361
0.020000,8.314314,11.874250,3.838896,6.619081,6.063284,0.989961,6.102790
0.020000,8.446886,11.849760,3.973711,6.740747,6.083338,1.002687,6.098261
0.020000,8.581745,11.824219,4.110968,6.862821,6.103667,1.016449,6.093781
0.020000,8.718894,11.797611,4.250674,6.985306,6.124278,1.030584,6.089355
0.020000,8.858335,11.769922,4.392838,7.108209,6.145149,1.043521,6.084992
