dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.499640,14.750000,0.000595,0.059524,2.976190,148.809524,0.000288
0.020000,4.499729,14.750000,0.000685,0.004464,-2.752994,-286.459202,0.000217
0.020000,4.499907,14.750000,0.000863,0.008909,0.222270,148.763162,0.000074
0.020000,4.504829,14.750000,0.005785,0.246112,11.860142,581.893608,6.283047
0.020000,4.514707,14.749997,0.015662,0.493860,12.387403,26.363039,6.282764
0.020000,4.527050,14.749990,0.028006,0.617185,6.166236,-311.058334,6.282413
0.020000,4.541859,14.749975,0.042814,0.740419,6.161710,-0.226309,6.281995
0.020000,4.559129,14.749950,0.060085,0.863534,6.155760,-0.297505,6.281511
0.020000,4.578860,14.749912,0.079815,0.986526,6.149592,-0.308371,6.280965
0.020000,4.601047,14.749856,0.102003,1.109367,6.142038,-0.377692,6.280358
0.020000,4.625688,14.749778,0.126644,1.232042,6.133757,-0.414074,6.279693
0.020000,4.652778,14.749674,0.153734,1.354527,6.124261,-0.474811,6.278973
0.020000,4.682314,14.749538,0.183270,1.476814,6.114338,-0.496155,6.278201
0.020000,4.714291,14.749365,0.215248,1.598876,6.103081,-0.562809,6.277381
0.020000,4.748704,14.749150,0.249662,1.720698,6.091109,-0.598627,6.276516
0.020000,4.785549,14.748888,0.286507,1.842266,6.078411,-0.634915,6.275612
0.020000,4.824819,14.748572,0.325778,1.963551,6.064235,-0.708764,6.274671
0.020000,4.866508,14.748197,0.367469,2.084549,6.049887,-0.717415,6.273699
0.020000,4.910610,14.747756,0.411574,2.205234,6.034295,-0.779619,6.272701
0.020000,4.957119,14.747245,0.458086,2.325589,6.017732,-0.828131,6.271682
0.020000,5.006028,14.746657,0.506998,2.445601,6.000587,-0.857261,6.270648
0.020000,5.057328,14.745986,0.558303,2.565246,5.982243,-0.917164,6.269604
0.020000,5.111013,14.745229,0.611993,2.684513,5.963372,-0.943562,6.268556
0.020000,5.167074,14.744379,0.668060,2.803380,5.943332,-1.002033,6.267512
0.020000,5.225503,14.743433,0.726497,2.921834,5.922709,-1.031120,6.266477
0.020000,5.286291,14.742386,0.787294,3.039854,5.901004,-1.085268,6.265458
0.020000,5.349430,14.741235,0.850443,3.157427,5.878631,-1.118636,6.264463
0.020000,5.414908,14.739977,0.915933,3.274533,5.855333,-1.164890,6.263499
0.020000,5.482717,14.738610,0.983757,3.391154,5.831015,-1.215890,6.262574
0.020000,5.552847,14.737133,1.053902,3.507278,5.806201,-1.240737,6.261696
0.020000,5.625288,14.735546,1.126360,3.622882,5.780212,-1.299429,6.260872
0.020000,5.700027,14.733849,1.201119,3.737951,5.753473,-1.336952,6.260113
0.020000,5.777056,14.732044,1.278168,3.852470,5.725934,-1.376974,6.259426
0.020000,5.856361,14.730135,1.357496,3.966418,5.697411,-1.426138,6.258820
0.020000,5.937932,14.728125,1.439092,4.079779,5.668064,-1.467366,6.258306
0.020000,6.021756,14.726021,1.522943,4.192535,5.637766,-1.514872,6.257892
0.020000,6.107822,14.723830,1.609036,4.304667,5.606591,-1.558736,6.257588
0.020000,6.196116,14.721560,1.697359,4.416156,5.574448,-1.607190,6.257406
0.020000,6.286625,14.719223,1.787899,4.526983,5.541362,-1.654264,6.257355
0.020000,6.379337,14.716831,1.880641,4.637129,5.507285,-1.703887,6.257447
0.020000,6.474237,14.714398,1.975573,4.746573,5.472208,-1.753827,6.257692
0.020000,6.571312,14.711942,2.072679,4.855294,5.436044,-1.808222,6.258103
0.020000,6.670547,14.709480,2.171944,4.963272,5.398909,-1.856721,6.258691
0.020000,6.771927,14.707034,2.273354,5.070482,5.360534,-1.918777,6.259468
0.020000,6.875437,14.704627,2.376892,5.176904,5.321057,-1.973854,6.260447
0.020000,6.981061,14.702287,2.482542,5.282513,5.280475,-2.029068,6.261641
