dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,13.500000,0.000595,0.059524,2.976190,148.809524,0.000288
0.020000,4.500000,13.500000,0.002976,0.178571,5.952381,148.809524,0.000217
0.020000,4.500000,13.500000,0.007738,0.297619,5.952381,0.000000,0.000074
0.020000,4.504656,13.500000,0.014881,0.416667,5.952381,-0.000000,6.283047
0.020000,4.514180,13.499997,0.024405,0.535714,5.952381,0.000000,6.282764
0.020000,4.526084,13.499990,0.036310,0.654762,5.952381,0.000000,6.282413
0.020000,4.540370,13.499976,0.050595,0.773810,5.952381,0.000000,6.281995
0.020000,4.557037,13.499952,0.067262,0.892857,5.952381,0.000000,6.281511
0.020000,4.576084,13.499915,0.086310,1.011905,5.952381,-0.000000,6.280965
0.020000,4.597513,13.499861,0.107738,1.130952,5.952381,0.000000,6.280358
0.020000,4.621322,13.499786,0.131548,1.250000,5.952381,0.000000,6.279693
0.020000,4.647513,13.499685,0.157738,1.369048,5.952381,0.000000,6.278973
0.020000,4.676084,13.499553,0.186310,1.488095,5.952381,0.000000,6.278201
0.020000,4.707036,13.499386,0.217262,1.607143,5.952381,0.000000,6.277381
0.020000,4.740368,13.499178,0.250595,1.726190,5.952381,0.000000,6.276516
0.020000,4.776082,13.498924,0.286310,1.845238,5.952381,0.000000,6.275612
0.020000,4.814176,13.498617,0.324405,1.964286,5.952381,-0.000000,6.274671
0.020000,4.854650,13.498253,0.364881,2.083333,5.952381,0.000000,6.273699
0.020000,4.897505,13.497825,0.407738,2.202381,5.952381,-0.000000,6.272701
0.020000,4.942741,13.497327,0.452976,2.321429,5.952381,0.000000,6.271682
0.020000,4.990356,13.496755,0.500595,2.440476,5.952381,-0.000000,6.270648
0.020000,5.040352,13.496102,0.550595,2.559524,5.952381,0.000000,6.269604
0.020000,5.092728,13.495363,0.602976,2.678571,5.952381,0.000000,6.268556
0.020000,5.147483,13.494533,0.657738,2.797619,5.952381,0.000000,6.267512
0.020000,5.204619,13.493607,0.714881,2.916667,5.952381,0.000000,6.266477
0.020000,5.264134,13.492582,0.774405,3.035714,5.952381,-0.000000,6.265458
0.020000,5.326028,13.491454,0.836310,3.154762,5.952381,0.000000,6.264463
