dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500360,12.250000,0.000595,0.059524,2.976190,148.809524,0.000288
0.020000,4.500271,12.250000,0.000685,0.004464,-2.752994,-286.459202,0.000217
0.020000,4.500093,12.250000,0.000863,0.008909,0.222270,148.763162,0.000074
0.020000,4.504482,12.250000,0.005252,0.219477,10.528398,515.306395,6.283047
0.020000,4.513653,12.249997,0.014423,0.458521,11.952187,71.189459,6.282764
0.020000,4.525119,12.249990,0.025888,0.573291,5.738502,-310.684258,6.282413
0.020000,4.538882,12.249977,0.039652,0.688157,5.743293,0.239547,6.281995
0.020000,4.554944,12.249954,0.055714,0.803128,5.748550,0.262884,6.281511
0.020000,4.573309,12.249918,0.074079,0.918236,5.755391,0.342058,6.280965
0.020000,4.593979,12.249866,0.094749,1.033490,5.762723,0.366600,6.280358
0.020000,4.616957,12.249793,0.117727,1.148913,5.771152,0.421454,6.279693
0.020000,4.642247,12.249696,0.143017,1.264518,5.780217,0.453246,6.278973
0.020000,4.669853,12.249569,0.170624,1.380331,5.790645,0.521405,6.278201
0.020000,4.699780,12.249407,0.200551,1.496362,5.801583,0.546854,6.277381
0.020000,4.732032,12.249206,0.232804,1.612634,5.813595,0.600646,6.276516
0.020000,4.766615,12.248960,0.267387,1.729167,5.826667,0.653593,6.275612
0.020000,4.803533,12.248663,0.304307,1.845969,5.840083,0.670784,6.274671
0.020000,4.842793,12.248309,0.343568,1.963070,5.855057,0.748705,6.273699
0.020000,4.884400,12.247894,0.385178,2.080482,5.870574,0.775856,6.272701
0.020000,4.928362,12.247410,0.429142,2.198219,5.886881,0.815320,6.271682
0.020000,4.974685,12.246853,0.475468,2.316306,5.904333,0.872638,6.270648
0.020000,5.023376,12.246217,0.524163,2.434753,5.922341,0.900405,6.269604
0.020000,5.074442,12.245496,0.575235,2.553583,5.941531,0.959488,6.268556
0.020000,5.127892,12.244686,0.628691,2.672809,5.961286,0.987759,6.267512
0.020000,5.183734,12.243782,0.684540,2.792452,5.982160,1.043655,6.266477
0.020000,5.241976,12.242779,0.742791,2.912526,6.003668,1.075419,6.265458
0.020000,5.302627,12.241673,0.803452,3.033050,6.026205,1.126868,6.264463
0.020000,5.365696,12.240461,0.866532,3.154040,6.049524,1.165940,6.263499
0.020000,5.431193,12.239141,0.932043,3.275511,6.073533,1.200425,6.262574
0.020000,5.499128,12.237710,0.999992,3.397486,6.098739,1.260345,6.261696
0.020000,5.569510,12.236168,1.070392,3.519976,6.124498,1.287921,6.260872
0.020000,5.642351,12.234514,1.143252,3.643000,6.151227,1.336430,6.260113
0.020000,5.717662,12.232750,1.218583,3.766578,6.178892,1.383260,6.259426
0.020000,5.795454,12.230877,1.296398,3.890725,6.207333,1.422053,6.258820
0.020000,5.875739,12.228899,1.376707,4.015459,6.236727,1.469698,6.258306
0.020000,5.958529,12.226821,1.459523,4.140799,6.266977,1.512536,6.257892
0.020000,6.043837,12.224649,1.544858,4.266763,6.298189,1.560555,6.257588
0.020000,6.131675,12.222391,1.632726,4.393369,6.330307,1.605913,6.257406
0.020000,6.222058,12.220057,1.723138,4.520637,6.363402,1.654783,6.257355
0.020000,6.314998,12.217659,1.816110,4.648586,6.397474,1.703566,6.257447
0.020000,6.410512,12.215211,1.911655,4.777238,6.432569,1.754778,6.257692
0.020000,6.508613,12.212728,2.009787,4.906611,6.468660,1.804557,6.258103
0.020000,6.609316,12.210230,2.110522,5.036729,6.505934,1.863656,6.258691
0.020000,6.712638,12.207737,2.213874,5.167613,6.544187,1.912695,6.259468
0.020000,6.818595,12.205274,2.319860,5.299286,6.583642,1.972713,6.260447
0.020000,6.927204,12.202867,2.428495,5.431774,6.624379,2.036871,6.261641
0.020000,7.038482,12.200546,2.539797,5.565096,6.666127,2.087405,6.263063
0.020000,7.152446,12.198346,2.653783,5.699286,6.709481,2.167694,6.264728
0.020000,7.269116,12.196302,2.770470,5.834363,6.753856,2.218733,6.266649
0.020000,7.388509,12.194456,2.889877,5.970360,6.799877,2.301068,6.268842
