dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500704,14.750000,0.000595,0.059524,2.976190,148.809524,6.282622
0.020000,4.500541,14.750000,0.000758,0.008148,-2.568812,-277.250148,6.282753
0.020000,4.500215,14.750000,0.001084,0.016290,0.407132,148.797236,6.283013
0.020000,4.503727,14.750000,0.004596,0.175583,7.964658,377.876290,0.000219
0.020000,4.512600,14.750005,0.013469,0.443645,13.403084,271.921281,0.000740
0.020000,4.523691,14.750016,0.024560,0.554592,5.547330,-392.787693,0.001390
0.020000,4.537002,14.750040,0.037872,0.665556,5.548242,0.045604,0.002170
0.020000,4.552533,14.750081,0.053402,0.776546,5.549492,0.062486,0.003078
0.020000,4.570285,14.750145,0.071154,0.887569,5.551136,0.082225,0.004115
0.020000,4.590257,14.750239,0.091126,0.998631,5.553083,0.097326,0.005280
0.020000,4.612451,14.750370,0.113321,1.109729,5.554906,0.091171,0.006572
0.020000,4.636868,14.750548,0.137739,1.220877,5.557411,0.125273,0.007990
0.020000,4.663508,14.750781,0.164380,1.332063,5.559298,0.094331,0.009534
0.020000,4.692373,14.751081,0.193246,1.443313,5.562498,0.159993,0.011203
0.020000,4.723463,14.751457,0.224339,1.554626,5.565676,0.158924,0.012996
0.020000,4.756780,14.751922,0.257659,1.666005,5.568942,0.163261,0.014911
0.020000,4.792325,14.752488,0.293208,1.777445,5.571983,0.152091,0.016948
0.020000,4.830098,14.753169,0.330987,1.888975,5.576485,0.225097,0.019106
0.020000,4.870101,14.753979,0.370999,2.000579,5.580203,0.185859,0.021382
0.020000,4.912336,14.754933,0.413244,2.112273,5.584737,0.226703,0.023776
0.020000,4.956803,14.756046,0.457725,2.224063,5.589500,0.238187,0.026286
0.020000,5.003505,14.757335,0.504445,2.335961,5.594877,0.268835,0.028911
0.020000,5.052441,14.758818,0.553404,2.447961,5.600004,0.256336,0.031648
0.020000,5.103615,14.760511,0.604605,2.560076,5.605743,0.286963,0.034497
0.020000,5.157027,14.762433,0.658052,2.672311,5.611760,0.300868,0.037454
0.020000,5.212678,14.764604,0.713745,2.784686,5.618721,0.348049,0.040518
0.020000,5.270570,14.767043,0.771689,2.897184,5.624902,0.309025,0.043687
0.020000,5.330705,14.769770,0.831886,3.009833,5.632484,0.379094,0.046958
0.020000,5.393084,14.772807,0.894338,3.122636,5.640122,0.381915,0.050329
0.020000,5.457708,14.776175,0.959050,3.235593,5.647869,0.387345,0.053798
0.020000,5.524579,14.779896,1.026025,3.348720,5.656326,0.422851,0.057361
0.020000,5.593698,14.783992,1.095265,3.462021,5.665061,0.436767,0.061016
0.020000,5.665067,14.788486,1.166775,3.575510,5.674440,0.468946,0.064760
0.020000,5.738687,14.793402,1.240559,3.689189,5.683975,0.476743,0.068591
0.020000,5.814559,14.798764,1.316620,3.803065,5.693789,0.490706,0.072503
0.020000,5.892685,14.804595,1.394964,3.917160,5.704743,0.547675,0.076495
0.020000,5.973066,14.810921,1.475593,4.031466,5.715331,0.529429,0.080563
0.020000,6.055703,14.817765,1.558513,4.146000,5.726669,0.566898,0.084703
0.020000,6.140597,14.825154,1.643728,4.260776,5.738800,0.606554,0.088912
0.020000,6.227751,14.833111,1.731244,4.375787,5.750576,0.588777,0.093185
0.020000,6.317164,14.841663,1.821065,4.491061,5.763694,0.655909,0.097518
0.020000,6.408838,14.850835,1.913197,4.606593,5.776581,0.644369,0.101908
0.020000,6.502774,14.860653,2.007645,4.722401,5.790404,0.691150,0.106350
0.020000,6.598974,14.871141,2.104415,4.838483,5.804123,0.685901,0.110839
0.020000,6.697438,14.882326,2.203512,4.954860,5.818843,0.736037,0.115370
0.020000,6.798167,14.894233,2.304943,5.071532,5.833594,0.737526,0.119940
0.020000,6.901163,14.906887,2.408713,5.188511,5.848935,0.767063,0.124543
0.020000,7.006426,14.920313,2.514829,5.305807,5.864804,0.793427,0.129174
0.020000,7.113958,14.934537,2.623298,5.423423,5.880801,0.799892,0.133827
0.020000,7.223760,14.949582,2.734125,5.541374,5.897561,0.837985,0.138499
0.020000,7.335832,14.965472,2.847318,5.659662,5.914397,0.841818,0.143182
0.020000,7.450176,14.982231,2.962884,5.778300,5.931877,0.873976,0.147872
0.020000,7.566794,14.999883,3.080830,5.897289,5.949464,0.879346,0.152563
0.020000,7.685686,15.018450,3.201163,6.016643,5.967712,0.912386,0.157249
