dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,17.250000,0.000595,0.059524,2.976190,148.809524,6.282944
0.020000,0.000000,17.250000,0.002976,0.178571,5.952381,148.809524,6.282977
0.020000,0.000000,17.250000,0.007738,0.297619,5.952381,0.000000,6.283043
0.020000,0.000000,17.250000,0.014881,0.416667,5.952381,-0.000000,6.283142
0.020000,0.006374,17.250000,0.024405,0.535714,5.952381,0.000000,0.000088
0.020000,0.018278,17.250002,0.036310,0.654762,5.952381,0.000000,0.000253
0.020000,0.032564,17.250007,0.050595,0.773810,5.952381,0.000000,0.000450
0.020000,0.049231,17.250017,0.067262,0.892857,5.952381,0.000000,0.000680
0.020000,0.068278,17.250032,0.086310,1.011905,5.952381,-0.000000,0.000942
0.020000,0.089707,17.250056,0.107738,1.130952,5.952381,0.000000,0.001236
0.020000,0.113516,17.250089,0.131548,1.250000,5.952381,0.000000,0.001561
0.020000,0.139707,17.250134,0.157738,1.369048,5.952381,0.000000,0.001919
0.020000,0.168278,17.250195,0.186310,1.488095,5.952381,0.000000,0.002308
0.020000,0.199230,17.250273,0.217262,1.607143,5.952381,0.000000,0.002727
0.020000,0.232564,17.250371,0.250595,1.726190,5.952381,0.000000,0.003178
0.020000,0.268278,17.250493,0.286310,1.845238,5.952381,0.000000,0.003659
0.020000,0.306373,17.250642,0.324405,1.964286,5.952381,-0.000000,0.004169
0.020000,0.346848,17.250822,0.364881,2.083333,5.952381,0.000000,0.004710
0.020000,0.389705,17.251036,0.407738,2.202381,5.952381,-0.000000,0.005279
0.020000,0.434942,17.251288,0.452976,2.321429,5.952381,0.000000,0.005877
0.020000,0.482561,17.251583,0.500595,2.440476,5.952381,-0.000000,0.006503
0.020000,0.532559,17.251925,0.550595,2.559524,5.952381,0.000000,0.007156
0.020000,0.584939,17.252317,0.602976,2.678571,5.952381,0.000000,0.007837
0.020000,0.639699,17.252766,0.657738,2.797619,5.952381,0.000000,0.008544
0.020000,0.696840,17.253275,0.714881,2.916667,5.952381,0.000000,0.009277
0.020000,0.756361,17.253850,0.774405,3.035714,5.952381,-0.000000,0.010035
0.020000,0.818262,17.254495,0.836310,3.154762,5.952381,0.000000,0.010818
0.020000,0.882544,17.255217,0.900595,3.273810,5.952381,0.000000,0.011625
0.020000,0.949205,17.256020,0.967262,3.392857,5.952381,0.000000,0.012455
0.020000,1.018247,17.256909,1.036310,3.511905,5.952381,-0.000000,0.013308
0.020000,1.089669,17.257891,1.107738,3.630952,5.952381,0.000000,0.014182
0.020000,1.163471,17.258971,1.181548,3.750000,5.952381,0.000000,0.015077
0.020000,1.239652,17.260154,1.257738,3.869048,5.952381,0.000000,0.015993
0.020000,1.318213,17.261447,1.336310,3.988095,5.952381,0.000000,0.016927
0.020000,1.399153,17.262856,1.417262,4.107143,5.952381,-0.000000,0.017880
0.020000,1.482472,17.264387,1.500595,4.226190,5.952381,0.000000,0.018851
0.020000,1.568170,17.266045,1.586310,4.345238,5.952381,-0.000000,0.019838
0.020000,1.656247,17.267837,1.674405,4.464286,5.952381,0.000000,0.020842
0.020000,1.746703,17.269768,1.764881,4.583333,5.952381,-0.000000,0.021859
0.020000,1.839537,17.271846,1.857738,4.702381,5.952381,0.000000,0.022891
0.020000,1.934749,17.274076,1.952976,4.821429,5.952381,-0.000000,0.023935
0.020000,2.032339,17.276464,2.050595,4.940476,5.952381,0.000000,0.024991
0.020000,2.132306,17.279016,2.150595,5.059524,5.952381,-0.000000,0.026058
0.020000,2.234651,17.281739,2.252976,5.178571,5.952381,0.000000,0.027134
0.020000,2.339373,17.284638,2.357738,5.297619,5.952381,-0.000000,0.028218
0.020000,2.446471,17.287720,2.464881,5.416667,5.952381,0.000000,0.029310
0.020000,2.555946,17.290989,2.574405,5.535714,5.952381,0.000000,0.030408
0.020000,2.667797,17.294454,2.686310,5.654762,5.952381,-0.000000,0.031510
0.020000,2.782024,17.298117,2.800595,5.773810,5.952381,0.000000,0.032616
0.020000,2.898627,17.301987,2.917262,5.892857,5.952381,0.000000,0.033725
0.020000,3.017604,17.306067,3.036310,6.011905,5.952381,-0.000000,0.034834
0.020000,3.138957,17.310364,3.157738,6.130952,5.952381,0.000000,0.035943
0.020000,3.262684,17.314882,3.281548,6.250000,5.952381,-0.000000,0.037051
0.020000,3.388785,17.319626,3.407738,6.369048,5.952381,0.000000,0.038156
0.020000,3.517260,17.324601,3.536310,6.488095,5.952381,0.000000,0.039256
0.020000,3.648109,17.329813,3.667262,6.607143,5.952381,-0.000000,0.040350
0.020000,3.781331,17.335264,3.800595,6.726190,5.952381,0.000000,0.041437
0.020000,3.916926,17.340959,3.936310,6.845238,5.952381,-0.000000,0.042516
0.020000,4.054893,17.346903,4.074405,6.964286,5.952381,0.000000,0.043584
0.020000,4.195232,17.353098,4.214881,7.083333,5.952381,0.000000,0.044641
0.020000,4.337944,17.359548,4.357738,7.202381,5.952381,-0.000000,0.045684
0.020000,4.483027,17.366256,4.502976,7.321429,5.952381,0.000000,0.046712
0.020000,4.630481,17.373224,4.650595,7.440476,5.952381,0.000000,0.047724
0.020000,4.780307,17.380455,4.800595,7.559524,5.952381,-0.000000,0.048718
0.020000,4.932503,17.387950,4.952976,7.678571,5.952381,0.000000,0.049692
0.020000,5.087071,17.395711,5.107738,7.797619,5.952381,-0.000000,0.050645
0.020000,5.244008,17.403740,5.264881,7.916667,5.952381,0.000000,0.051575
0.020000,5.403316,17.412036,5.424405,8.035714,5.952381,0.000000,0.052479
0.020000,5.564994,17.420601,5.586310,8.154762,5.952381,-0.000000,0.053357
0.020000,5.729042,17.429433,5.750595,8.273810,5.952381,0.000000,0.054207
0.020000,5.895461,17.438531,5.917262,8.392857,5.952381,0.000000,0.055027
0.020000,6.064249,17.447896,6.086310,8.511905,5.952381,0.000000,0.055814
0.020000,6.235407,17.457524,6.257738,8.630952,5.952381,0.000000,0.056568
0.020000,6.408934,17.467414,6.431548,8.750000,5.952381,-0.000000,0.057286
0.020000,6.584832,17.477563,6.607738,8.869048,5.952381,0.000000,0.057966
0.020000,6.763101,17.487966,6.786310,8.988095,5.952381,0.000000,0.058607
0.020000,6.943739,17.498620,6.967262,9.107143,5.952381,-0.000000,0.059206
0.020000,7.126748,17.509519,7.150595,9.226190,5.952381,0.000000,0.059762
0.020000,7.312128,17.520659,7.336310,9.345238,5.952381,0.000000,0.060272
0.020000,7.499879,17.532034,7.524405,9.464286,5.952381,0.000000,0.060734
0.020000,7.690001,17.543635,7.714881,9.583333,5.952381,0.000000,0.061147
0.020000,7.882496,17.555456,7.907738,9.702381,5.952381,-0.000000,0.061508
0.020000,8.077363,17.567488,8.102976,9.821429,5.952381,0.000000,0.061815
0.020000,8.274603,17.579722,8.300595,9.940476,5.952381,0.000000,0.062066
0.020000,8.473623,17.592111,8.500000,10.000000,2.976190,-148.809524,0.062259
0.020000,8.673234,17.604568,8.700000,10.000000,0.000000,-148.809524,0.062390
0.020000,8.872845,17.617046,8.900000,10.000000,0.000000,0.000000,0.062460
0.020000,9.072454,17.629532,9.100000,10.000000,0.000000,0.000000,0.062469
0.020000,9.272065,17.642014,9.300000,10.000000,0.000000,0.000000,0.062416
0.020000,9.471676,17.654478,9.500000,10.000000,0.000000,0.000000,0.062301
0.020000,9.671289,17.666914,9.700000,10.000000,0.000000,0.000000,0.062125
0.020000,9.870904,17.679308,9.900000,10.000000,0.000000,0.000000,0.061887
0.020000,10.070523,17.691649,10.100000,10.000000,0.000000,0.000000,0.061587
0.020000,10.270146,17.703923,10.300000,10.000000,0.000000,0.000000,0.061226
0.020000,10.469774,17.716120,10.500000,10.000000,0.000000,0.000000,0.060804
0.020000,10.669407,17.728226,10.700000,10.000000,0.000000,0.000000,0.060320
0.020000,10.869047,17.740229,10.900000,10.000000,0.000000,0.000000,0.059774
0.020000,11.068693,17.752117,11.100000,10.000000,0.000000,0.000000,0.059167
0.020000,11.268347,17.763878,11.300000,10.000000,0.000000,0.000000,0.058498
0.020000,11.468009,17.775499,11.500000,10.000000,0.000000,0.000000,0.057767
0.020000,11.667680,17.786968,11.700000,10.000000,0.000000,0.000000,0.056975
0.020000,11.867360,17.798272,11.900000,10.000000,0.000000,0.000000,0.056121
0.020000,12.067051,17.809400,12.100000,10.000000,0.000000,0.000000,0.055206
0.020000,12.266751,17.820339,12.300000,10.000000,0.000000,0.000000,0.054229
0.020000,12.466463,17.831077,12.500000,10.000000,0.000000,0.000000,0.053190
0.020000,12.666186,17.841601,12.700000,10.000000,0.000000,0.000000,0.052089
0.020000,12.865920,17.851899,12.900000,10.000000,0.000000,0.000000,0.050927
0.020000,13.065667,17.861959,13.100000,10.000000,0.000000,0.000000,0.049704
0.020000,13.265426,17.871768,13.300000,10.000000,0.000000,0.000000,0.048418
0.020000,13.465198,17.881315,13.500000,10.000000,0.000000,0.000000,0.047071
0.020000,13.664983,17.890586,13.700000,10.000000,0.000000,0.000000,0.045663
0.020000,13.864781,17.899569,13.900000,10.000000,0.000000,0.000000,0.044193
0.020000,14.064593,17.908253,14.100000,10.000000,0.000000,0.000000,0.042661
0.020000,14.264418,17.916624,14.300000,10.000000,0.000000,0.000000,0.041067
0.020000,14.464256,17.924671,14.500000,10.000000,0.000000,0.000000,0.039412
0.020000,14.664107,17.932381,14.700000,10.000000,0.000000,0.000000,0.037695
0.020000,14.863971,17.939742,14.900000,10.000000,0.000000,0.000000,0.035917
0.020000,15.063849,17.946741,15.100000,10.000000,0.000000,0.000000,0.034077
0.020000,15.263739,17.953366,15.300000,10.000000,0.000000,0.000000,0.032176
0.020000,15.463642,17.959604,15.500000,10.000000,0.000000,0.000000,0.030213
0.020000,15.663556,17.965445,15.700000,10.000000,0.000000,0.000000,0.028188
0.020000,15.863483,17.970874,15.900000,10.000000,0.000000,0.000000,0.026102
0.020000,16.063420,17.975880,16.100000,10.000000,0.000000,0.000000,0.023955
0.020000,16.263368,17.980451,16.300000,10.000000,0.000000,0.000000,0.021747
0.020000,16.463325,17.984574,16.500000,10.000000,0.000000,0.000000,0.019477
0.020000,16.663292,17.988237,16.700000,10.000000,0.000000,0.000000,0.017146
0.020000,16.863266,17.991428,16.900000,10.000000,0.000000,0.000000,0.014754
0.020000,17.063248,17.994135,17.100000,10.000000,0.000000,0.000000,0.012301
0.020000,17.263235,17.996344,17.300000,10.000000,0.000000,0.000000,0.009786
0.020000,17.463228,17.998045,17.500000,10.000000,0.000000,0.000000,0.007211
0.020000,17.663225,17.999225,17.700000,10.000000,0.000000,0.000000,0.004575
0.020000,17.863223,17.999871,17.900000,10.000000,0.000000,0.000000,0.001879
0.020000,18.055761,17.999841,18.100000,10.000000,0.000000,0.000000,6.277530
0.020000,18.255736,17.996848,18.300000,10.000000,0.000000,0.000000,6.259481
0.020000,18.455636,17.990583,18.500000,10.000000,0.000000,0.000000,6.244765
0.020000,18.655438,17.981694,18.700000,10.000000,0.000000,0.000000,6.233200
0.020000,18.855140,17.970797,18.900000,10.000000,0.000000,0.000000,6.224641
0.020000,19.054760,17.958482,19.100000,10.000000,0.000000,0.000000,6.218978
0.020000,19.254327,17.945320,19.300000,10.000000,0.000000,0.000000,6.216138
0.020000,19.453874,17.931869,19.500000,10.000000,0.000000,0.000000,6.216085
0.020000,19.653439,17.918685,19.700000,10.000000,0.000000,0.000000,6.218818
0.020000,19.853057,17.906328,19.900000,10.000000,0.000000,0.000000,6.224373
0.020000,20.052756,17.895366,20.100000,10.000000,0.000000,0.000000,6.232820
0.020000,20.252553,17.886390,20.300000,10.000000,0.000000,0.000000,6.244268
0.020000,20.452450,17.880013,20.500000,10.000000,0.000000,0.000000,6.258861
0.020000,20.652422,17.876883,20.700000,10.000000,0.000000,0.000000,6.276780
0.020000,20.852417,17.877687,20.900000,10.000000,0.000000,0.000000,0.015055
0.020000,21.052337,17.883157,21.100000,10.000000,0.000000,0.000000,0.040303
0.020000,21.252032,17.894072,21.300000,10.000000,0.000000,0.000000,0.069609
0.020000,21.451282,17.911262,21.500000,10.000000,0.000000,0.000000,0.103253
0.020000,21.649216,17.935516,21.699426,9.942597,-2.870141,-143.507040,0.141388
0.020000,21.844287,17.967449,21.897109,9.825671,-5.846331,-148.809524,0.183934
0.020000,22.035425,18.007578,22.092432,9.706623,-5.952381,-5.302483,0.230746
0.020000,22.222068,18.056394,22.285374,9.587575,-5.952381,-0.000000,0.281656
0.020000,22.403601,18.114272,22.475935,9.468528,-5.952381,0.000000,0.336332
0.020000,22.579361,18.181431,22.664115,9.349480,-5.952381,0.000000,0.394250
0.020000,22.748664,18.257898,22.849914,9.230432,-5.952381,-0.000000,0.454696
0.020000,22.910854,18.343490,23.033332,9.111385,-5.952381,0.000000,0.516793
0.020000,23.065347,18.437805,23.214369,8.992337,-5.952381,0.000000,0.579556
0.020000,23.211680,18.540247,23.393025,8.873290,-5.952381,0.000000,0.641976
0.020000,23.349539,18.650055,23.569301,8.754242,-5.952381,0.000000,0.703109
0.020000,23.478781,18.766361,23.743195,8.635194,-5.952381,-0.000000,0.762141
0.020000,23.599426,18.888237,23.914709,8.516147,-5.952381,0.000000,0.818444
0.020000,23.711642,19.014754,24.083841,8.397099,-5.952381,0.000000,0.871587
0.020000,23.815718,19.145017,24.250593,8.278052,-5.952381,0.000000,0.921327
0.020000,23.912030,19.278197,24.414963,8.159004,-5.952381,-0.000000,0.967582
