dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000151,18.500000,0.000595,0.059524,2.976190,148.809524,0.000121
0.020000,-0.000126,18.500000,0.000620,0.001249,-2.913733,-294.496198,0.000101
0.020000,-0.000077,18.500000,0.000670,0.002495,0.062275,148.800420,0.000061
0.020000,-0.000002,18.500000,0.000745,0.003733,0.061911,-0.018208,0.000002
0.020000,0.009435,18.500000,0.010182,0.471864,23.406565,1167.232690,6.283107
0.020000,0.021464,18.499998,0.022210,0.601411,6.477338,-846.461345,6.283009
0.020000,0.035897,18.499995,0.036643,0.721653,6.012107,-23.261547,6.282891
0.020000,0.052734,18.499989,0.053481,0.841873,6.011005,-0.055069,6.282754
0.020000,0.071975,18.499979,0.072722,0.962068,6.009745,-0.062996,6.282599
0.020000,0.093620,18.499964,0.094367,1.082234,6.008280,-0.073288,6.282426
0.020000,0.117667,18.499944,0.118414,1.202366,6.006615,-0.083212,6.282236
0.020000,0.144117,18.499916,0.144863,1.322462,6.004818,-0.089859,6.282029
0.020000,0.172967,18.499879,0.173714,1.442519,6.002823,-0.099770,6.281806
0.020000,0.204218,18.499832,0.204964,1.562531,6.000623,-0.109999,6.281567
0.020000,0.237867,18.499774,0.238614,1.682497,5.998264,-0.117936,6.281314
0.020000,0.273916,18.499701,0.274663,1.802411,5.995745,-0.125947,6.281047
0.020000,0.312361,18.499614,0.313108,1.922270,5.992914,-0.141568,6.280767
0.020000,0.353202,18.499509,0.353949,2.042072,5.990121,-0.139629,6.280475
0.020000,0.396438,18.499385,0.397186,2.161812,5.986987,-0.156730,6.280171
0.020000,0.442068,18.499241,0.442815,2.281486,5.983694,-0.164628,6.279858
0.020000,0.490089,18.499073,0.490837,2.401091,5.980243,-0.172580,6.279536
0.020000,0.540501,18.498881,0.541250,2.520623,5.976630,-0.180619,6.279206
0.020000,0.593303,18.498662,0.594051,2.640080,5.972851,-0.188940,6.278869
0.020000,0.648491,18.498414,0.649240,2.759455,5.968759,-0.204602,6.278528
0.020000,0.706065,18.498136,0.706815,2.878749,5.964668,-0.204543,6.278182
0.020000,0.766024,18.497825,0.766774,2.997955,5.960292,-0.218797,6.277834
0.020000,0.828364,18.497481,0.829116,3.117070,5.955753,-0.226978,6.277484
0.020000,0.893085,18.497100,0.893838,3.236091,5.951051,-0.235100,6.277135
0.020000,0.960184,18.496683,0.960938,3.355014,5.946145,-0.245320,6.276789
0.020000,1.029659,18.496226,1.030415,3.473835,5.941069,-0.253753,6.276445
0.020000,1.101508,18.495730,1.102266,3.592551,5.935821,-0.262446,6.276107
0.020000,1.175730,18.495192,1.176489,3.711159,5.930401,-0.271002,6.275776
0.020000,1.252320,18.494612,1.253082,3.829655,5.924780,-0.281039,6.275454
0.020000,1.331279,18.493989,1.332043,3.948035,5.918994,-0.289301,6.275143
0.020000,1.412602,18.493323,1.413368,4.066296,5.913033,-0.298029,6.274844
0.020000,1.496288,18.492613,1.497057,4.184432,5.906841,-0.309611,6.274560
0.020000,1.582333,18.491859,1.583106,4.302444,5.900562,-0.313949,6.274292
0.020000,1.670736,18.491061,1.671513,4.420324,5.894034,-0.326376,6.274043
0.020000,1.761493,18.490221,1.762274,4.538071,5.887337,-0.334895,6.273815
0.020000,1.854603,18.489339,1.855388,4.655680,5.880469,-0.343388,6.273610
0.020000,1.950061,18.488416,1.950851,4.773149,5.873426,-0.352143,6.273430
0.020000,2.047866,18.487454,2.048660,4.890473,5.866200,-0.361305,6.273278
0.020000,2.148014,18.486455,2.148813,5.007648,5.858766,-0.371704,6.273155
0.020000,2.250502,18.485422,2.251306,5.124672,5.851187,-0.378931,6.273065
0.020000,2.355328,18.484358,2.356137,5.241540,5.843405,-0.389129,6.273010
0.020000,2.462487,18.483267,2.463302,5.358249,5.835442,-0.398124,6.272992
0.020000,2.571977,18.482151,2.572798,5.474795,5.827296,-0.407315,6.273015
0.020000,2.683795,18.481017,2.684622,5.591174,5.818966,-0.416503,6.273080
0.020000,2.797937,18.479870,2.798769,5.707383,5.810449,-0.425827,6.273190
0.020000,2.914400,18.478714,2.915238,5.823418,5.801749,-0.435029,6.273349
0.020000,3.033180,18.477558,3.034023,5.939275,5.792852,-0.444810,6.273559
0.020000,3.154273,18.476408,3.155122,6.054951,5.783775,-0.453863,6.273822
0.020000,3.277677,18.475271,3.278531,6.170441,5.774502,-0.463644,6.274143
0.020000,3.403387,18.474158,3.404246,6.285741,5.765034,-0.473427,6.274523
0.020000,3.531399,18.473077,3.532263,6.400850,5.755414,-0.481002,6.274967
0.020000,3.661710,18.472039,3.662578,6.515760,5.745524,-0.494468,6.275477
0.020000,3.794316,18.471054,3.795187,6.630470,5.735493,-0.501587,6.276056
0.020000,3.929212,18.470135,3.930087,6.744975,5.725267,-0.511283,6.276708
0.020000,4.066395,18.469296,4.067272,6.859272,5.714831,-0.521779,6.277435
0.020000,4.205860,18.468550,4.206739,6.973355,5.704178,-0.532669,6.278243
0.020000,4.347603,18.467911,4.348484,7.087222,5.693320,-0.542898,6.279133
0.020000,4.491620,18.467397,4.492501,7.200869,5.682344,-0.548813,6.280109
0.020000,4.637905,18.467024,4.638787,7.314290,5.671053,-0.564534,6.281176
0.020000,4.786454,18.466811,4.787337,7.427482,5.659609,-0.572191,6.282336
0.020000,4.937263,18.466777,4.938145,7.540441,5.647963,-0.582321,0.000409
0.020000,5.090326,18.466942,5.091209,7.653163,5.636087,-0.593794,0.001768
0.020000,5.245639,18.467329,5.246522,7.765644,5.624074,-0.600655,0.003232
0.020000,5.403195,18.467961,5.404079,7.877879,5.611741,-0.616635,0.004804
0.020000,5.562990,18.468862,5.563876,7.989866,5.599333,-0.620389,0.006490
0.020000,5.725017,18.470059,5.725908,8.101598,5.586593,-0.637013,0.008293
0.020000,5.889272,18.471578,5.890170,8.213072,5.573722,-0.643560,0.010218
0.020000,6.055747,18.473448,6.056656,8.324285,5.560621,-0.655051,0.012267
0.020000,6.224437,18.475700,6.225360,8.435232,5.547373,-0.662373,0.014446
0.020000,6.395334,18.478365,6.396278,8.545909,5.533860,-0.675650,0.016759
0.020000,6.568432,18.481477,6.569405,8.656313,5.520198,-0.683136,0.019211
0.020000,6.743724,18.485071,6.744733,8.766439,5.506304,-0.694698,0.021805
