dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,17.250000,0.000595,0.059524,2.976190,148.809524,0.000121
0.020000,0.000000,17.250000,0.002976,0.178571,5.952381,148.809524,0.000101
0.020000,0.000000,17.250000,0.007738,0.297619,5.952381,0.000000,0.000061
0.020000,0.000000,17.250000,0.014881,0.416667,5.952381,-0.000000,0.000002
0.020000,0.009338,17.250000,0.024405,0.535714,5.952381,0.000000,6.283107
0.020000,0.021243,17.249998,0.036310,0.654762,5.952381,0.000000,6.283009
0.020000,0.035529,17.249995,0.050595,0.773810,5.952381,0.000000,6.282891
0.020000,0.052195,17.249989,0.067262,0.892857,5.952381,0.000000,6.282754
0.020000,0.071243,17.249979,0.086310,1.011905,5.952381,-0.000000,6.282599
0.020000,0.092671,17.249965,0.107738,1.130952,5.952381,0.000000,6.282426
0.020000,0.116481,17.249944,0.131548,1.250000,5.952381,0.000000,6.282236
0.020000,0.142671,17.249917,0.157738,1.369048,5.952381,0.000000,6.282029
0.020000,0.171243,17.249880,0.186310,1.488095,5.952381,0.000000,6.281806
0.020000,0.202195,17.249834,0.217262,1.607143,5.952381,0.000000,6.281567
0.020000,0.235528,17.249776,0.250595,1.726190,5.952381,0.000000,6.281314
0.020000,0.271243,17.249704,0.286310,1.845238,5.952381,0.000000,6.281047
0.020000,0.309338,17.249617,0.324405,1.964286,5.952381,-0.000000,6.280767
0.020000,0.349814,17.249514,0.364881,2.083333,5.952381,0.000000,6.280475
0.020000,0.392671,17.249391,0.407738,2.202381,5.952381,-0.000000,6.280171
0.020000,0.437909,17.249247,0.452976,2.321429,5.952381,0.000000,6.279858
0.020000,0.485527,17.249081,0.500595,2.440476,5.952381,-0.000000,6.279536
0.020000,0.535527,17.248891,0.550595,2.559524,5.952381,0.000000,6.279206
0.020000,0.587908,17.248673,0.602976,2.678571,5.952381,0.000000,6.278869
0.020000,0.642669,17.248428,0.657738,2.797619,5.952381,0.000000,6.278528
0.020000,0.699811,17.248151,0.714881,2.916667,5.952381,0.000000,6.278182
0.020000,0.759334,17.247843,0.774405,3.035714,5.952381,-0.000000,6.277834
0.020000,0.821238,17.247501,0.836310,3.154762,5.952381,0.000000,6.277484
0.020000,0.885523,17.247123,0.900595,3.273810,5.952381,0.000000,6.277135
0.020000,0.952188,17.246708,0.967262,3.392857,5.952381,0.000000,6.276789
0.020000,1.021234,17.246255,1.036310,3.511905,5.952381,-0.000000,6.276445
0.020000,1.092661,17.245761,1.107738,3.630952,5.952381,0.000000,6.276107
0.020000,1.166468,17.245226,1.181548,3.750000,5.952381,0.000000,6.275776
0.020000,1.242657,17.244649,1.257738,3.869048,5.952381,0.000000,6.275454
0.020000,1.321226,17.244030,1.336310,3.988095,5.952381,0.000000,6.275143
0.020000,1.402175,17.243366,1.417262,4.107143,5.952381,-0.000000,6.274844
0.020000,1.485506,17.242659,1.500595,4.226190,5.952381,0.000000,6.274560
0.020000,1.571217,17.241908,1.586310,4.345238,5.952381,-0.000000,6.274292
0.020000,1.659308,17.241114,1.674405,4.464286,5.952381,0.000000,6.274043
0.020000,1.749781,17.240276,1.764881,4.583333,5.952381,-0.000000,6.273815
0.020000,1.842634,17.239396,1.857738,4.702381,5.952381,0.000000,6.273610
0.020000,1.937867,17.238475,1.952976,4.821429,5.952381,-0.000000,6.273430
0.020000,2.035482,17.237515,2.050595,4.940476,5.952381,0.000000,6.273278
0.020000,2.135477,17.236518,2.150595,5.059524,5.952381,-0.000000,6.273155
0.020000,2.237852,17.235486,2.252976,5.178571,5.952381,0.000000,6.273065
0.020000,2.342609,17.234423,2.357738,5.297619,5.952381,-0.000000,6.273010
0.020000,2.449746,17.233332,2.464881,5.416667,5.952381,0.000000,6.272992
0.020000,2.559264,17.232216,2.574405,5.535714,5.952381,0.000000,6.273015
0.020000,2.671163,17.231081,2.686310,5.654762,5.952381,-0.000000,6.273080
0.020000,2.785443,17.229932,2.800595,5.773810,5.952381,0.000000,6.273190
0.020000,2.902104,17.228775,2.917262,5.892857,5.952381,0.000000,6.273349
0.020000,3.021146,17.227616,3.036310,6.011905,5.952381,-0.000000,6.273559
0.020000,3.142569,17.226462,3.157738,6.130952,5.952381,0.000000,6.273822
0.020000,3.266374,17.225323,3.281548,6.250000,5.952381,-0.000000,6.274143
0.020000,3.392559,17.224205,3.407738,6.369048,5.952381,0.000000,6.274523
0.020000,3.521126,17.223119,3.536310,6.488095,5.952381,0.000000,6.274967
0.020000,3.652074,17.222076,3.667262,6.607143,5.952381,-0.000000,6.275477
0.020000,3.785404,17.221086,3.800595,6.726190,5.952381,0.000000,6.276056
0.020000,3.921115,17.220162,3.936310,6.845238,5.952381,-0.000000,6.276708
