dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000151,16.000000,0.000595,0.059524,2.976190,148.809524,0.000121
0.020000,0.000126,16.000000,0.000620,0.001249,-2.913733,-294.496198,0.000101
0.020000,0.000077,16.000000,0.000670,0.002495,0.062275,148.800420,0.000061
0.020000,0.000002,16.000000,0.000745,0.003733,0.061911,-0.018208,0.000002
0.020000,0.009241,16.000000,0.009984,0.461944,22.910552,1142.432070,6.283107
0.020000,0.021022,15.999998,0.021765,0.589065,6.356068,-827.724193,6.283009
0.020000,0.035160,15.999995,0.035903,0.706918,5.892661,-23.170368,6.282891
0.020000,0.051656,15.999989,0.052399,0.824793,5.893747,0.054300,6.282754
0.020000,0.070510,15.999979,0.071253,0.942694,5.895038,0.064560,6.282599
0.020000,0.091723,15.999965,0.092466,1.060624,5.896488,0.072496,6.282426
0.020000,0.115294,15.999945,0.116037,1.178586,5.898104,0.080782,6.282236
0.020000,0.141226,15.999918,0.141969,1.296585,5.899949,0.092272,6.282029
0.020000,0.169519,15.999882,0.170261,1.414624,5.901960,0.100552,6.281806
0.020000,0.200173,15.999836,0.200916,1.532707,5.904130,0.108509,6.281567
0.020000,0.233189,15.999778,0.233932,1.650837,5.906504,0.118702,6.281314
0.020000,0.268570,15.999707,0.269313,1.769019,5.909081,0.128811,6.281047
0.020000,0.306315,15.999621,0.307058,1.887253,5.911709,0.131436,6.280767
0.020000,0.346425,15.999518,0.347169,2.005547,5.914735,0.151285,6.280475
0.020000,0.388903,15.999397,0.389647,2.123903,5.917784,0.152430,6.280171
0.020000,0.433750,15.999254,0.434493,2.242324,5.921035,0.162592,6.279858
0.020000,0.480966,15.999090,0.481710,2.360814,5.924489,0.172688,6.279536
0.020000,0.530553,15.998900,0.531297,2.479376,5.928143,0.182687,6.279206
0.020000,0.582513,15.998685,0.583257,2.598016,5.931991,0.192394,6.278869
0.020000,0.636847,15.998441,0.637592,2.716734,5.935888,0.194861,6.278528
0.020000,0.693557,15.998167,0.694303,2.835537,5.940144,0.212787,6.278182
0.020000,0.752645,15.997861,0.753391,2.954426,5.944476,0.216612,6.277834
0.020000,0.814112,15.997521,0.814859,3.073406,5.949004,0.226402,6.277484
0.020000,0.877960,15.997146,0.878709,3.192481,5.953729,0.236241,6.277135
0.020000,0.944192,15.996734,0.944942,3.311653,5.958609,0.244000,6.276789
0.020000,1.012809,15.996283,1.013561,3.430927,5.963679,0.253514,6.276445
0.020000,1.083814,15.995792,1.084567,3.550306,5.968935,0.262767,6.276107
0.020000,1.157207,15.995261,1.157963,3.669793,5.974378,0.272152,6.275776
0.020000,1.232993,15.994687,1.233750,3.789393,5.979979,0.280071,6.275454
0.020000,1.311173,15.994070,1.311933,3.909108,5.985774,0.289748,6.275143
0.020000,1.391749,15.993410,1.392512,4.028943,5.991753,0.298970,6.274844
0.020000,1.474724,15.992706,1.475490,4.148900,5.997861,0.305371,6.274560
0.020000,1.560100,15.991958,1.560869,4.268985,6.004240,0.318967,6.274292
0.020000,1.647881,15.991166,1.648653,4.389200,6.010731,0.324561,6.274043
0.020000,1.738068,15.990331,1.738844,4.509548,6.017412,0.334052,6.273815
0.020000,1.830665,15.989453,1.831445,4.630034,6.024284,0.343596,6.273610
0.020000,1.925673,15.988535,1.926458,4.750661,6.031343,0.352917,6.273430
0.020000,2.023097,15.987577,2.023887,4.871432,6.038580,0.361872,6.273278
0.020000,2.122939,15.986581,2.123734,4.992352,6.045973,0.369638,6.273155
0.020000,2.225203,15.985550,2.226002,5.113423,6.053585,0.380617,6.273065
0.020000,2.329890,15.984488,2.330695,5.234651,6.061359,0.388696,6.273010
0.020000,2.437005,15.983397,2.437816,5.356037,6.069320,0.398038,6.272992
0.020000,2.546551,15.982281,2.547368,5.477586,6.077465,0.407259,6.273015
0.020000,2.658532,15.981145,2.659354,5.599302,6.085796,0.416565,6.273080
0.020000,2.772950,15.979995,2.773778,5.721188,6.094313,0.425821,6.273190
0.020000,2.889809,15.978835,2.890642,5.843249,6.103019,0.435296,6.273349
0.020000,3.009113,15.977674,3.009952,5.965487,6.111905,0.444294,6.273559
0.020000,3.130866,15.976517,3.131710,6.087907,6.120987,0.454131,6.273822
0.020000,3.255071,15.975374,3.255921,6.210512,6.130254,0.463354,6.274143
0.020000,3.381732,15.974252,3.382587,6.333306,6.139708,0.472696,6.274523
0.020000,3.510853,15.973161,3.511713,6.456294,6.149396,0.484393,6.274967
0.020000,3.642438,15.972113,3.643302,6.579478,6.159202,0.490283,6.275477
0.020000,3.776492,15.971118,3.777359,6.702863,6.169256,0.502708,6.276056
0.020000,3.913018,15.970188,3.913888,6.826453,6.179509,0.512675,6.276708
0.020000,4.052020,15.969337,4.052894,6.950252,6.189949,0.521972,6.277435
0.020000,4.193504,15.968580,4.194379,7.074264,6.200569,0.531002,6.278243
0.020000,4.337472,15.967932,4.338349,7.198491,6.211385,0.540831,6.279133
0.020000,4.483930,15.967409,4.484807,7.322941,6.222489,0.555178,6.280109
0.020000,4.632882,15.967029,4.633760,7.447615,6.233683,0.559677,6.281176
0.020000,4.784332,15.966812,4.785210,7.572517,6.245132,0.572474,6.282336
0.020000,4.938285,15.966777,4.939163,7.697653,6.256789,0.582850,0.000409
0.020000,5.094745,15.966946,5.095624,7.823026,6.268627,0.591922,0.001768
0.020000,5.253718,15.967342,5.254596,7.948640,6.280743,0.605753,0.003232
0.020000,5.415206,15.967990,5.416086,8.074499,6.292948,0.610267,0.004804
0.020000,5.579216,15.968915,5.580099,8.200609,6.305493,0.627272,0.006490
0.020000,5.745751,15.970145,5.746638,8.326972,6.318114,0.631017,0.008293
0.020000,5.914815,15.971708,5.915710,8.453592,6.331013,0.644974,0.010218
0.020000,6.086414,15.973636,6.087319,8.580474,6.344087,0.653676,0.012267
0.020000,6.260551,15.975961,6.261472,8.707622,6.357415,0.666420,0.014446
0.020000,6.437230,15.978716,6.438173,8.835039,6.370869,0.672693,0.016759
0.020000,6.616456,15.981938,6.617427,8.962730,6.384559,0.684513,0.019211
0.020000,6.798232,15.985665,6.799241,9.090698,6.398391,0.691592,0.021805
0.020000,6.982561,15.989936,6.983620,9.218947,6.412459,0.703380,0.024546
0.020000,7.169448,15.994793,7.170570,9.347481,6.426669,0.710542,0.027439
0.020000,7.358894,16.000280,7.360096,9.476301,6.441018,0.717424,0.030488
0.020000,7.550904,16.006442,7.552204,9.605414,6.455632,0.730693,0.033699
0.020000,7.745478,16.013328,7.746900,9.734818,6.470201,0.728470,0.037075
0.020000,7.942620,16.020989,7.944191,9.864520,6.485091,0.744500,0.040622
0.020000,8.142330,16.029476,8.144081,9.994519,6.499959,0.743366,0.044344
0.020000,8.344609,16.038845,8.346578,10.124818,6.514951,0.749627,0.048246
0.020000,8.548849,16.049121,8.551075,10.224884,5.003318,-75.581654,0.052320
0.020000,8.753826,16.060287,8.756356,10.264053,1.958418,-152.245008,0.056545
0.020000,8.958926,16.072344,8.961810,10.272702,0.432483,-76.296750,0.060909
0.020000,9.164143,16.085320,9.167437,10.281340,0.431868,-0.030755,0.065410
0.020000,9.369470,16.099246,9.373236,10.289961,0.431064,-0.040187,0.070050
0.020000,9.574902,16.114151,9.579208,10.298563,0.430110,-0.047698,0.074827
0.020000,9.780429,16.130064,9.785350,10.307142,0.428967,-0.057156,0.079741
0.020000,9.986046,16.147016,9.991664,10.315694,0.427595,-0.068603,0.084793
0.020000,10.191742,16.165034,10.198149,10.324216,0.426089,-0.075271,0.089980
0.020000,10.397510,16.184149,10.404803,10.332703,0.424339,-0.087497,0.095304
0.020000,10.603340,16.204390,10.611626,10.341147,0.422195,-0.107208,0.100762
0.020000,10.809223,16.225785,10.818617,10.349548,0.420064,-0.106570,0.106355
0.020000,11.015147,16.248364,11.025775,10.357899,0.417571,-0.124623,0.112082
0.020000,11.221101,16.272154,11.233098,10.366193,0.414654,-0.145857,0.117941
0.020000,11.427074,16.297183,11.440587,10.374424,0.411587,-0.153343,0.123932
0.020000,11.633054,16.323481,11.648239,10.382591,0.408323,-0.163206,0.130054
0.020000,11.839028,16.351073,11.856052,10.390684,0.404647,-0.183818,0.136305
0.020000,12.044982,16.379988,12.064026,10.398689,0.400275,-0.218582,0.142684
0.020000,12.250902,16.410253,12.272158,10.406614,0.396256,-0.200992,0.149191
0.020000,12.456774,16.441893,12.480447,10.414446,0.391576,-0.233980,0.155822
0.020000,12.662582,16.474935,12.688891,10.422175,0.386468,-0.255413,0.162577
0.020000,12.868310,16.509405,12.897487,10.429789,0.380693,-0.288741,0.169454
0.020000,13.073942,16.545326,13.106233,10.437295,0.375288,-0.270252,0.176451
0.020000,13.279460,16.582724,13.315126,10.444677,0.369126,-0.308097,0.183566
0.020000,13.484848,16.621622,13.524165,10.451929,0.362574,-0.327574,0.190798
0.020000,13.690086,16.662044,13.733345,10.459034,0.355264,-0.365537,0.198143
0.020000,13.895156,16.704011,13.942665,10.465995,0.348043,-0.361050,0.205599
0.020000,14.100037,16.747546,14.152121,10.472805,0.340497,-0.377272,0.213164
0.020000,14.304712,16.792669,14.361710,10.479452,0.332356,-0.407085,0.220836
0.020000,14.509157,16.839400,14.571429,10.485928,0.323813,-0.427114,0.228611
0.020000,14.713354,16.887759,14.781273,10.492226,0.314873,-0.447015,0.236487
0.020000,14.917279,16.937764,14.991240,10.498337,0.305539,-0.466691,0.244461
0.020000,15.120911,16.989432,15.201325,10.504246,0.295472,-0.503365,0.252529
0.020000,15.321535,17.042062,15.408737,10.370609,-6.681858,-348.866480,0.260153
0.020000,15.534413,17.101100,15.629650,11.045654,33.752241,2021.704915,0.280344
0.020000,15.748704,17.165022,15.853272,11.181057,6.770172,-1349.103414,0.299244
0.020000,15.960209,17.232337,16.075231,11.097973,-4.154191,-546.218177,0.316813
0.020000,16.168939,17.302674,16.295493,11.013100,-4.243672,-4.474022,0.333025
0.020000,16.374928,17.375666,16.514032,10.926944,-4.307814,-3.207120,0.347858
0.020000,16.578232,17.450959,16.730830,10.839928,-4.350765,-2.147551,0.361298
0.020000,16.778926,17.528208,16.945878,10.752399,-4.376465,-1.285000,0.373337
0.020000,16.977101,17.607078,17.159171,10.664624,-4.388756,-0.614543,0.383972
0.020000,17.172857,17.687246,17.370707,10.576800,-4.391173,-0.120873,0.393201
0.020000,17.366305,17.768402,17.580488,10.489063,-4.386884,0.214490,0.401027
0.020000,17.557558,17.850246,17.788518,10.401491,-4.378561,0.416123,0.407451
0.020000,17.746738,17.932487,17.994800,10.314120,-4.368557,0.500196,0.412477
0.020000,17.933964,18.014844,18.199339,10.226945,-4.358762,0.489774,0.416108
0.020000,18.119356,18.097044,18.402138,10.139933,-4.350623,0.406933,0.418347
0.020000,18.303033,18.178825,18.603199,10.053029,-4.345185,0.271915,0.419196
0.020000,18.485111,18.259926,18.802522,9.966167,-4.343082,0.105150,0.418654
0.020000,18.665701,18.340098,19.000107,9.879276,-4.344556,-0.073687,0.416723
0.020000,18.844908,18.419093,19.195953,9.792287,-4.349466,-0.245521,0.413400
0.020000,19.022834,18.496671,19.390056,9.705142,-4.357253,-0.389375,0.408682
0.020000,19.199572,18.572594,19.582412,9.617802,-4.366963,-0.485487,0.402567
0.020000,19.374897,18.646501,19.772677,9.513274,-5.226429,-42.973289,0.395066
0.020000,19.548063,18.717838,19.959962,9.364234,-7.452005,-111.278826,0.386230
0.020000,19.718441,18.786146,20.143523,9.178035,-9.309944,-92.896934,0.376130
0.020000,19.885917,18.851219,20.323196,8.983670,-9.718267,-20.416118,0.364825
0.020000,20.050574,18.912954,20.499046,8.792507,-9.558125,8.007081,0.352366
0.020000,20.212487,18.971269,20.671140,8.604703,-9.390223,8.395109,0.338807
0.020000,20.371720,19.026098,20.839549,8.420442,-9.213026,8.859816,0.324205
0.020000,20.528332,19.077394,21.004348,8.239939,-9.025154,9.393599,0.308620
0.020000,20.682376,19.125124,21.165617,8.063422,-8.825839,9.965753,0.292115
0.020000,20.833897,19.169276,21.323439,7.891135,-8.614380,10.572952,0.274759
0.020000,20.982939,19.209849,21.477905,7.723314,-8.391051,11.166449,0.256622
0.020000,21.129543,19.246860,21.629109,7.560192,-8.156069,11.749128,0.237780
0.020000,21.271279,19.279792,21.774620,7.275556,-14.231825,-303.787806,0.218764
0.020000,21.427368,19.314080,21.934431,7.990523,35.748345,2499.008474,0.213534
0.020000,21.582951,19.347286,22.093518,7.954369,-1.807705,-1877.802480,0.206712
0.020000,21.734466,19.378417,22.248199,7.734018,-11.017547,-460.492122,0.198269
0.020000,21.881878,19.407284,22.398411,7.510596,-11.171058,-7.675528,0.188156
0.020000,22.025118,19.433706,22.544067,7.282829,-11.388383,-10.866250,0.176304
0.020000,22.164083,19.457512,22.685056,7.049467,-11.668092,-13.985457,0.162623
0.020000,22.298631,19.478539,22.821238,6.809057,-12.020478,-17.619295,0.147000
0.020000,22.428583,19.496638,22.952443,6.560280,-12.438880,-20.920074,0.129302
0.020000,22.553714,19.511676,23.078475,6.301583,-12.934829,-24.797481,0.109370
0.020000,22.673758,19.523537,23.199104,6.031440,-13.507170,-28.617064,0.087022
0.020000,22.788404,19.532137,23.314071,5.748369,-14.153516,-32.317267,0.062048
0.020000,22.897291,19.537423,23.423087,5.450792,-14.878876,-36.267998,0.034219
0.020000,23.000021,19.539394,23.525836,5.137460,-15.666611,-39.386766,0.003282
0.020000,23.096162,19.538107,23.621985,4.807462,-16.499879,-41.663395,6.252155
0.020000,23.185263,19.533699,23.711195,4.460488,-17.348709,-42.441498,6.214197
0.020000,23.266884,19.526393,23.793143,4.097384,-18.155186,-40.323835,6.172334
0.020000,23.340636,19.516518,23.867553,3.720500,-18.844234,-34.452434,6.126347
0.020000,23.406232,19.504506,23.934240,3.334343,-19.307824,-23.179492,6.076086
0.020000,23.463558,19.490876,23.993164,2.946208,-19.406773,-4.947465,6.021520
0.020000,23.512743,19.476199,24.044492,2.566399,-18.990421,20.817624,5.962781
0.020000,23.554221,19.461031,24.088656,2.208209,-17.909503,54.045891,5.900217
0.020000,23.588760,19.445823,24.126395,1.886933,-16.063818,92.284272,5.834416
0.020000,23.617435,19.430826,24.158754,1.617985,-13.447364,130.822666,5.766217
0.020000,23.641534,19.416018,24.187040,1.414283,-10.185123,163.112082,5.696663
0.020000,23.662412,19.401081,24.212711,1.283565,-6.535877,182.462270,5.626921
0.020000,23.681322,19.385453,24.237243,1.226576,-2.849458,184.320959,5.558172
0.020000,23.699274,19.368434,24.261980,1.236862,0.514301,168.187946,5.491493
0.020000,23.716963,19.349316,24.288026,1.302319,3.272820,137.925985,5.427765
0.020000,23.734765,19.327505,24.316180,1.407684,5.268287,99.773306,5.367628
